$ID,$ID_NAME,CoolDown,Description,Effect,Effect_CaptionRatio,Effect_CaptionRatio2,Effect_CaptionRatio3,Effect_CaptionTime,Effect_SkillFactor,Effect_SkillSR,Effect_SpendItemCount,Effect_SpendPoison,Effect_SpendSP,Element,Icon,IsEnchanter,IsPardoner,IsShinobi,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_LvUpSpendPoison,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,SPPerLevel,TypeAttack
1,Normal_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
2,Bow_Attack,0,{#}{ol}[Missile]{/}{/}{nl}Right-hand Bow (Two-handed Bow only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[2]
3,Hammer_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Deal damage by swinging your weapon to an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
4,Magic_Attack,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy with magic from a far distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[1]
5,Normal_Attack_TH,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance(Warrior's Two-handed Sword only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
6,Magic_Attack_TH,0,{#993399}{ol}[Magic]{/}{/}{nl}Attack an enemy magic from a far distance.(Two-handed Staff),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[1]
7,Bow_Hanging_Attack,0,{#}{ol}[Missile]{/}{/}{nl}Right-hand Bow (Two-handed Bow only),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[2]
10,War_JustFrameDagger,0,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}Attack an enemy from a short distance. The target gets knocked back when it is struck a certain number of times.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Dagger Pierce,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""OneHandSword"", ""Icon"": ""weapon_ohs""}, {""Name"": ""OneHandSpear"", ""Icon"": ""weapon_spear""}, {""Name"": ""Rapier"", ""Icon"": ""weapon_rapier""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}, {""Name"": ""OneHandSwordDagger"", ""Icon"": ""weapon_dagger""}]",0,True,0,0.0,"[6, 7]"
11,War_JustFrameAttack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,0,0.0,[6]
12,MongWangGa,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Dream Song,,,,,,,,,,,6,icon_war_bash,False,False,,-1,-1,,,,Dream Song,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,6,0.0,[6]
13,CounterAttack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}Attack an enemy from a short distance. The target gets knocked back when it is struck a certain number of times.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,0,0.0,[6]
