$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,1647,1152,4,mon_highbube_archer,113,,"[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",하이 부베 궁수,0,2,1,441,147,516,172,54,59,0,50,110,56,56,255,285,45,59,5794,20,1010,20,40
11110,New_desmodus,2,일설에는 마족들이 전령으로 이용한다고도 합니다.,1862,953,0,mon_new_desmodus,41,,"[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",데스모두스,1,2,0,103,85,103,85,24,15,0,8,25,20,20,54,54,10,15,511,22,372,8,22
11120,Goblin_Spear,2,인간들에게 가장 자주 목격되는 부베입니다.,452,217,1,mon_goblin_spear,13,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",부베 약탈자,0,2,1,39,21,50,26,6,6,0,8,14,6,6,28,31,7,6,202,2,106,2,6
11123,Goblin_Spear_red,2,인간들에게 가장 자주 목격되는 부베입니다.,2220,1425,2,mon_goblin_spear_red,150,,,붉은 부베 약탈자,0,2,1,555,298,642,345,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
11124,Goblin_Spear_blue,2,인간들에게 가장 자주 목격되는 부베입니다.,1138,652,4,mon_goblin_spear_blue,23,,"[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",푸른 부베 약탈자,0,2,1,51,27,64,34,10,11,0,12,27,11,11,36,40,11,11,370,4,199,4,9
11125,Goblin_Miners,2,"채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다.",848,473,1,mon_goblin_miners,16,,"[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",부베 광부,0,2,1,44,23,54,29,7,8,0,9,16,8,8,30,34,8,8,250,3,139,3,7
11127,Goblin_Miners_Blue,2,"채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다.",876,798,4,mon_goblin_miners_blue,20,,"[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",푸른 부베 광부,0,2,1,45,30,57,38,9,10,0,11,25,10,10,34,38,10,10,321,4,179,4,9
11160,Goblin_Archer,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,1080,698,1,mon_goblin_archer,21,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",부베 궁수,0,2,1,46,30,58,38,9,10,0,11,25,10,10,34,38,10,10,337,4,186,4,9
11162,Goblin_Archer_red,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,1665,1995,2,mon_goblin_archer_red,150,,,붉은 부베 궁수,0,2,1,597,256,691,296,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
41196,Long_Arm,2,관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.,2146,930,1,mon_long_arm,100,,"[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",긴팔 나무,4,2,1,320,213,320,213,41,41,0,27,64,50,50,253,202,27,41,4508,27,1300,49,27
41197,tombstone_turtle,3,인프로락터의 아종에 속하는 몬스터입니다.,935,1922,6,mon_tombstone_turtle,173,,"[{""Map"": 2511, ""TimeRespawn"": 0, ""Population"": 20}]",락터,3,2,0,738,316,843,361,89,64,0,82,77,86,86,418,523,31,64,14483,38,1750,46,68
