$ID,$ID_NAME,BonusBoots,BonusGloves,BonusSubWeapon,BonusTopAndBottom,BonusWeapon,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Link_Skill,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeGem,Weight
643501,gem_circle_1,"[{""Stat"": 54, ""Value"": 15}, {""Stat"": 60, ""Value"": -32}, {""Stat"": 54, ""Value"": 23}, {""Stat"": 60, ""Value"": -46}, {""Stat"": 54, ""Value"": 31}, {""Stat"": 60, ""Value"": -61}, {""Stat"": 54, ""Value"": 39}, {""Stat"": 60, ""Value"": -76}, {""Stat"": 54, ""Value"": 46}, {""Stat"": 60, ""Value"": -92}, {""Stat"": 54, ""Value"": 54}, {""Stat"": 60, ""Value"": -106}, {""Stat"": 54, ""Value"": 62}, {""Stat"": 60, ""Value"": -121}, {""Stat"": 54, ""Value"": 70}, {""Stat"": 60, ""Value"": -136}, {""Stat"": 54, ""Value"": 78}, {""Stat"": 60, ""Value"": -152}, {""Stat"": 54, ""Value"": 85}, {""Stat"": 60, ""Value"": -166}]","[{""Stat"": 54, ""Value"": 15}, {""Stat"": 60, ""Value"": -32}, {""Stat"": 54, ""Value"": 23}, {""Stat"": 60, ""Value"": -46}, {""Stat"": 54, ""Value"": 31}, {""Stat"": 60, ""Value"": -61}, {""Stat"": 54, ""Value"": 39}, {""Stat"": 60, ""Value"": -76}, {""Stat"": 54, ""Value"": 46}, {""Stat"": 60, ""Value"": -92}, {""Stat"": 54, ""Value"": 54}, {""Stat"": 60, ""Value"": -106}, {""Stat"": 54, ""Value"": 62}, {""Stat"": 60, ""Value"": -121}, {""Stat"": 54, ""Value"": 70}, {""Stat"": 60, ""Value"": -136}, {""Stat"": 54, ""Value"": 78}, {""Stat"": 60, ""Value"": -152}, {""Stat"": 54, ""Value"": 85}, {""Stat"": 60, ""Value"": -166}]","[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 56, ""Value"": 15}, {""Stat"": 54, ""Value"": -3}, {""Stat"": 56, ""Value"": 23}, {""Stat"": 54, ""Value"": -5}, {""Stat"": 56, ""Value"": 31}, {""Stat"": 54, ""Value"": -7}, {""Stat"": 56, ""Value"": 39}, {""Stat"": 54, ""Value"": -9}, {""Stat"": 56, ""Value"": 46}, {""Stat"": 54, ""Value"": -11}, {""Stat"": 56, ""Value"": 54}, {""Stat"": 54, ""Value"": -13}, {""Stat"": 56, ""Value"": 62}, {""Stat"": 54, ""Value"": -15}, {""Stat"": 56, ""Value"": 70}, {""Stat"": 54, ""Value"": -17}, {""Stat"": 56, ""Value"": 78}, {""Stat"": 54, ""Value"": -19}, {""Stat"": 56, ""Value"": 85}, {""Stat"": 54, ""Value"": -21}]","[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",ダンジョンで見つかる宝石です。ソケットに装着すると装備を強化でき、魔力を充填すると、さらに大きな力を発揮します。右クリックして装備を選択すれば装着できます。,item_icon_circle150,"[""642093"", ""642093"", ""642093"", ""642093"", ""642093"", ""642136"", ""642136"", ""642136"", ""642136"", ""642136"", ""642136"", ""642136"", ""642136"", ""642136"", ""642144""]","[""642905"", ""642907"", ""642909"", ""642913"", ""642918"", ""642919"", ""642921"", ""642922""]",None,None,None,"[12021, 13020, 33023, 33064, 34022, 34058]",None,None,レッドジェム,100,0.0,0.0,TTTT,12,1,1.0
643502,gem_square_1,"[{""Stat"": 62, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 62, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 62, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 62, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 62, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 62, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 62, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 62, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 62, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 62, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 62, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 62, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 62, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 62, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 62, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 62, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 62, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 62, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 62, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 62, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 52, ""Value"": 360}, {""Stat"": 53, ""Value"": -90}, {""Stat"": 52, ""Value"": 525}, {""Stat"": 53, ""Value"": -131}, {""Stat"": 52, ""Value"": 690}, {""Stat"": 53, ""Value"": -172}, {""Stat"": 52, ""Value"": 860}, {""Stat"": 53, ""Value"": -215}, {""Stat"": 52, ""Value"": 1035}, {""Stat"": 53, ""Value"": -258}, {""Stat"": 52, ""Value"": 1200}, {""Stat"": 53, ""Value"": -300}, {""Stat"": 52, ""Value"": 1365}, {""Stat"": 53, ""Value"": -341}, {""Stat"": 52, ""Value"": 1535}, {""Stat"": 53, ""Value"": -383}, {""Stat"": 52, ""Value"": 1710}, {""Stat"": 53, ""Value"": -427}, {""Stat"": 52, ""Value"": 1875}, {""Stat"": 53, ""Value"": -468}]","[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",ダンジョンで見つかる宝石です。ソケットに装着すると装備を強化でき、魔力を充填すると、さらに大きな力を発揮します。右クリックして装備を選択すれば装着できます。,item_icon_square150,"[""642093"", ""642093"", ""642093"", ""642093"", ""642137""]","[""642905"", ""642907"", ""642909"", ""642913"", ""642918"", ""642919"", ""642921"", ""642922""]",None,None,None,"[10016, 11021, 12021, 12022, 33023, 33065, 34059]",None,None,ブルージェム,100,0.0,0.0,TTTT,12,1,1.0
643503,gem_diamond_1,"[{""Stat"": 63, ""Value"": 15}, {""Stat"": 56, ""Value"": -3}, {""Stat"": 63, ""Value"": 23}, {""Stat"": 56, ""Value"": -5}, {""Stat"": 63, ""Value"": 31}, {""Stat"": 56, ""Value"": -7}, {""Stat"": 63, ""Value"": 39}, {""Stat"": 56, ""Value"": -9}, {""Stat"": 63, ""Value"": 46}, {""Stat"": 56, ""Value"": -11}, {""Stat"": 63, ""Value"": 54}, {""Stat"": 56, ""Value"": -13}, {""Stat"": 63, ""Value"": 62}, {""Stat"": 56, ""Value"": -15}, {""Stat"": 63, ""Value"": 70}, {""Stat"": 56, ""Value"": -17}, {""Stat"": 63, ""Value"": 78}, {""Stat"": 56, ""Value"": -19}, {""Stat"": 63, ""Value"": 85}, {""Stat"": 56, ""Value"": -21}]","[{""Stat"": 63, ""Value"": 15}, {""Stat"": 56, ""Value"": -3}, {""Stat"": 63, ""Value"": 23}, {""Stat"": 56, ""Value"": -5}, {""Stat"": 63, ""Value"": 31}, {""Stat"": 56, ""Value"": -7}, {""Stat"": 63, ""Value"": 39}, {""Stat"": 56, ""Value"": -9}, {""Stat"": 63, ""Value"": 46}, {""Stat"": 56, ""Value"": -11}, {""Stat"": 63, ""Value"": 54}, {""Stat"": 56, ""Value"": -13}, {""Stat"": 63, ""Value"": 62}, {""Stat"": 56, ""Value"": -15}, {""Stat"": 63, ""Value"": 70}, {""Stat"": 56, ""Value"": -17}, {""Stat"": 63, ""Value"": 78}, {""Stat"": 56, ""Value"": -19}, {""Stat"": 63, ""Value"": 85}, {""Stat"": 56, ""Value"": -21}]","[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]","[{""Stat"": 55, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 55, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 55, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 55, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 55, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 55, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 55, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 55, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 55, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 55, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]",ダンジョンで見つかる宝石です。ソケットに装着すると装備を強化でき、魔力を充填すると、さらに大きな力を発揮します。右クリックして装備を選択すれば装着できます。,item_icon_dia150,"[""642117"", ""642117"", ""642117"", ""642117"", ""642117"", ""642117"", ""642117"", ""642117"", ""642117"", ""642145"", ""642153""]","[""642905"", ""642907"", ""642909"", ""642913"", ""642918"", ""642919"", ""642921"", ""642922""]",None,None,None,"[14023, 30374, 34022]",None,None,グリーンジェム,100,0.0,0.0,TTTT,12,1,1.0
643504,gem_star_1,"[{""Stat"": 57, ""Value"": 15}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 57, ""Value"": 23}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 57, ""Value"": 31}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 57, ""Value"": 39}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 57, ""Value"": 46}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 57, ""Value"": 54}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 57, ""Value"": 62}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 57, ""Value"": 70}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 57, ""Value"": 78}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 57, ""Value"": 85}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 57, ""Value"": 15}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 57, ""Value"": 23}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 57, ""Value"": 31}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 57, ""Value"": 39}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 57, ""Value"": 46}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 57, ""Value"": 54}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 57, ""Value"": 62}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 57, ""Value"": 70}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 57, ""Value"": 78}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 57, ""Value"": 85}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 53, ""Value"": 360}, {""Stat"": 52, ""Value"": -90}, {""Stat"": 53, ""Value"": 525}, {""Stat"": 52, ""Value"": -131}, {""Stat"": 53, ""Value"": 690}, {""Stat"": 52, ""Value"": -172}, {""Stat"": 53, ""Value"": 860}, {""Stat"": 52, ""Value"": -215}, {""Stat"": 53, ""Value"": 1035}, {""Stat"": 52, ""Value"": -258}, {""Stat"": 53, ""Value"": 1200}, {""Stat"": 52, ""Value"": -300}, {""Stat"": 53, ""Value"": 1365}, {""Stat"": 52, ""Value"": -341}, {""Stat"": 53, ""Value"": 1535}, {""Stat"": 52, ""Value"": -383}, {""Stat"": 53, ""Value"": 1710}, {""Stat"": 52, ""Value"": -427}, {""Stat"": 53, ""Value"": 1875}, {""Stat"": 52, ""Value"": -468}]","[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]",ダンジョンで見つかる宝石です。ソケットに装着すると装備を強化でき、魔力を充填すると、さらに大きな力を発揮します。右クリックして装備を選択すれば装着できます。,item_icon_star150,"[""642086"", ""642145""]","[""642905"", ""642907"", ""642909"", ""642913"", ""642918"", ""642919"", ""642921"", ""642922""]",None,None,None,"[31019, 31020]",None,None,イエロージェム,100,0.0,0.0,TTTT,12,1,1.0
643505,gem_star_test,None,None,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",None,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",ダンジョンで見つかる宝石です。ソケットに装着すると装備を強化でき、魔力を充填すると、さらに大きな力を発揮します。右クリックして装備を選択すれば装着できます。,item_icon_twentyside150,None,None,None,None,None,None,None,None,テストジェム,100,0.0,0.0,TTTT,12,1,1.0
643506,Gem_Swordman_Thrust,"[{""Stat"": ""\u30b9\u30e9\u30b9\u30c8\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]","[{""Stat"": ""\u30b9\u30e9\u30b9\u30c8\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]","[{""Stat"": ""\u30b9\u30e9\u30b9\u30c8\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]",None,"[{""Stat"": ""\u30b9\u30e9\u30b9\u30c8\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]",ソケットに装着して装備を強化することができます。効果は重複適用されません。右クリックして装備を選択すれば装着できます。,icon_item_sklgem_swordman,None,None,None,None,None,None,None,10001,スラストジェム,100,0.0,0.0,TTTT,12,0,1.0
643507,Gem_Swordman_Bash,"[{""Stat"": ""\u30d0\u30c3\u30b7\u30e5\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb+1""}]","[{""Stat"": ""\u30d0\u30c3\u30b7\u30e5\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb+1""}]","[{""Stat"": ""\u30d0\u30c3\u30b7\u30e5\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb+1""}]",None,"[{""Stat"": ""\u30d0\u30c3\u30b7\u30e5\u30b9\u30ad\u30eb\u30ec\u30d9\u30eb+1""}]",ソケットに装着して装備を強化することができます。効果は重複適用されません。右クリックして装備を選択すれば装着できます。,icon_item_sklgem_swordman,None,None,None,None,None,None,None,10002,バッシュジェム,100,0.0,0.0,TTTT,12,0,1.0
643508,Gem_Swordman_GungHo,None,None,None,"[{""Stat"": ""\u30c7\u30a2\u30c7\u30d3\u30eb \u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]",None,ソケットに装着して装備を強化することができます。効果は重複適用されません。右クリックして装備を選択すれば装着できます。,icon_item_sklgem_swordman,None,None,None,None,None,None,None,10003,デアデビルジェム,100,0.0,0.0,TTTT,12,0,1.0
643509,Gem_Swordman_Concentrate,None,None,None,"[{""Stat"": ""\u30b3\u30f3\u30bb\u30f3\u30c8\u30ec\u30a4\u30c8 \u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]",None,ソケットに装着して装備を強化することができます。効果は重複適用されません。右クリックして装備を選択すれば装着できます。,icon_item_sklgem_swordman,None,None,None,None,None,None,None,10004,削除されたジェム,100,0.0,0.0,TTTT,12,0,1.0
643510,Gem_Swordman_PainBarrier,None,None,None,"[{""Stat"": ""\u30da\u30a4\u30f3\u30d0\u30ea\u30a2 \u30b9\u30ad\u30eb\u30ec\u30d9\u30eb +1""}]",None,ソケットに装着して装備を強化することができます。効果は重複適用されません。右クリックして装備を選択すれば装着できます。,icon_item_sklgem_swordman,None,None,None,None,None,None,None,10005,ペインバリアジェム,100,0.0,0.0,TTTT,12,0,1.0
