$ID,$ID_NAME,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Materials,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Link_Target,Name,Price,Tradability,Type
100000,R_HIDDEN_BULLETMARKER_ITEM1,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 100000, ""Quantity"": 1}, {""Item"": ""663338"", ""Quantity"": 50}, {""Item"": ""663342"", ""Quantity"": 260}]",None,[100000],None,663339,Recipe - 冷気弾,0,FFFF,25
100001,R_HIDDEN_BULLETMARKER_ITEM2,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 100001, ""Quantity"": 1}, {""Item"": ""663338"", ""Quantity"": 50}, {""Item"": ""649208"", ""Quantity"": 200}]",None,[100001],None,663340,Recipe - 火炎弾,0,FFFF,25
100002,R_HIDDEN_BULLETMARKER_ITEM3,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 100002, ""Quantity"": 1}, {""Item"": ""663338"", ""Quantity"": 50}, {""Item"": ""663347"", ""Quantity"": 2}]",None,[100002],None,663341,Recipe - 雷弾,0,FFFF,25
100003,R_CHAR4_20_STEP2_2,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 100003, ""Quantity"": 1}, {""Item"": ""640035"", ""Quantity"": 20}]",None,[100003],None,663370,Recipe - 治癒薬,0,FFFF,25
100004,R_EXORCIST_MSTEP322_ITEM,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 100004, ""Quantity"": 1}, {""Item"": ""640075"", ""Quantity"": 3}, {""Item"": ""640026"", ""Quantity"": 5}, {""Item"": ""640029"", ""Quantity"": 7}, {""Item"": ""640030"", ""Quantity"": 3}]",None,[100004],None,663371,Recipe - 治療剤,0,FFFF,25
10006,R_SWD01_109,icon_item_weapon_misc1,"[""642158""]",None,None,None,"[{""Item"": 10006, ""Quantity"": 1}, {""Item"": ""649025"", ""Quantity"": 10}]",None,[10006],None,101109,Recipe - クリス,0,TTTT,25
10008,R_SWD01_116,icon_item_weapon_misc1,None,None,None,None,"[{""Item"": 10008, ""Quantity"": 1}, {""Item"": ""645462"", ""Quantity"": 13}, {""Item"": ""645573"", ""Quantity"": 2}]",None,[10008],None,101116,Recipe - モプラ,0,TTTT,25
1001,R_timber_01,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 1001, ""Quantity"": 1}, {""Item"": ""645238"", ""Quantity"": 3}]",None,[1001],None,645242,Recipe - カシワの木材,10,TTTT,25
10010,R_SWD02_101,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10010, ""Quantity"": 1}, {""Item"": ""645307"", ""Quantity"": 2}]",None,[10010],None,102101,Recipe - パントソード,0,TTTT,25
10012,R_SWD02_106,icon_item_weapon_misc3,"[""642155""]",None,None,None,"[{""Item"": 10012, ""Quantity"": 1}, {""Item"": ""649025"", ""Quantity"": 15}]",None,[10012],None,102106,Recipe - シルバーファルシオン,0,TTTT,25
10013,R_SWD02_104,icon_item_weapon_misc3,"[""642155""]",None,None,None,"[{""Item"": 10013, ""Quantity"": 1}, {""Item"": ""649025"", ""Quantity"": 32}]",None,[10013],None,102104,Recipe - ゴールデンファルシオン,0,TTTT,25
10015,R_SWD02_102,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10015, ""Quantity"": 1}, {""Item"": ""101106"", ""Quantity"": 1}, {""Item"": ""645363"", ""Quantity"": 14}, {""Item"": ""645445"", ""Quantity"": 2}]",None,[10015],None,102102,Recipe - フロナスサーベル,0,TTTT,25
10016,R_SWD02_108,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10016, ""Quantity"": 1}, {""Item"": ""643502"", ""Quantity"": 1}, {""Item"": ""643502"", ""Quantity"": 1}, {""Item"": ""643502"", ""Quantity"": 1}]",None,[10016],None,102108,Recipe - ウィザードブレード,0,TTTT,25
10018,R_SWD02_110,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10018, ""Quantity"": 1}, {""Item"": ""101133"", ""Quantity"": 1}, {""Item"": ""645588"", ""Quantity"": 13}, {""Item"": ""645579"", ""Quantity"": 7}]",None,[10018],None,102110,Recipe - アウスタス,0,TTTT,25
10019,R_SWD02_111,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10019, ""Quantity"": 1}, {""Item"": ""645131"", ""Quantity"": 28}, {""Item"": ""645293"", ""Quantity"": 1}]",None,[10019],None,102111,Recipe - ミスカスサーベル,0,TTTT,25
1002,R_timber_02,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 1002, ""Quantity"": 1}, {""Item"": ""645239"", ""Quantity"": 3}]",None,[1002],None,645243,Recipe - トネリコの木材,10,TTTT,25
10022,R_SWD03_101,icon_item_weapon_misc4,None,None,None,None,"[{""Item"": 10022, ""Quantity"": 1}, {""Item"": ""102105"", ""Quantity"": 1}, {""Item"": ""102106"", ""Quantity"": 1}, {""Item"": ""102104"", ""Quantity"": 1}]",None,[10022],None,103101,Recipe - トリニティソード,0,TTTT,25
10024,R_SWD03_103,icon_item_weapon_misc4,None,None,None,None,"[{""Item"": 10024, ""Quantity"": 1}, {""Item"": ""101130"", ""Quantity"": 1}, {""Item"": ""101130"", ""Quantity"": 1}, {""Item"": ""101130"", ""Quantity"": 1}, {""Item"": ""101130"", ""Quantity"": 1}]",None,[10024],None,103103,Recipe - ヴェルニアップ,0,TTTT,25
10025,R_SWD03_104,icon_item_weapon_misc4,None,None,None,None,"[{""Item"": 10025, ""Quantity"": 1}, {""Item"": ""102113"", ""Quantity"": 1}, {""Item"": ""645495"", ""Quantity"": 27}, {""Item"": ""645498"", ""Quantity"": 15}]",None,[10025],None,103104,Recipe - フォルティス,0,TTTT,25
10027,R_SWD04_101,icon_item_weapon_misc5,None,None,None,None,"[{""Item"": 10027, ""Quantity"": 1}, {""Item"": ""103101"", ""Quantity"": 1}, {""Item"": ""102109"", ""Quantity"": 1}, {""Item"": ""103103"", ""Quantity"": 1}, {""Item"": ""645501"", ""Quantity"": 12}]",None,[10027],None,104101,Recipe - ベンドラスソード,0,TTTT,25
10028,R_SWD04_102,icon_item_weapon_misc5,None,None,None,None,"[{""Item"": 10028, ""Quantity"": 1}, {""Item"": ""645502"", ""Quantity"": 5}, {""Item"": ""645231"", ""Quantity"": 1}, {""Item"": ""645393"", ""Quantity"": 1}, {""Item"": ""645421"", ""Quantity"": 1}]",None,[10028],None,104102,Recipe - イルリジア,0,TTTT,25
10029,R_SWD02_115,icon_item_weapon_misc3,"[""642155""]",None,None,None,"[{""Item"": 10029, ""Quantity"": 1}, {""Item"": ""649025"", ""Quantity"": 3}]",None,[10029],None,102115,Recipe - アラスのファルシオン,0,TTTT,25
1003,R_timber_03,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 1003, ""Quantity"": 1}, {""Item"": ""645240"", ""Quantity"": 3}]",None,[1003],None,645244,Recipe - マツの木材,10,TTTT,25
1004,R_timber_04,icon_item_recipe_misc1,None,None,None,None,"[{""Item"": 1004, ""Quantity"": 1}, {""Item"": ""645241"", ""Quantity"": 3}]",None,[1004],None,645245,Recipe - スギの木材,10,TTTT,25
10041,R_SWD02_116,icon_item_weapon_misc3,None,None,None,None,"[{""Item"": 10041, ""Quantity"": 1}, {""Item"": ""645129"", ""Quantity"": 12}]",None,[10041],None,102116,Recipe - スミスソード,0,TTTT,25
