$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,Text,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
661203,Collection_Base_CASTLE65_3_HQ1,"A review by Revelator Mihail, can be obtained as a part of a collection.",icon_item_diary,[642208],,,,,,,Mihail's Review,0,,0.0,0.0,FFFF,2,0.0
663196,JOB_1_SAGE_ITEM1,A book sought after by the Sage Master. You can read it.,icon_item_collection_01red,,,,,,,,Sage Baseline,0,,0.0,0.0,FFFF,2,0.0
663197,JOB_1_SAGE_ITEM2,A book sought after by the Sage Master. You can read it.,icon_item_collection_03blue,,,,,,,,The Goddess' Abode of Mount Monderor Volume I,0,,0.0,0.0,FFFF,2,0.0
663198,JOB_1_SAGE_ITEM3,A book sought after by the Sage Master. You can read it.,icon_item_collection_00basic,,,,,,,,Book of the Void,0,,0.0,0.0,FFFF,2,0.0
690001,Book1,,icon_item_spellbook_1,,,,,,,,Book Name,1,,0.0,0.0,FFFF,2,1.0
690002,Book2,Story of the Legendary Archer and Arrow Maker. Readable.,icon_item_collection_00basic,,,,,,,,Lydia Schaffen and the Fletcher,1,"{S35} {nl} The Fletcher Master and Lydia Schaffen {/}{np}Even if someone becomes the world's greatest archer, consumption of arrows will always be a problem. {nl} Lydia Schaffen's bow was used with great care. However, Schaffen too, uses arrows. {nl} But unlike fired arrows, Her bow is permanent even with continued use.  {nl}{np}Even if it was impossible to create arrows that can be used permanently, Lydia Schaffen delved into arrow crafting techniques. {nl} Obtaining materials neccesary to craft arrows was another problem. {nl}{np}Troubled greatly by this problem, Lydia Schaffen went on a journey to find the solution. {nl} Whether or not she had been granted blessing by the goddess when she met the Fletcher Master or if she found the solution to her problem, Historians will continue to debate about the topic. {nl}{np}Many Fletchers had been produced ever since the dawn of time. But talentless numbers are irrelevant. {nl} People just call him the Fletcher Master, Lydia Schaffen too,was uncertain of his name. {nl}{np}Ever since his rise to fame, People called him the Fletcher Master. People who knew his real name were swept away by the passings of the river of time. {nl} His real name, according to some scholars, was said to be John Blacksmith. but the name itself isn't getting any credibility, since you cannot readily accept a famous name that common. {nl}{np}Anyway, Lydia Schaffen met this the Fletcher Master who was an arrow expert. Lydia after overcoming her journey, was ready to learn. {nl} However, arrow crafting techniques by the Fletcher Master was a secret at that time, and in the years afterwards, a stuff among legends. {nl}{np}However, even if you are the world's greatest archer, the goddess' blessing is important to learn the arrow crafting techniques of the Fletcher Master. {nl} Therefore only someone who has the blessing of the goddess can be molded to create a the Fletcher Master, like how Lydia Schaffen created new and consistent arrows. {nl}{np}Another tale is of the Fletcher Master's secret to avoid combat according to the maker's manual is to hit with certainty somewhere in the spleen. {nl}{np}The rapid production of arrows by the Fletcher Master is regarded to be his sole talent. However he may have a secret lying in wait somewhere in this world. {nl}",0.0,0.0,FFFF,2,1.0
690003,Book3,Legends of Fedimian. Readable.,icon_item_collection_01red,,,,,,,,Silver of Fedimian,1,"This is from before there was a large statue in Fedimian.{nl}Of course, there was a small statue even then.{np}A long time ago, the people of Fedimian were quite normal, {nl}not much different from the ordinary people of the rest of the world. {nl}However, the people of Fedimian did differ from their worldly peers in one aspect.{np}The people of Fedimian were very cautious.{nl}In the sense that they take the word 'cautious' much more seriously. {nl}These people were as cautious around fire as they were without.{np}The Fedimians were modest about this with others. {nl}Even those who stayed at Fedimian for a while could not pick up the trait.{np}Thanks to this behavior, the people of Fedimian fared better during tough times, {nl}as they were able to sense danger coming.{np}Because of this, no few words were said about the cautiousness of the Fedimian people.{np}In Fedimian, if someone dropped money on the ground, it would be gone forever. {nl}In a world where money mostly consists of silver coins, {nl}only the creditors would know exactly how much money has been lost in this manner.{np}Why money disappears into the ground at Fedimian remains unknown. {nl}Some people believe the Goddess Zemyna absorbs any money that makes contact with her area. {nl}Most commoners, however, believe this was done to reduce the demand of silver coins from creditors.{np}By believing that the goddess herself takes the silver,{nl}the people found it pointless to try and dig it up in her grounds. {nl}The fact that you can offer silver coins at Fedimian as tribute to her reinforces this idea.{np}In any case, the fact that one could lose money by dropping it on Fedimian soil {nl}has made Fedimians very careful in handling their money.{np}However, as much as one tries to be careful, mistakes still happen. {nl}More so with the case of young girls. {nl}One day, it happened to a girl named Aiste.{np}Normally, when one drops silver coins on the ground, it would scatter about on the road, {nl}and then disappear without a trace. {nl}{nl}Fedimians usually curse their own carelessness and move on, {nl}but Aiste was different: she wondered why and how it happened.{np}To find out what happened, Aiste began inspecting the area she lost her coins at. {nl}In her search she came across a beggar beside the deep end of the canal.{np}Aiste asked the elderly beggar, {nl}'Did you by any chance pick up the silver coins I dropped? Would you return them to me? I worked very hard everyday for those coins and really need them.'{nl}{nl}{np}The beggar was taken aback. Aiste was asking for the impossible. After all, finding dropped coins in Fedimian was unthinkable. {nl}The old beggar was about to explain this to Aiste but instead remarked, {nl}'I've also lost coins in this area. It would be nice if you looked for mine as you searched for yours.'{nl}{nl}{np}Almost immediately, the beggar felt guilty of the mocking words he blurted out. He apologized to Aiste.''Why don't you go to where you work and explain what happened to them? Make sure you look lost.' The beggar then hesitantly added, {nl}'In the meantime, I'll be looking for your silver coins here.'{nl}{nl}{np}Upon hearing the beggar's words, Aiste thanked the beggar, and went on to follow his advice. {nl}Through his selfless act, the beggar suddenly felt a revived sense of responsibility. He looked toward the silhouette of the leaving Aiste, his heart heavy and warm from this experience.{np}Aiste went to the orchards at the outskirts of Fedimian where she worked. {nl}While one could just pick fruit from the trees there, it was also important to take the fruit that fell on the ground.{np}Smaller hands worked better for picking fruits, so young children were often hired at the orchards. {nl}Some orchards took it a step further: hiring monkeys, whose hands were smaller than that of children, to pick fruit. Monkeys did work more effectively than children, but often ate the fruit they picked. Thus, most owners relied on hiring children.{np}Returning, Aiste visited the orchard she worked at and explained her situation to the orchard owner. {nl}Unfortunately, the owner was not in a good mood, having just had a quarrel with his wife. {nl}He, like all other Fedimians, knew about the phenomenon, and saw no reason to give Aiste more money.{np}And so he said, {nl}'Just as you've been able to pick up all my fruit, you should be able to find your lost money at Fedimian, so do not tell me to give you a second pay.' {nl}The orchard owner's cold words brought tears to the girl's eyes. {nl}The sight broke his heart, but even so, he did not want to give her any more money. {nl}{nl}{np}He was soon overtaken by guilt and said, {nl}'If you really need that money, you should go to the silversmith's.'{nl}{nl}{np}Aiste set towards the silversmith's place as soon as she heard those words. {nl}Fortunately, the house was located outside Fedimian walls. {nl}Had it been inside, the silversmith ran the risk of losing his money and silverware to the soil.{np}It is for this reason that he lives on the outskirts of Fedimian. {nl}Aiste knocked on the front door and explained her situation to him as soon as he answered.{np}The silversmith, after hearing Aiste's story, stated, {nl}'Even for children it is foolish to be so careless. How could you not know that all money that falls on Fedimian soil disappears, never to be found again?'{nl}{nl}{np}Aiste was surprised by what the silversmith said and grew sad. {nl}After a while she asked, {nl}'Then why is it that such a cruel thing happens?'{nl}{nl}{np}Even the silversmith did not know the true answer, so he improvised, {nl}'Goddess Zemyna must be taking them.'{nl}{nl}{np}Hearing those words, Aiste replied, {nl}'Then I will just have to go ask the goddess.' {nl}The silversmith was astounded and replied, {nl}'While you're at it, why don't you ask the goddess to return my silverware?'{nl}{nl}{np}The silversmith did not take to heart his own words, but Aiste did. {nl}She immediately set out to do as she said. The silversmith felt sorry for Aiste, {nl}but did not have the courage to call her back as she faded into the distance.{np}An exhausted Aiste soon arrived at the Statue of Goddess Zemyna. {nl}She prostrated herself before it and prayed to the Goddess Statue represented, her head completely down. {nl}'Oh, goddess. Please return my lost silver coins.' {nl}Soon, while offering her prayers, Aiste could no longer hold in her sadness and she finally wept.{nl}{nl}{np}How long did she pray crying? {nl}Suddenly, Aiste heard a voice addressed to her. {nl}'My child, have come to take back what you have lost?'{nl}{nl}{np}Aiste knew in her heart that it was Goddess Zemyna that was addressing her. {nl}She stopped crying, cleared her voice and replied so.{np}The goddess' voice was heard again. {nl}'Aiste, what your asking from me is not in a method I approve of. Where I reign there is no harvest nor fruits to those who do not work.'{nl}{nl}{np}'But I worked very hard today!'{nl}{nl}{np}'I know. So instead, I will give you and the others a chance. Look under your feet.'{nl}{nl}{np}The goddess' voice faded with those words, and Aiste found silver coins under her feet. {nl}She looked to where she had left her silvers and found that the tears she shed had transformed into coins.{nl}Aiste was very happy, and made sure to pick up all the silver before leaving.{np}After a number of steps, Aiste thought about the silversmith, {nl}and, again, went to his house and knocked on his door. {nl}As if the silversmith was waiting for her return, he opened the door immediately and said. {nl}'I'm sorry. I regret sending you away like that. I'll give you some silver. {nl}This time, be careful not to drop any and get home safely.'{nl}{nl}{np}As the silversmith held out his silver coins, Aiste shook her head and said,{nl}'No thank you, the goddess returned all my coins. On top of that she gave me even more. {nl}I remembered you saying you had also lost silver, so I came to give you my extra coins. You don't need to give me yours.'{nl}{nl}{np}At first, the silversmith was skeptical about the coins being returned, {nl}so he was surprised when Aiste showed him genuine coins. After thinking for a while, the silversmith said, {nl}'Then how about this. You give me what you want while you accept what I was about to give you. {nl}Isn't that fair? On top of that I'll give you a pouch to carry your extra silver.'{nl}{nl}{np}Aiste obliged and gave her extra coins to the silversmith. {nl}After this, the silversmith gave Aiste a bag of coins.{np}After leaving the silversmith's house, {nl}Aiste suddenly remembered that the old beggar must still be looking for her lost coins and worried about him. {nl}On her way to the beggar, she met the orchard owner again. {nl}Upon seeing Aiste, the orchard owner was overjoyed. {nl}'I was looking for you. I'm sorry for sending you off earlier. As an apology, I'll give you your salary again. {nl}Please be careful not to lose it this time.'{nl}{nl}{np}The orchard owner took out a large amount of coins, more than what Aiste's salary was, and handed it to her. {nl}However, Aiste shook her head and said, {nl}'Goddess Zemyna already returned my money to me. The silversmith also helped me, so now I actually have too much. {nl}Here, take a look.'{nl}{nl}{np}Saying that, Aiste opened the bag of coins she got from the silversmith and showed the orchard owner. {nl}The orchard owner was extremely surprised, as the amount of money she got from the goddess and the silversmith surpassed the amount he had.{np}Disregarding the amount Aiste had shown him, the orchard owner said, {nl}'Well, even so, I would be ashamed for not giving you my due, so please just take it.' {nl}After saying this, the orchard owner stuffed his coins into Aiste's bag and left. {nl}By the time Aiste could muster up the energy to call the orchard owner, he was too far away.{nl}{nl}{np}She hesitated for a moment but then set her mind on the beggar. {nl}After a bit of walking, Aiste arrived at where they met. The old beggar spotted her first and hurried over to her. {nl}He showed her the silver coins he was clenching onto and said, 'Look! I found your lost silver.' {nl}Aiste received the beggar's silver and then showed the beggar her bag and said, {nl}'Look, I found your silver coins too.'{nl}{nl}{np}Even though the beggar was exhausted, he cupped his hands to get his coins back. {nl}Seeing this, Aiste was brought to the brink of tears. {nl}She wondered how much begging the beggar had to do to give her her coins back. {nl}With a heavy heart, Aiste gave the old beggar the coins.{np}After that, Aiste also held out her bag and said, {nl}'This is a gift as thanks for looking for my silver. I was given this through Goddess Zemyna's grace.' {nl}Aiste then left before the Old Beggar could figure out how to reply.{nl}{nl}{np}The beggar looked towards Aiste's distant shadow, and opened the present she gave him, {nl}curious to what was inside. Inside, he was surprised to find dozens of silver coins. {nl}Now he understood why Aiste was able to depart much more quickly than she arrived - she had lightened her load by giving him the excess.{np}For a beggar who had been stingy over a single silver coin, the fact Aiste could simply give away several tens of times that amount moved him. {nl}The fact that Aiste, who had went off and solved the mystery of Fedimian, came back and gave him what she really didn't owe, made the beggar thankful.{np}The more he thought, the less the beggar was able to hold back his tears. {nl}As he cried, he noticed something odd - every shining teardrop that touched the ground transformed to silver coins.{np}The beggar could not believe his eyes, but quickly remembered Aiste words about a blessing from the goddess. {nl}After a while, the beggar stopped crying, and went to pick up the coins and put them in the bag Aiste gave him.{np}A few days later, the beggar went to the statue that Aiste prayed to. There, he took out one coin from the bag to keep, and offered the rest to the Goddess Statue. {nl}He then prayed to the goddess whole-heartedly and left. As the money he offered disappeared, the beggar again to shed tears, but that's another story.{np}After a few days, an odd rumor spread across Fedimian. {nl}The rumor claimed that silver no longer disappeared into Fedimian soil. {nl}The rumor did not sit well at first with older, experienced people, but some tested the rumor with a paltry amount of silver, {nl}and it turned out to be true. Everyone agreed that finally, the mysterious phenomenon of Fedimian has come to an end.{np}After some time, word of this occurrence reached the king. Curious as to why this happened, the king ordered an investigation. {nl}The hidden truth was brought to light, and Aiste's story was known.{np}The king praised the people that caused the miracle with their charitable hearts. {nl}Additionally, to honor the grace of the goddess, he decided to spend the national treasury to build a large statue dedicated to her.{np}On the day the statue was finally completed, {nl}something miraculous happened as the King and Aiste went together to make the first offering. {nl}From the circumference of the statue sprouted coins - all the silver coins that had been lost by Fedimians up until that time.{np}After heated debate, the Fedimian people decided to not to hoard their lost silver coins. {nl}Instead, they asked the king to collect all the coins and distribute them among the poor of the Kingdom. {nl}The king readily agreed, and gave the order to record this beautiful event into the history of the Kingdom.{np}Even now, nobody knows when and how the mysterious phenomenon of Fedimian started, {nl}but everybody knows when, how, and who helped unravel the mystery. {nl}It was through the kindness of Aiste and the people who helped her, as well as through the grace of the goddess, that the mystery came to an end.",0.0,0.0,FFFF,2,1.0
690004,Book4,No target is invisible for a trained archer! Readable.,icon_item_collection_04black,,,,,,,,Lydia Schaffen Crossroads,1,"{S35} {nl} Lydia Schaffen Crossroads {/}{np}This is a record to the Royal Family about a story when King Kadumel asked Lydia Schaffen whether she can hit a target behind a boulder or a tree, and how she simply answered the King with the crisp sound of her arrow hitting the target. However, there are some written inconsistencies from the royal record and the folklore. That is, King Kadumel noted at the time, he was not giving Schaffen a test of her abilities with a bow.{np}A more important fact is what sort of target Lydia Schaffen hit. Or to put it more precisely, who she hit, would be of great significance.{nl}Whenever the royal records and the folklore handle this story, they do not reference the time when it arose.{nl}{np}Both versions simply introduce the heroic story by focusing on Lydia Schaffen's great bow skills.{nl}There is a certain reason for this.{nl} The reason is that this story happened in the final days of the Civil War. Differing from the known folklore, Ruklys was not killed by King Kadumel's soldiers in the last layer of the Fortress of the Land. It is said that Ruklys had a particular reason for not letting any outsiders into the heart of his fort.{nl}{np}Rather than dying, Ruklys escaped moments before his fort was overrun, and King Kadumel ordered his soldiers to go pursue him.{nl} After the pursuit, Ruklys found himself cornered at the edge of a cliff.{np}There was a large enough rock on the cliff for Ruklys to put his back against while facing the cliff and keeping the King's soldiers at the opposite face of the rock.{nl} Ruklys leaned his back on the rock so the King's archer who tracked him could not attack.{nl} If it were a different location they could have gone to the left and right to surround and rain arrows, but the cliff, alongside the battle formation, was not a place for such attacks.{nl}{np}Having no archers who could shoot across the air beyond the cliff, King Kadumel unquestionably drove his soldiers towards the edge of the cliff.{nl}{np}However Ruklys and his remaining men repelled the King's soldiers, showing their inhuman ability to persist day and night. This even caused the King's peasant soldiers to begin to waver.{nl} Furthermore, Ruklys' heroic struggle made such an impression to some of Kadumel's men and officers, that some started questioning Kadumel's command.{nl} Already unpopular among people under his rule, King Kadumel could not continue pushing his men to their death, he also could not wait until Ruklys died of hunger or fatigue.{nl}{np}And through this situation, King Kadumel asked a clever question to Lydia Schaffen.{nl}  Of course, Lydia did not take King Kadumel's provocation as a chance to show her skills and fire a meek high angle shot to kill Ruklys. There were other reasons that were overlapping here.{np}But considering these reasons, in any case, such as having her master's wishes, or the thought that she ended someone's life through her own hands, we as the current generation can only guess how hurt and conflicted were Lydia Schaffen's emotions. Henceforth, people became knowledgeable of the time when Lydia Schaffen easily pierced a target behind a boulder from the crossroads, however, Lydia would bear an immeasurable complex emotion about the crossroads from that day forward.",0.0,0.0,FFFF,2,1.0
690005,Book5,Advice on the use of tools given by Lydia Schaffen to her apprentices. Readable.,icon_item_collection_01red,,,,,,,,Lydia Schaffen's Notch,1,"{s35}{nl}Lydia Schaffen's Notch{/}{np}This story is said to have taken place one day at the Astral Tower.{nl}A dispute among the disciples of Lydia Schaffen broke out.{nl}Several disciples gathered after the training and in the process such a dialog is said to have come up: 'No matter how good your bow is, if your skills are lacking, you can't bring out its full potential. Therefore, what is important in the end is your own skill.'{nl}Such was a claim of a certain disciple, which started the dispute.{nl}{np}'You are forgetting the basics of archery. What is an archer? It is someone who uses a tool called a bow, right?{nl}Do you think an archer existing without a bow is possible? {nl}Even if one gets famous for their skill with sword and spear, can one still call themselves an archer? In the end, archery is the concept of depending on tools, isn't it?'{nl}{np}The disciple who had a different view argued back:{nl}'You said tools are important, let's talk about that.{nl}What is a bow? There are various weapons for an archer. Just like there are weapons that don't need much skill to handle, like a crossbow, there are also weapons, effectiveness of which varies a lot based on a user's skill, like the ones of the Wugushi.{nl}The Wind Arrow of the Wugushi is hard to master, it's a difficult weapon to wield for someone without experience, no matter how good the materials of one's bow are.{nl}{np}However, calling a catapult or a crossbow a weapon anyone can handle is not correct.{nl}You claim archery exists solely because there are tools, this is wrong.{np}This is the same as saying that since people will die if they don't eat, their lives are less important than food and depend on it.{nl}Are you claiming that since you eat to be able to live on, you are living to eat?'{nl}Upon that, another disciple shared his viewpoint:{nl}'You are arguing about the path of the Archer, but you are only concentrating on one aspect.{nl}What you fail to address is that no matter how famous an Archer one is, no matter how eagle-eyed one is, what they are using to their advantage is the wind. {nl}{np}The arrow could not be shot if it wasn't for the wind and air that carries it to the mark, how could any sharpshooter exist, or rather, how much would an archer be able to do in that case? In the end, what is necessary for an archer is to sense the wind flow and to be able to act on it.'{nl}{np}From then on, the disciples argued to no end, claims became more diverse and interesting, theories fired back and forth.{nl}Finally, they started wondering about what their master, Lydia Schaffen, would think of this.{nl}After having told her about the discussion they've had so far, they waited for her reply.{nl}{np}When the disciples came to Lydia Schaffen, she is said to have been eating chestnuts using an arrowhead, dangerously perched on the railing of the Astral Tower.{nl}{np}Lydia Schaffen continued eating while listening to the disciples, keeping her position on the railing. After they finished, she kept quiet for a while, but before long she fiddled with her fingers through the pile of shells of chestnuts she had eaten and picked out something, reportedly saying this: {nl}'What is this?'{nl}The disciple with the sharp eyes answered before anyone could.{nl}'It's the inner skin of a chestnut.'{nl}{np}It was very obvious that it was indeed the inner skin of a chestnut, so the others nodded in agreement and waited for their master's next words. {nl}And so Lydia Schaffen continued. {nl}'No. This is the notch of my arrow.'{nl}{np}Having said so, she pinched the inner skin of a chestnut between her fingers, took her bow that was lying beside her as always and fired into the sky using the inner skin as a notch. {nl}It is said that Lydia Schaffen has settled the dispute of the disciples that way, jumped from the railing she was sitting on and left, leaving the disciples bewildered.{nl}",0.0,0.0,FFFF,2,1.0
690006,Book6,The challenges faced by Lydia Schaffen and her solutions. Readable.,icon_item_collection_02green,,,,,,,,Lydia Schaffen and Rumpelstiltskin ,1,"{s35}Lydia Schaffen and Rumpelstiltskin {/} {np}This is a story about Lydia Schaffen that has been handed down throughout the Kingdom. {nl}Furthermore, while there are places that Lydia Schaffen has never been to according to historical records, there are stories about what happened when she visited their village.{nl}These stories contain absurd things such as dragons appearing, a strange demon which is different from the demon we know laying a wager with Lydia Schaffen.{nl}{np}In spite of that, the villagers from the region believe the story beyond doubt, and they embrace the pride that this story about Lydia Schaffen brings, having originated from their hometown.{nl}{np}Compared to Ruklys, who likely died early on during the Civil War, or Flurry, who rarely left the tower she built, Lydia Schaffen definitely went on a greater number of adventures around the world, making her the most suitable as the protagonist of a story.{nl}This is one of those stories.{nl}{np}It is not known how true the story really is. Perhaps it was just as absurd in the past as it would definitely be absurd in the present. Still, the fact that it is still told today means the story agrees with the nature of Lydia Schaffen.{np}One day Lydia Schaffen left a certain village alone and walked around at night.{nl} Lydia Schaffen saw a traveler sitting wearily at the roadside on a woodland road. {nl} Out of curiosity, she decided to approach him.{nl} 'Why are you sitting here in the forest in the middle of the night?'{nl}The traveler was hesitant to answer at first, but after being asked multiple times he finally opened his mouth. {nl}The reason was apparently this: {nl}{np}The traveler had met a demon named Rumpelstiltskin when passing through the forest several days ago. {nl}Then he was lured into playing a game with the demon. {nl}{np}The reward for winning the game was significant, but the game with the demon was not easy. In the end, the traveler lost to Rumpelstiltskin. {nl}The traveler kept sighing as he waited for Rumpelstiltskin to come back. {nl} After hearing the traveler's story, Lydia Schaffen decided to confront the demon. She promised to the traveler that she'll help him with all her might. Some time passed, and Rumpelstiltskin appeared.{np}Lydia offered Rumpelstiltskin to let the traveler go and play a game with her in exchange. {nl}For better or for worse, Rumpelstiltskin was well aware of Lydia Schaffen's reputation, and the fact that she requested a game with him excited him into accepting her request. {nl}{np}In the past, Rumpelstiltskin was quite famous for challenging his opponents to use their best skill and then defeating them. {nl} But, he changed the rules of his game a bit every time. {nl} Lydia Schaffen asked: 'I understand that you want to challenge my archery skill, so what are we going to do?'{nl}{np}'Of course, a game to see who is better with a bow would not be that interesting. Therefore, let's play a game where you fire an arrow at a target, and then I will try to catch and ride the arrow before it reaches the target,' said Rumpelstiltskin. {nl}Lydia replied, questioning the proposal: 'Ride an arrow?'{nl}'That is correct,' averred Rumpelstiltskin.{nl}{np}Upon answering, Rumpelstiltskin started to shrink his body.{nl} Once he had reduced himself to the size of a child's fist, Rumpelstiltskin spoke: 'Well, this size will allow me to ride your arrow, right?'{nl}Lydia Schaffen thought for a bit,{nl}'There is a problem with that, though. If you touch the arrow and cause it to fall to the ground without it ever hitting the target, then wouldn't that still be a loss for me regardless of whether you rode the arrow or not?'{nl}Rumpelstiltskin answered her with these words.{nl}{np}'Then how about this. I win if I can ride your arrow until it reaches the target.'{nl} 'And if your arrow falls to the ground,' he continued, 'then we both lose.'{nl}Rumpelstiltskin added, 'The game shall have three rounds, best two out of three.'{nl}{np}After Rumpelstiltskin's seemingly honest answer, Lydia Schaffen replied, 'Alright, one more thing: I'm going to shoot at any target, in any direction. I'll tell you what the target is each round. This way, you won't be able to get used to it for rounds two and three. Are you okay with this?{nl}'Alright, let's do that,' agreed Rumpelstiltskin. {nl}After also agreeing upon terms of defeat, the game between two people, err, one person and one demon began.{nl}{np}Lydia Schaffen weighed her arrow, then called out the first target:{nl}'The tallest brown tree over there!'{nl}With those words, she released the arrow and it sliced through the air at a frightful speed{nl}{np}Rumpelstiltskin moved nimbly to chase the flying arrow, and after he got on, the arrow impaled the tree. As the arrow continued to oscillate, he danced to the rhythm of the oscillation and sang an unknown tune.{nl}Lydia Schaffen again gauged her arrows, then she called:{nl}'All of the cones on that pine tree on my front-left side!'{nl}Upon calling the target, Lydia Schaffen unleashed her godlike archery skills. {np}Her arrows poured faster than heavy rain during a hot summer day, as if hundreds, or even thousands of arrows were fired at the same time in the same direction. {nl}{np}Rumpelstiltskin couldn't take it as calmly this round. Faster than the human eye could distinguish, Rumpelstiltskin landed on each arrow one by one and transferred to another as the barrage cut through the air. In the end, he was able to get onto the last arrow before it reached the last pine cone.{nl}Rumpelstiltskin spoke to Lydia Schaffen while trying to catch his breath.{nl}{np}'So there, I managed to sit on every single arrow before the last arrow reached the target. I win.'{nl} Lydia Schaffen replied,{nl}' Certainly, I can't deny the fact you sat on every arrow before the last one reached its target.'{nl}{np}Rumpelstiltskin gave a wicked grin after hearing Lydia Schaffen's words and said,{nl}'Meaning, I won this game. Now, as for the penalty we agreed on...'{nl}Before Rumpelstiltskin could finish, Lydia Schaffen shook her head and spoke,{nl}'Don't tell me that because you won two rounds, you won't play the final round? It's not acceptable, we clearly promised to play three rounds anyway, didn't we?'{nl}{np}'The game doesn't end before the third round, so I think it's pointless to talk about penalties before the game has actually ended...'{nl}{np}Recognizing that he has already won two rounds and had no reason to refuse a third, as well as the fact the game was certainly not over yet, Rumpelstiltskin had no choice but to abide by Lydia Schaffen's words.{nl}And so the final round began, Lydia Schaffen gauged her last arrow, and called out as she pulled the bowstring back:{nl}'My target is... the moon in the sky!'{nl}Rumpelstiltskin side-saddled the arrow as soon as it left the bowstring, and not before long, he realized what he heard.{np}And, as he rode the arrow towards the moon, Rumpelstiltskin also realized the fact that the game couldn't end until he reached it.{nl}As time passed, the power of the arrow subsided and it began falling towards the ground. However, after a time the arrow that Rumpelstiltskin rode on stopped still, floating in the sky.{nl}{np}Just as Rumpelstiltskin, grinding his teeth, was about to open his mouth, Lydia Schaffen said,{nl}'For the game to end, you need to ride the arrow until it arrives at its target. The game cannot end before then. If you manage to touched the moon and come back, then I will definitely accept the penalty.'{nl}Having said so, Lydia Schaffen began walking away as Rumpelstiltskin watched, grinding his teeth once again, unable to change the course of the game.{np}According to the anecdote, Rumpelstiltskin has not reached the moon yet, and is still flying there using the magic in his body. {nl}One can only guess if he will manage to return before his demonic life span ends.{np}Nevertheless, as we know, Lydia Schaffen has passed away long ago. So while the demon did not lose the game, he has lost his chance to win the game forever. {nl}Still, the one matter left that we, as the current generation, are curious about is what the agreed penalty between Lydia Schaffen and Rumpelstiltskin was. {nl}Of course, we could ask a particular person, err, demon, that may or may not still be alive. However, as we do not know when he will return, it will be hard to settle this lingering matter for quite some time.{nl}",0.0,0.0,FFFF,2,1.0
