$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644001,card_Gaigalas,[Card Equip Effect] Add. Earth Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,027_boss_gaigalas,,,,,41220,"[{""Chance"": 10.0, ""Monster"": 58183, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,1,0,Gaigalas Card,500,205,4,201,0.0,0.0,TTTT,4,5,1.0
644002,card_GazingGolem,[Card Equip Effect] [{img star_mark 20 20}]% chance of using Pain Barrier upon being hit (Duration: 15 seconds),icon_item_card_util,108_boss_gazinggolem,,,,,47322,,,,0,4,Gazing Golem Card,500,324,2,4860,0.0,0.0,TTTT,4,5,1.0
644003,card_Gorgon,[Card Equip Effect] Strike Defense +[{img star_mark 20 20}*10],icon_item_card_def,064_boss_gorgon,,,,,800042,"[{""Chance"": 10.0, ""Monster"": 57131, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Gorgon Card,500,190,4,1360,0.0,0.0,TTTT,4,1,1.0
644004,card_Golem,[Card Equip Effect] Physical Defense +[{img star_mark 20 20}]% for 10 seconds when using any type of HP potion,icon_item_card_def,003_boss_golem,,,,,450221,,,,1,4,Golem Card,500,215,2,6192,0.0,0.0,TTTT,4,1,1.0
644005,card_Grinender,[Card Equip Effect] Increases damage against Flying-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,056_boss_grinender,,,,,41374,,,,2,4,Grinender Card,500,305,1,214,0.0,0.0,TTTT,4,0,1.0
644006,card_Glass_mole,[Card Equip Effect] Physical Damage +[{img star_mark 20 20}]% for 6 seconds after using any type of SP potion,icon_item_card_atk,012_boss_glass_mole,,,,,41367,,,,4,0,Glass Mole Card,500,192,4,860,0.0,0.0,TTTT,4,0,1.0
644007,card_ginklas,[Card Equip Effect] Increases damage against Plate-wearing enemies by [{img star_mark 20 20}/2]%,icon_item_card_atk,091_boss_ginklas,[642013],,,,41208,,[18018],,2,4,Ginklas Card,500,320,2,1053,0.0,0.0,TTTT,4,0,1.0
644008,card_NetherBovine,[Card Equip Effect] STR +[{img star_mark 20 20}],icon_item_card_stat,026_boss_netherbovine,,,,,800001,"[{""Chance"": 10.0, ""Monster"": 47362, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Netherbovine Card,500,195,4,966,0.0,0.0,TTTT,4,4,1.0
644009,card_necrovanter,[Card Equip Effect] Add. Dark Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,044_boss_necrovanter,[642011],"[642907, 642919, 642941]",,,800002,"[{""Chance"": 10.0, ""Monster"": 57132, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Necroventer Card,500,416,1,144,0.0,0.0,TTTT,4,5,1.0
644010,card_deadbone,[Card Equip Effect] Physical Critical Attack +[{img star_mark 20 20}*20],icon_item_card_atk,014_boss_deadbone,,,,,41203,,,,0,4,Deadborn Card,500,333,2,207,0.0,0.0,TTTT,4,0,1.0
644011,card_Devilglove,[Card Equip Effect] Increases damage against Mutant-type property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,072_boss_devilglove,,,,,41385,"[{""Chance"": 10.0, ""Monster"": 57133, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,4,Cursed Devilglove Card,500,127,5,98,0.0,0.0,TTTT,4,0,1.0
644012,card_Denoptic,[Card Equip Effect] Magic Defense +[{img star_mark 20 20}*10],icon_item_card_def,024_boss_denoptic,,,,,41368,,,,7,4,Denoptic Card,500,388,6,205,0.0,0.0,TTTT,4,1,1.0
644014,card_Ravinepede,[Card Equip Effect] Stamina Potion Effects +[{img star_mark 20 20}]%,icon_item_card_util,025_boss_ravinepede,,,,,41236,,,,7,5,Ravinepede Card,500,210,1,164,0.0,0.0,TTTT,4,5,1.0
644015,card_Rajatoad,[Card Equip Effect] Physical Attack +[{img star_mark 20 20}*7] when equipping Pierce weapons,icon_item_card_atk,097_boss_rajatoad,[642013],,,,41226,,,,4,0,Rajatoad Card,500,151,4,275,0.0,0.0,TTTT,4,0,1.0
644016,card_Rocktortuga,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Earth property monsters,icon_item_card_util,046_boss_rocktortuga,,,,,41233,,,,1,4,Rocktortuga Card,500,400,2,2472,0.0,0.0,TTTT,4,5,1.0
644017,card_lecifer,[Card Equip Effect] Magic Critical Attack +[{img star_mark 20 20}*10],icon_item_card_atk,030_boss_lecifer,,,,,800043,,,,0,1,Rexipher Card,500,213,2,123,0.0,0.0,TTTT,4,0,1.0
644018,card_Reaverpede,[Card Equip Effect] Increases damage against Medium-sized by [{img star_mark 20 20}/2]%,icon_item_card_atk,051_boss_reaverpede,,,,,800044,,,,7,2,Reaverpede Card,500,276,6,1200,0.0,0.0,TTTT,4,0,1.0
644019,card_spector_gh,[Card Equip Effect] SP Potion Effects +[{img star_mark 20 20}]%,icon_item_card_util,010_boss_spector_gh,,,,,800045,"[{""Chance"": 0.13, ""Monster"": 47356, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,0,1,Rikaus Card,500,230,2,76,0.0,0.0,TTTT,4,5,1.0
644022,card_mineloader,[Card Equip Effect] [{img star_mark 20 20}/3]% chance per attack dealt of shocking an enemy for 3 sec,icon_item_card_util,092_boss_mineloader,[642014],"[642904, 642921]",,,800024,,,,5,4,Mineloader Card,500,345,4,863,0.0,0.0,TTTT,4,5,1.0
644023,card_Malletwyvern,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 3% SP when attacked by large-sized targets{nl}Cooldown 5 sec,icon_item_card_util,106_malletwyvern,,,,,47502,,,,4,0,Mallet Wyvern Card,500,222,4,1605,0.0,0.0,TTTT,4,5,1.0
644024,card_MagBurk,[Card Equip Effect] [{img star_mark 20 20}]% chance of recovering 5% SP after defeating Mutant-type monsters,icon_item_card_util,049_boss_magburk,[642014],,,,41350,,,,2,4,Magburk Card,500,197,4,409,0.0,0.0,TTTT,4,5,1.0
644025,card_Manticen,[Card Equip Effect] Movement Speed +[{img star_mark 20 20}/5] for 10 seconds after using Stamina potions,icon_item_card_util,114_boss_manticen,,"[642906, 642922]",,,800030,,,,7,2,Manticen Card,500,255,4,214,0.0,0.0,TTTT,4,5,1.0
644026,card_Mummyghast,"[Card Equip Effect] STR +[{img star_mark 20 20}/2], DEX +[{img star_mark 20 20}/2] ",icon_item_card_stat,042_boss_mummyghast,,,,,800003,,,,0,1,Mummyghast Card,500,420,2,312,0.0,0.0,TTTT,4,4,1.0
644027,card_mushcaria,[Card Equip Effect] SP Recovery +[{img star_mark 20 20}*6],icon_item_card_util,059_boss_mushcaria,,,,,41217,,,,7,5,Mushcaria Card,500,263,2,272,0.0,0.0,TTTT,4,5,1.0
644028,card_Merge,[Card Equip Effect] Increases damage against Ice property monsters by [{img star_mark 20 20}]%,icon_item_card_atk,119_merge,,,,,800046,,,,4,2,Merge Card,500,321,1,320,0.0,0.0,TTTT,4,0,1.0
644029,card_Mothstem,[Card Equip Effect] Magic Attack +[{img star_mark 20 20}*7] when equipping Strike weapons,icon_item_card_atk,103_boss_mothstem,[642012],,,,800047,,,,5,2,Mothstem Card,500,188,1,136,0.0,0.0,TTTT,4,0,1.0
644030,card_moa,[Card Equip Effect] Increases damage against Demon-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,083_boss_moa,,,,,41378,,,,0,0,Moa Card,500,340,2,1120,0.0,0.0,TTTT,4,0,1.0
