$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,Right-click to use and obtain of the following random items.{nl}- EXP Tome x1{nl} - Multiply Token x2{nl} - Megaphone x1{nl} - Enchant Scroll (untradable) x1{nl} - Warp Scroll x8{nl} - Soul Crystal x4{nl} - Emergency Repair Kit x3,icon_item_random_cashbox,,,,,,,,,[PP] TP Item Random Box,0,0.0,0.0,FFFT,6,5.0
640404,Ghaca_PC_Misc,Right-click to use and obtain a random item.,icon_item_pc_miscbox,,,,,,,,,[PP] Ore Box,0,0.0,0.0,FFFT,6,5.0
640407,Ghaca_PC_Discount_Ticket,Right-click to use and obtain of the following random items.{nl} - [PP] Hair Dye 50% OFF Coupon{nl} - [PP] FREE Hair Dye Coupon{nl} - [PP] Hair 50% OFF Coupon{nl} - [PP] FREE Hair Coupon,icon_item_random_cashbox,,,,,,,,,[PP] Beauty Shop Coupon Box,0,0.0,0.0,FFFT,6,5.0
640408,Ghaca_PC_Event_Csoume01,Right-click to use and select of the following items: Black Maid Costume (Female) or Black Butler Costume (Male),icon_item_box_pc_basic_pp,,,,,,,,,[PP] Butler & Maid Costume Box,0,0.0,0.0,FFFF,6,5.0
640409,Box_PC_Month,Right-click to use and obtain of the following items.{nl} - X8 EXP Tome (14 Days) x1{nl} - Instanced Dungeon Multiply Token x10{nl} - Goddess Statue (14 Days) x10{nl} - Miracle Seeds (14 Days) x10,icon_item_box_pc_month,,,,,,,,,[PP] Boost Pack,0,0.0,0.0,FFFT,6,5.0
640414,Gm_Ty_Box,Right-click to use and receive the following items and buffs.{nl}Rewards:{nl} - [Event] 10 TP x1{nl}Buff: {nl} - Red Ox (30 Min) {nl} - Movement speed increase - Event (30 Min) {nl} - Nearby HP restored - Event (30 Min) {nl} - Nearby HP restored - Event (30 Min),icon_item_giftbox_4,,,,,,,,,GM's Thank You Box,0,0.0,0.0,FFFT,6,0.0
640415,Gm_Sy_Box,Right-click to use and receive the following items and buffs.{nl}Rewards:{nl} - [Event] 10 TP x1{nl}Buff: {nl} - Red Ox (30 Min) {nl} - Movement speed increase - Event (30 Min) {nl} - Nearby HP restored - Event (30 Min) {nl} - Nearby HP restored - Event (30 Min),icon_item_giftbox_4,,,,,,,,,GM's Apology Box,0,0.0,0.0,FFFT,6,0.0
640416,Ghaca_PC_Event_Csoume02,Right-click to use. You can select one item from the following.{nl}-Red Vampire Costume (Male) / Red Vampire Costume (Female).{nl}Can be used only during the event period.,icon_item_box_pc_basic,,,,,,,,,[PP] Red Vampire Costume Selection Box,0,0.0,0.0,FFFF,6,5.0
640442,Ghaca_PC_Event_Csoume03,Right-click to use and select one of the following: Winter Night Red Costume (F) / Winter Night Red Costume (M),icon_item_box_pc_basic_pp,,,,,,,,,[PP] Winter Night Red Costume Selection Box,0,0.0,0.0,FFFF,6,5.0
640443,Attendance_Sausis_SelectBox,Use to obtain one of the following accessories.{nl} {nl}- Nepagristas Necklace{nl}- Nematomas Necklace{nl}- Rangovas Necklace{nl}- Nepagristas Bracelet{nl}- Nematomas Bracelet{nl}- Rangovas Bracelet,icon_item_giftbox_4,,,,,,,,,Fantasy Library: Sausis Room 9 Accessory Selection Box,0,0.0,0.0,FFFF,6,5.0
