$ID,$ID_NAME,AnvilATK,AnvilDEF,AnvilPrice,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Set,Material,Name,Potential,Price,RequiredClass,RequiredLevel,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,TranscendPrice,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Outer,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,11,False,False,1.0
5,NoPants,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Pants,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,0,False,False,1.0
6,NoGloves,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Gloves,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,16,False,False,1.0
7,NoBoots,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Boots,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,27,False,False,1.0
8,NoShirt,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,NA_Shirt,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,28,False,False,1.0
10000,NoHelmet,,,,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,,4,Empty_helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,,12,11,,False,False,0.0
10001,murmillo_helmet,,,,,"A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.",-1,2,icon_item_sword_26,0,,,,,,,4,Murmillo Helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10002,helmet_plaguedoctor,,,,,"Many believe that Plague Doctors keep their drugs packed inside their equipment. While they wouldn't be wrong, their drugs are in fact compacted under the authority of priests. That is an important difference between competent healers and Plague Doctors.",-1,2,icon_item_sword_26,0,,,,,,,4,Plague Doctor Helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10005,helmet_weddingvail01,,,,,Worn by the beautiful bride on her wedding day.,-1,2,helmet_weddingvail,0,,,,,,,4,Heart-Throb Wedding Veil Costume,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10006,helmet_fishbowl,,,,,With this helmet you can look at fish from up close!,-1,2,icon_item_helmet_fishbowl,0,,,,,,,4,Fish Tank Helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
