$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
-1,Moneybag1,,icon_item_silver,,,"{""Chance"": 80.0, ""Map"": 1995, ""Quantity_MAX"": 783, ""Quantity_MIN"": 652}",,"{""Chance"": 80.0, ""Monster"": 57341, ""Quantity_MAX"": 115, ""Quantity_MIN"": 109}",,,Silver,,,,FFFF,28,
201001,ColorSpray_1,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - Black,11,1.0,0.0,TTTT,7,1.0
201002,ColorSpray_2,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - Red,11,1.0,0.0,TTTT,7,1.0
201003,ColorSpray_3,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - White,11,1.0,0.0,TTTT,7,1.0
201004,ColorSpray_4,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - Orange,11,1.0,0.0,TTTT,7,1.0
201005,ColorSpray_5,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - Yellow,11,1.0,0.0,TTTT,7,1.0
201006,ColorSpray_6,Combine items into different ones,icon_item_small_bag,,,,,,,,Spray - Green,11,1.0,0.0,TTTT,7,1.0
300000,misc_collect_gimk_001,A red bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_007,[642213],,,,,,,Sage Master's Red Bookmark,1,0.0,0.0,FFFT,18,1.0
300001,misc_collect_gimk_002,An orange bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_006,[642213],,,,,,,Sage Master's Orange Bookmark,1,0.0,0.0,FFFT,18,1.0
300002,misc_collect_gimk_003,A yellow bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_001,[642213],,,,,,,Sage Master's Yellow Bookmark,1,0.0,0.0,FFFT,18,1.0
300003,misc_collect_gimk_004,A green bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_002,[642213],,,,,,,Sage Master's Green Bookmark,1,0.0,0.0,FFFT,18,1.0
300004,misc_collect_gimk_005,A blue bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_003,[642213],,,,,,,Sage Master's Blue Bookmark,1,0.0,0.0,FFFT,18,1.0
300005,misc_collect_gimk_006,An indigo bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_004,[642213],,,,,,,Sage Master's Indigo Bookmark,1,0.0,0.0,FFFT,18,1.0
300006,misc_collect_gimk_007,A violet bookmark given by the Sage Master. It emits a faint but interesting energy. Collection item.,icon_item_misc_collect_gimk_005,[642213],,,,,,,Sage Master's Violet Bookmark,1,0.0,0.0,FFFT,18,1.0
300007,misc_collect_gimk_008,"A piece of shiny silver-like mineral. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",13_item_mythril,[642214],,,,,,,Small Mithril Ore Fragment,1,0.0,0.0,FFFT,18,1.0
300008,misc_collect_gimk_009,"In the early days of the Kingdom, this precious ore could not be mined without the blessing of a goddess. Nowadays, it's not that difficult. This piece is small enough to fit in a box. Collection item.",9_item_ore_orichalcon,[642214],,,,,,,Small Ithildin Ore Fragment,1,0.0,0.0,FFFT,18,1.0
300009,misc_collect_gimk_010,"Fragment of a green stone. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",5_item_ore_fluorite,[642214],,,,,,,Small Phydecium Fragment,1,0.0,0.0,FFFT,18,1.0
300010,misc_collect_gimk_011,"This stone is a mix of many colors. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",25_item_ore_opal,[642214],,,,,,,Small Opal Fragment,1,0.0,0.0,FFFT,18,1.0
300011,misc_collect_gimk_012,"Though red like a ruby stone, this mineral isn't as scarce. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",26_item_ore_garnet,[642214],,,,,,,Small Garnet Fragment,1,0.0,0.0,FFFT,18,1.0
300012,misc_collect_gimk_013,"Fragment of a black translucent stone. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",27_item_ore_obsidian,[642214],,,,,,,Small Obsidian Fragment,1,0.0,0.0,FFFT,18,1.0
300013,misc_collect_gimk_014,"A green precious stone, known in legends to protect humans from evil spirits. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",28_item_ore_peridot,[642214],,,,,,,Small Peridot Fragment,1,0.0,0.0,FFFT,18,1.0
300014,misc_collect_gimk_015,"Fragment of a brown precious stone. It's too small to be used in crafting, but it fits just right in a modest treasure box. Collection item.",29_item_ore_zircon,[642214],,,,,,,Small Zircon Fragment,1,0.0,0.0,FFFT,18,1.0
