$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,IsStarter,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,StatBase_CON,StatBase_DEX,StatBase_INT,StatBase_SPR,StatBase_STR,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1001,Char1_1,1,"For over thousands of years, the swordsmen were the Kingdom's basic footsoldiers and the career of choice for budding adventurers. Many heroes that have risen to great heights started off as swordsmen. Despite the myriad of advancements in the tools and tactics utilized in warfare, swordsmen have always been an irreplaceable asset in battle.{nl}Classes in the Swordsman tree have the highest HP and DEF of all the class trees and can handle themselves adeptly in the heart of the battle.",c_warrior_swordsman,False,False,True,0,3,[0],"[101020, 10028]","[10001, 10002, 10003, 10009, 10005]",Swordsman,1,7,6,2,3,7,75,50,0,0,75
1002,Char1_2,1,"Since their part in King Zachariel's war, Highlanders have been acting as Royal Guards for the aristocrats, protecting the palace and major cities of the Kingdom. To this day they act as the Special Forces of the Royal Military and have suffered a huge loss in the Fallen City during Medzio Diena.{nl}Highlanders are fearsome warriors famous for their expertise with two-handed swords that push enemies into each other and other objects on the field of battle.",c_warrior_highlander,False,False,False,0,3,[0],[103017],"[10201, 10202, 10203, 10208, 10204, 10207, 10205]",Highlander,2,7,6,2,3,7,25,80,0,0,95
1003,Char1_3,1,"Throughout the history of the Kingdom, the Peltasta has acted as the King's personal soldiers. To this day, they answer first and foremost to the King's orders while working as mercenaries who follow a special set of rules that are different from others.{nl}The Peltasta are defensive warriors that specialize in shields to block the enemy's attack or taunt the enemy to lure them to their certain doom.",c_warrior_peltasta,False,False,False,2,3,[5],"[102014, 102016, 102028]","[10102, 10103, 10105, 10106, 10101, 10110, 10104]",Peltasta,2,7,6,2,3,7,150,20,0,0,30
1004,Char1_4,1,"Hoplites were formed when the Kingdom began to invite outside specialists into their army. Hoplites must first provide service in the Royal Army before leading lives as free citizens of the Kingdom. Hoplites have varying ranks in the military, ranging from a general foot soldier to a general. Hoplite Masters are elected from retired Hoplites.{nl}Hoplites are expert spearsmen with extended range and receive bonus damage when standing off against larger enemies.",c_warrior_hoplite,False,False,False,0,3,[0],,"[10302, 10304, 10308, 10306, 10307, 10303, 10301]",Hoplite,2,7,6,2,3,7,70,50,0,0,80
1005,Char1_5,1,Centurions command the battle with formations. They control their allies and use different formations depending on the situation.,c_warrior_centurion,False,False,False,1,3,[9],,"[10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10910]",Centurion,200,7,6,2,3,7,1,1,1,1,1
1006,Char1_6,1,"Barbarians were once warriors hailing from a far away continent, but they have now been fully assimilated into the Kingdom. They have unique sword techniques that they freely make available for the natives of the Kingdom to learn. Barbarian legends claim that they were the original natives of the Kingdom before they migrated.{nl}Barbarians are aggressive warriors who will do anything for victory. ",c_warrior_barbarian,False,False,False,0,3,[0],,"[10401, 10404, 10411, 10405, 10410, 10406, 10408]",Barbarian,2,7,6,2,3,7,40,80,0,0,80
1007,Char1_7,1,"Mounted troops are difficult to train and, because of this reason, they receive special treatment from the Kingdom. Masters that serve actively as soldiers are such a case. Mounted troops usually consist of nobilities and aristocrats. Even if they are not an official part of the Royal Army, they are given the same treatment.{nl}Cataphracts are mounted warriors that bravely charge into enemy lines. ",c_warrior_cataphract,False,False,False,2,3,[0],[107019],"[10601, 10602, 10604, 10608, 10605, 10603, 10606]",Cataphract,2,7,6,2,3,7,50,40,0,0,110
1009,Char1_9,1,The Doppelsoeldner are relatively new. Most Doppelsoeldner have either integrated the Pledge of the Blade or work actively as mercenaries.{nl}The Doppelsoeldner are mercenaries that will willingly risk their own lives for financial gain. They leave themselves open to enemy attacks in order to strike back harder or gain extra benefits.,c_warrior_doppelsoeldner,False,False,False,0,3,[0],[111018],"[11004, 11001, 11010, 11006, 11008, 11007, 11009, 11003, 11005]",Doppelsoeldner,2,7,6,2,3,7,40,70,0,0,90
1010,Char1_10,1,The shield and the sword have been a standard part of military training for many years. Soldiers equipped with a sword and shield are difficult to take down but once their formation is broken a big loss is suffered. The Rodeleros are special forces of the Royal Military formed in order to keep soldiers' formations in line.{nl}The Rodelero specializes in ambushing and nullifying the enemy forces through ambushes. Their use of the shield makes them effective units against ranged attacks.,c_warrior_rodelero,False,False,False,2,3,[0],,"[10501, 10502, 10503, 10504, 10507, 10505, 10508, 10506]",Rodelero,2,7,6,2,3,7,90,40,0,0,70
1012,Char1_12,1,"As gladiators, the Murmillo are not a formal military occupation but nor are they looked down upon by those in the regular forces.  The Murmillo have been taking part in gladiatorial battles for 900 years since the days of King Melkhiel.{nl}The Murmillo are gladiators that have balanced offense and defense. They offer sturdy ranged defense with Cassis Crista or reinforced shield-based skills.",c_warrior_murmillo,False,False,False,1,3,"[0, 5]",,"[11301, 11302, 11303, 11304, 11309, 11307, 11308, 11310]",Murmillo,2,7,6,2,3,7,80,40,0,0,80
1014,Char1_14,1,The weapons that the nobility could carry with them within the Royal Palaces had been heavily restricted during the War of the 3rd Succession. Fencers developed their arts especially during this era and it was the Hutton family that came into prominence with their proficiency in fencing.{nl}A Fencer is a class characterized by their fast consecutive lunges with the rapier.,c_warrior_fencer,False,False,False,0,3,[0],[112011],"[11103, 11105, 11107, 11101, 11106, 11108, 11110, 11111]",Fencer,2,7,6,2,3,7,30,110,0,0,60
1015,Char1_15,1,"The Dragoons were first formed when the Himil family left the Schaffenstar. All Dragoons, whether or not they bear the Himil family name, have either directly or indirectly learned the skills passed down from the Himil family.{nl}The Dragoons are elite soldiers that specialize in spears. They are the most effective when using two-handed spears.",c_warrior_dragoon,False,False,False,2,3,[0],,"[11401, 11402, 11403, 11404, 11405, 11408, 11409, 11407]",Dragoon,2,7,6,2,3,7,60,40,0,0,100
1016,Char1_16,1,"Templars are former clergymen that have been secularized to answer directly to the King during the reign of King Rael. They became renown for their services during the War of the 2nd Succession where they fought fiercely in support of King Gliehel. Because of this, the Templars are given authority over all other military personnel by law during times of war.",c_warrior_templar,False,False,False,0,3,[7],,"[11506, 11510, 11508, 11509, 11511, 11512, 11505, 11513]",Templar,2,7,6,2,3,7,65,70,0,0,65
1017,Char1_17,1,"Lancers are made up of noblemen and also are the main forces in the Royal Army. They suffered heavy damage during Medzio Diena as they were stationed near the Royal Palace. Because of this, they are currently the rarest of all military units at the moment.{nl}Lancers are mounted units that are highly effective against footmen. They also have the ability to break through enemy structures and magic circles.",c_warrior_lancer,False,False,False,2,3,[2],[116001],"[11601, 11603, 11604, 11605, 11606, 11607, 11608, 11609]",Lancer,2,7,6,2,3,7,55,45,0,0,100
1018,Char1_19,1,"The Matadors started off as entertainers that showcased the art of combat against beasts to the masses. Over 300 years of their history, they have undergone changes. One of the biggest changes was that their style of combat was no longer confined to just facing non-human opponents.{nl}Matadors are experts of the hit-and-run tactic and masters of taunts.",c_warrior_matador,True,False,False,2,3,[6],"[118010, 118011]","[11701, 11702, 11703, 11704, 11705, 11706, 11707]",Matador,2,7,6,2,3,7,60,50,0,0,90
1019,Char1_20,1,{/}{/}{#7AE4FF}{ol}[Available from the 2nd Advancement]{/}{/}{nl}Nak Muay have only recently appeared in the Kingdom. The introduction of these hand-to-hand warriors brought about the success of the gladiatorial arenas before its downfall in Medzio Diena. The Nak Muay have always been and will continue to be the star of the arena.{nl}The Nak Muay are famous for their offense-driven nature and powerful melee strikes that are affected by STR.,c_warrior_nakmuay,True,True,False,0,3,[0],,"[11801, 11802, 11803, 11804, 11805, 11806]",Nak Muay,2,7,6,2,3,7,40,100,0,0,60
1020,Char1_18,1,"Next to the Murmillo, the Retiarii have historically been the gladiators of the Kingdom's arena. They were formed around the 100th year of the gladiatorial matches and have always been a staple figure in these matches since their appearance. The Murmillo and Retiarii have influenced one another over the years of constant battle and it is said that it was the Retiarii that caused the Murmillo to start wearing their symbolic helmet.{nl}The Retiarii use one-handed spears, daggers and nets to capture the enemy and disarm them.",c_warrior_retiarii,True,False,False,0,3,[0],,"[11901, 11902, 11903, 11904, 11905, 11906, 11908]",Retiarius,2,7,6,2,3,7,50,60,0,0,90
1021,Char1_21,1,"Hackapell could not gather in groups of more than 100 by the Kingdom's law. Due to this law, they have always acted as mercenaries in either small groups or as individuals. This is an outdated law that many feel is arbitrary in the current age, but it has still yet to be revised by the Kingdom's lawmakers.{nl}The Hackapell are highly mobile cavalry units that attack their enemies through various chained attacks.",c_archer_hackapell,False,False,False,1,3,[2],[314006],"[12001, 12005, 12004, 12008, 12002, 12006, 12007]",Hackapell,2,7,6,2,3,7,45,80,0,0,75
2001,Char2_1,1,"Wizards are the backbone of all magic users in the Kingdom. Even when Agailla Flurry used to be the master of all magic, she would hire helpers that would assist her in her other duties while she kept working as a Wizard.{nl}Wizard skills cover larger areas and are effective against a larger number of enemies. Wizards can summon monsters to fight for them or assist party members with support spells.",c_wizard_wizard,False,False,True,2,4,[0],[10029],"[20001, 20002, 20004, 20005, 20007]",Wizard,1,3,3,9,8,2,40,0,80,80,0
2002,Char2_2,1,"Despite falling into the magician category, Pyromancers are also considered to be holy magicians in that they have a close relation with Gabija, the Goddess of Fire. Pyromancers are considered to be rather exotic by the Kingdom's standards because of this, despite the fact that divine powers and magic are mixed commonly outside the Kingdom's borders.{nl}Pyromancers are mages that make use of fire spells that suppress groups of enemies.",c_wizard_pyromancer,False,False,False,2,4,[0],[202019],"[20101, 20102, 20103, 20107, 20105, 20106, 20109]",Pyromancer,2,3,3,9,8,2,50,0,90,60,0
