$ID,$ID_NAME,Icon,Name
11,barrack,,Lodge
12,barrack_2,,Pyromancer Room
13,barrack_noble,,Banquet Hall
14,barrack4,,Pub
15,opening_zone_1,,Opening Zone
16,track_underfortress_59_2,,Laima Directing
17,guild_agit_1,,Guild Hangout
18,guild_mission_1,,Guild Mission
19,login,,Login Screen
100,test_zone2,,Test 2
101,test_zone,,Test Zone
102,black_zone,,Black Zone
103,boss_zone,,Boss Zone
104,test_qa,,Test Zone White
105,test_blue,,Test Zone Blue
108,test_material,,Test Zone Material
109,d_velniasprison_trackzone,,For Directing
110,guildhouse,,Guild Hangout
111,mission_test,,Mission_test
112,minigame_zone,,Mini Game Zone
113,onehour_test1,,Mission Test per Hour 1
114,mission_test2,,Mission Test 2
116,mission_flag,,Capture the Flag
501,raid_siauliai1,,Siauliai Raid
502,onehour_cmine1,,Crystal Mine Raid
503,id_catacomb_03,,Catacombs Raid
504,raid_thorn1,,Thorn Forest Raid
505,mission_rokas_01,,Canyon Area Mission
506,mission_zachariel_01,,Royal Mausoleum Mission
507,mission_remains_01,,Collapsed Residential Quarters
508,mission_firetower_01,,Mage Tower Mission
509,mission_chaple_01,,Cathedral Mission
510,mission_huevillage_01,,Seven Valley Mission
511,mission_gele_01,,Gele Plateau Mission
512,mission_godnessdefence,,Protect the Goddess Statue
513,id_catacomb_03_event,,Halloween Event
514,f_gele_kepa_event,,Kepa Army
515,d_prison_62_1_event,,Ashaq Underground Prison
516,f_whitetrees_56_1_event,,Flower Road Mission
517,mission_gele_01_event,,Pledge of the Blade Certificate
520,mission_groundtower_1,,Earth Tower Lolopanther Area
521,mission_groundtower_2,,Earth Tower Solmiki Area
522,E_f_katyn_12_Mission,,Letas Stream Mission
523,c_firemage_event,,Laboratory
524,E_c_fedimian,,Fedimian Under Attack
525,id_catacomb_04_event,,Underground Grave of Ritinis
526,E_f_tableland_11_1,,Vedas Plateau
527,VIVID_c_Klaipe,,Rainbow Klaipeda
528,VIVID_c_orsha,,Rainbow Orsha
529,VIVID_c_fedimian,,Rainbow Fedimian
530,Steam_f_coral_44_1,,[Event] The Cursed Shore
700,f_pilgrimroad_41_1_event,,Treasure Chest Event
701,c_highlander_event,,Highlander Master's Stamp [Event]
702,f_playground,,Royal Soccer Field
703,f_huevillage_58_1_event,,[Event] Veja Ravine
704,f_coral_44_2_event,,[Event] Aitheo Coast
710,c_Klaipe_event_1812,,[Event] Klaipeda
711,c_orsha_event_1901,,[Event] Orsha
981,c_fedimian,,Fedimian
1001,c_Klaipe,,Klaipeda
1002,c_highlander,,Highlander Master's Training Hall
1003,c_voodoo,,Bokor Master's Home
1004,c_firemage,,Pyromancer Master's Lab
1005,c_request_1,,Building Structure
1006,c_orsha,,Orsha
1007,c_nunnery,,Saalus Convent
1008,c_barber_dress,,Beauty Shop
1021,f_siauliai_west,,West Siauliai Woods
1031,f_siauliai_est,,Unused-Siauliai
1032,f_siauliai_2,,East Siauliai Woods
1041,f_siauliai_out,,Miners' Village
1051,d_cmine_01,,Crystal Mine 1F
1061,d_cmine_02,,Crystal Mine 2F
1071,d_cmine_6,,Crystal Mine 3F
1081,f_katyn_7,,Entrance of Kateen Forest
1082,f_katyn_7_2,,Owl Burial Ground
1091,d_cmine_8,,Crystal Mine Lot 2 - 1F
1101,d_cmine_9,,Crystal Mine Lot 2 - 2F
1111,f_katyn_10,,Karolis Springs
1121,f_siauliai_11,,f_siauliai_11
1122,f_siauliai_11_re,,Paupys Crossing
1131,f_katyn_12,,Letas Stream
1141,f_katyn_13,,Poslinkis Forest
1142,f_katyn_13_2,,Secret Room
1143,f_katyn_13_3,,Arrow Path
1151,f_katyn_14,,Saknis Plains
1161,f_siauliai_15,,f_siauliai_15
1162,f_siauliai_15_re,,Woods of the Linked Bridges
1171,f_siauliai_16,,Lemprasa Pond
1172,f_siauliai_46_1,,Spring Light Woods
1173,f_siauliai_46_2,,Uskis Arable Land
1174,f_siauliai_46_3,,Vilna Forest
1175,f_siauliai_46_4,,Dina Bee Farm
1176,f_siauliai_47_4,,Baron Allerno
1180,f_siauliai_50_1,,Gytis Settlement Area
1181,f_katyn_17,,Bladelight Basin
1191,f_katyn_18,,Kule Peak
1201,d_thorn_19,,Gate Route
1211,d_thorn_20,,Sirdgela Forest
1221,d_thorn_21,,Kvailas Forest
1231,d_thorn_22,,Dvasia Peak
1241,d_thorn_23,,Sunset Flag Forest
1251,f_rokas_24,,Gateway of the Great King
1261,f_rokas_25,,Ramstis Ridge
1271,f_rokas_26,,Overlong Bridge Valley
1281,f_rokas_27,,Akmens Ridge
1291,f_rokas_28,,Tiltas Valley
1301,f_rokas_29,,Rukas Plateau
1311,f_rokas_30,,King's Plateau
1321,f_rokas_31,,Zachariel Crossroads
1331,d_zachariel_32,,Royal Mausoleum 1F
1341,d_zachariel_33,,Royal Mausoleum 2F
1351,d_zachariel_34,,Royal Mausoleum 3F
1361,d_zachariel_35,,Royal Mausoleum 4F
1371,d_zachariel_36,,Royal Mausoleum 5F
1381,id_catacomb_01,,Guards Graveyard
1391,id_catacomb_02,,Valius' Eternal Resting Place
1411,id_catacomb_04,,Underground Grave of Ritinis
1421,f_remains_37,,Stele Road
1431,f_remains_38,,Goddess' Ancient Garden
1441,f_remains_39,,Escanciu Village
1451,f_remains_40,,Fedimian Suburbs
1461,d_firetower_41,,Mage Tower 1F
1471,d_firetower_42,,Mage Tower 2F
1481,d_firetower_43,,Mage Tower 3F
