$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
10001,Stone,5,The Quarrel Shooter uses it sometimes.,64,49,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",Stone,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10005,Bomb,5,"It seems the name is unique, but the effect is similar to another bomb.",64,49,6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",Vubbe Extermination Bomb,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10006,Bomb_Score,5,Monster,64,49,6,icon_item_nothing,1,,,Bomb Score,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10007,Bomb_Defence,5,Monster,64,49,6,icon_item_nothing,1,,,Time Bomb,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10008,Bomb_Sin,5,Monster,64,49,6,icon_item_nothing,1,,,Time Bomb,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10009,StoneOBB,5,Monster,64,49,6,icon_item_nothing,1,,,OBB stone,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10010,Wizard_M,5,Monster,64,49,6,icon_item_nothing,1,,,Male Wizard,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10011,Bomb_RokasMission,5,Monster,64,49,6,icon_item_nothing,1,,,Canyon Bomb,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10015,Wizard_F,5,Monster,64,49,6,icon_item_nothing,1,,,Female Wizard,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10016,Symbol_defence,5,Monster,64,49,6,icon_item_nothing,1,,,Damaged Seal,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
