$ID,$ID_NAME,Description,Icon,Name,Type
11282,mon_paladin_follower1_2,Monster,icon_item_nothing,Paladin Follower A2,2
11283,mon_paladin_follower1_3,Monster,icon_item_nothing,Paladin Follower A3,2
12080,HiddenTrigge_DMINE8_QUEST04,Monster,icon_item_nothing,Hidden Trigger Monster Type,2
12081,f_katyn_owl01,Monster,icon_item_nothing,Owl Sculpture,2
20011,soldier1,,,Supply Soldier,2
20012,soldier2,,,Eastern Woods Scout,2
20013,soldier3,,,Supply Officer,2
20014,soldier4,,,Head of Guard Troop,2
20015,soldier5,,,View,2
20016,soldier6,,,Western Woods Scout,2
20017,matron_f,,,Village Woman,2
20018,intermediate_officer_f,,,Female Officer,2
20019,soldier7,,,Western Woods Scout,2
20020,soldier6_KNOCKDOWN,,,Fallen Soldier,2
20021,wizardmaster,,minimap_man_wizard,Wizard Master,2
20022,archermaster,,minimap_man_archer,Archer Master,2
20023,swordmaster,,minimap_man_master,Swordsman Master,2
20024,Hiddennpc_move,,,,2
20025,Hiddennpc,,,,2
20026,HiddenTrigger6,,,,2
20027,pyromancer,,minimap_man_wizard,Pyromancer Master,2
20028,peltasta,,minimap_man_master,Peltasta Master,2
20029,highlander,,minimap_man_master,Highlander Master,2
20030,Hiddennpc_Godness,,minimap_goddess,Goddess Statues,2
20031,Emilia,,,Item Merchant Emilia,2
20032,SCO_M,,,Crux Knights Officer (Male),2
20033,SCO_M_Move,,,Crux Knights Officer,2
20035,HiddenTrigger_AlwaysTitle,,minimap_goddess,,2
20036,magicsquare_1_mini_AlwaysTitle,,,Magic Circle,2
20040,HiddenTrigger,,,,2
20041,HiddenTrigger2,,,,2
20042,HiddenTrigger3,,,,2
20043,SCS_M1,,,Security Guard,2
20044,HiddenWall_100_200_500,,,,2
20045,HiddenWall_10_100_500,,,,2
20046,HiddenWall_40_50_100,,,,2
20047,HiddenWall_30_30_30,,,,2
20048,HiddenWall_2_20_40,,,,2
20049,HiddenWall_10_200_500,,,,2
20050,WarpSpot,,minimap_portal,WarpSpot,2
20051,HealSpot,,,,2
20052,WarpSpot_2,,minimap_portal,WarpSpot,2
20053,HiddenWall_200_200_500,,,,2
20054,HiddenWall_150_150_150,,,,2
20055,npc_alf,,minimap_man_shop,Orsha Item Merchant Alf,2
20056,npc_julla,,minimap_man_armor,Equipment Merchant Jura,2
20057,npc_yurrs,,minimap_man_ace,Accessory Merchant Jurus,2
20058,npc_toras,,minimap_man_companion,Companion Trader Toras,2
20059,orsha_soldier_f,,,Orsha Soldier Female,2
20060,orsha_soldier_m,,,Orsha Soldier Male,2
20061,orsha_f_1,,,Orsha Soldier Female1,2
20062,orsha_f_2,,,Orsha Soldier Female2,2
20063,orsha_m_1,,,Orsha Soldier Male1,2
20064,orsha_m_2,,,Orsha Soldier Male2,2
20065,Inesa_Hamondail,,,Inesa Hamondale,2
20066,npc_illanai,,minimap_man_smith,Blacksmith Ilanai,2
20067,npc_aisah,,minimap_werehouse,Storage Keeper Aisa,2
20068,npc_letizia,,minimap_man_tpshop,TP Trader Leticia,2
20070,SkillTrigger1,,,,2
20071,SkillTrigger2,,,,2
20079,Raima,,,Goddess Laima,2
20080,HiddenObbBox1,,,,2
20081,HiddenObbBox_photowall_marine1,,,,2
20082,HiddenObbBox_photowall_marine2,,,,2
20083,HiddenObbBox_Photowall_Chess1,,,,2
20084,HiddenObbBox_Photowall_Chess2,,,,2
20085,HiddenObbBox_Photowall_Chess3,,,,2
20086,HiddenObbBox_Photowall_Chess4,,,,2
20100,npc_combat_transport_section_2_sit,,,Merchant 2 Sit,2
20101,HiddenTrigger5,,,　,2
20102,npc_combat_transport_section_1,,,Merchant 1,2
20103,npc_combat_transport_section_2,,,Merchant 2,2
20104,npc_accessary_merchant,,minimap_man_ace,Accessory Merchant,2
20105,npc_blacksmith,,minimap_man_smith,Blacksmith,2
20106,npc_intermediate_officer_female,,,Mid Commander (Male),2
20107,npc_intermediate_officer_men,,,Mid Commander (Female),2
20108,npc_low_lev_officer_m,,,Minor Commander,2
20109,npc_miner,,,Veteran Miner,2
20110,npc_mining_alchemist,,minimap_man_wizard,Miners' Village Alchemist,2
20111,npc_equipment_dealers,,minimap_man_armor,Equipment Merchant,2
20112,npc_healer,,minimap_man_cleric,Cleric Master,2
20113,npc_knight,,,Uska,2
20114,npc_matron,,,Old Lady,2
20115,npc_tool_merchants,,minimap_man_shop,Item Merchant ,2
20116,npc_village_matron,,,Village Old Lady,2
20117,npc_village_uncle_1,,,Village Gentleman 1,2
20118,npc_village_uncle_2,,,Village Gentleman 2,2
20119,npc_liaison_officer_m_1,,,Liaison Offical(data exchange required),2
20120,npc_chronicler_m_1,,,Recorder(data exchange required),2
20121,npc_historian_m_1,,,Historian 1(data exchange required),2
20122,npc_historian_m_2,,,Historian 2(data exchange required),2
20123,npc_rexither,,,Rexipher human(data exchange required),2
20124,npc_historian_f_1,,,Female Historian(data exchange required),2
20125,npc_intermediate_officer_men2,,,Mid Commander (Male 2),2
20126,DummyPC,,,PC,2
20127,npc_low_lev_officer2_m,,,Minor Commander 2,2
20128,npc_low_lev_officer3_m,,,Minor Commander 3,2
20129,npc_knight2,,,Vacenin,2
20135,npc_wizdom_owl,,,Foreseeing Owl,2
20136,npc_bocormaster,,minimap_man_wizard,Bokor Mama,2
20137,npc_cryomancer,,minimap_man_wizard,Cryomancer Master,2
20138,npc_village_uncle_3,,,Village Gentleman 3,2
20139,npc_village_uncle_4,,,Village Gentleman 4,2
20140,npc_auctioneer,,minimap_man_auction,Auctioneer,2
20141,npc_low_lev_officer4_m,,,Minor Commander 4,2
20142,npc_low_lev_officer5_m,,,Minor Commander 5,2
20143,npc_low_lev_officer6_m,,,Minor Commander 6,2
20144,npc_low_lev_officer7_m,,,Minor Commander 7,2
20145,npc_matron2,,,Old Lady 2,2
20146,npc_matron3,,,Old Lady 3,2
20147,npc_matron4,,,Old Lady 4,2
20148,npc_matron5,,,Old Lady 5,2
20149,npc_matron6,,,Old Lady 6,2
20150,npc_miner2,,,Veteran Miner 2,2
20151,npc_village_uncle_5,,,Gentleman 5,2
20152,npc_village_uncle_6,,,Gentleman 6,2
20153,npc_village_uncle_7,,,Gentleman 7,2
20154,npc_village_uncle_8,,,Gentleman 8,2
20155,npc_village_uncle_9,,,Gentleman 9,2
20156,npc_village_uncle_10,,,Gentleman 10,2
20157,npc_village_uncle_11,,,Gentleman 11,2
20158,npc_village_uncle_12,,,Gentleman 12,2
20159,npc_auctionHelper,,minimap_man_auction,Auctioneer Helper,2
20160,soldier6_axe,,,Logging Soldier,2
20161,npc_c_matron6,,,City Middle-aged Woman,2
20162,npc_c_blacksmith,,minimap_man_smith,City Blacksmith,2
20163,npc_c_equipment_dealers,,minimap_man_armor,City Equipment Merchant,2
20164,npc_c_tool_merchants,,,City Item Merchant,2
20165,npc_c_sculptor,,,City Middle-aged Man,2
20166,npc_c_tool_merchants2,,,Item Merchant1,2
20167,npc_hunter_master,,minimap_man_archer,Hunter Master(data exchange required),2
20168,npc_cleric_f_1,,,Healer Lady,2
20169,npc_combat_transport_section_1_market,,minimap_man_market,Market Manager,2
20170,Skl_ScanTrigger,,,Search Trigger,2
20171,npc_combat_transport_section_3_market,,minimap_man_market,Market Manager,2
20172,Gimmick_Dice_1,,,Dice,2
20173,Gimmick_Dice_2,,,Dice,2
20174,Gimmick_Dice_3,,,Dice,2
20175,Gimmick_Dice_4,,,Dice,2
20176,Gimmick_Dice_5,,,Dice,2
20177,Gimmick_Dice_6,,,Dice,2
20178,Gimmick_Dice_S_1,,,Dice,2
20179,Gimmick_Dice_S_2,,,Dice,2
20180,Gimmick_Dice_S_3,,,Dice,2
20181,Gimmick_Dice_S_4,,,Dice,2
20182,Gimmick_Dice_S_5,,,Dice,2
20183,Gimmick_Dice_S_6,,,Dice,2
20184,HiddenWall_Thanksgiving,,,,2
20185,HiddenWall_Thanksgiving2,,,,2
20186,HiddenWall_Thanksgiving3,,,,2
20187,musicbox_popolion,,,Popolion Waterball Orgel,2
20188,npc_sailor_f,,minimap_event_1,Party Planner,2
20189,npc_sailor_m,,minimap_event_1,Bartender,2
40000,Obstacle_box,,,Box,2
40001,Warp_arrow,,minimap_portal,WarpSpot,2
40010,Obstacle_table,,,Desk,2
40020,Obstacle_stone,,,Stone,2
40021,Break_stone,,,Stone rolling,2
40030,TreasureBox1,,,Treasure Chest,2
40031,HideMonBox,,,Hiding Monster Box,2
40032,Treasure_box_black,,,Treasure Chest,2
40033,Treasure_box_blue,,,Treasure Chest,2
40034,Treasure_box_green,,,Treasure Chest,2
40035,Treasure_box_yellow,,,Treasure Chest,2
40040,Grating,,,Grating,2
40041,Grating_abbeyn1,,,Grating,2
40042,Grating2,,,Grating (prison),2
40050,Enchant_gateway,,,Enchant Raid Entrance,2
40051,Enchant_symbol,,,Enchant Symbol,2
40061,RecoveryPlace,,,Holy Place of Recover,2
40062,SavePlace2,,,Item Combiner,2
40064,Grill,,,Grill,2
40065,Godness,,,Goddess Statues,2
40066,Guard_fence,,,Guard Fence,2
40068,Wagon,,,Carriage,2
40069,block_fence,,,,2
40071,block_fence_2,,,,2
40072,block_fence_large,,,,2
40073,block_fence_sharp,,,,2
40091,lever,,,Lever 1,2
40092,lever_1,,,Lever 2,2
40093,flame_of_goddess,,,Gabija's Torch,2
40095,HiddenTrigger4,,,,2
40100,statue_raima,,minimap_goddess,Statue of Goddess Laima,2
40110,statue_zemina,,minimap_goddess,Statue of Goddess Zemyna,2
40120,statue_vakarine,,minimap_goddess,Statue of Goddess Vakarine,2
40130,statue_ausrine,,minimap_goddess,Statue of Goddess Ausrine,2
40141,cartdummy,,,Kepa Dummy,2
40143,flame_bgevent,,,Torch,2
40144,Treasure_bgevent,,,Treasure Chest,2
40205,MCy_Statue,,,Statue of Goddess Zemyna,2
41000,D_abbey_statue,,,Statue,2
41010,D_abbey_trap,,,Puddle Trap,2
41020,D_castle_handlebar,,,Handle Bar,2
41030,Trap_Spine,,,Thorn Trap,2
41040,D_catacomb_stonetrap1,,,Rockfall Trap,2
41050,D_catacomb_stonetrap2,,,Rockfall Trap,2
41060,D_catacomb_stonetrap3,,,Rockfall Trap,2
41070,D_catacomb_stonetrap4,,,Rockfall Trap,2
41080,D_catacomb_stonetrap5,,,Rockfall Trap,2
41090,Gold_Candlestick,,,Gold Candle,2
41091,Silver_Candlestick,,,Silver Candle,2
41092,mandragora1,,,Mandragora,2
41093,mandragora2,,,Mandragora,2
41094,artefact_coin,,,Pitch-pot Coin,2
41095,artefact_tugeon,,,Pitch-pot,2
45101,NPC_Cart1,,,Carriage,2
45102,NPC_Blowfish1,,,Sunfish,2
45103,SprayDummy,,,Stack of Spray,2
45104,NPC_Cart2,,,Carriage,2
45311,Kepacart1,,,Kepa Wagon,2
45312,Kepacart2,,,Kepa Wagon,2
45313,Kepacart3,,,Kepa Wagon,2
45314,Golem_battlestart,,,Start Point of Golem,2
45315,cart_empty,,,Empty Wagon,2
45316,cart_spp,,,Supplies Wagon,2
45320,HolyArk,,,Holy Ark,2
45321,holyark_black,,,Holy Ark,2
45322,holyark_green,,,Holy Ark,2
45323,holyark_white,,,Holy Ark,2
45324,holyark_yellow,,,Holy Ark,2
46213,Altar1,,,Altar,2
46214,Altarcrystal_R1,,,Red Crystal,2
46215,Altarcrystal_O1,,,Orange Crystal,2
46216,Altarcrystal_Y1,,,Yellow Crystal,2
46217,Altarcrystal_G1,,,Green Crystal,2
46218,Altarcrystal_B1,,,Blue Crystal,2
46219,Altarcrystal_N1,,,Navy Crystal,2
46221,Altarcrystal_P1,,,Purple Crystal,2
46222,Altarcrystal_Silhouette,,,Silhouette Crystal,2
46301,test_wall1,,,Test Wall 100,2
46302,test_wall2,,,Test Wall 120,2
46303,test_wall3,,,Test Wall 140,2
46304,test_wall4,,,Test Wall 160,2
47005,accessary_f,,,Accessory Merchant,2
47006,merchants_f,,,Item Merchant ,2
47081,thorn_gateway_1,,,Thorn Forest Gate 1,2
47082,thorn_gateway_2,,,Thorn Forest Gate 2,2
47083,thorn_gateway_3,,,Thorn Forest Gate 3,2
47084,thorn_gateway_4,,,Thorn Forest Gate 4,2
47085,thorn_gateway_5,,,Thorn Forest Gate 5,2
47086,thorn_gateway_6,,,Thorn Forest Gate 6,2
47087,thorn_gateway_1_2,,,Thorn Forest Gate 1,2
47088,thorn_gateway_2_2,,,Thorn Forest Gate 2,2
47089,thorn_gateway_3_2,,,Thorn Forest Gate 3,2
47090,thorn_gateway_4_2,,,Thorn Forest Gate 4,2
47091,thorn_gateway_5_2,,,Thorn Forest Gate 5,2
47092,thorn_gateway_6_2,,,Thorn Forest Gate 6,2
47101,npc_rokas_1,,,Royal Mausoleum Entrance,2
47102,npc_rokas_2,,,Canyon Area Device 1,2
47103,npc_rokas_3,,,Canyon Area Device 2,2
47104,npc_rokas_4,,,Canyon Area Device 3,2
47105,npc_rokas_5,,,Canyon Area Device 4,2
47106,npc_rokas_6,,,Canyon Area Device 5,2
47107,npc_rokas_7,,,Canyon Area Device 6,2
47108,npc_rokas_31,,,Canyon Area Device 1,2
