$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,*敵の後方から短剣で攻撃時、特性レベル1につき2%の追加ダメージ{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_daggermastery,False,5,"[5005, 5010]",,短剣マスタリ：急襲,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10018,MaxWeightAbil,*キャラクターインベントリの持ち運べる重さが特性レベルにつき20アップ{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_maxweightabil,False,10,"[3005, 3015, 4002, 4007, 5006]",,最大重量アップ,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3015"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
10019,CompMastery1,*コンパニオンのスタミナが消耗する周期時間が特性レベル1につき10秒アップ{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_compmastery1,False,5,"[3002, 3014]",,コンパニオンマスタリ：根気,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10020,CompMastery2,*コンパニオンのHPが50%以下の時、2秒間[応急治療]効果を受けてHPを持続的に回復{nl}*2レベルから持続時間が特性レベル1につき1秒ずつアップ{nl}*[応急治療]以後、10分間[応急治療不可]状態{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_compmastery2,False,4,"[3002, 3014]",,コンパニオン応急治療,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[12, 13, 14, 15, 12, 13, 14, 15]"
10026,THMace_SR,*[両手鈍器]装備時、広域攻撃比率5アップ{nl},{nl}{b}キャラクター100レベル以上{b},ability_cleric_thmace2,False,1,[4011],,両手鈍器マスタリ：パラディン,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10027,THMace_BLKBREAK,*[両手鈍器]装備時、ブロック貫通85アップ{nl},{nl}{b}キャラクター100レベル以上{b},ability_cleric_thmace,False,1,[4009],,両手鈍器マスタリ：モンク,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10028,SwordMastery_DEForATK,*[盾]と一緒に[片手剣]装備時、 武器の攻撃力の20%を物理防御力に転換{nl}*[盾]ではない補助武器と[片手剣]装備時、攻撃速度アップ{nl},{nl}{b}キャラクター100レベル以上{b},ability_warrior_sword2,False,1,[1001],,片手剣マスタリ： 戦闘準備,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10029,StaffMastery,*[ロッド]着用時キャスティング速度が50%減少する{nl},{nl}{b}キャラクターレベル1以上{b},ability_wizard_staffmastery,False,1,[2001],,ロッドマスタリ,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",[15]
10030,THMace_StrikeDamage,*[両手鈍器]を着用すると、打属性で与えるダメージ10%アップ{nl},{nl}{b}キャラクター1レベル以上{b},ability_cleric_thmace,False,1,[4001],,両手鈍器マスタリ：打,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",[15]
101001,Swordman1,*[バッシュ]のスキル係数が特性レベル1につき0.5%アップ{nl} *最高レベルになるとさらに10%アップ{nl},{nl}{b}バッシュ1レベル以上{b},ability_warrior_swordman1,False,100,,[10002],バッシュ：強化,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": ""Swordman_Bash""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
