$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
640403,Ghaca_PC_Rabdom,ランダムに報酬を獲得します。マウス右クリックで使用できます。{nl}報酬リスト{nl}- 経験の書 x1{nl} - インスタンスダンジョン倍数トークン x2{nl}- メガホン x1{nl}- 魔法付与スクロール(取引不可) x1{nl}- ワープスクロール x8{nl}- ソウルクリスタル x4{nl}- 緊急修理キット x3,icon_item_random_cashbox,,,,,,,,,[ネットカフェ]TPアイテムランダムボックス,0,0.0,0.0,FFFT,5,5.0
640404,Ghaca_PC_Misc,ランダムに報酬を獲得します。マウス右クリックで使用できます。,icon_item_pc_miscbox,,,,,,,,,[ネットカフェ]鉱物ボックス,0,0.0,0.0,FFFT,5,5.0
640407,Ghaca_PC_Discount_Ticket,ランダムに報酬を獲得します。マウス右クリックで使用できます。{nl}報酬リスト{nl} - [ネットカフェ]染色1回50%割引券{nl} - [ネットカフェ]染色1回無料利用券{nl} - [ネットカフェ]ヘア1回50%割引券{nl} - [ネットカフェ]ヘア1回無料利用券,icon_item_random_cashbox,,,,,,,,,[ネットカフェ]ビューティショップ割引クーポンボックス,0,0.0,0.0,FFFT,5,5.0
640408,Ghaca_PC_Event_Csoume01,右クリックで使用すると、ブラックメイドコスチューム(女) / ブラックバトラーコスチューム(男)のうち、一つを獲得できます。,icon_item_box_pc_basic,,,,,,,,,[ネットカフェ]バトラー＆メイドコスチューム選択ボックス,0,0.0,0.0,FFFF,5,5.0
640409,Box_PC_Month,右クリックで使用すると、アイテムを獲得できます。{nl}報酬リスト {nl} - x8 経験の書(14日) x 1{nl} - インスタンスダンジョン倍数トークン x 10{nl} - 女神の彫像(14日) x 10{nl} - 祝福が宿った種(14日)  x 10,icon_item_box_pc_month,,,,,,,,,[ネットカフェ]成長支援ボックス,0,0.0,0.0,FFFT,5,5.0
640414,Gm_Ty_Box,右クリックで使用すると、アイテム及びバフを獲得できます。{nl}報酬アイテム{nl} - 10TP[プレゼント] x1{nl}報酬バフ{nl} - レッドオックス(30分) {nl} - 移動速度アップ-イベント(30分) {nl} - 周囲HP回復 -イベント(30分) {nl} - 周囲SP回復 -イベント(30分),icon_item_giftbox_4,,,,,,,,,GMの感謝ボックス,0,0.0,0.0,FFFT,5,0.0
640415,Gm_Sy_Box,右クリックで使用すると、アイテム及びバフを獲得できます。{nl}報酬アイテム{nl} - 10TP[プレゼント] x1{nl}報酬バフ{nl} - レッドオックス(30分) {nl} - 移動速度アップ-イベント(30分) {nl} - 周囲HP回復 -イベント(30分) {nl} - 周囲SP回復 -イベント(30分),icon_item_giftbox_4,,,,,,,,,GMのお詫びボックス,0,0.0,0.0,FFFT,5,0.0
640416,Ghaca_PC_Event_Csoume02,右クリックで使用します。使用すると、レッドバンパイアコスチューム(男) / レッドバンパイアコスチューム(女)の中から一つを獲得できます。{nl} - 10月4日のメンテナンス以降から使用できます。,icon_item_box_pc_basic,,,,,,,,,[ネットカフェ]赤いバンパイアコスチューム選択ボックス,0,0.0,0.0,FFFF,5,5.0
640442,Ghaca_PC_Event_Csoume03,右クリックで使用します。使用すると、赤冬夜コスチューム(男) / 赤冬夜コスチューム(女)の中から一つを獲得できます。,icon_item_box_pc_basic,,,,,,,,,[ネットカフェ]赤冬夜コスチューム選択ボックス,0,0.0,0.0,FFFF,5,5.0
640443,Attendance_Sausis_SelectBox,使用すると、リストの中から欲しい装備が支給されます。{nl} {nl}アクセサリリスト{nl} -ネファグリタスネックレス{nl} -ネメトマスネックレス{nl} -ランゴベスネックレス{nl} -ネファグリタスブレスレット{nl} -ネメトマスブレスレット{nl} -ランゴベスブレスレット,icon_item_giftbox_4,,,,,,,,,幻想図書館: サウシス9館アクセサリ選択ボックス,0,0.0,0.0,FFFF,5,5.0
640444,Attendance_welcome,右クリックで使用します。使用すると、アイテムを獲得できます。{nl}報酬リスト {nl} -ワープスクロールボックス10個箱{nl} -女神の彫像(14日) x 3{nl} -祝福が宿った種(14日)  x 3,icon_item_giftbox_4,,,,,,,,,新規/復帰歓迎ボックス,0,0.0,0.0,FFFT,5,5.0
640445,Attendance_welcome2,右クリックで使用します。使用すると、アイテムを獲得できます。{nl}報酬リスト  {nl} -レイドポータルストーン x 5{nl} -チャレンジポータル生成スクロール(14日) x5{nl} -メガホン50個箱{nl}[イベント]マシニオス武器選択ボックス,icon_item_giftbox_4,,,,,,,,,新規/復帰支援ボックス,0,0.0,0.0,FFFT,5,5.0
640446,Attendance_Masinios_SelectBox,使用すると、11強5超越マシニオス武器リストの中から一つを獲得できます。,icon_item_event_weaponbox1,,,,,,,,,11強5超越マシニオス武器選択ボックス,0,0.0,0.0,FFFF,5,5.0
640450,Gacha_PC_Event_Costume01,右クリックで使用します。使用すると、以下の構成物のいずれかを選択して取得することができます。{nl} - アルファセントーリ宇宙飛行士コスチューム選択ボックス1個{nl} - アルファセントーリス宇宙飛行士ヘルメット1個,icon_item_gacha_pc_event_costume01,,,,,,,,,[ネットカフェ]アルファセントーリ宇宙飛行士パッケージ,0,0.0,0.0,FFFF,5,5.0
640451,Select_costume_ep11,右クリックで使用します。次のクラスのコスチュームを獲得できます。{nl}クラスリスト{nl} -タイガーハンター{nl} -マトロス{nl} -アルディーティ{nl} -シェリフ{nl} {nl} - 8月7日のメンテナンスにて削除されます。,icon_item_giftbox_4,,,,,,,,,[イベント]新規クラスプレミアムコスチューム選択ボックス,0,0.0,0.0,FFFT,5,5.0
642601,Gacha_F_001,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,アボミネーションのキューブ,0,0.0,0.0,FFFF,5,5.0
642602,Gacha_F_002,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,(旧)疎ましいデスウィーバーのキューブ,0,0.0,0.0,FFFF,5,5.0
642603,Gacha_F_003,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,(旧)冒涜のチャッパーリションのキューブ,0,0.0,0.0,FFFF,5,5.0
642604,Gacha_F_004,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,{s18}大地のテンプルシューターのキューブ,0,0.0,0.0,FFFF,5,5.0
642605,Gacha_F_005,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,大地のキャンスリルのキューブ,0,0.0,0.0,FFFF,5,5.0
642606,Gacha_F_006,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,大地のアコンのキューブ,0,0.0,0.0,FFFF,5,5.0
642607,Gacha_F_007,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,(旧)煉獄のケルベロスのキューブ,0,0.0,0.0,FFFF,5,5.0
642608,Gacha_F_008,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,(旧)騒がしいマインローダーのキューブ,0,0.0,0.0,FFFF,5,5.0
642609,Gacha_F_009,使用すると何かを獲得できそうです。右クリックで使用できます。,icon_item_cube3,,,,,,,,,キュバスのキューブ,0,0.0,0.0,FFFF,5,5.0
