$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,IsStarter,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,StatBase_CON,StatBase_DEX,StatBase_INT,StatBase_SPR,StatBase_STR,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1001,Char1_1,1,千年以上の長きにわたり、ソードマンは王国軍の基本兵科であり、新たな冒険者に選ばれています。多くの戦士がソードマンから始め、経験を積むことで王国の歴史に名を刻んでいます。その長きにわたり行われてきた武器と戦術により、魔法の発展に劣らずソードマンの威容を誇ります。{nl}ソードマン系統は全ての系統の中で最も高いHPと防御力を持ち、敵陣では安定して戦うことができます。,c_warrior_swordsman,False,False,True,0,3,[0],"[101020, 10028]","[10001, 10002, 10003, 10009, 10005]",ソードマン,1,7,6,2,3,7,75,50,0,0,75
1002,Char1_2,1,ジャカリエル大王の建国戦争期で活躍して以来、ハイランダーは王宮と大都市などの主要施設とその地域を守る親衛隊としての役割を担っていました。現在も彼らは王国軍の特殊兵の一つです。そのため、神樹の日に廃都で最も被害を受けた兵科でもあります。{nl}ハイランダーは両手剣を使う強靭な戦士です。敵を他の敵や地形に衝突させることができるので、多数の敵と戦う際は有利です。,c_warrior_highlander,False,False,False,0,3,[0],[103017],"[10201, 10202, 10203, 10208, 10204, 10207, 10205]",ハイランダー,2,7,6,2,3,7,25,80,0,0,95
1003,Char1_3,1,王国の歴史においてペルタストは王命に従い、傭兵レベルの対価をもらう集団でした。今日に至るまで王国正規軍でも傭兵でもない状態は続いており、本格的に傭兵の役割を担うときは、一般の傭兵とは異なる変わった規則に従います。{nl}ペルタストは盾を使って敵の攻撃を受け止め、挑発して敵を引き付ける防御型のソードマン系クラスです。,c_warrior_peltasta,False,False,False,2,3,[5],"[102014, 102016, 102028]","[10102, 10103, 10105, 10106, 10101, 10110, 10104]",ペルタスト,2,7,6,2,3,7,150,20,0,0,30
1004,Char1_4,1,ホプライトは王国軍が外部から実力者を引き抜くことから結成されました。ホプライトは決まった武器と規則に従い長きにわたり王国軍として兵役し、自由の身になれました。階級も一般兵士から将軍まで様々です。マスターの場合、兵役中は階級が無視されますが、別途階級を設けずに退役者から選出します。{nl}槍を使うホプライトは射程距離が長く、中型以上の大きく強い敵と戦う時にボーナスを獲得できます。,c_warrior_hoplite,False,False,False,0,3,[0],,"[10302, 10304, 10308, 10306, 10307, 10303, 10301]",ホプライト,2,7,6,2,3,7,70,50,0,0,80
1005,Char1_5,1,センチュリオンはフォーメーションを使って戦いを指揮するクラスです。状況に応じて様々な陣形を巧みに操り、仲間たちを指揮します。,c_warrior_centurion,False,False,False,1,3,[9],,"[10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10910]",センチュリオン,200,7,6,2,3,7,1,1,1,1,1
1006,Char1_6,1,バーバリアンは別の大陸の戦士ですが、遥か昔より、王国に認められた社会に属しています。バーバリアンは彼らならではの剣術を発展させ、これを王国の者に教えました。バーバリアンには先祖がかつて王国の地から渡ってきたという言い伝えがあります。{nl}勝利のためならば型にとらわれず何でもするバーバリアンは、猪突猛進で好戦的な戦士です。,c_warrior_barbarian,False,False,False,0,3,[0],,"[10401, 10404, 10411, 10405, 10410, 10406, 10408]",バーバリアン,2,7,6,2,3,7,40,80,0,0,80
1007,Char1_7,1,搭乗物が何であれ騎兵は育成するのが難しく、王国軍では特別な待遇を受けます。現役軍人を兼ねるマスターがその特別な待遇の一つの例です。主に貴族と上流階級の出身が多く、マスターではなくてもエリートとして世間から認識されるでしょう。それに王国軍ではなくても特別扱いされます。{nl}両手槍を専門的に使うカタフラクトは、敵の防衛線を突破して粉砕する騎兵クラスです。,c_warrior_cataphract,False,False,False,2,3,[0],[107019],"[10601, 10602, 10604, 10608, 10605, 10603, 10606]",カタフラクト,2,7,6,2,3,7,50,40,0,0,110
1009,Char1_9,1,ドッペルゾルドナーには長い歴史があります。現在では過去の歴史と違い、刃の誓い傭兵団に所属する者は少なく、傭兵ですらない者はさらに珍しいです。{nl}ドッペルゾルドナーは多くの報酬を得るために高いリスクを取ることを選ぶクラスです。自らを危険にさらす代わりに、攻撃力を高めたり多くの経験値を獲得します。,c_warrior_doppelsoeldner,False,False,False,0,3,[0],[111018],"[11004, 11001, 11010, 11006, 11008, 11007, 11009, 11003, 11005]",{s18}ドッペルゾルドナー,2,7,6,2,3,7,40,70,0,0,90
1010,Char1_10,1,盾と剣による戦法は軍隊の基本訓練のひとつです。盾と剣を装備した鍛えられた兵士たちは簡単に倒されません。それでも万が一にも陣形が崩れてしまうと甚大な被害が出てしまいます。そのような被害を防ぎ、陣形を整えるために編成された王国軍の特殊部隊がロデレロです。{nl}ロデレロは敵を奇襲して無力化させる戦闘のエキスパートです。盾を使った防御スキルは遠距離攻撃を防ぐのに効果的です。,c_warrior_rodelero,False,False,False,2,3,[0],,"[10501, 10502, 10503, 10504, 10507, 10505, 10508, 10506]",ロデレロ,2,7,6,2,3,7,90,40,0,0,70
1012,Char1_12,1,ムルミロは正式な兵科ではありませんが、とはいえ侮られる兵科でもありません。900年前のメルキエル国王時代に開催された剣闘士の戦いにムルミロは参加し、今まで続いています。{nl}ムルミロは、攻撃と防御のバランスが取れた剣闘士です。兜を被って遠距離攻撃をガードしたり、盾系のスキル効果をアップさせることができます。,c_warrior_murmillo,False,False,False,1,3,"[0, 5]",,"[11301, 11302, 11303, 11304, 11309, 11307, 11308, 11310]",ムルミロ,2,7,6,2,3,7,80,40,0,0,80
