$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
100001,ET_NetherBovine_minimal,3,ネザーボバインは魔界を起源とするモンスターです。 知能を持つ魔族ではなく、魔族が飼育する魔界の野獣です。,0,0,0,boss_netherbovine,280,None,None,テラネザーボバイン,1,1,2,8272,5514,4106,2737,280,280,0,85,464,112,336,6913,4609,57,280,2229438,199,4092,171,57,0
100002,ET_necrovanter_minimal,2,他の亡霊たちを支配し、服従しない弱い亡霊の力を奪ってさらに大きな力を集めようとする傾向があります。,0,0,0,boss_necrovanter,280,None,None,テラネクロヴェンター,1,1,2,6740,3629,3252,1751,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100003,ET_Spector_m_minimal,2,魔族の影響を受けた幽霊は様々な見た目と色をしています。,0,0,0,boss_spector_m,280,None,None,テラスペクターマスター,1,1,2,6740,3629,3252,1751,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
100004,ET_Glackuman_minimal,4,全世界に名前を馳せる闘士を夢見るグラックマンは、戦闘がある場所に派遣されるだけで満足します。,0,0,1,boss_glackuman,280,None,None,テラグラックマン,4,1,2,3805,2048,3894,2097,280,392,0,185,562,140,280,6220,9402,85,280,2085391,85,3156,99,114,0
100005,ET_Canceril_minimal,4,あらゆる動植物の変異が起こり、モンスターとなった現在の世界でキャンスリルくらいの変化はもはや普通と言っても過言ではありません。,0,0,4,boss_canceril,280,None,None,テラキャンスリル,0,1,2,3252,1751,6617,3563,280,280,0,114,860,112,336,3688,8470,171,280,2339799,57,2610,57,171,0
100006,ET_Silva_griffin_minimal,1,遥か昔には人間が馴らして乗っていた時代もあったそうです。,0,0,7,boss_silva_griffin,280,None,None,テラシルバーグリフィン,0,1,2,3002,2001,6108,4072,280,280,0,114,860,112,336,5646,5532,171,280,2339799,57,2610,57,171,0
100007,ET_Velniamonkey_minimal,1,単なる魔族の獣と思ってはいけません。実は知能もかなり高いことが分かっています。,0,0,7,boss_velniamonkey,280,None,None,テラベルニアモンキー,0,1,2,3002,2001,6108,4072,280,280,0,114,860,112,336,5646,5532,171,280,2339799,57,2610,57,171,0
100008,ET_Prisoncutter_minimal,4,残忍なことが日常に行われる場所では、魔族の活動も活発です。彼らは魔族の世界でも拷問と殺戮を楽しんでいました。,0,0,0,boss_prisoncutter,280,None,None,テラプリズンカッター,1,1,2,6221,4147,3002,2001,280,280,0,85,464,112,336,5444,5588,57,280,2229438,199,4092,171,57,0
100009,ET_Rambandgad_red_minimal,2,下級のモンスターが何らかのきっかけで強いモンスターになったても、彼らを弱いと誤解する人たちがいます。現在の状況変化に十分に注意しないと、このようなモンスターが命取りになるでしょう。,0,0,0,boss_rambandgad_red,280,None,None,テラレッドレベンザード,1,1,2,6221,4147,3002,2001,280,280,0,85,464,112,336,5444,3629,57,280,2229438,199,4092,171,57,0
10001,Stone,6,クォレルシューターが使うこともあります。,64,49,6,icon_item_nothing,1,None,None,石,None,2,0,56,37,56,37,1,1,0,2,5,0,1,1,1,2,1,465,2,26,2,2,0
100010,ET_Foculus_minimal,3,下級のモンスターが何らかのきっかけで強いモンスターになったても、彼らを弱いと誤解する人たちがいます。現在の状況変化に十分に注意しないと、このようなモンスターが命取りになるでしょう。,0,0,2,boss_foculus,280,None,None,テラポクルス,0,1,2,5133,1711,10198,3399,280,280,0,114,860,112,336,4667,7001,171,280,2339799,57,2610,57,171,0
100011,ET_Rocksodon_minimal,4,下級のモンスターが何らかのきっかけで強いモンスターになったても、彼らを弱いと誤解する人たちがいます。現在の状況変化に十分に注意しないと、このようなモンスターが命取りになるでしょう。,0,0,4,boss_rocksodon,280,None,None,テララクスドン,0,1,2,3752,1250,7635,2545,280,280,0,114,860,112,336,3688,8470,171,280,2339799,57,2610,57,171,0
100012,ET_boss_Templeshooter,3,ゴブリンの社会が神樹の日に起こした最も大きな変化は、テンプルシューターのような強力な個体の出現です。ただ、ゴブリン族全体の利益よりも自分の利益を優先する傾向があります。そのため、たとえ誰かに仕えていても、裏には別に目的があると考えるべきでしょう。,0,0,0,boss_templeshooter,280,None,None,テンプルシューター,1,0,3,8991,5994,4463,2975,525,525,0,85,464,210,630,7515,5010,57,280,10701306,199,4092,171,57,0
100013,ET_boss_Moyabruka,3,腐葉土から落ちた種と幼虫が結合して変異したモンスターで、神樹の日以前には見かけなかった種です。,0,0,1,boss_moyabruka,280,None,None,モヤブルカ,0,0,3,4463,2975,8868,5912,525,525,0,114,860,210,630,5073,7609,171,280,11231035,57,2610,57,171,0
100014,ET_boss_Mothstem,1,成体からモンスターに変異した個体が多くないのは幸いですが理解しがたい現象でもあります。,0,0,5,boss_mothstem,280,None,None,モステム,2,0,3,5594,3729,5861,3907,367,630,0,114,944,183,682,6905,4509,199,392,8984828,57,2974,85,114,0
100015,ET_boss_Flammidus,1,下級のモンスターが何らかのきっかけで強いモンスターになったても、彼らを弱いと誤解する人たちがいます。現在の状況変化に十分に注意しないと、このようなモンスターが命取りになるでしょう。,0,0,0,boss_flammidus,280,None,None,フラムミドス,1,0,3,6762,4508,3263,2175,525,525,0,85,464,210,630,9111,3945,57,280,10701306,199,4092,171,57,0
100016,ET_banshee_purple,2,様々な理由で魔界に足を踏み入れた人々の魂が悪霊となってこの世に現れました。,0,0,0,mon_banshee_purple,280,None,None,ブラックバンシー,1,5,1,4583,2467,2211,1190,280,280,0,85,464,112,336,3499,2333,57,280,1212814,199,4092,171,57,0
100017,ET_dog_of_king,4,一説によると、警備犬はジャカリエル大王の発案で作られたそうです。,0,0,1,mon_dog_of_king,280,None,None,ヴェヌケロス,1,5,1,4935,2115,2381,1020,280,280,0,85,464,112,336,3499,3591,57,280,1212814,199,4092,171,57,0
100018,ET_Prisonfighter,4,暇を持て余すと魔族の兵士にも襲いかかります。,0,0,0,mon_prisonfighter,280,None,None,プリズンファイター,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,3499,3591,57,280,1212814,199,4092,171,57,0
100019,ET_hook_red,1,大きなモンスターにフックを使ってくっつき、魔界から渡って来た後、多くの変化を遂げたモンスターです。,0,0,2,mon_hook_red,280,None,None,レッドパッチギャフ,1,5,1,4583,2467,2211,1190,280,280,0,85,464,112,336,5387,2333,57,280,1212814,199,4092,171,57,0
100020,ET_Nuo,3,ヌオの特徴は、魔王カルタスの手下だという点です。カルタスの残酷で予測不能な性格にも関わらず、その手下の魔族であるヌオが力を持ち、数の多さも誇っているということは、現在の魔族内部の事情を考えると、すごいことだと言えるでしょう。,0,0,0,mon_nuo,280,None,None,ヌオ,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,4443,2962,57,280,1212814,199,4092,171,57,0
100021,ET_Paggnat,3,ペイグ族は高位魔族に属します。彼らの残酷さは同じ魔族にも恐怖を感じさせるそうです。強いと言うよりも、魔王カルタスの庇護を受けて他の魔族に嫌がらせばかりをしていたペイグは、他の魔族の請願を受けたギルティネによって魔界を離れ、この世界に現れ始めました。,0,0,5,mon_paggnat,280,None,None,ペイグナッツ,1,5,0,4891,3260,2428,1618,280,280,0,85,464,112,336,3332,2221,57,280,970251,199,4092,171,57,0
100022,ET_Pagshearer,3,ペイグ族は高位魔族に属します。彼らの残酷さは同じ魔族にも恐怖を感じさせるそうです。強いと言うよりも、魔王カルタスの庇護を受けて他の魔族に嫌がらせばかりをしていたペイグは、他の魔族の請願を受けたギルティネによって魔界を離れ、この世界に現れ始めました。,0,0,0,mon_pagshearer,280,None,None,ペイグシュアラー,1,5,1,5625,3750,2792,1861,280,280,0,85,464,112,336,4443,2962,57,280,1212814,199,4092,171,57,0
100023,ET_PagEmitter,1,ペイグ族は高位魔族に属します。彼らの残酷さは同じ魔族にも恐怖を感じさせるそうです。強いと言うよりも、魔王カルタスの庇護を受けて他の魔族に嫌がらせばかりをしていたペイグは、他の魔族の請願を受けたギルティネによって魔界を離れ、この世界に現れ始めました。,0,0,0,mon_pagemitter,280,None,None,ペイグイミター,1,5,1,4230,2820,2041,1361,280,280,0,85,464,112,336,5387,2333,57,280,1212814,199,4092,171,57,0
