$ID,$ID_NAME,Description,Icon,Name,Type
11282,mon_paladin_follower1_2,モンスター,icon_item_nothing,パラディン追従者A2,2
11283,mon_paladin_follower1_3,モンスター,icon_item_nothing,パラディン追従者A3,2
12080,HiddenTrigge_DMINE8_QUEST04,モンスター,icon_item_nothing,ヒドゥントリガーモンスター型,2
12081,f_katyn_owl01,モンスター,icon_item_nothing,フクロウの彫像,2
20011,soldier1,,,補給兵,2
20012,soldier2,,,東の森 偵察兵,2
20013,soldier3,,,補給担当官,2
20014,soldier4,,,警戒班長,2
20015,soldier5,,,監視兵,2
20016,soldier6,,,西の森 偵察兵,2
20017,matron_f,,,村の女性,2
20018,intermediate_officer_f,,,女性将校,2
20019,soldier7,,,西の森 偵察兵,2
20020,soldier6_KNOCKDOWN,,,倒れた兵士,2
20021,wizardmaster,,minimap_man_wizard,ウィザードマスター,2
20022,archermaster,,minimap_man_archer,アーチャーマスター,2
20023,swordmaster,,minimap_man_master,ソードマンマスター,2
20024,Hiddennpc_move,,,,2
20025,Hiddennpc,,,,2
20026,HiddenTrigger6,,,,2
20027,pyromancer,,minimap_man_wizard,パイロマンサーマスター,2
20028,peltasta,,minimap_man_master,ペルタストマスター,2
20029,highlander,,minimap_man_master,ハイランダーマスター,2
20030,Hiddennpc_Godness,,minimap_goddess,女神像,2
20031,Emilia,,,雑貨商人エミリア,2
20032,SCO_M,,,南十字騎士団の将校(男),2
20033,SCO_M_Move,,,南十字騎士団の将校,2
20035,HiddenTrigger_AlwaysTitle,,minimap_goddess,,2
20036,magicsquare_1_mini_AlwaysTitle,,,魔法陣,2
20040,HiddenTrigger,,,,2
20041,HiddenTrigger2,,,,2
20042,HiddenTrigger3,,,,2
20043,SCS_M1,,,警備兵,2
20044,HiddenWall_100_200_500,,,,2
20045,HiddenWall_10_100_500,,,,2
20046,HiddenWall_40_50_100,,,,2
20047,HiddenWall_30_30_30,,,,2
20048,HiddenWall_2_20_40,,,,2
20049,HiddenWall_10_200_500,,,,2
20050,WarpSpot,,minimap_portal,WarpSpot,2
20051,HealSpot,,,,2
20052,WarpSpot_2,,minimap_portal,WarpSpot,2
20053,HiddenWall_200_200_500,,,,2
20054,HiddenWall_150_150_150,,,,2
20055,npc_alf,,minimap_man_shop,オルシャ雑貨商人 アルフ,2
20056,npc_julla,,minimap_man_armor,装備商人 ユルラ,2
20057,npc_yurrs,,minimap_man_ace,アクセサリ商人 ユルス,2
20058,npc_toras,,minimap_man_companion,コンパニオン商人 トラス,2
20059,orsha_soldier_f,,,オルシャ兵士女,2
20060,orsha_soldier_m,,,オルシャ兵士男,2
20061,orsha_f_1,,,オルシャ住民女1,2
20062,orsha_f_2,,,オルシャ住民女2,2
20063,orsha_m_1,,,オルシャ住民男1,2
20064,orsha_m_2,,,オルシャ住民男2,2
20065,Inesa_Hamondail,,,イネッサ・ヘモンデール,2
20066,npc_illanai,,minimap_man_smith,鍛冶屋 イルラナイ,2
20067,npc_aisah,,minimap_werehouse,倉庫番アイサ,2
20068,npc_letizia,,minimap_man_tpshop,TP商人レティーシャ,2
20070,SkillTrigger1,,,,2
20071,SkillTrigger2,,,,2
20079,Raima,,,女神ライマ,2
20080,HiddenObbBox1,,,,2
20081,HiddenObbBox_photowall_marine1,,,,2
20082,HiddenObbBox_photowall_marine2,,,,2
20083,HiddenObbBox_Photowall_Chess1,,,,2
20084,HiddenObbBox_Photowall_Chess2,,,,2
20085,HiddenObbBox_Photowall_Chess3,,,,2
20086,HiddenObbBox_Photowall_Chess4,,,,2
20100,npc_combat_transport_section_2_sit,,,休暇中の補給兵,2
20101,HiddenTrigger5,,,　,2
20102,npc_combat_transport_section_1,,,商人1,2
20103,npc_combat_transport_section_2,,,商人2,2
20104,npc_accessary_merchant,,minimap_man_ace,アクセサリ商人,2
20105,npc_blacksmith,,minimap_man_smith,鍛冶屋,2
20106,npc_intermediate_officer_female,,,中級管理将校(女),2
20107,npc_intermediate_officer_men,,,中級管理将校(男),2
20108,npc_low_lev_officer_m,,,下級管理将校,2
20109,npc_miner,,,ベテラン鉱員,2
20110,npc_mining_alchemist,,minimap_man_wizard,鉱山の村の錬金術師,2
20111,npc_equipment_dealers,,minimap_man_armor,装備商人,2
20112,npc_healer,,minimap_man_cleric,クレリックマスター,2
20113,npc_knight,,,ウスカ,2
20114,npc_matron,,,中年の婦人,2
20115,npc_tool_merchants,,minimap_man_shop,雑貨商人,2
20116,npc_village_matron,,,村の中年婦人,2
20117,npc_village_uncle_1,,,村のおじさん1,2
20118,npc_village_uncle_2,,,村のおじさん2,2
20119,npc_liaison_officer_m_1,,,連絡官(データ交換必要),2
20120,npc_chronicler_m_1,,,記録官(データ交換必要),2
20121,npc_historian_m_1,,,史学者1(データ交換必要),2
20122,npc_historian_m_2,,,史学者2(データ交換必要),2
20123,npc_rexither,,,レキシファー人間(データ交換必要),2
20124,npc_historian_f_1,,,女史学者(データ交換必要),2
20125,npc_intermediate_officer_men2,,,中級管理将校(男)2,2
20126,DummyPC,,,PC,2
20127,npc_low_lev_officer2_m,,,下級管理将校2,2
20128,npc_low_lev_officer3_m,,,下級管理将校3,2
20129,npc_knight2,,,バセニン,2
20135,npc_wizdom_owl,,,予知のフクロウ,2
20136,npc_bocormaster,,minimap_man_wizard,ボコルマスター,2
20137,npc_cryomancer,,minimap_man_wizard,クリオマンサーマスター,2
20138,npc_village_uncle_3,,,村のおじさん3,2
20139,npc_village_uncle_4,,,村のおじさん4,2
20140,npc_auctioneer,,minimap_man_auction,競売人,2
20141,npc_low_lev_officer4_m,,,下級管理将校 4,2
20142,npc_low_lev_officer5_m,,,下級管理将校 5,2
20143,npc_low_lev_officer6_m,,,下級管理将校 6,2
20144,npc_low_lev_officer7_m,,,下級管理将校 7,2
20145,npc_matron2,,,中年の婦人2,2
20146,npc_matron3,,,中年の婦人3,2
20147,npc_matron4,,,中年の婦人4,2
20148,npc_matron5,,,中年の婦人5,2
20149,npc_matron6,,,中年の婦人6,2
20150,npc_miner2,,,ベテラン鉱員2,2
20151,npc_village_uncle_5,,,村のおじさん5,2
20152,npc_village_uncle_6,,,村のおじさん6,2
20153,npc_village_uncle_7,,,村のおじさん7,2
20154,npc_village_uncle_8,,,村のおじさん8,2
20155,npc_village_uncle_9,,,村のおじさん9,2
20156,npc_village_uncle_10,,,村のおじさん10,2
20157,npc_village_uncle_11,,,村のおじさん11,2
20158,npc_village_uncle_12,,,村のおじさん12,2
20159,npc_auctionHelper,,minimap_man_auction,競売人サポート,2
20160,soldier6_axe,,,木を切る兵士,2
20161,npc_c_matron6,,,街の中年の婦人,2
20162,npc_c_blacksmith,,minimap_man_smith,街の鍛冶屋,2
20163,npc_c_equipment_dealers,,minimap_man_armor,街の装備商人,2
20164,npc_c_tool_merchants,,,街の雑貨商人,2
20165,npc_c_sculptor,,,街の老人,2
20166,npc_c_tool_merchants2,,,雑貨商人1,2
20167,npc_hunter_master,,minimap_man_archer,ハンターマスター(データ交換必要),2
20168,npc_cleric_f_1,,,女性治癒師,2
20169,npc_combat_transport_section_1_market,,minimap_man_market,マーケット管理人,2
20170,Skl_ScanTrigger,,,探索トリガー,2
20171,npc_combat_transport_section_3_market,,minimap_man_market,マーケット管理人,2
20172,Gimmick_Dice_1,,,サイコロ,2
20173,Gimmick_Dice_2,,,サイコロ,2
20174,Gimmick_Dice_3,,,サイコロ,2
20175,Gimmick_Dice_4,,,サイコロ,2
20176,Gimmick_Dice_5,,,サイコロ,2
20177,Gimmick_Dice_6,,,サイコロ,2
20178,Gimmick_Dice_S_1,,,サイコロ,2
20179,Gimmick_Dice_S_2,,,サイコロ,2
20180,Gimmick_Dice_S_3,,,サイコロ,2
20181,Gimmick_Dice_S_4,,,サイコロ,2
20182,Gimmick_Dice_S_5,,,サイコロ,2
20183,Gimmick_Dice_S_6,,,サイコロ,2
20184,HiddenWall_Thanksgiving,,,,2
20185,HiddenWall_Thanksgiving2,,,,2
20186,HiddenWall_Thanksgiving3,,,,2
20187,musicbox_popolion,,,ポポリオンウォーターボールオルゴール,2
20188,npc_sailor_f,,,イベント受付,2
20189,npc_sailor_m,,,飲食受付,2
40000,Obstacle_box,,,箱,2
40001,Warp_arrow,,minimap_portal,WarpSpot,2
40010,Obstacle_table,,,机,2
40020,Obstacle_stone,,,石,2
40021,Break_stone,,,石転がってくよ,2
40030,TreasureBox1,,,宝箱,2
40031,HideMonBox,,,隠身モンスターの箱,2
40032,Treasure_box_black,,,宝箱,2
40033,Treasure_box_blue,,,宝箱,2
40034,Treasure_box_green,,,宝箱,2
40035,Treasure_box_yellow,,,宝箱,2
40040,Grating,,,鉄格子,2
40041,Grating_abbeyn1,,,鉄格子,2
40042,Grating2,,,鉄格子(監獄),2
40050,Enchant_gateway,,,エンチャントレイド入口,2
40051,Enchant_symbol,,,エンチャントシンボル,2
40061,RecoveryPlace,,,回復の聖地,2
40062,SavePlace2,,,アイテム調合機,2
40064,Grill,,,グリル,2
40065,Godness,,,女神像,2
40066,Guard_fence,,,ガードフェンス,2
40068,Wagon,,,馬車,2
40069,block_fence,,,,2
40071,block_fence_2,,,,2
40072,block_fence_large,,,,2
40073,block_fence_sharp,,,,2
40091,lever,,,レバー1,2
40092,lever_1,,,レバー2,2
40093,flame_of_goddess,,,ガビヤのトーチライト,2
40095,HiddenTrigger4,,,,2
40100,statue_raima,,minimap_goddess,ライマ女神像,2
40110,statue_zemina,,minimap_goddess,ジェミナ女神像,2
40120,statue_vakarine,,minimap_goddess,ヴァカリネ女神像,2
40130,statue_ausrine,,minimap_goddess,アウシュリネ女神像,2
40141,cartdummy,,,ケッピーダミー,2
40143,flame_bgevent,,,たいまつ,2
40144,Treasure_bgevent,,,宝箱,2
40205,MCy_Statue,,,ジェミナ女神像,2
41000,D_abbey_statue,,,石像,2
41010,D_abbey_trap,,,水たまりの罠,2
41020,D_castle_handlebar,,,ハンドルバー,2
41030,Trap_Spine,,,棘の罠,2
41040,D_catacomb_stonetrap1,,,落石の罠,2
41050,D_catacomb_stonetrap2,,,落石の罠,2
41060,D_catacomb_stonetrap3,,,落石の罠,2
41070,D_catacomb_stonetrap4,,,落石の罠,2
41080,D_catacomb_stonetrap5,,,落石の罠,2
41090,Gold_Candlestick,,,金の燭台,2
41091,Silver_Candlestick,,,銀の燭台,2
41092,mandragora1,,,マンドラゴラ,2
41093,mandragora2,,,マンドラゴラ,2
41094,artefact_coin,,,コイン投げゲーム用コイン,2
41095,artefact_tugeon,,,コイン投げ,2
45101,NPC_Cart1,,,馬車,2
45102,NPC_Blowfish1,,,マンボウ,2
45103,SprayDummy,,,スプレーダミー,2
45104,NPC_Cart2,,,馬車,2
45311,Kepacart1,,,ケッピー荷車,2
45312,Kepacart2,,,ケッピー荷車,2
45313,Kepacart3,,,ケッピー荷車,2
45314,Golem_battlestart,,,ゴーレム開始場所,2
45315,cart_empty,,,空の荷車,2
45316,cart_spp,,,補給品の荷車,2
45320,HolyArk,,,聖櫃,2
45321,holyark_black,,,聖櫃,2
45322,holyark_green,,,聖櫃,2
45323,holyark_white,,,聖櫃,2
45324,holyark_yellow,,,聖櫃,2
46213,Altar1,,,祭壇,2
46214,Altarcrystal_R1,,,レッドクリスタル,2
46215,Altarcrystal_O1,,,オレンジクリスタル,2
46216,Altarcrystal_Y1,,,イエロークリスタル,2
46217,Altarcrystal_G1,,,グリーンクリスタル,2
46218,Altarcrystal_B1,,,ブルークリスタル,2
46219,Altarcrystal_N1,,,ネイビークリスタル,2
46221,Altarcrystal_P1,,,パープルクリスタル,2
46222,Altarcrystal_Silhouette,,,シルエットクリスタル,2
46301,test_wall1,,,壁テスト 100,2
46302,test_wall2,,,壁テスト 120,2
46303,test_wall3,,,壁テスト 140,2
46304,test_wall4,,,壁テスト 160,2
47005,accessary_f,,,アクセサリ商人,2
47006,merchants_f,,,雑貨商人,2
47081,thorn_gateway_1,,,棘の森 関門 1,2
47082,thorn_gateway_2,,,棘の森 関門 2,2
47083,thorn_gateway_3,,,棘の森 関門 3,2
47084,thorn_gateway_4,,,棘の森 関門 4,2
47085,thorn_gateway_5,,,棘の森 関門 5,2
47086,thorn_gateway_6,,,棘の森 関門 6,2
47087,thorn_gateway_1_2,,,棘の森 関門 1,2
47088,thorn_gateway_2_2,,,棘の森 関門 2,2
47089,thorn_gateway_3_2,,,棘の森 関門 3,2
47090,thorn_gateway_4_2,,,棘の森 関門 4,2
47091,thorn_gateway_5_2,,,棘の森 関門 5,2
47092,thorn_gateway_6_2,,,棘の森 関門 6,2
47101,npc_rokas_1,,,王陵入口,2
47102,npc_rokas_2,,,峡谷地帯装置 1,2
47103,npc_rokas_3,,,峡谷地帯装置 2,2
47104,npc_rokas_4,,,峡谷地帯装置 3,2
47105,npc_rokas_5,,,峡谷地帯装置 4,2
47106,npc_rokas_6,,,峡谷地帯装置 5,2
47107,npc_rokas_7,,,峡谷地帯装置 6,2
47108,npc_rokas_31,,,峡谷地帯装置 1,2
47109,npc_rokas_cube,,,峡谷地帯装置 7,2
47110,npc_rokas_7_1,,,峡谷地帯の装置の大きさ,2
47121,magicsquare_1,,,魔法陣 棘の森,2
47122,magicsquare_2,,,魔法陣 石化した都市,2
47123,magicsquare_3,,,魔法陣 地下要塞,2
47124,magicsquare_1_mini,,,魔法陣,2
47130,bokor_statue_1,,,ボロコが設置した遺跡の石像,2
47140,book_prop_1,,,シェルフデスク1,2
47150,bube_flag1,,,ゴブリン族の旗,2
47160,pedlar_lose_1,,,行商人が失くした物1,2
47161,pedlar_lose_2,,,行商人が失くした物2,2
47170,soldier_article_1,,,兵士の遺物,2
47180,steel_barred_1,,,鉄窓,2
47181,steel_barred_2,,,鉄窓1,2
47190,stone_monument1,,,文献1,2
47191,stone_monument2,,,文献2,2
47192,stone_monument3,,,文献3,2
47200,siauliai_grass_1,,,シャウレイの変色した草,2
47201,siauliai_grass_2,,,シャウレイの変色した草,2
47202,siauliai_grass_3,,,シャウレイの変色した草,2
47203,siauliai_grass_3_large,,,大きなシャウレイの変色した草,2
47204,siauliai_grass_4,,,シャウレイ 変色した草4,2
47210,petrifaction_1,,,石化物 1,2
47211,petrifaction_2,,,石化物 2,2
47212,petrifaction_3,,,石化物 3,2
47220,stonepillar_1,,,石材 1,2
47221,stonepillar_2,,,石材 2,2
47222,stones,,,石の山,2
47223,fire_wood,,,薪の山,2
47224,crystal,,,クリスタル,2
47225,stone_event,,,背景の石,2
47226,siauliai_fence,,,垣根,2
47230,cmine_cartheap,,,荷車ダミー,2
47231,brarkaras_stone_basis1,,,ダミー柱1,2
47232,brarkaras_stone_basis2,,,ダミー柱2,2
47233,stonetablet_stone,,,水晶柱,2
47234,stonetablet,,,啓示の石版,2
47235,catacomb_skull,,,骸骨の山,2
47236,npc_Laima_little,,,少女,2
47237,statue_vakarine_event01,,,ヴァカリネ女神像,2
47238,statue_vakarine_event02,,,ヴァカリネ女神像,2
47239,npc_sculptor,,minimap_man_cleric,彫刻家,2
47240,Golem_gray_stone,,,グレーゴーレムの岩,2
47241,cathedral_furniture,,,家具ダミー,2
47242,cathedral_torch,,,たいまつ,2
47243,thorn_raid_npc1,,,棘の森 レイド 行止り1,2
47244,thorn_raid_npc2,,,棘の森 レイド 行止り2,2
47245,npc_sout_hunter,,,狩人,2
47246,npc_flower1,,,花束1,2
47247,npc_flower2,,,花束2,2
47248,npc_cat,,,ネコ,2
47250,npc_zachariel_cube,,,王陵キューブ,2
47251,npc_zachariel_head_01,,,王陵碑石01,2
47252,npc_zachariel_head_02,,,王陵碑石02,2
47253,npc_zachariel_lantern,,,王陵の灯篭,2
47254,npc_zacharial_desk,,,王陵の机,2
47255,rokas_brickwall,,,レンガの壁,2
47256,rokas_pot1,,,壺,2
47257,rokas_pot2,,,壺,2
47258,rokas_pot3,,,壺,2
47259,Moving_trap_32,,,壊れた移動トラップ,2
47260,zachariel_guardian,,,王陵の守護者,2
47261,npc_zachariel_cube_05,,,王陵キューブ,2
47262,npc_zachariel_cube_09,,,王陵キューブ,2
47263,Hidden_target,,,透明ターゲット,2
47264,Hidden_Mon_01,,,透明モンスター,2
47265,npc_zachariel_lantern_2,,,王陵の灯篭,2
47266,treasure_box3_2,,,宝箱3,2
47413,npc_lecifer,モンスター,icon_item_nothing,レキシファー人間型,2
48002,f_katyn_owl02,,,フクロウの彫像,2
48003,f_katyn_owl03,,,フクロウの彫像,2
48004,f_katyn_owl04,,,フクロウの彫像,2
48005,such_torch,,,確認用,2
48006,f_katyn_owl04_big,,,フクロウの彫像,2
48021,f_katyn_owl01_fall,,,,2
48022,f_katyn_owl02_fall,,,,2
48023,f_katyn_owl03_fall,,,,2
48024,f_katyn_owl04_fall,,,,2
57264,npc_Alina,モンスター,icon_item_nothing,団員アリーナ,2
57337,npc_Gragina,モンスター,icon_item_nothing,団員クラジナ,2
57578,mon_kupole_1,モンスター,icon_item_nothing,クポル1,2
57579,mon_kupole_2,モンスター,icon_item_nothing,クポル2,2
57580,mon_kupole_3,モンスター,icon_item_nothing,クポル3,2
57581,mon_kupole_4,モンスター,icon_item_nothing,クポル4,2
57582,mon_kupole_5,モンスター,icon_item_nothing,クポル5,2
57583,mon_kupole_6,モンスター,icon_item_nothing,クポル6,2
57585,mon_kupole_5_Event,モンスター,minimap_event_1,クポル5,2
57586,mon_kupole_6_Event,モンスター,minimap_event_1,クポル6,2
57840,npc_hauberk,魔将ホーバークは史上最強のウィザードと呼ばれるアガイラ・フラリーと秘密協定を結びましたが、そのことが魔将ヘルガ・セルクルに知られて八つ裂きにされ、世界のあちこちに封印されてしまいました。それでもホーバークは手下たちへの影響力を維持しており、復活と再起のチャンスをうかがっています。,boss_hauberk,魔将ホーバーク,2
57857,npc_Alina_normal,モンスター,icon_item_nothing,団員アリーナ・トラック,2
58049,Shieldcharger,それほど強いモンスターではありませんが、むやみに攻撃すると痛い目に遭うでしょう。,icon_item_nothing,シールドチャージャー,2
58289,mon_npc_sapper,モンスター,icon_item_nothing,啓示者ミハイル,2
58290,mon_npc_tila_monk,モンスター,icon_item_nothing,修道士1,2
58291,mon_paladin_follower2_1,モンスター,icon_item_nothing,パラディン追従者B1,2
58292,mon_paladin_follower2_2,モンスター,icon_item_nothing,パラディン追従者B2,2
58293,mon_paladin_follower2_3,モンスター,icon_item_nothing,パラディン追従者B3,2
58452,pet_egg,それほど強いモンスターではありませんが、むやみに攻撃すると痛い目に遭うでしょう。,icon_item_nothing,コンパニオンの卵,2
58460,alfalfa,それほど強いモンスターではありませんが、むやみに攻撃すると痛い目に遭うでしょう。,icon_item_nothing,アルファルファ,2
58461,tomato,それほど強いモンスターではありませんが、むやみに攻撃すると痛い目に遭うでしょう。,icon_item_nothing,トマト,2
58530,mon_npc_w_hunter,モンスター,icon_item_nothing,ホワイトハンター,2
58568,pcskill_Enchanter_skill,それほど強いモンスターではありませんが、むやみに攻撃すると痛い目に遭うでしょう。,icon_item_nothing,エンチャンター商店,2
58584,artefact_cereal,モンスター,icon_item_nothing,シマエナガ用の餌,2
58602,pet_fruits_plate,モンスター,icon_item_nothing,トゥーカンの餌,2
58738,npc_raid_gimmick,モンスター,icon_item_nothing,保護の段,2
59066,farmer_plant_step_01,モンスター,icon_item_nothing,,2
101001,mon_paladin_follower1_2_hp,モンスター,icon_item_nothing,パラディン追従者A2,2
101002,mon_paladin_follower1_3_hp,モンスター,icon_item_nothing,パラディン追従者A3,2
103015,mon_paladin_follower1_3_Q,モンスター,icon_item_nothing,ルクリス部隊員,2
107003,mon_npc_tila_monk2,モンスター,icon_item_nothing,修道士2,2
147303,npc_zachariel_gate,,,王陵ゲート,2
147304,rokas_trap_dummy,,,破壊された移動トラップ,2
147305,Firetower_Defense,,,魔術師の塔 ディフェンス,2
147306,Firetower_GateOpen,,,魔術師の塔 ゲート,2
147307,Firetower_Offense,,,魔術師の塔 オフェンス,2
147308,Cat_Deagil,,,デギリ,2
147311,BOOK_01,,,本,2
147312,LOST_PAPER,,,床に落ちた紙,2
147313,Hogma_combat_gray,,,ホグマの石像,2
147315,Warleader_Hogma_gray,,,ボスホグマの石像,2
147316,hogma_archer_gray,,,ホグマの石像2,2
147317,hogma_sorcerer_gray,,,ホグマシャーマンの石像,2
147318,Hogma_combat_gray_01,,,ホグマの石像01,2
147319,Treasure_box_3cm,,,宝箱3cm,2
147320,Treasure_box_katyn,,,宝箱カーティン,2
147321,Treasure_box_remain,,,宝箱遺跡地帯,2
147322,Treasure_box_siaul,,,宝箱シャウレイ,2
