$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* 적의 후방에서 단검으로 공격 시 특성 레벨당{nl}    2%의 추가 대미지{nl},{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_daggermastery,False,5,"[5005, 5010]",,단검 마스터리: 급습,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10018,MaxWeightAbil,* 캐릭터 인벤토리의 휴대 가능무게가 특성 레벨당 20 증가{nl},{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_maxweightabil,False,10,"[3005, 3015, 4002, 4007, 5006]",,최대 무게 증가,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3015"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
10019,CompMastery1,* 컴패니언의 스태미나가 소모되는 주기 시간이 특성 레벨당{nl}    10초 증가{nl},{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_compmastery1,False,5,"[3002, 3014]",,컴패니언 마스터리: 끈기,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10020,CompMastery2,"* 컴패니언의 HP가 50% 이하일 때, 2초 동안 [응급치료]{nl}    효과를 받아 HP를 지속적으로 회복{nl}* 2레벨 부터 지속시간이 특성 레벨당 1초씩 증가{nl}* [응급치료] 이후에는 10분 동안 [응급치료 불가] 상태{nl}",{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_compmastery2,False,4,"[3002, 3014]",,컴패니언 응급치료,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[12, 13, 14, 15, 12, 13, 14, 15]"
10026,THMace_SR,* [양손둔기] 착용시 광역 공격 비율 5 증가{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_cleric_thmace2,False,1,[4011],,양손둔기 마스터리: 팔라딘,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10027,THMace_BLKBREAK,* [양손둔기] 착용시 블록 관통 85 증가{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_cleric_thmace,False,1,[4009],,양손둔기 마스터리: 몽크,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10028,SwordMastery_DEForATK,* [방패]와 함께 [한손검] 착용 시 무기 공격력의 20%를 물리 방어력으로 전환{nl}* [방패]가 아닌 보조무기와 [한손검] 착용 시 공격 속도 증가{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_warrior_sword2,False,1,[1001],,한손검 마스터리: 전투준비,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10029,StaffMastery,* [로드] 착용 시 캐스팅 속도가 50% 감소함{nl},{nl}{b}캐릭터 1레벨 이상{b},ability_wizard_staffmastery,False,1,[2001],,로드 마스터리,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",[15]
10031,SpearMastery_Dagger,* [단검]과 함께 [한손창] 착용 시 단검 무기 공격력의 25%를 물리 공격력으로 전환{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_warrior_sword2,False,1,[1001],,한손창 마스터리: 전투준비,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
101001,Swordman1,* [배시]의 스킬 계수가 특성 레벨당 0.5% 증가{nl} * 최고 레벨 마스터 시 10% 추가로 증가{nl},{nl}{b}배시 1레벨 이상{b},ability_warrior_swordman1,False,100,,[10002],배시: 강화,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": ""Swordman_Bash""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
