$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
10001,Stone,5,쿼렐슈터가 사용하기도 합니다.,64,49,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",돌,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10005,Bomb,5,명칭은 그럴 듯하지만 특별히 다른 폭탄과 다르지 않습니다.,64,49,6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",부베 박멸용 폭탄,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10006,Bomb_Score,5,몬스터,64,49,6,icon_item_nothing,1,,,폭탄점수,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10007,Bomb_Defence,5,몬스터,64,49,6,icon_item_nothing,1,,,시한폭탄,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10008,Bomb_Sin,5,몬스터,64,49,6,icon_item_nothing,1,,,시한폭탄,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10009,StoneOBB,5,몬스터,64,49,6,icon_item_nothing,1,,,OBB돌,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10010,Wizard_M,5,몬스터,64,49,6,icon_item_nothing,1,,,남자 마법사,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10011,Bomb_RokasMission,5,몬스터,64,49,6,icon_item_nothing,1,,,협곡 폭탄,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10015,Wizard_F,5,몬스터,64,49,6,icon_item_nothing,1,,,여자 마법사,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10016,Symbol_defence,5,몬스터,64,49,6,icon_item_nothing,1,,,파손된 봉인,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10018,Symbol_sin,5,몬스터,64,49,6,icon_item_nothing,1,,,죄악의 상징,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10019,Symbol_Rescue,5,몬스터,64,49,6,icon_item_nothing,1,,,(임시)감옥 통제 장치,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10020,SCS_M2_Mon,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 3760, ""Population"": 20, ""TimeRespawn"": 60.0}]",경비병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10021,SCS_M2_Mon_DeadAin,5,몬스터,64,49,6,icon_item_nothing,1,,,쓰러진 경비병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10022,SCS_M2_Mon_Guard,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3350, ""Population"": 3, ""TimeRespawn"": 60.0}]",샤울레이 경비병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10023,Aos_Soldier,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1311, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1511, ""Population"": 0, ""TimeRespawn"": 60.0}]",용병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10028,Aos_Hero_Arc,5,몬스터,64,49,6,icon_item_nothing,1,,,용병 장교,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10029,Aos_Hero_War,5,몬스터,64,49,6,icon_item_nothing,1,,,용병 대장,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10030,War_Shield,5,몬스터,64,49,6,icon_item_nothing,1,,,방패 용병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10031,Aos_Soldier_Cart,5,몬스터,64,49,6,icon_item_nothing,1,,,용병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10032,Silvertransporter_m,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 7, ""TimeRespawn"": 60.0}, {""Map"": 1032, ""Population"": 3, ""TimeRespawn"": 60.0}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1711, ""Population"": 4, ""TimeRespawn"": 60.0}]",전투병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10033,Silvertransporter_m_Quest,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 981, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1032, ""Population"": 2, ""TimeRespawn"": 60.0}, {""Map"": 1081, ""Population"": 6, ""TimeRespawn"": 60.0}, {""Map"": 1251, ""Population"": 4, ""TimeRespawn"": 60.0}, {""Map"": 1641, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1651, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1661, ""Population"": 2, ""TimeRespawn"": 60.0}, {""Map"": 1681, ""Population"": 22, ""TimeRespawn"": 60.0}, {""Map"": 3260, ""Population"": 1, ""TimeRespawn"": 60.0}]",전투병,,2,0,32,21,32,21,1,1,0,2,5,1,1,80,80,2,1,105,2,26,2,2,0
10034,Silvertransporter_m_DESERTER,5,몬스터,64,49,6,icon_item_nothing,1,,,탈영병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10035,Silvertransporter_m_Quest_2,5,몬스터,64,49,6,icon_item_nothing,1,,,광증걸린 전투병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10036,Tied_soldier,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}]",묶인 전투원,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10037,Silvertransporter_m_Quest_3,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1180, ""Population"": 1, ""TimeRespawn"": 60.0}]",전투병,,2,0,32,21,32,21,1,1,0,2,5,1,1,300,300,2,1,105,2,26,2,2,0
10040,PhantomKnight,5,몬스터,64,49,6,icon_item_nothing,1,,,유령 갑옷,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10041,PhantomKnight_S,5,몬스터,64,49,6,icon_item_nothing,1,,,유령 갑옷,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10042,PhantomKnight_Elite,5,몬스터,64,49,6,icon_item_nothing,1,,,대형 유령 갑옷,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10043,Stone01,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1041, ""Population"": 9, ""TimeRespawn"": 60.0}, {""Map"": 1271, ""Population"": 31, ""TimeRespawn"": 60.0}, {""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}, {""Map"": 1741, ""Population"": 3, ""TimeRespawn"": 60.0}, {""Map"": 2541, ""Population"": 7, ""TimeRespawn"": 60.0}, {""Map"": 2581, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 3540, ""Population"": 10, ""TimeRespawn"": 30.0}, {""Map"": 3580, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 3960, ""Population"": 10, ""TimeRespawn"": 30.0}]",돌,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10044,Stone02,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}]",돌,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10045,Stone03,5,몬스터,64,49,6,icon_item_nothing,1,,"[{""Map"": 1261, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1441, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}, {""Map"": 1544, ""Population"": 10, ""TimeRespawn"": 30.0}, {""Map"": 3270, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3420, ""Population"": 1, ""TimeRespawn"": 60.0}]",돌,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10046,Silvertransporter_m_dir,5,몬스터,64,49,6,icon_item_nothing,1,,,전투병,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10094,MeteorStrike,5,몬스터,64,49,6,icon_item_nothing,1,,,MeteorStrike,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10096,Blizzard,5,몬스터,64,49,6,icon_item_nothing,1,,,Blizzard,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10097,LivingFlame,5,몬스터,64,49,6,icon_item_nothing,1,,,LivingFlame,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10099,HiddenFlameSeed,5,몬스터,64,49,6,icon_item_nothing,1,,,HiddenFlameSeed,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10120,GhostGirl,5,몬스터,64,49,6,icon_item_nothing,1,,,신도 유령,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
