$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642001,COLLECT_101,"[[""STR"", 1], [""INT"", 1]]",우물 속에서 발견된 낡은 유품입니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.,icon_item_box,,,"[645461, 645228, 645229, 645151, 645451, 645403]",,,,,,몬스터 표본 세트,1,0.0,0.0,FFTF,4,0.0
642002,COLLECT_102,"[[""STR"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[649001, 649002, 649003, 649006, 645268]",,,,,,광석 컬렉션,1,0.0,0.0,FFTF,4,0.0
642003,COLLECT_103,"[[""CON"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645024, 645461, 645379]",,,,,,꽃 컬렉션,1,0.0,0.0,FFTF,4,0.0
642004,COLLECT_104,"[[""INT"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645267, 645333, 645435, 645364]",,,,,,뼈 컬렉션,1,0.0,0.0,FFTF,4,0.0
642005,COLLECT_105,"[[""SPR"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645439, 645292, 645162]",,,,,,수정 컬렉션,1,0.0,0.0,FFTF,4,0.0
642006,COLLECT_106,"[[""DEX"", 5]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645410, 645450, 645428, 645411, 645401]",,,,,,왕릉 컬렉션,1,0.0,0.0,FFTF,4,0.0
642007,COLLECT_107,"[[""Critical Attack"", 10]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645455, 645454, 645419, 645194]",,,,,,코카트리스 컬렉션,1,0.0,0.0,FFTF,4,0.0
642008,COLLECT_108,"[[""Magic Defense"", 10]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645130, 645142, 645221, 645192, 645197, 645421]",,,,,,악마 컬렉션,1,0.0,0.0,FFTF,4,0.0
642009,COLLECT_109,"[[""STR"", 1], [""INT"", 1]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645453, 645334, 645320, 645430, 645142]",,,,,,테넷 성당 컬렉션,1,0.0,0.0,FFTF,4,0.0
642010,COLLECT_110,"[[""Defense"", 4]]",아이템을 수집할 수 있는 컬렉션입니다. 마우스 오른쪽 버튼 클릭으로 등록할 수 있습니다.,icon_item_box,,,"[645348, 645193, 645400]",,,,,,유령 컬렉션,1,0.0,0.0,FFTF,4,0.0
