$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
1,set_001,광역 공격 비율 {img green_up_arrow 16 16}1 증가,,,,,,"[522110, 532110]",라이트 플레이트 세트
2,set_002,방어력 {img green_up_arrow 16 16}6 증가,,,,,,[532111],제가 세트
3,set_003,암흑 추가 대미지 {img green_up_arrow 16 16}30 증가,,,,,,"[522112, 532112]",마기 세트
4,set_004,이동속도 {img green_up_arrow 16 16}5 증가,,,,,,"[522113, 532113]",주드 세트
5,set_005,불 속성 저항력 {img green_up_arrow 16 16}15 증가,,,,,,"[522114, 532114]",이스민 세트
7,set_007,HP 회복 {img green_up_arrow 16 16}16 증가,모든 스탯 {img green_up_arrow 16 16}1 증가,기본 공격 시 땅 속성 공격 {img green_up_arrow 16 16}12 추가,,,,"[502123, 512123, 522123, 532123]",카프리선 세트
8,set_008,불 속성 저항력 {img green_up_arrow 16 16}16 증가,,,,,,"[532150, 522150]",리에나 세트
9,set_009,불 속성 저항력 {img green_up_arrow 16 16}16 증가,,,,,,"[532151, 522151]",리에나 세트
10,set_010,불 속성 저항력 {img green_up_arrow 16 16}16 증가,,,,,,"[532152, 522152]",리에나 세트
11,set_011,악마형 대상 공격력 {img green_up_arrow 16 16}6 증가,악마형 대상 공격력 {img green_up_arrow 16 16}8 증가,기본 공격 시 1% 확률로{nl} 30초간 악마형 대상 공격력 {img green_up_arrow 16 16}157 증가,,,,"[502153, 512153, 522153, 532153]",파수꾼 세트
12,set_012,모든 스탯 {img green_up_arrow 16 16}3 증가,,,,,,"[603106, 583105]",어보미네이션 세트
13,set_013,체력 스탯 {img green_up_arrow 16 16}5 증가,스태미나 {img green_up_arrow 16 16}10 증가,땅 속성 공격 피격 시{nl}10초 동안 기본 공격 시{nl}중첩 당 1의 땅 속성 공격을{nl}추가하는 대지의 분노 버프 발생{nl}(최대 30 중첩),,,,"[502154, 512154, 522154, 532154]",대지의 천 방어구 세트
14,set_014,체력 스탯 {img green_up_arrow 16 16}5 증가,스태미나 {img green_up_arrow 16 16}10 증가,땅 속성 공격 피격 시{nl}10초 동안 기본 공격 시{nl}중첩 당 1의 땅 속성 공격을{nl}추가하는 대지의 분노 버프 발생{nl}(최대 30 중첩),,,,"[502155, 512155, 522155, 532155]",대지의 가죽 방어구 세트
15,set_015,체력 스탯 {img green_up_arrow 16 16}5 증가,스태미나 {img green_up_arrow 16 16}10 증가,땅 속성 공격 피격 시{nl}10초 동안 기본 공격 시{nl}중첩 당 1의 땅 속성 공격을{nl}추가하는 대지의 분노 버프 발생{nl}(최대 30 중첩),,,,"[502156, 512156, 522156, 532156]",대지의 판금 방어구 세트
16,set_016,어둠 속성 저항력 {img green_up_arrow 16 16}10 증가,정신 {img green_up_arrow 16 16}6 증가,악마형 대상에게 피격 시 1% 확률로 5초동안 SP 200회복,,,,"[502157, 512157, 522157, 532157]",르귄가문의 천 방어구 세트
17,set_017,어둠 속성 저항력 {img green_up_arrow 16 16}10 증가,정신 {img green_up_arrow 16 16}6 증가,악마형 대상에게 피격 시 1% 확률로 5초동안 SP 200회복,,,,"[502158, 512158, 522158, 532158]",르귄가문의 가죽 방어구 세트
18,set_018,어둠 속성 저항력 {img green_up_arrow 16 16}10 증가,정신 {img green_up_arrow 16 16}6 증가,악마형 대상에게 피격 시 1% 확률로 5초동안 SP 200회복,,,,"[502159, 512159, 522159, 532159]",르귄가문의 판금 방어구 세트
20,set_020,민첩 {img green_up_arrow 16 16}6 증가,,,,,,"[522187, 532187]",벨니아몽키 세트
21,set_021,마법 방어력 {img green_up_arrow 16 16}5 증가,마법 방어력 {img green_up_arrow 16 16}10 증가,지능 {img green_up_arrow 16 16}15 증가,,,,"[502188, 512188, 522188, 532188]",엘고스 세트
22,set_022,물리 방어력 {img green_up_arrow 16 16}5 증가,물리 방어력 {img green_up_arrow 16 16}10 증가,회피 {img green_up_arrow 16 16}15 증가,,,,"[502189, 512189, 522189, 532189]",이브레 세트
23,set_023,어둠 속성 저항력 {img green_up_arrow 16 16}10 증가,어둠 속성 저항력 {img green_up_arrow 16 16}20 증가,HP {img green_up_arrow 16 16}1020 증가,,,,"[502190, 512190, 522190, 532190]",그리나스 세트
24,set_024,"기본 공격 시 8초간 포라포레-가열 중첩{nl}포라포레-가열 20중첩시 10초 동안{nl}빛, 어둠 속성 추가 대미지가 자신의 마법 방어력의 {img green_up_arrow 16 16}8%만큼 증가{nl}(각 속성별 최대 3,000 증가)",,,,,,"[603103, 603104]",포라포레 세트
25,set_025,얼음 속성 추가 대미지 {img green_up_arrow 16 16}12 증가,얼음 속성 추가 대미지 {img green_up_arrow 16 16}26 증가,찌르기류 방어력 {img green_up_arrow 16 16}25 증가,,,,"[503114, 513114, 523114, 533114]",비르토브 세트
26,set_026,얼음 속성 추가 대미지 {img green_up_arrow 16 16}12 증가,얼음 속성 추가 대미지 {img green_up_arrow 16 16}26 증가,때리기류 방어력 {img green_up_arrow 16 16}25 증가,,,,"[503115, 513115, 523115, 533115]",비르토브 레더 세트
27,set_027,얼음 속성 추가 대미지 {img green_up_arrow 16 16}12 증가,얼음 속성 추가 대미지 {img green_up_arrow 16 16}26 증가,베기류 방어력 {img green_up_arrow 16 16}25 증가,,,,"[503116, 513116, 523116, 533116]",비르토브 플레이트 세트
28,set_028,SP 회복 {img green_up_arrow 16 16}100 증가,땅 속성 추가 대미지 {img green_up_arrow 16 16}42 증가,지능 {img green_up_arrow 16 16}25 증가,,,,"[504106, 514106, 524106, 534106]",롤로팬서 세트
29,set_029,치명타 발생 {img green_up_arrow 16 16}46 증가,땅 속성 추가 대미지 {img green_up_arrow 16 16}42 증가,민첩 {img green_up_arrow 16 16}25 증가,,,,"[504107, 514107, 524107, 534107]",롤로팬서 레더 세트
30,set_030,HP 회복 {img green_up_arrow 16 16}190 증가,땅 속성 추가 대미지 {img green_up_arrow 16 16}42 증가,힘 {img green_up_arrow 16 16}25 증가,,,,"[504108, 514108, 524108, 534108]",롤로팬서 플레이트 세트
31,set_031,,마법 방어력 {img green_up_arrow 16 16}10 증가,,,,,"[582119, 602116, 602116]",브론자 세트
32,set_032,,마법 방어력 {img green_up_arrow 16 16}14 증가,,,,,"[582120, 602117, 602117]",아르진트 세트
33,set_033,,마법 방어력 {img green_up_arrow 16 16}18 증가,,,,,"[582121, 602118, 602118]",아우르 세트
34,set_034,,마법 방어력 {img green_up_arrow 16 16}22 증가,,,,,"[582122, 602119, 602119]",플라티나 세트
35,set_035,HP 회복력 {img green_up_arrow 16 16}240 증가,모든 스탯 {img green_up_arrow 16 16}6 증가,"기본 공격 시 냉기 속성 공격{img green_up_arrow 16 16}110 추가{nl}힘, 정신 스탯 {img green_up_arrow 16 16}12 증가",,,,"[502208, 512208, 522208, 532208]",마나하스 세트
36,set_036,,모든 스탯 {img green_up_arrow 16 16}25 증가,최대 SP {img green_up_arrow 16 16}1437 증가,,땅 속성 추가 대미지 {img green_up_arrow 16 16}162,마법 공격력 {img green_up_arrow 16 16}571 증가{nl} 마법 치명타 공격력 {img green_up_arrow 16 16}69 증가,"[534109, 524109, 514109, 504109, 584106, 604104, 604104]",솔미키 천 세트
37,set_037,,모든 스탯 {img green_up_arrow 16 16}25 증가,물리 치명타 공격력 {img green_up_arrow 16 16}225 증가{nl}명중 {img green_up_arrow 16 16}100 증가,,회피 {img green_up_arrow 16 16}48 증가{nl}치명타 발생 {img green_up_arrow 16 16}72 증가,물리 공격력 {img green_up_arrow 16 16}818 증가,"[534110, 524110, 514110, 504110, 584107, 604105, 604105]",솔미키 가죽 세트
38,set_038,,모든 스탯 {img green_up_arrow 16 16}25 증가,최대 HP {img green_up_arrow 16 16}3942 증가,,물리 방어력 {img green_up_arrow 16 16}201 증가{nl}악마형 대상에게 피격 시{nl}5% 확률로 5초간 1초당{nl} 자신의 최대 체력의{nl}2% 만큼 체력 회복{nl}(재사용 대기시간 10초),마법 방어력 {img green_up_arrow 16 16}247 증가{nl}물리 공격력 {img green_up_arrow 16 16}571 증가,"[534111, 524111, 514111, 504111, 584108, 604106, 604106]",솔미키 판금 세트
39,set_039,치명타 발생 {img green_up_arrow 16 16}30 증가,물리  공격력 {img green_up_arrow 16 16}120 증가{nl} 광역 공격 비율 {img green_up_arrow 16 16}1 증가{nl} 5회 공격시 1000 ~ 3000의 추가 대미지 효과,,,,,"[584109, 604107, 604107]",바르파스 세트
40,set_040,마법 치명타 공격력 {img green_up_arrow 16 16}60 증가,마법  공격력 {img green_up_arrow 16 16}120 증가{nl} 광역 공격 비율 {img green_up_arrow 16 16}1 증가{nl} 5회 공격시 1000 ~ 3000의 추가 대미지 효과,,,,,"[584110, 604108, 604108]",배리오 세트
41,set_041,,,,,,,[11119],길드 배틀 1위 세트
42,set_042,,,,,,,[11120],길드 배틀 2위 세트
43,set_043,,,,,,,[11121],길드 배틀 3위 세트
44,set_044,물리 방어력 {img green_up_arrow 16 16}50 증가{nl}마법 방어력{img green_up_arrow 16 16}50 증가,대형 대상 공격력 {img green_up_arrow 16 16}200 증가{nl}광역 공격 비율{img green_up_arrow 16 16}1 증가,,,,,"[580010, 600014, 600015]",화이트데이 세트
45,set_045,체력 {img green_up_arrow 16 16}25 증가,"속성 저항력만큼 속성 공격력 증가 {nl}- 적용 속성: 불, 얼음, 전기, 독, 어둠, 신성, 땅, 염{nl}- 각 속성당 최대 300까지 전환",,,,,"[584112, 604110, 604110]",카이트 무어 세트
46,set_046,광역 공격 비율 {img green_up_arrow 16 16}1 증가{nl} 물리 치명타 공격력 {img green_up_arrow 16 16}231,일정 확률로 주위의 적 최대 10명에게 2000 ~ 3000 추가대미지를줍니다.{nl}- 주위의 적 수에 따라 확률이 증가합니다.{nl} - 최대 20%까지 증가,,,,,"[584114, 604112, 604112]",프리에노 세트
47,set_047,HP {img green_up_arrow 16 16}1023 증가{nl}민첩 {img green_up_arrow 16 16}10,"1회 피격시 물리, 마법 방어력이 10씩 상승합니다. 50스택 달성시 물리, 마법방어력 500 추가 증가 후 10초간 유지됩니다.",,,,,"[584113, 604111, 604111]",파시우테스 세트
48,set_048,마법 공격력 {img green_up_arrow 16 16}120증가,1회 공격시 마법 공격력 2씩 증가합니다. 최대 50회 중첩 가능하며 50회 중첩시 마법 공격력 250이 추가 증가합니다.,,,,,"[584111, 604109, 604109]",라느키 시트 세트
52,set_052,물리 공격력 {img green_up_arrow 16 16}60 증가{nl}마법 공격력{img green_up_arrow 16 16}60 증가,이동속도 {img green_up_arrow 16 16}2 증가,,,,,"[580013, 580014, 600027, 600027, 600026, 600026]",2018년 화이트데이 세트
53,set_053,'벨코퍼 둥지'에서 받는 대미지 감소 10%,,,,,,"[19004, 633093]",벨코퍼 코스튬 세트
54,set_054,,,,,,,[11131],콜로니전 베타 세트
55,set_055,,,,,,,[11132],콜로니전 베타 세트
56,set_056,,"강화: 브레이슬릿 , 네클리스 11강화 이상부터 강화 1당 치명타 발생 10 증가{nl} {nl} 초월: 브레이슬릿 , 네클리스 초월 1당 치명타 발생 5증가{nl} {nl} (최대 치명타 발생 350까지 증가)",,,,,"[584115, 604115, 604115]",네파그리타스 세트
57,set_057,,400레벨 이하의 적에게 후방 공격 판정일 경우 적의 블럭 확률을 무시합니다.,,,,,"[584116, 604116, 604116]",네메트마스 세트
58,set_058,,"착용자의 최대 HP, 물리 방어력, 마법 방어력 50%를 소환수에게 이전합니다.{nl} {nl}최대 이전 가능 수치{nl}최대 HP: 30,000 {nl}방어력: 6,000",,,,,"[584117, 604117, 604117]",렌고베스 세트
59,set_059,"불, 얼음, 전기, 독, 어둠, 신성, 땅, 염 속성 저항력 {img green_up_arrow 16 16}150 증가","공격시 속성 저항력만큼 신성 속성 추가 대미지 증가 {nl}- 적용 속성: 불, 얼음, 전기, 독, 어둠, 신성, 땅, 염(최대: 1,500 증가){nl} {nl}드래곤 기운 2단계 효과{nl}마법 방어력의 8%만큼 신성 속성 공격력이 증가합니다.(최대 4,000 증가)",,,,,"[585002, 605002, 605002]",드라코나스 카이트 무어 세트
60,set_060,광역 공격 비율 {img green_up_arrow 16 16} 3증가{nl}물리 치명타 공격력 {img green_up_arrow 16 16} 353증가,20% 확률로 피격된 적을 포함한 주변 10명에게 5000 ~ 8000의 대미지를 입힙니다.{nl} {nl}드래곤 기운 2단계 효과{nl}대상 적이 적을수록 드라코나스 프리에노의 대미지가 10%씩 상승합니다.,,,,,"[585004, 605004, 605004]",드라코나스 프리에노 세트
61,set_061,치명타 발생 {img green_up_arrow 16 16}135증가{nl}물리 치명타 공격력  {img green_up_arrow 16 16}657증가,강화: 치명타 발생 (5 * 악세사리 강화 총합)만큼 상승합니다.(최대 150까지 적용){nl} {nl}드래곤 기운 2단계 효과{nl}초월: 장착시 드래곤 기운이 있을 경우 물리 치명타 공격력 (30 * 악세사리 초월 수치 총합)만큼 상승합니다.,,,,,"[585003, 605003, 605003]",드라코나스 파시우테스 세트
62,set_062,체력 {img green_up_arrow 16 16} 35증가{nl}캐스팅 시간 10% 감소{nl}  마법 치명타 공격력 {img green_up_arrow 16 16}452증가,"공격시 5% 확률로 3초간 적 을 묶어둡니다.{nl} {nl}드래곤 기운 2단계 효과{nl}묶인 적은 마법 방어력이 15% 감소합니다.{nl} 엘리트, 보스급 몬스터는 방어력 감소만 적용됩니다.",,,,,"[585001, 605001, 605001]",드라코나스 리느키 시트 세트
63,set_063,,공격시 5% 확률로 광폭화가 발동합니다.{nl} {nl}광폭화{nl}5초 동안 치명타 발생 10% 증가 (최대 200 상승),,,,,"[584118, 604118, 604118]",어비스 이레디안 세트
64,set_064,,피격시 3% 확률로 세비사 - 보호가 발동됩니다.{nl} {nl} 세비사 - 보호 {nl}받는 피해 감소 {img green_down_arrow 16 16}10% {nl} 이동 속도 {img green_up_arrow 16 16}5{nl}(10초 지속),,,,,"[584119, 604119, 604119]",세비사 이레디안 세트
67,set_067,'흰 까마귀 영면지'에서 받는 대미지 감소 10%,,,,,,"[10017, 633216]",벨코퍼 코스튬 세트
68,set_068,,"강화: 강화 수치당 마법 치명타 공격력 45증가 (최대 2,100){nl} {nl}초월: 초월 수치당 마법 치명타 공격력 30증가",,,,,"[585005, 605005, 605005]",카르나스 메지자 세트
69,set_069,,강화: 강화 수치당 치유력 8증가 (최대 400){nl} {nl}초월: 초월 수치당 치유력 16증가,,,,,"[585006, 605006, 605006]",카나스 자이스티 세트
70,set_070,,"강화: 강화 수치당 물리 치명타 공격력 45증가 (최대 2,100){nl} {nl}초월: 초월 수치당 물리 치명타 공격력 30증가",,,,,"[585007, 605007, 605007]",카나스 피지니스 세트
71,set_071,,"세트 장신구 초월 합계가 30일 때,{nl}중형 대상 공격력 증가{nl} - 세트 강화 합계 1당 40 증가{nl}(최대 2,000 증가)",,,,,"[585008, 605008, 605008]",피크티스 세트
72,set_072,,"자신의 광역 방어 비율에 따라 '리버레이트: 인내'의 지속시간 증가{nl} - 광역 방어 비율 * 0.4 초 만큼 증가{nl}(최대 6초 증가){nl} {nl}세트 장신구 초월 합계가 30일 때,{nl}리버레이트 : 인내 시전시 300 범위 내의 파티원에게 버프 시전{nl} - 버프 대상 받는 대미지 50% 감소{nl} - 캐스터의 리버레이트 : 인내 지속시간의 (세트 강화 합계)%만큼 지속 (최대 63%)",,,,,"[585009, 605009, 605009]",칸트리베 세트
73,set_073,,"매스 힐 사용 시 자신을 제외한 아군에게 12초간 버프 부여{nl} - 버프 대상이 주는 대미지 10% 증가{nl} - 캐스터의 마법 치명타 공격력의 0.3%만큼 추가 증가{nl}(추가 증가량은 최대 20%, 총 30%){nl} {nl}세트 장신구 초월 합계가 30일 때,{nl} 매스 힐 사용 시 10초동안{nl}(세트 강화 합계 / 2)% 만큼 치유력 증가, 이동속도 3초간 10 증가{nl}(치유력 증가량 최대 32%)",,,,,"[585010, 605010, 605010]",주오다 세트
74,set_074,'나비목 접선지'에서 모링포니아에게 받는 대미지 감소 10%,"'나비목 접선지'에서 물리 방어력, 마법 방어력 1,000 증가",,,,,"[633253, 10028, 637034]",피르마스 탄타이저 코스튬 세트
75,set_075,'나비목 접선지'에서 모링포니아에게 주는 대미지 10% 증가,"'나비목 접선지'에서 물리 공격력 1,000 증가",,,,,"[633264, 10031, 637037]",안트라스 탄타이저 코스튬 세트
76,set_076,'나비목 접선지'에서 탄타이저에게 받는 대미지 감소 10%,'나비목 접선지'에서 치유력 10% 증가,,,,,"[633254, 10029, 637035]",피르마스 모링포니아 코스튬 세트
77,set_077,'나비목 접선지'에서 탄타이저에게 주는 대미지 10% 증가,"'나비목 접선지'에서 마법 공격력 1,000 증가",,,,,"[633265, 10032, 637038]",안트라스 모링포니아 코스튬 세트
78,set_078,,최대 HP + 2000{nl}  최대 SP + 500{nl}  이동속도 + 2,,,,,"[584123, 604123, 604123]",이스비키마스 세트
