$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* 從敵人的後方進行短劍基本攻擊時{nl}    每特性等級2%的追加傷害{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_daggermastery,False,5,"[5005, 5010]",,掌握短劍：急襲,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10018,MaxWeightAbil,SKILL_20190408_009666{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_maxweightabil,False,10,"[3005, 3015, 4002, 4007, 5006]",,最大重量增加,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3015"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
10019,CompMastery1,* 寵物的耐力消耗周期時間每特性等級{nl}    增加10秒{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_compmastery1,False,5,"[3002, 3014]",,掌握寵物：毅力,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10020,CompMastery2,* 寵物的HP在50%以下時2秒內獲得[緊急治療]效果{nl}    HP持續恢復{nl}* 從2級開始持續時間每特性等級增加1{nl}* [緊急治療]以後10分內變成[無法緊急治療]狀態{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_compmastery2,False,4,"[3002, 3014]",,寵物緊急治療,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}","[12, 13, 14, 15, 12, 13, 14, 15]"
10026,THMace_SR,* 配戴[雙手鈍器]時廣域攻擊比率增加5{nl},{nl}{b}角色100級以上{b},ability_cleric_thmace2,False,1,[4011],,掌握雙手純器：聖殿十字軍,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10027,THMace_BLKBREAK,* 配戴[雙手鈍器]時格擋貫穿增加85{nl},{nl}{b}角色100級以上{b},ability_cleric_thmace,False,1,[4009],,掌握雙手純器：武僧,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10028,SwordMastery_DEForATK,* 同時裝備[盾牌]和[單手劍]時，武器攻擊力的 20%{nl}    轉換成物理防禦力{nl}* 裝備不是[盾牌]的輔助武器和[單手劍]時，攻擊速度增加{nl},{nl}{b}角色100級以上{b},ability_warrior_sword2,False,1,[1001],,掌握單手劍：戰鬥準備,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",[30]
10029,StaffMastery,* [權杖]裝備時，施展速度減少50%{nl},{nl}{b}角色等級1以上{b},ability_wizard_staffmastery,False,1,[2001],,掌握權杖,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",[15]
10030,THMace_StrikeDamage,* 裝備[雙手鈍器]時，打擊屬性給予的傷害增加10%。{nl},{nl}{b}角色1級以上{b},ability_cleric_thmace,False,1,[4001],,掌握雙手鈍器：打擊,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",[15]
101001,Swordman1,* [痛擊]的技能系數每特性等級增加 0.5%。{nl} * 為最高等級大師時，額外增加 10%。{nl},{nl}{b}痛擊1級以上{b},ability_warrior_swordman1,False,100,,[10002],痛擊：強化,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": ""Swordman_Bash""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
