$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644001,card_Gaigalas,[欄位裝備效果] 大地屬性傷害追加 +[★*10],icon_item_card_util,027_boss_gaigalas,,,,,41220,,,,1,0,魔龍凱拉斯卡片,500,205,4,201,0.0,0.0,TTTT,4,5,1.0
644002,card_GazingGolem,[欄位裝備效果]被攻擊時以[★]%機率使用苦痛屏障(持續時間15秒),icon_item_card_util,108_boss_gazinggolem,,,,,47322,,,,0,4,凱吉青苔泥人卡片,500,324,2,4860,0.0,0.0,TTTT,4,5,1.0
644003,card_Gorgon,[欄位裝備效果] 打擊類防禦力 +[★*10],icon_item_card_def,064_boss_gorgon,,,,,800042,,,,0,1,庫勒坤魔牛卡片,500,190,4,1360,0.0,0.0,TTTT,4,1,1.0
644004,card_Golem,[欄位裝備效果] 使用HP藥水種類時，10秒內物理防禦力 +[★]%。,icon_item_card_def,003_boss_golem,,,,,450221,,,,1,4,青苔泥人卡片,500,215,2,6192,0.0,0.0,TTTT,4,1,1.0
644005,card_Grinender,[欄位裝備效果] 給予空中型怪物的傷害增加[★]%。,icon_item_card_atk,056_boss_grinender,,,,,41374,,,,2,4,克萊獰怪卡片,500,305,1,214,0.0,0.0,TTTT,4,0,1.0
644006,card_Glass_mole,[欄位裝備效果] 使用SP藥水種類時，6秒內物理傷害+[★]%。,icon_item_card_atk,012_boss_glass_mole,,,,,41367,,,,4,0,葛雷斯墨爾卡片,500,192,4,860,0.0,0.0,TTTT,4,0,1.0
644007,card_ginklas,[欄位裝備效果] 板金鎧甲給予敵人的傷害增加[★/2]%。,icon_item_card_atk,091_boss_ginklas,[642013],,,,41208,,[18018],,2,4,奇葛拉斯卡片,500,320,2,1053,0.0,0.0,TTTT,4,0,1.0
644008,card_NetherBovine,[欄位裝備效果] 力量屬性 +[★],icon_item_card_stat,026_boss_netherbovine,,,,,800001,,,,0,1,尼多普巴伊卡片,500,195,4,966,0.0,0.0,TTTT,4,4,1.0
644009,card_necrovanter,[欄位裝備效果] 黑暗屬性追加傷害 +[★*10],icon_item_card_util,044_boss_necrovanter,[642011],"[642907, 642919, 642941]",,,800002,,,,0,1,地獄亡靈卡片,500,416,1,144,0.0,0.0,TTTT,4,5,1.0
644010,card_deadbone,[欄位裝備效果] 物理暴擊攻擊力 +[★*20],icon_item_card_atk,014_boss_deadbone,,,,,41203,,,,0,4,鐵甲僵屍卡片,500,333,2,207,0.0,0.0,TTTT,4,0,1.0
644011,card_Devilglove,[欄位裝備效果] 給予變異型屬性怪的傷害增加[★]%。,icon_item_card_atk,072_boss_devilglove,,,,,41385,,,,0,4,惡魔葛洛夫卡片,500,127,5,98,0.0,0.0,TTTT,4,0,1.0
