$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
1,set_001,廣域攻擊比率增加 {img green_up_arrow 16 16}1 ,,,,,,"[522110, 532110]",輕巧鋼鐵套組
2,set_002,防禦力增加 {img green_up_arrow 16 16}6 ,,,,,,[532111],傑卡套裝
3,set_003,暗黑追加傷害 {img green_up_arrow 16 16}30增加,,,,,,"[522112, 532112]",魔氣套裝
4,set_004,移動速度增加 {img green_up_arrow 16 16}5 ,,,,,,"[522113, 532113]",朱特套裝
5,set_005,火屬性抵抗力增加 {img green_up_arrow 16 16}15 ,,,,,,"[522114, 532114]",伊斯敏套裝
7,set_007,HP 恢復{img green_up_arrow 16 16}16增加,所有屬性  {img green_up_arrow 16 16}1增加,基本攻擊時地屬性追加傷害 {img green_up_arrow 16 16}12 追加,,,,"[502123, 512123, 522123, 532123]",卡普利頌套裝
8,set_008,火屬性抵抗力 {img green_up_arrow 16 16}16增加,,,,,,"[532150, 522150]",里艾那套裝
9,set_009,火屬性抵抗力 {img green_up_arrow 16 16}16增加,,,,,,"[532151, 522151]",里艾那套裝
10,set_010,火屬性抵抗力 {img green_up_arrow 16 16}16增加,,,,,,"[532152, 522152]",里艾那套裝
11,set_011,惡魔型對象攻擊力 {img green_up_arrow 16 16}6增加,惡魔型對象攻擊力 {img green_up_arrow 16 16}8增加,基本攻擊時有 1%的機率{nl} 30秒內惡魔型對象攻擊力 {img green_up_arrow 16 16}157 增加,,,,"[502153, 512153, 522153, 532153]",看守者套組
12,set_012,所有屬性 {img green_up_arrow 16 16}3增加,,,,,,"[603106, 583105]",鐵甲殘魔套組
13,set_013,體力屬性 {img green_up_arrow 16 16}5增加,耐力 {img green_up_arrow 16 16}10增加,遭受地屬性攻擊時{nl}10秒內進行基本攻擊時{nl}每1次疊加地屬性攻擊{nl}可追加之大地的憤怒BUFF{nl}(最多可疊加30次),,,,"[502154, 512154, 522154, 532154]",大地的布防具套裝
14,set_014,體力屬性 {img green_up_arrow 16 16}5增加,耐力 {img green_up_arrow 16 16}10增加,遭受地屬性攻擊時{nl}10秒內進行基本攻擊時{nl}每1次疊加地屬性攻擊{nl}可追加之大地的憤怒BUFF{nl}(最多可疊加30次),,,,"[502155, 512155, 522155, 532155]",大地的皮革防具套裝
