$ID,$ID_NAME,AnvilATK,AnvilDEF,AnvilPrice,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Link_Set,Material,Name,Potential,Price,RequiredClass,RequiredLevel,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,TranscendPrice,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,,,,100,2,icon_item_quest_00017,1,,,,,,,,,5,無_Outer,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,11,False,False,1.0
5,NoPants,,,,,,100,2,icon_item_quest_00017,1,,,,,,,,,5,無_Pants,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,0,False,False,1.0
6,NoGloves,,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 48, 49, 50, 51]","[2273, 2284, 2295, 2306, 2318, 2329, 2340, 2351, 2363, 2374, 2981, 3593, 4212, 4838, 5468, 6102, 6743, 7391, 8044, 8701, 9365, 10035, 10710, 11390, 12076, 12769, 13466, 14168, 14877, 15593, 16313, 17037, 17768, 18506, 19249, 19996, 20750, 21510, 22275, 23045]",,,100,2,icon_item_quest_00017,1,,,,,,,,,5,無_Gloves,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,16,False,False,1.0
7,NoBoots,,"[1, 3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 25, 26, 29, 30, 31, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 48, 49, 50, 51]","[2273, 2284, 2295, 2306, 2318, 2329, 2340, 2351, 2363, 2374, 2981, 3593, 4212, 4838, 5468, 6102, 6743, 7391, 8044, 8701, 9365, 10035, 10710, 11390, 12076, 12769, 13466, 14168, 14877, 15593, 16313, 17037, 17768, 18506, 19249, 19996, 20750, 21510, 22275, 23045]",,,100,2,icon_item_quest_00017,1,,,,,,,,,5,無_Boots,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,27,False,False,1.0
8,NoShirt,,,,,,100,2,icon_item_quest_00017,1,,,,,,,,,5,無_Shirt,0,0,TTTTT,1,0,0,1,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,28,False,False,1.0
10000,NoHelmet,,,,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,,,,5,無_helmet,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,,12,11,,False,False,0.0
10001,murmillo_helmet,,,,,劍鬥士的頭盔沒有損傷只有兩種可能。若不是第一次使用的新頭盔，在經過無數次試驗後依然毫無損傷的話，那必是非常偉大的道具。,-1,2,icon_item_sword_26,0,,,,,,,,,5,角鬥士頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10002,helmet_plaguedoctor,,,,,很多人認為瘟疫醫生的裝備中一定有滿滿的效果卓越的藥。雖然並沒錯，但滿滿的藥物常被認為是祭司的權能，這也是有才能的治療師與瘟疫醫生重要的差異。,-1,2,icon_item_sword_26,0,,,,,,,,,5,瘟疫醫生頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10005,helmet_weddingvail01,,,,,結婚典禮時新娘所配戴的頭紗。,-1,2,helmet_weddingvail,0,,,,,,,,,5,心動結婚禮服頭紗,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10006,helmet_fishbowl,,,,,可以近距離看水中魚兒的頭盔。,-1,2,icon_item_helmet_fishbowl,0,,,,,,,,,5,魚缸頭盔套裝,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10007,helmet_diver,,,,,最適合潛水的套裝。,-1,2,icon_item_helmet_diver,0,,,,,,,,,5,潛水頭盔套裝,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10008,DragoonHelmet,,,,,劍鬥士的頭盔沒有損傷只有兩種可能。若不是第一次使用的新頭盔，在經過無數次試驗後依然毫無損傷的話，那必是非常偉大的道具。,-1,2,icon_item_sword_26,0,,,,,,,,,5,龍騎士頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,12,11,9,False,False,0.0
10009,pumkin_helmet,,,,,戴上南瓜燈惡魔不再來。,-1,2,icon_item_pumkin_helmet,0,,,,,,,,,5,傑克南瓜燈頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10010,helmet_Rudolf01,,,,,魯道夫的紅鼻子是希望的象徵。,-1,2,icon_item_helmet_rudolph,0,,,,,,,,,5,魯道夫頭盔套裝,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10011,helmet_weddingvail02,,,,,新娘在婚禮人生最重要的瞬間所戴的面紗。{nl}穿上外觀會改變。,-1,2,helmet_weddingvail02,0,,,,,,,,,5,婚禮面紗,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10012,helmet_astronaut,,,,,據說是穿越星空的遙遠路途必須的太空人面罩。{nl}穿戴時將改變外型。,-1,2,icon_item_astronaut_helmet,0,,,,,,,,,5,小熊座太空人面罩,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10013,helmet_astronaut02,,,,,據說是穿越星空的遙遠路途必須的太空人面罩。{nl}穿戴時將改變外型。,-1,2,icon_item_helmet_astronaut02,0,,,,,,,,,5,人馬座太空人面罩,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10014,helmet_romance01,,,,,兩側螺旋捲髮，令人印象深刻一雙水汪汪的大眼睛，此為貴族名媛臉孔。{nl}配戴後外觀會改變。,-1,2,icon_item_helmet_romance01,0,,,,,,,,,5,螺旋捲髮貴族臉孔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10015,helmet_romance02,,,,,歷經各種事件受到衝擊而變得蒼白的玫瑰騎士臉孔。{nl}配戴後外觀會改變。,-1,2,icon_item_helmet_romance02,0,,,,,,,,,5,震驚的玫瑰騎士臉孔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10017,helmet_baniclips,,,,,可以偽裝成芭娜克爾立斯。,-1,2,icon_item_helmet_baniclips_m,0,,[642949],,,,,,67,5,芭娜克爾立斯頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10018,helmet_galaxy01,,,,,侍奉夜星的騎士所使用的頭盔。{nl}戴上外觀會改變。,-1,2,item_icon_helmet_galaxy01,0,,,,,,,,,5,夜星騎士頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10019,helmet_galaxy02,,,,,守護夜星的禁衛兵所使用的頭盔。{nl}戴上外觀會改變。,-1,2,item_icon_helmet_galaxy02,0,,,,,,,,,5,夜星禁衛兵頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10020,helmet_galaxy03,,,,,宣傳夜星的傳令所使用的頭盔。{nl}戴上外觀會改變。,-1,2,item_icon_helmet_galaxy03,0,,,,,,,,,5,夜星傳令頭盔,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
10021,helmet_blackbear,,,,,台版3週年紀念台灣黑熊頭套。{nl}戴上外觀會改變。,-1,2,item_icon_helmet_blackbear,0,,,,,,,,,5,台灣黑熊頭套,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,TTFT,,12,11,9,False,False,0.0
11000,NoArmband,,,,,,-1,2,icon_item_sword_1,0,,,,,,,,,5,無_armband,0,0,TTTTT,0,0,0,0,0,0,0,0,0,0.0,0.0,FFFF,,0,11,,False,False,0.0
11101,ABAND01_101,,,,,如果背著這個，對於區分我軍會有幫助。,-1,2,icon_item_artefact_armband,40,,,,,,,,,5,赤紅臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11102,ABAND01_102,,,,,如果綁太緊，血有可能不流通。,-1,2,icon_item_armband_cloth,40,,,,,,,[36002],,5,結繩臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11103,ABAND01_103,,,,,長度很長，在危急狀況之下，也可以當作繃帶來使用。,-1,2,icon_item_armband_clothlong,40,[642075],,,,,,,,5,長臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11104,ABAND01_104,,,,,裝飾有鳥的羽毛，耐久度不好，需要用心管理。,-1,2,icon_item_armband_feather,40,,,,,,,[36004],,5,羽毛臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11105,ABAND01_105,,,,,特別的提議之下使用，但也會為了耍師而裝備。,-1,2,icon_item_armband_tassel,40,,,,,,,[36005],,5,流蘇臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11106,ABAND01_106,,,,,給予參與第1次CBT的玩家，帶有感謝之意的道具。,-1,2,icon_item_artefact_armband_cbt1,1,,,,,,,,,5,太初救援者臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11107,ABAND01_107,,,,,如果背著這個，對於區分我軍會有幫助，另一方面對敵人來說也將我軍塑造成主要人物。,-1,2,icon_item_armband_chief,40,,,,,,,,,5,首領臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11108,ABAND01_108,,,,,如果背著這個，對於區分我軍會有幫助，另一方面對敵人來說也將我軍塑造成主要人物，依照情況有時能炫耀，有時也可能招來危機。,-1,2,icon_item_armband_silver,40,,,,,,,,,5,銀色臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11109,ABAND01_109,,,,,如果背著這個，對於區分我軍會有幫助。偶爾在人們面前故意顯露缺點也不錯。,-1,2,icon_item_armband_dia,40,,,,,,,,,5,鑽石臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11110,ABAND01_110,,,,,如果背著這個，對於區分我軍會有幫助。聽說也有人在流蘇上掛著紀念品，顯現自己的個性。,-1,2,icon_item_armband_singletassel,40,,,,,,,,,5,流蘇臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11111,ABAND01_111,,,,,如果背著這個，對於區分我軍會有幫助。與某些人的誤解不同，這手鐲的模樣與聖者大師沒有任何關係。,-1,2,icon_item_armband_shaman,40,,,,,,,,,5,薩滿臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11112,ABAND01_112,,,,,如果背著這個，對於區分我軍會有幫助。 有一說是王國的海軍力較弱的時代，有名的海賊團使用的裝飾。,-1,2,icon_item_armband_orient,40,,,,,,,,,5,東亞臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11113,ABAND01_113,,,,,這是送給參與季節限定伺服器的玩家，帶有感謝之意的小紀念品臂環。,-1,2,icon_item_armband_gold,1,,,,,,,,,5,黃金臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11114,ABAND01_114,,,,,如果背著這個，對於區分我軍會有幫助。 神樹之日後，就算是已經對樹或草厭煩的人們也一定會好好戴著這腕飾。,-1,2,icon_item_armband_leaf,40,,,,,,,,,5,葉紋臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11115,ABAND01_115,,,,,如果背著這個，對於區分我軍會有幫助。 這絕對不是把真的蜻蜓做成標本貼上去的。,-1,2,icon_item_armband_dragonfly1,40,,,,,,,,,5,蜻蜓臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11116,ABAND01_116,,,,,如果背著這個，對於區分我軍會有幫助，因為知道我軍的感覺..,-1,2,icon_item_armband_exclamationmark_icon,40,,,,,,,,,5,有感臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11117,ABAND01_117,,,,,如果背著這個，對於區分我軍會有幫助。戴著才不會自己送給誰當禮物了。,-1,2,icon_item_armband_ribbon,40,,,,,,,,,5,蝴蝶結臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11118,ABAND01_118,,,,,如果背著這個，對於區分我軍會有幫助。 而且會感覺受到很多人的支持。,-1,2,icon_item_armband_facebook,40,,,,,,,,,5,按讚腕飾,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11119,ABAND01_119,,,,,送給得到第1名的臂環。,-1,2,icon_item_armband_01,40,,,,,,,,41,5,第1名臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11120,ABAND01_120,,,,,送給得到第2名的臂環。,-1,2,icon_item_armband_02,40,,,,,,,,42,5,第2名臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11121,ABAND01_121,,,,,送給得到第3名的臂環。,-1,2,icon_item_armband_03,40,,,,,,,,43,5,第3名臂環,0,0,TTTTT,40,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",24,11,4,False,False,10.0
11122,ABAND01_122,,,,,先驅者所穿戴的臂環。,-1,2,icon_item_armband_freshness,1,,,,,,,,,5,先驅者臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11123,ABAND01_123,,,,,顯示此人為不良階級的臂環。,-1,2,icon_item_armband_skull,1,,,,,,,,,5,骷髏臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11124,ABAND01_124,,,,,上面有可愛兔子裝飾的臂環。,-1,2,icon_item_armband_bunny,1,,,,,,,,,5,巴尼茲臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11125,ABAND01_125,,,,,上面有白色愛心裝飾的臂環,-1,2,icon_item_armband_nurse,1,,,,,,,,,5,純白臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11126,ABAND01_126,,,,,祈禱地球幸福的救援者所配戴的臂環。,-1,2,icon_item_armband_g9,1,,,,,,,,,5,地球的幸福臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11127,ABAND01_127,,,,,模仿瓦卡麗涅疼愛的迪歐尼斯製成的臂環。,-1,2,icon_item_armband_dinios,1,,,,,,,,,5,迪歐尼斯臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11128,ABAND01_128,,,,,證明你是個性感腦袋的TOS專家臂環。,-1,2,icon_item_armband_e_speicialbrain,1,,,,,,,,,5,TOS 特別臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,FFFT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
11129,ABAND01_129,,,,,為紀念黃金狗年而製作的臂環。,-1,2,item_icon_armband_golddog2018,1,,,,,,,,,5,18K金臂環,0,0,TTTTT,1,0,0,0,0,0,0,0,0,0.0,0.0,TTTT,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",24,11,4,False,False,10.0
