$ID,$ID_NAME,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
-1,Moneybag1,,icon_item_silver,,,,,,,,銀幣,,,,FFFF,24,
201001,ColorSpray_1,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 黑色,11,1.0,0.0,TTTT,6,1.0
201002,ColorSpray_2,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 紅色,11,1.0,0.0,TTTT,6,1.0
201003,ColorSpray_3,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 白色,11,1.0,0.0,TTTT,6,1.0
201004,ColorSpray_4,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 橘色,11,1.0,0.0,TTTT,6,1.0
201005,ColorSpray_5,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 黃色,11,1.0,0.0,TTTT,6,1.0
201006,ColorSpray_6,合成道具製作其它道具,icon_item_small_bag,,,,,,,,噴槍 - 綠色,11,1.0,0.0,TTTT,6,1.0
300000,misc_collect_gimk_001,賢者大師給的紅色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_007,[642213],,,,,,,賢者大師的紅色書籤,1,0.0,0.0,FFFT,15,1.0
300001,misc_collect_gimk_002,賢者大師給的橘色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_006,[642213],,,,,,,賢者大師的橘色書籤,1,0.0,0.0,FFFT,15,1.0
300002,misc_collect_gimk_003,賢者大師給的黃色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_001,[642213],,,,,,,賢者大師的黃色書籤,1,0.0,0.0,FFFT,15,1.0
300003,misc_collect_gimk_004,賢者大師給的綠色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_002,[642213],,,,,,,賢者大師的綠色書籤,1,0.0,0.0,FFFT,15,1.0
300004,misc_collect_gimk_005,賢者大師給的淺藍色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_003,[642213],,,,,,,賢者大師的淺藍色書籤,1,0.0,0.0,FFFT,15,1.0
300005,misc_collect_gimk_006,賢者大師給的深藍色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_004,[642213],,,,,,,賢者大師的深藍色書籤,1,0.0,0.0,FFFT,15,1.0
300006,misc_collect_gimk_007,賢者大師給的紫色書籤，感受到微弱的神氣，圖鑑專用道具。,icon_item_misc_collect_gimk_005,[642213],,,,,,,賢者大師的紫色書籤,1,0.0,0.0,FFFT,15,1.0
300007,misc_collect_gimk_008,發光的銀色礦物碎片，使用在製作裝備上是有點小，但是大小剛好很適合收藏在箱子裡，圖鑑專用道具。,13_item_mythril,[642214],,,,,,,小祕銀礦石碎片,1,0.0,0.0,FFFT,15,1.0
300008,misc_collect_gimk_009,建國初期如果沒有獲得女神的恩賜就無法挖到的珍貴寶石，但現在採掘已沒有那麼困難了。使用在製作裝備上是有點小，但是大小剛好很適合收藏在箱子裡，圖鑑專用道具。,9_item_ore_orichalcon,[642214],,,,,,,小伊西汀礦石碎片,1,0.0,0.0,FFFT,15,1.0
300009,misc_collect_gimk_010,發出藍光的礦石。使用在製作裝備上是有點小，但是大小剛好很適合收藏在箱子裡，圖鑑專用道具。,5_item_ore_fluorite,[642214],,,,,,,小鈹德礦石碎片,1,0.0,0.0,FFFT,15,1.0
300010,misc_collect_gimk_011,石頭裡有各種顏色的寶石。使用在製作裝備上是有點小，但是大小剛好很適合收藏在箱子裡，圖鑑專用道具。,25_item_ore_opal,[642214],,,,,,,小貓眼石碎片,1,0.0,0.0,FFFT,15,1.0
300011,misc_collect_gimk_012,和紅寶石一樣是紅色系的寶石，但並不稀有。使用在製作裝備上是有點小，但是大小剛好很適合收藏在箱子裡，圖鑑專用道具。,26_item_ore_garnet,[642214],,,,,,,小石榴石碎片,1,0.0,0.0,FFFT,15,1.0
