$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
10001,Stone,5,弩箭手也會使用。,64,49,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",石頭,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10005,Bomb,5,名稱雖然是像那麼回事，和其它炸彈沒有什麼特別不同。,64,49,6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",布貝消滅用炸彈,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10006,Bomb_Score,5,怪物,64,49,6,icon_item_nothing,1,,,炸彈點數,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10007,Bomb_Defence,5,怪物,64,49,6,icon_item_nothing,1,,,定時炸彈,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10008,Bomb_Sin,5,怪物,64,49,6,icon_item_nothing,1,,,定時炸彈,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10009,StoneOBB,5,怪物,64,49,6,icon_item_nothing,1,,,OBB石頭,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10010,Wizard_M,5,怪物,64,49,6,icon_item_nothing,1,,,男魔法師,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10011,Bomb_RokasMission,5,怪物,64,49,6,icon_item_nothing,1,,,峽谷炸彈,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10015,Wizard_F,5,怪物,64,49,6,icon_item_nothing,1,,,女魔法師,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10016,Symbol_defence,5,怪物,64,49,6,icon_item_nothing,1,,,被破壞的封印,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10018,Symbol_sin,5,怪物,64,49,6,icon_item_nothing,1,,,罪惡的象徵,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10019,Symbol_Rescue,5,怪物,64,49,6,icon_item_nothing,1,,,(臨時)監獄管制裝置,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10020,SCS_M2_Mon,5,怪物,64,49,6,icon_item_nothing,1,,"[{""Map"": 3760, ""Population"": 20, ""TimeRespawn"": 60.0}]",警備兵,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10021,SCS_M2_Mon_DeadAin,5,怪物,64,49,6,icon_item_nothing,1,,,倒下的警備兵,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10022,SCS_M2_Mon_Guard,5,怪物,64,49,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3350, ""Population"": 3, ""TimeRespawn"": 60.0}]",夏奧雷伊警備兵,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
10023,Aos_Soldier,5,怪物,64,49,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1311, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1511, ""Population"": 0, ""TimeRespawn"": 60.0}]",傭兵,,2,0,32,21,32,21,1,1,0,2,5,1,1,3,3,2,1,105,2,26,2,2,0
