$ID,$ID_NAME,Description,Icon,Name,Type
11282,mon_paladin_follower1_2,怪物,icon_item_nothing,聖殿十字軍追隨者A2,2
11283,mon_paladin_follower1_3,怪物,icon_item_nothing,聖殿十字軍追隨者A3,2
12080,HiddenTrigge_DMINE8_QUEST04,怪物,icon_item_nothing,隱形觸發器怪物型,2
12081,f_katyn_owl01,怪物,icon_item_nothing,貓頭鷹雕像,2
20011,soldier1,,,補給兵,2
20012,soldier2,,,東邊森林偵察兵,2
20013,soldier3,,,補給負責官,2
20014,soldier4,,,警戒組長,2
20015,soldier5,,,監士兵,2
20016,soldier6,,,西邊森林偵察兵,2
20017,matron_f,,,村莊女子,2
20018,intermediate_officer_f,,,女將校,2
20019,soldier7,,,西邊森林偵察兵,2
20020,soldier6_KNOCKDOWN,,,倒下的士兵,2
20021,wizardmaster,,minimap_man_wizard,法師大師,2
20022,archermaster,,minimap_man_archer,弓箭手大師,2
20023,swordmaster,,minimap_man_master,劍士大師,2
20024,Hiddennpc_move,,,,2
20025,Hiddennpc,,,,2
20026,HiddenTrigger6,,,,2
20027,pyromancer,,minimap_man_wizard,烈焰法師大師,2
20028,peltasta,,minimap_man_master,輕裝步兵大師,2
20029,highlander,,minimap_man_master,高地戰士大師,2
20030,Hiddennpc_Godness,,minimap_goddess,女神像,2
20031,Emilia,,,雜貨商人艾密利亞,2
20032,SCO_M,,,南十騎士團將校男,2
20033,SCO_M_Move,,,南十騎士團將校,2
20035,HiddenTrigger_AlwaysTitle,,minimap_goddess,,2
20036,magicsquare_1_mini_AlwaysTitle,,,魔法陣,2
20040,HiddenTrigger,,,,2
20041,HiddenTrigger2,,,,2
20042,HiddenTrigger3,,,,2
20043,SCS_M1,,,警備兵,2
20044,HiddenWall_100_200_500,,,,2
20045,HiddenWall_10_100_500,,,,2
20046,HiddenWall_40_50_100,,,,2
20047,HiddenWall_30_30_30,,,,2
20048,HiddenWall_2_20_40,,,,2
20049,HiddenWall_10_200_500,,,,2
20050,WarpSpot,,minimap_portal,WarpSpot,2
20051,HealSpot,,,,2
20052,WarpSpot_2,,minimap_portal,WarpSpot,2
20053,HiddenWall_200_200_500,,,,2
20054,HiddenWall_150_150_150,,,,2
20055,npc_alf,,minimap_man_shop,歐勒夏雜貨商人艾芙,2
20056,npc_julla,,minimap_man_armor,裝備商人尤拉,2
20057,npc_yurrs,,minimap_man_ace,飾品商人猶勒斯,2
20058,npc_toras,,minimap_man_companion,寵物商人圖拉斯,2
20059,orsha_soldier_f,,,歐勒夏士兵女,2
20060,orsha_soldier_m,,,歐勒夏士兵男,2
20061,orsha_f_1,,,歐勒夏居民女1,2
20062,orsha_f_2,,,歐勒夏居民女2,2
20063,orsha_m_1,,,歐勒夏居民男1,2
20064,orsha_m_2,,,歐勒夏居民男2,2
20065,Inesa_Hamondail,,,伊內沙黑蒙戴伊,2
20066,npc_illanai,,minimap_man_smith,鐵匠依拉娜伊,2
20067,npc_aisah,,minimap_werehouse,倉庫管理員艾沙,2
20068,npc_letizia,,minimap_man_tpshop,TP商人雷堤夏,2
20070,SkillTrigger1,,,,2
20071,SkillTrigger2,,,,2
20079,Raima,,,女神拉伊瑪,2
20080,HiddenObbBox1,,,,2
20081,HiddenObbBox_photowall_marine1,,,,2
20082,HiddenObbBox_photowall_marine2,,,,2
20083,HiddenObbBox_Photowall_Chess1,,,,2
20084,HiddenObbBox_Photowall_Chess2,,,,2
20085,HiddenObbBox_Photowall_Chess3,,,,2
20086,HiddenObbBox_Photowall_Chess4,,,,2
20087,HiddenObbBox_photowall_chef1,,,,2
20088,HiddenObbBox_photowall_chef2,,,,2
20100,npc_combat_transport_section_2_sit,,,商人2 坐下,2
20101,HiddenTrigger5,,,　,2
20102,npc_combat_transport_section_1,,,商人1,2
20103,npc_combat_transport_section_2,,,商人2,2
20104,npc_accessary_merchant,,minimap_man_ace,飾品商人,2
20105,npc_blacksmith,,minimap_man_smith,鐵匠,2
20106,npc_intermediate_officer_female,,,中階管理將校女,2
20107,npc_intermediate_officer_men,,,中階管理將校男,2
20108,npc_low_lev_officer_m,,,低階管理將校 ,2
20109,npc_miner,,,老手礦夫,2
20110,npc_mining_alchemist,,minimap_man_wizard,礦山村莊鍊金術士,2
20111,npc_equipment_dealers,,minimap_man_armor,裝備商人,2
20112,npc_healer,,minimap_man_cleric,牧師大師,2
20113,npc_knight,,,烏斯卡,2
20114,npc_matron,,,中年婦人,2
20115,npc_tool_merchants,,minimap_man_shop,雜貨商人,2
20116,npc_village_matron,,,村裝中年婦人,2
20117,npc_village_uncle_1,,,村莊大叔1,2
20118,npc_village_uncle_2,,,村莊大叔2,2
20119,npc_liaison_officer_m_1,,,聯絡官(需要資料交換),2
20120,npc_chronicler_m_1,,,記錄官(需要資料交換),2
20121,npc_historian_m_1,,,史學家1(需要資料交換),2
20122,npc_historian_m_2,,,史學家2(需要資料交換),2
20123,npc_rexither,,,雷克西波人類(需要資料交換),2
20124,npc_historian_f_1,,,女史學家(需要資料交換),2
20125,npc_intermediate_officer_men2,,,中階管理將校男2,2
20126,DummyPC,,,PC,2
20127,npc_low_lev_officer2_m,,,低階管理將校 2,2
20128,npc_low_lev_officer3_m,,,低階管理將校 3,2
20129,npc_knight2,,,巴賽寧,2
20135,npc_wizdom_owl,,,預知的貓頭鷹,2
20136,npc_bocormaster,,minimap_man_wizard,邪靈祭司瑪嬤,2
20137,npc_cryomancer,,minimap_man_wizard,寒冰法師大師,2
20138,npc_village_uncle_3,,,村莊大叔3,2
20139,npc_village_uncle_4,,,村莊大叔4,2
20140,npc_auctioneer,,minimap_man_auction,拍賣人,2
20141,npc_low_lev_officer4_m,,,低階管理將校 4,2
20142,npc_low_lev_officer5_m,,,低階管理將校 5,2
20143,npc_low_lev_officer6_m,,,低階管理將校 6,2
20144,npc_low_lev_officer7_m,,,低階管理將校 7,2
20145,npc_matron2,,,中年婦人2,2
20146,npc_matron3,,,中年婦人3,2
20147,npc_matron4,,,中年婦人4,2
20148,npc_matron5,,,中年婦人5,2
20149,npc_matron6,,,中年婦人6,2
20150,npc_miner2,,,老手礦夫2,2
20151,npc_village_uncle_5,,,村莊大叔5,2
