$ID,$ID_NAME,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Materials,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Link_Target,Name,Price,Tradability,Type
1001,R_timber_01,icon_item_recipe_misc1,,,,,"[{""Item"": 1001, ""Quantity"": 1}, {""Item"": 645238, ""Quantity"": 3}]",,[1001],,645242,Recipe - 橡樹木材,10,TTTT,23
1002,R_timber_02,icon_item_recipe_misc1,,,,,"[{""Item"": 1002, ""Quantity"": 1}, {""Item"": 645239, ""Quantity"": 3}]",,[1002],,645243,Recipe - 蠟樹木材,10,TTTT,23
1003,R_timber_03,icon_item_recipe_misc1,,,,,"[{""Item"": 1003, ""Quantity"": 1}, {""Item"": 645240, ""Quantity"": 3}]",,[1003],,645244,Recipe - 松樹木材,10,TTTT,23
1004,R_timber_04,icon_item_recipe_misc1,,,,,"[{""Item"": 1004, ""Quantity"": 1}, {""Item"": 645241, ""Quantity"": 3}]",,[1004],,645245,Recipe - 杉樹木材,10,TTTT,23
1010,R_drakeResc,icon_item_recipe_misc1,,,,,"[{""Item"": 1010, ""Quantity"": 1}, {""Item"": 645216, ""Quantity"": 300}]",,[1010],,645305,Recipe - 德雷克肩章,10,FFFF,23
2001,R_rsc_2_1,icon_item_recipe_misc1,,,,,"[{""Item"": 2001, ""Quantity"": 1}, {""Item"": 645024, ""Quantity"": 5}, {""Item"": 645352, ""Quantity"": 2}]",,[2001],,645495,Recipe - 白色黏液,10,TTTT,23
2002,R_rsc_2_2,icon_item_recipe_misc1,,,,,"[{""Item"": 2002, ""Quantity"": 1}, {""Item"": 645131, ""Quantity"": 4}]",,[2002],,645496,Recipe - 佛羅勒,10,TTTT,23
2003,R_rsc_2_3,icon_item_recipe_misc1,,,,,"[{""Item"": 2003, ""Quantity"": 1}, {""Item"": 645333, ""Quantity"": 4}]",,[2003],,645497,Recipe - 粗糙骨粉,10,TTTT,23
2004,R_rsc_2_4,icon_item_recipe_misc1,,,,,"[{""Item"": 2004, ""Quantity"": 1}, {""Item"": 645164, ""Quantity"": 1}, {""Item"": 645310, ""Quantity"": 5}]",,[2004],,645498,Recipe - 肌腱,10,TTTT,23
2005,R_hrsc_2_1,icon_item_recipe_misc1,,,,,"[{""Item"": 2005, ""Quantity"": 1}, {""Item"": 645175, ""Quantity"": 5}, {""Item"": 645221, ""Quantity"": 3}, {""Item"": 645181, ""Quantity"": 2}]",,[2005],,645502,Recipe - 魔力儲存器,10,TTTT,23
