$ID,$ID_NAME,Description,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skill,Name,Unlock,UpgradePrice,UpgradeTime
10000,SwapWeapon,* Can change weapons{nl}{nl}{b}Swordsman 2nd Circle required{b}{nl}{b}Highlander 1st Circle required{b}{nl}{b}Peltasta 1st Circle required{b}{nl}{b}Wizard 2nd Circle required{b}{nl}{b}Pyromancer 1st Circle required{b}{nl}{b}Cryomancer 1st Circle required{b}{nl}{b}Archer 2nd Circle required{b}{nl}{b}Quarrel Shooter 1st Circle required{b}{nl}{b}Ranger 1st Circle required{b}{nl}{b}Cleric 2nd Circle required{b}{nl}{b}Priest 1st Circle required{b}{nl}{b}Krivis 1st Circle required{b},ability_warrior_swapweapon,False,1,"[1001, 2001, 3001, 4001, 1002, 1003, 2002, 2003, 3003, 3004, 4002, 4003]",,Weapon Swap,"[""var jobGrade = GetJobGrade(4003);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10002,THSword,* Can equip [Two-handed Sword] type weapons{nl}* Increase AoE by 1 when equipped with a [Two-handed Sword].{nl}{nl}{b}Highlander 1st Circle required{b}{nl}{b}Barbarian 1st Circle required{b}{nl}{b}Doppelsoeldner 1st Circle required{b},ability_warrior_thsword,False,1,"[1002, 1006, 1009]",,Use Two-handed Swords,"[""var jobGrade = GetJobGrade(1009);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10003,Spear,* Can equip [One-handed Spear] type weapons{nl}* Increases attack range by 5 with a [One-handed Spear]{nl}* Increases damage by 5% when attacking Medium and Large-sized enemies with a [One-handed Spear]{nl}{nl}{b}Hoplite 1st Circle required{b}{nl}{b}Dragoon 1st Circle required{b}{nl}{b}Requires Retiarius Circle 1{b},ability_warrior_spear,False,1,"[1004, 1015, 1020]",,Use One-handed Spears,"[""var jobGrade = GetJobGrade(1020);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10004,THSpear,* Can equip [Two-handed Spear] type weapons{nl}* Increase attack range by 10 when equipped with a [Two-handed Spear].{nl}{nl}{b}Cataphract 1st Circle required{b}{nl}{b}Dragoon 1st Circle required{b}{nl}{b}Lancer 1st Circle Required{b},ability_warrior_thspear,False,1,"[1007, 1015, 1017]",,Use Two-handed Spears,"[""var jobGrade = GetJobGrade(1017);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10011,Pistol,* Can equip [Pistol] type weapons{nl}* Can attack with pistol using C button{nl}{nl}{b}Corsair 3rd Circle required{b},ability_archer_schwarzereiter1,False,1,[1008],,Use Pistol,"[""var jobGrade = GetJobGrade(1008);"", """", ""if (jobGrade >= 3) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10015,DaggerMastery,* Adds 2% damage per attribute level when attacking an enemy from the back with a dagger{nl}{nl}{b}Corsair 1st Circle required{b}{nl}{b}Rogue 1st Circle required{b},ability_common_daggermastery,False,5,"[1008, 3009]",,Dagger Mastery: Sudden Attack,"[""var jobGrade = GetJobGrade(3009);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","[2, 3, 4, 5, 6]","[30, 30, 30, 30, 30]"
10016,CompanionRide,* Can use skill while riding companion{nl}{nl}{b}Cataphract 1st Circle required{b}{nl}{b}Lancer 1st Circle Required{b}{nl}{b}Hackapell 1st Circle Required{b}{nl}{b}Schwarzer Reiter 1st Circle required{b},ability_common_companionride,False,1,"[1007, 3010, 1017, 3007]",,Companion Riding,"[""var jobGrade = GetJobGrade(3010);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10017,Rapier,* Can equip [Rapier] type weapons{nl}{nl}{b}Fencer 1st Circle required{b}{nl}{b}Matador 1st Circle Required{b},ability_warrior_rapier,False,1,"[1014, 1018]",,Use Rapiers,"[""var jobGrade = GetJobGrade(1018);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]",,
10018,MaxWeightAbil,* Increases character's maximum inventory weight by 20{nl}{nl}{b}Shinobi 1st Circle required{b}{nl}{b}Sapper 1st Circle required{b}{nl}{b}Cannoneer 1st Circle required{b}{nl}{b}Priest 1st Circle required{b}{nl}{b}Dievdirbys 1st Circle required{b},ability_common_maxweightabil,False,10,"[1013, 3005, 3015, 4002, 4007]",,Increased Maximum Weight,"[""var jobGrade = GetJobGrade(4007);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
10019,CompMastery1,* Increases stamina consumption cycle of companion by 10 seconds per attribute level{nl}{nl}{b}Hunter 1st Circle required{b}{nl}{b}Falconer 1st Circle required{b},ability_common_compmastery1,False,5,"[3002, 3014]",,Companion Mastery: Tenacity,"[""var jobGrade = GetJobGrade(3014);"", """", ""if (jobGrade >= 1) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","[2, 3, 4, 5, 6]","[30, 30, 30, 30, 30]"
