$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Monster,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644001,card_Gaigalas,[Card Equip Effect] Add. Earth Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,027_boss_gaigalas,,,"{""$ID"": 41220, ""Url"": ""monsters"", ""Name"": ""Gaigalas"", ""Icon"": ""boss_gaigalas""}","[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 58183, ""Url"": ""monsters"", ""Name"": ""Gaigalas"", ""Icon"": ""boss_gaigalas""}}]",,,1,0,Gaigalas Card,500,205,4,201,0.0,0.0,1111,3,5,1.0
644002,card_GazingGolem,[Card Equip Effect] [{img star_mark 20 20}]% chance of using Lv1 Pain Barrier upon being hit,icon_item_card_util,108_boss_gazinggolem,,,"{""$ID"": 47322, ""Url"": ""monsters"", ""Name"": ""Gazing Golem"", ""Icon"": ""boss_gazing_golem""}",,,,0,3,Gazing Golem Card,500,324,2,4860,0.0,0.0,1111,3,5,1.0
644003,card_Gorgon,[Card Equip Effect] Strike Defense +[{img star_mark 20 20}*10],icon_item_card_def,064_boss_gorgon,,,"{""$ID"": 800042, ""Url"": ""monsters"", ""Name"": ""Gorgon"", ""Icon"": ""icon_item_nothing""}","[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 57131, ""Url"": ""monsters"", ""Name"": ""Mission Gorgon"", ""Icon"": ""m_boss_gorgon""}}]",,,0,1,Gorgon Card,500,190,4,1360,0.0,0.0,1111,3,1,1.0
644004,card_Golem,[Card Equip Effect] Physical Defense +[{img star_mark 20 20}]% for 10 seconds when using any type of HP potion,icon_item_card_def,003_boss_golem,,,"{""$ID"": 450221, ""Url"": ""monsters"", ""Name"": ""Golem"", ""Icon"": ""boss_golem""}",,,,1,3,Golem Card,500,215,2,6192,0.0,0.0,1111,3,1,1.0
644005,card_Grinender,[Card Equip Effect] Increases damage against Flying-type monsters by [{img star_mark 20 20}]%,icon_item_card_atk,056_boss_grinender,,,"{""$ID"": 41374, ""Url"": ""monsters"", ""Name"": ""Grinender"", ""Icon"": ""boss_grinender""}",,,,2,3,Grinender Card,500,305,1,214,0.0,0.0,1111,3,0,1.0
644006,card_Glass_mole,[Card Equip Effect] Physical Attack +[{img star_mark 20 20}]% for 6 seconds after using any type of SP potion,icon_item_card_atk,012_boss_glass_mole,,,"{""$ID"": 41367, ""Url"": ""monsters"", ""Name"": ""Glass Mole"", ""Icon"": ""boss_glass_mole""}",,,,4,0,Glass Mole Card,500,192,4,860,0.0,0.0,1111,3,0,1.0
644007,card_ginklas,[Card Equip Effect] Increases damage against Plate-wearing enemies by [{img star_mark 20 20}/2]%,icon_item_card_atk,091_boss_ginklas,"[{""$ID"": 642013, ""Url"": ""collections"", ""Name"": ""Lv3 Card Collection"", ""Icon"": ""icon_item_box""}]",,"{""$ID"": 41208, ""Url"": ""monsters"", ""Name"": ""Ginklas"", ""Icon"": ""boss_ginklas""}",,"[{""$ID"": 18018, ""Url"": ""recipes"", ""Name"": ""Recipe - Flame Pike"", ""Icon"": ""icon_item_weapon_misc5""}]",,2,3,Ginklas Card,500,320,2,1053,0.0,0.0,1111,3,0,1.0
644008,card_NetherBovine,[Card Equip Effect] STR +[{img star_mark 20 20}],icon_item_card_stat,026_boss_netherbovine,,,"{""$ID"": 800001, ""Url"": ""monsters"", ""Name"": ""Netherbovine"", ""Icon"": ""icon_item_nothing""}","[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 47362, ""Url"": ""monsters"", ""Name"": ""Cast Iron Horn Netherbovine"", ""Icon"": ""m_boss_netherbovine""}}]",,,0,1,Netherbovine Card,500,195,4,966,0.0,0.0,1111,3,4,1.0
644009,card_necrovanter,[Card Equip Effect] Add. Dark Property Damage +[{img star_mark 20 20}*10],icon_item_card_util,044_boss_necrovanter,"[{""$ID"": 642011, ""Url"": ""collections"", ""Name"": ""Lv1 Card Collection"", ""Icon"": ""icon_item_box""}]","[{""$ID"": 642907, ""Url"": ""cubes"", ""Name"": ""Evil Necroventer Cube"", ""Icon"": ""icon_item_cube2""}, {""$ID"": 642919, ""Url"": ""cubes"", ""Name"": ""Historic Site Ruins Dungeon Cube"", ""Icon"": ""icon_item_cube2""}]","{""$ID"": 800002, ""Url"": ""monsters"", ""Name"": ""Necroventer"", ""Icon"": ""icon_item_nothing""}","[{""Map"": null, ""Chance"": 10.0, ""Monster"": {""$ID"": 57132, ""Url"": ""monsters"", ""Name"": ""Necroventer"", ""Icon"": ""boss_necrovanter""}}]",,,0,1,Necroventer Card,500,416,1,144,0.0,0.0,1111,3,5,1.0
644010,card_deadbone,[Card Equip Effect] Critical Attack +[{img star_mark 20 20}*20],icon_item_card_atk,014_boss_deadbone,,,"{""$ID"": 41203, ""Url"": ""monsters"", ""Name"": ""Deadborn"", ""Icon"": ""m_boss_deadbone""}",,,,0,3,Deadborn Card,500,333,2,207,0.0,0.0,1111,3,0,1.0
