$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642001,COLLECT_101,"[[""STR"", 1], [""INT"", 1]]",An old relic found in a well. {nl}Right-click to use.,icon_item_box,,,"[{""$ID"": 645461, ""Url"": ""items"", ""$ID_NAME"": ""misc_Tanu"", ""Name"": ""Tanu Flower"", ""Icon"": ""icon_item_leaves_blue""}, {""$ID"": 645228, ""Url"": ""items"", ""$ID_NAME"": ""misc_0112"", ""Name"": ""Tipio Stamen"", ""Icon"": ""icon_item_tipiostamen""}, {""$ID"": 645229, ""Url"": ""items"", ""$ID_NAME"": ""misc_0113"", ""Name"": ""Doyor Leaf Bunch"", ""Icon"": ""icon_item_doyorleaf""}, {""$ID"": 645151, ""Url"": ""items"", ""$ID_NAME"": ""misc_0035"", ""Name"": ""Beetow Feeler"", ""Icon"": ""icon_item_feeler_yellow""}, {""$ID"": 645451, ""Url"": ""items"", ""$ID_NAME"": ""misc_Caro"", ""Name"": ""Caro Leaf"", ""Icon"": ""icon_item_leaves_green""}, {""$ID"": 645403, ""Url"": ""items"", ""$ID_NAME"": ""misc_Mentiwood"", ""Name"": ""Mantiwood Skin"", ""Icon"": ""icon_item_shell_purple""}]",,,,Monster Specimen Set,1,0.0,0.0,0010,4,0.0
642002,COLLECT_102,"[[""STR"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 649001, ""Url"": ""items"", ""$ID_NAME"": ""misc_ore02"", ""Name"": ""Iron Ore"", ""Icon"": ""2_item_ore_iron""}, {""$ID"": 649002, ""Url"": ""items"", ""$ID_NAME"": ""misc_ore03"", ""Name"": ""Steel Ore"", ""Icon"": ""3_item_ore_steel""}, {""$ID"": 649003, ""Url"": ""items"", ""$ID_NAME"": ""misc_ore04"", ""Name"": ""Titanium Ore"", ""Icon"": ""4_item_ore_titanum""}, {""$ID"": 649006, ""Url"": ""items"", ""$ID_NAME"": ""misc_ore07"", ""Name"": ""Ithildin Ore"", ""Icon"": ""9_item_ore_orichalcon""}, {""$ID"": 645268, ""Url"": ""items"", ""$ID_NAME"": ""misc_talt"", ""Name"": ""Talt"", ""Icon"": ""30_item_ore_talt""}]",,,,Ore Collection,1,0.0,0.0,0010,4,0.0
642003,COLLECT_103,"[[""CON"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645024, ""Url"": ""items"", ""$ID_NAME"": ""leaf_hanaming"", ""Name"": ""Hanaming Petal"", ""Icon"": ""icon_item_hanamingpetal""}, {""$ID"": 645461, ""Url"": ""items"", ""$ID_NAME"": ""misc_Tanu"", ""Name"": ""Tanu Flower"", ""Icon"": ""icon_item_leaves_blue""}, {""$ID"": 645379, ""Url"": ""items"", ""$ID_NAME"": ""misc_Denden"", ""Name"": ""Denden Petal"", ""Icon"": ""icon_item_leaves_blue""}]",,,,Flower Collection,1,0.0,0.0,0010,4,0.0
642004,COLLECT_104,"[[""INT"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645267, ""Url"": ""items"", ""$ID_NAME"": ""misc_infroRocktor2"", ""Name"": ""Infrorocktor Bones"", ""Icon"": ""icon_item_bone""}, {""$ID"": 645333, ""Url"": ""items"", ""$ID_NAME"": ""misc_glizardon"", ""Name"": ""Glizardon Bones"", ""Icon"": ""icon_item_bone""}, {""$ID"": 645435, ""Url"": ""items"", ""$ID_NAME"": ""misc_Ultanun"", ""Name"": ""Ultanun Bones"", ""Icon"": ""icon_item_bone""}, {""$ID"": 645364, ""Url"": ""items"", ""$ID_NAME"": ""misc_hogma_warrior2"", ""Name"": ""Gigantic Shinbone"", ""Icon"": ""icon_item_bone""}]","[{""Map"": null, ""Chance"": 0.1, ""Monster"": {""$ID"": 57258, ""Url"": ""monsters"", ""$ID_NAME"": ""M_boss_woodspirit_green"", ""Name"": ""Bleak Green Woodspirit"", ""Icon"": ""m_boss_woodspirit_green""}}]",,,Bone Collection,1,0.0,0.0,0010,4,0.0
642005,COLLECT_105,"[[""SPR"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645439, ""Url"": ""items"", ""$ID_NAME"": ""misc_ellom2"", ""Name"": ""Ellom Crystal"", ""Icon"": ""icon_item_leaves_blue""}, {""$ID"": 645292, ""Url"": ""items"", ""$ID_NAME"": ""misc_quartz_weaver3"", ""Name"": ""Crystal Spider Crystal"", ""Icon"": ""icon_item_crystal_00005""}, {""$ID"": 645162, ""Url"": ""items"", ""$ID_NAME"": ""misc_0046"", ""Name"": ""Truffle Crystal"", ""Icon"": ""icon_item_crystal_yellow""}]",,,,Crystal Collection,1,0.0,0.0,0010,4,0.0
642006,COLLECT_106,"[[""DEX"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645410, ""Url"": ""items"", ""$ID_NAME"": ""misc_varv2"", ""Name"": ""Varv Skin"", ""Icon"": ""icon_item_shell_blackbrown""}, {""$ID"": 645450, ""Url"": ""items"", ""$ID_NAME"": ""misc_Karas"", ""Name"": ""Karas Fragment"", ""Icon"": ""icon_item_misc_00006""}, {""$ID"": 645428, ""Url"": ""items"", ""$ID_NAME"": ""misc_shtayim"", ""Name"": ""Shnayim Fragment"", ""Icon"": ""icon_item_misc_00004""}, {""$ID"": 645411, ""Url"": ""items"", ""$ID_NAME"": ""misc_schlesien_guard"", ""Name"": ""Wheel"", ""Icon"": ""icon_item_wheel""}, {""$ID"": 645401, ""Url"": ""items"", ""$ID_NAME"": ""misc_schlesien_darkmage3"", ""Name"": ""Medakia Metal Decoration"", ""Icon"": ""icon_item_neck_100002""}]",,,,Royal Mausoleum Collection,1,0.0,0.0,0010,4,0.0
642007,COLLECT_107,"[[""Critical Attack"", 10]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645455, ""Url"": ""items"", ""$ID_NAME"": ""misc_Cockatries"", ""Name"": ""Cockatrice Feather"", ""Icon"": ""icon_item_feather_02yellow""}, {""$ID"": 645454, ""Url"": ""items"", ""$ID_NAME"": ""misc_Cockatries2"", ""Name"": ""Cockatrice Leather"", ""Icon"": ""icon_item_misc_00012""}, {""$ID"": 645419, ""Url"": ""items"", ""$ID_NAME"": ""misc_Big_Cockatries2"", ""Name"": ""Cockat Beak"", ""Icon"": ""icon_item_bone""}, {""$ID"": 645194, ""Url"": ""items"", ""$ID_NAME"": ""misc_0078"", ""Name"": ""Cockat Heart"", ""Icon"": ""item_icon_heart_purple""}]",,,,Cockatrice Collection,1,0.0,0.0,0010,4,0.0
642008,COLLECT_108,"[[""Magic Defense"", 10]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645130, ""Url"": ""items"", ""$ID_NAME"": ""misc_0014"", ""Name"": ""Stone Orca Core"", ""Icon"": ""icon_item_core_yellow""}, {""$ID"": 645142, ""Url"": ""items"", ""$ID_NAME"": ""misc_0026"", ""Name"": ""Yognome Core"", ""Icon"": ""icon_item_core_purple""}, {""$ID"": 645221, ""Url"": ""items"", ""$ID_NAME"": ""misc_0105"", ""Name"": ""Boowook Core"", ""Icon"": ""icon_item_core_yellow""}, {""$ID"": 645192, ""Url"": ""items"", ""$ID_NAME"": ""misc_0076"", ""Name"": ""Gravegolem Core"", ""Icon"": ""icon_item_core_blue""}, {""$ID"": 645197, ""Url"": ""items"", ""$ID_NAME"": ""misc_0081"", ""Name"": ""Shaman Doll Core"", ""Icon"": ""icon_item_core_red""}, {""$ID"": 645421, ""Url"": ""items"", ""$ID_NAME"": ""misc_Sauga_s3"", ""Name"": ""Sauga Motor Drive"", ""Icon"": ""icon_item_leaves_blue""}]",,,,Devil Collection,1,0.0,0.0,0010,4,0.0
642009,COLLECT_109,"[[""STR"", 1], [""INT"", 1]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645453, ""Url"": ""items"", ""$ID_NAME"": ""misc_Corylus"", ""Name"": ""Corylus Horn"", ""Icon"": ""icon_item_pantohorn""}, {""$ID"": 645334, ""Url"": ""items"", ""$ID_NAME"": ""misc_glizardon2"", ""Name"": ""Glizardon Heart"", ""Icon"": ""item_icon_heart_purple""}, {""$ID"": 645320, ""Url"": ""items"", ""$ID_NAME"": ""misc_egnome2"", ""Name"": ""Egnome Fragment"", ""Icon"": ""icon_item_misc_00004""}, {""$ID"": 645430, ""Url"": ""items"", ""$ID_NAME"": ""misc_Spector_Gh"", ""Name"": ""Corpse Hand"", ""Icon"": ""icon_item_misc_spector_gh""}, {""$ID"": 645142, ""Url"": ""items"", ""$ID_NAME"": ""misc_0026"", ""Name"": ""Yognome Core"", ""Icon"": ""icon_item_core_purple""}]",,,,Tenet Church Collection,1,0.0,0.0,0010,4,0.0
642010,COLLECT_110,"[[""Defense"", 4]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[{""$ID"": 645348, ""Url"": ""items"", ""$ID_NAME"": ""misc_banshee"", ""Name"": ""Banshee Spirit Matter"", ""Icon"": ""icon_item_spirit_orange""}, {""$ID"": 645193, ""Url"": ""items"", ""$ID_NAME"": ""misc_0077"", ""Name"": ""Hallowventer Spirit Matter"", ""Icon"": ""icon_item_spirit_purple""}, {""$ID"": 645400, ""Url"": ""items"", ""$ID_NAME"": ""misc_banshee_purple"", ""Name"": ""Specter Hood"", ""Icon"": ""icon_item_leaves_blue""}]",,,,Spirit Collection,1,0.0,0.0,0010,4,0.0
