$ID,$ID_NAME,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Material,Name,Potential,Price,ReinforceRatio,RequiredClass,RequiredLevel,Set,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,100,2,icon_item_quest_00017,1,,,,,,4,Empty_Outer,0,0,1.0,1111,1,,0,0,1,0,0,0,0,0,0.0,0.0,1111,1,9,10,False,False,1.0
5,NoPants,,,100,2,icon_item_quest_00017,1,,,,,,4,Empty_Pants,0,0,1.0,1111,1,,0,0,1,0,0,0,0,0,0.0,0.0,1111,1,9,0,False,False,1.0
6,NoGloves,,,100,2,icon_item_quest_00017,1,,,,,,4,Empty_Gloves,0,0,1.0,1111,1,,0,0,1,0,0,0,4,4,0.0,0.0,1111,1,9,15,False,False,1.0
7,NoBoots,,,100,2,icon_item_quest_00017,1,,,,,,4,Empty_Boots,0,0,1.0,1111,1,,0,0,1,0,0,0,4,4,0.0,0.0,1111,1,9,25,False,False,1.0
8,NoShirt,,,100,2,icon_item_quest_00017,1,,,,,,4,Empty_Boots,0,0,1.0,1111,1,,0,0,1,0,0,0,0,0,0.0,0.0,1111,1,9,26,False,False,1.0
10000,NoHelmet,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,4,Empty_helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1111,12,9,,False,False,0.0
10001,murmillo_helmet,,"A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.",-1,2,icon_item_sword_26,0,,,,,,4,Murmillo Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,0000,12,9,8,False,False,0.0
10002,helmet_plaguedoctor,,"Many believe that Plague Doctors keep their drugs packed inside their equipment. While they wouldn't be wrong, their drugs are in fact compacted under the authority of priests. That is an important difference between competent healers and Plague Doctors.",-1,2,icon_item_sword_26,0,,,,,,4,Plague Doctor Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,0000,12,9,8,False,False,0.0
10005,helmet_weddingvail01,,Worn by the beautiful bride on her wedding day.,-1,2,helmet_weddingvail,0,,,,,,4,Heart-Throb Wedding Veil Costume,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1101,12,9,8,False,False,0.0
10006,helmet_fishbowl,,With this helmet you can look at fish from up close!,-1,2,icon_item_helmet_fishbowl,0,,,,,,4,Fish Tank Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1101,12,9,8,False,False,0.0
10007,helmet_diver,,Optimized for full submersion.,-1,2,icon_item_helmet_diver,0,,,,,,4,Diver Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1101,12,9,8,False,False,0.0
10008,DragoonHelmet,,"A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.",-1,2,icon_item_sword_26,0,,,,,,4,Dragoon Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,0000,12,9,8,False,False,0.0
10009,pumkin_helmet,,A helmet that mimics the appearance of an evil face carved into a pumpkin.,-1,2,icon_item_pumkin_helmet,0,,,,,,4,Jack-o'-Lantern Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1101,12,9,8,False,False,0.0
10010,helmet_Rudolf01,,Rudolph's red nose is a symbol of hope.,-1,2,icon_item_helmet_rudolph,0,,,,,,4,Rudolph Helmet,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,1101,12,9,8,False,False,0.0
11000,NoArmband,,,-1,2,icon_item_sword_1,0,,,,,,4,Empty_armband,0,0,1.0,1111,0,,0,0,0,0,0,0,0,0,0.0,0.0,0000,0,9,,False,False,0.0
11101,ABAND01_101,,Wearing it will help you classify your allies.,-1,2,icon_item_artefact_armband,40,,,,,,4,Red Armband,0,0,1.0,1111,40,,0,0,0,0,0,0,0,0,0.0,0.0,1111,22,9,4,False,False,10.0
11102,ABAND01_102,,Blood may not flow through if you tie it too tightly.,-1,2,icon_item_armband_cloth,40,,,,,"[{""$ID"": 36002, ""Url"": ""recipes"", ""$ID_NAME"": ""R_ABAND01_102"", ""Name"": ""Recipe - Knotted Armband"", ""Icon"": ""icon_item_recipe_misc1""}]",4,Knotted Armband,0,0,1.0,1111,40,,0,0,0,0,0,0,0,0,0.0,0.0,1111,22,9,4,False,False,10.0
11103,ABAND01_103,,Its long length makes it possible to be used as a substitute to bandage at urgent times.,-1,2,icon_item_armband_clothlong,40,"[{""$ID"": 642075, ""Url"": ""collections"", ""$ID_NAME"": ""COLLECT_175"", ""Name"": ""Collection: Dvasia Peak"", ""Icon"": ""icon_item_box""}]",,"[{""Map"": null, ""Chance"": 0.3, ""Monster"": {""$ID"": 41269, ""Url"": ""monsters"", ""$ID_NAME"": ""RavineLerva"", ""Name"": ""Ravinelarva"", ""Icon"": ""mon_ravinelerva""}}]",,,4,Long Armband,0,0,1.0,1111,40,,0,0,0,0,0,0,0,0,0.0,0.0,1111,22,9,4,False,False,10.0
11104,ABAND01_104,,Decorated with feather. It is weak and should be handled with attention.,-1,2,icon_item_armband_feather,40,,,,,"[{""$ID"": 36004, ""Url"": ""recipes"", ""$ID_NAME"": ""R_ABAND01_104"", ""Name"": ""Recipe - Feather Armband"", ""Icon"": ""icon_item_recipe_misc1""}]",4,Feather Armband,0,0,1.0,1111,40,,0,0,0,0,0,0,0,0,0.0,0.0,1111,22,9,4,False,False,10.0
