$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
1,set_001,AoE Attack Ratio {img green_up_arrow 16 16} 1,,,,,,"[{""$ID"": 522110, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_110"", ""Name"": ""Light Plate Leggings"", ""Icon"": ""icon_item_pants_ce""}, {""$ID"": 532110, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_110"", ""Name"": ""Light Plate Armor"", ""Icon"": ""icon_item_shirts_ce""}]",Light Plate Set
2,set_002,Defense {img green_up_arrow 16 16} 6,,,,,,"[null, {""$ID"": 532111, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_111"", ""Name"": ""Magnus Robe"", ""Icon"": ""icon_item_shirts_bube""}]",Zega Set
3,set_003,Additional Dark Attack {img green_up_arrow 16 16} 30,,,,,,"[{""$ID"": 522112, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_112"", ""Name"": ""Pokubon Leather Pants"", ""Icon"": ""icon_item_pants_bube""}, {""$ID"": 532112, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_112"", ""Name"": ""Pokubon Leather Armor"", ""Icon"": ""icon_item_shirts_bube""}]",Magi Set
4,set_004,Movement Speed {img green_up_arrow 16 16} 5,,,,,,"[{""$ID"": 522113, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_113"", ""Name"": ""Drake Leather Leggings"", ""Icon"": ""icon_item_pants_gairas""}, {""$ID"": 532113, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_113"", ""Name"": ""Drake Leather Tunic"", ""Icon"": ""icon_item_shirts_gairas""}]",Jude Set
5,set_005,Fire Property Attack {img green_up_arrow 16 16} 15,,,,,,"[{""$ID"": 522114, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_114"", ""Name"": ""Silver Plate Leggings"", ""Icon"": ""icon_item_pants_sr""}, {""$ID"": 532114, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_114"", ""Name"": ""Silver Plate Armor"", ""Icon"": ""icon_item_shirts_sr""}]",Ismin Set
7,set_007,HP Recovery {img green_up_arrow 16 16} 16,All Stats {img green_up_arrow 16 16} 1,Adds an additional hit of {img green_up_arrow 16 16}12 Earth property damage to basic attacks,,,,"[{""$ID"": 502123, ""Url"": ""equipment"", ""$ID_NAME"": ""HAND02_123"", ""Name"": ""Cafrisun Gloves"", ""Icon"": ""icon_item_gloves_brigan""}, {""$ID"": 512123, ""Url"": ""equipment"", ""$ID_NAME"": ""FOOT02_123"", ""Name"": ""Cafrisun Boots"", ""Icon"": ""icon_item_boots_brigan""}, {""$ID"": 522123, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_123"", ""Name"": ""Cafrisun Pants"", ""Icon"": ""icon_item_pants_brigan""}, {""$ID"": 532123, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_123"", ""Name"": ""Cafrisun Armor"", ""Icon"": ""icon_item_shirts_brigan""}]",Cafrisun Set
8,set_008,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[{""$ID"": 532150, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_150"", ""Name"": ""Riena Robe"", ""Icon"": ""icon_item_shirts_sage""}, {""$ID"": 522150, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_150"", ""Name"": ""Riena Pants"", ""Icon"": ""icon_item_pants_sage""}]",Riena Set
9,set_009,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[{""$ID"": 532151, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_151"", ""Name"": ""Riena Leather Armor"", ""Icon"": ""icon_item_shirts_gairas""}, {""$ID"": 522151, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_151"", ""Name"": ""Riena Leather Pants"", ""Icon"": ""icon_item_pants_gairas""}]",Riena Set
10,set_010,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[{""$ID"": 532152, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_152"", ""Name"": ""Riena Plate Armor"", ""Icon"": ""icon_item_shirts_cescale""}, {""$ID"": 522152, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_152"", ""Name"": ""Riena Plate Leggings"", ""Icon"": ""icon_item_pants_cescale""}]",Riena Set
11,set_011,Attack against Devil-type Targets {img green_up_arrow 16 16} 6,Attack against Devil-type Targets {img green_up_arrow 16 16} 8,1% chance per regular attack of increasing your attack on Demon targets by {img green_up_arrow 16 16} 157 for 30 sec,,,,"[{""$ID"": 502153, ""Url"": ""equipment"", ""$ID_NAME"": ""HAND02_153"", ""Name"": ""Watcher Gloves"", ""Icon"": ""icon_item_gloves_brigan_green""}, {""$ID"": 512153, ""Url"": ""equipment"", ""$ID_NAME"": ""FOOT02_153"", ""Name"": ""Watcher Boots"", ""Icon"": ""icon_item_boots_brigan_green""}, {""$ID"": 522153, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_153"", ""Name"": ""Watcher Pants"", ""Icon"": ""icon_item_pants_brigan_green""}, {""$ID"": 532153, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_153"", ""Name"": ""Watcher Tunic"", ""Icon"": ""icon_item_shirts_brigan_green""}]",Watcher Set
12,set_012,All Stats {img green_up_arrow 16 16} 3,,,,,,"[{""$ID"": 603106, ""Url"": ""equipment"", ""$ID_NAME"": ""BRC03_106"", ""Name"": ""Abomination Bracelet"", ""Icon"": ""item_bracelet_03""}, {""$ID"": 583105, ""Url"": ""equipment"", ""$ID_NAME"": ""NECK03_105"", ""Name"": ""Abomination Necklace"", ""Icon"": ""item_necklace_01""}]",Abomination Set
13,set_013,CON {img green_up_arrow 16 16} 5,Stamina {img green_up_arrow 16 16} 10,"When hit by Earth property attacks, your regular attacks gain the Rage of Earth buff (1 Earth property attack per stack) for 10 sec{nl}Max. 30 stacks",,,,"[{""$ID"": 502154, ""Url"": ""equipment"", ""$ID_NAME"": ""HAND02_154"", ""Name"": ""Earth Gloves"", ""Icon"": ""icon_item_gloves_pilgrim_gray""}, {""$ID"": 512154, ""Url"": ""equipment"", ""$ID_NAME"": ""FOOT02_154"", ""Name"": ""Earth Boots"", ""Icon"": ""icon_item_boots_pilgrim_gray""}, {""$ID"": 522154, ""Url"": ""equipment"", ""$ID_NAME"": ""LEG02_154"", ""Name"": ""Earth Pants"", ""Icon"": ""icon_item_pants_pilgrim_gray""}, {""$ID"": 532154, ""Url"": ""equipment"", ""$ID_NAME"": ""TOP02_154"", ""Name"": ""Earth Robe"", ""Icon"": ""icon_item_shirts_pilgrim_gray""}]",Earth Cloth Armor Set
