$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* Adds 2% damage per attribute level when attacking an enemy from the back with a dagger{nl},{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_daggermastery,False,5,"[5005, 5010]",,Dagger Mastery: Sudden Attack,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5010"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""5005"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10018,MaxWeightAbil,* Increases character's maximum inventory weight by 20{nl},{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_maxweightabil,False,10,"[3005, 3015, 4002, 4007, 5006]",,Increased Maximum Weight,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4002"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""4007"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""3005"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""5006"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""3015"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
10019,CompMastery1,* Increases stamina consumption cycle of companion by 10 seconds per attribute level{nl},{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_compmastery1,False,5,"[3002, 3014]",,Companion Mastery: Tenacity,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}","[11, 12, 13, 14, 15, 11, 12, 13, 14, 15]"
10020,CompMastery2,"* When companion HP is below 50%, activates [First Aid] effect to recover HP for 2 seconds{nl}Duration is increased by 1 second per attribute level from Lv. 2{nl}[First Aid] cannot be used for another 10 minutes after being activated{nl}",{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_compmastery2,False,4,"[3002, 3014]",,Companion First Aid,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}","[12, 13, 14, 15, 12, 13, 14, 15]"
10026,THMace_SR,* Increases AoE attack ratio by 5 when equipping a [Two-handed Blunt] weapon{nl},{nl}{b}Character Lv 100 and above{b},ability_cleric_thmace2,False,1,[4011],,Two-handed Blunt Mastery: Paladin,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""100""}}",[30]
10027,THMace_BLKBREAK,* Increases block penetration by 85 when equipping a [Two-handed Blunt] weapon{nl},{nl}{b}Character Lv 100 and above{b},ability_cleric_thmace,False,1,[4009],,Two-handed Blunt Mastery: Monk,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""100""}}",[30]
10028,SwordMastery_DEForATK,* Adds 20% of your weapon's attack as physical defense when equipping a [Shield] and [One-handed Sword]{nl}* Increases attack speed when equipping a subweapon and [One-handed Sword] (no [Shield]){nl},{nl}{b}Character Lv 100 and above{b},ability_warrior_sword2,False,1,[1001],,One-handed Sword Mastery: Ready for Battle,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""100""}}",[30]
10029,StaffMastery,* Casting time -50% when equipping a [Rod] weapon{nl},{nl}{b}Character Lv 1 and above{b},ability_wizard_staffmastery,False,1,[2001],,Rod Mastery,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}",[15]
10030,THMace_StrikeDamage,* Strike damage +10% when equipping a [Two-handed Blunt] weapon{nl},{nl}{b}Character Lv 1 and above{b},ability_cleric_thmace,False,1,[4001],,Two-handed Blunt Mastery: Strike,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgStr"": """", ""UnlockArgNum"": ""1""}}",[15]
101001,Swordman1,* Increases the skill factor of [Bash] by 0.5% per attribute level{nl}* +10% added increase at maximum level{nl},{nl}{b}Bash Lv 1 and above{b},ability_warrior_swordman1,False,100,,[10002],Bash: Enhance,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgStr"": ""Swordman_Bash"", ""UnlockArgNum"": ""1""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
101004,Swordman2,* Increases the skill factor of [Thrust] by 0.5% per attribute level{nl}* +10% added increase at maximum level{nl},{nl}{b}Thrust Lv 1 and above{b},ability_warrior_swordman2,False,100,,[10001],Thrust: Enhance,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgStr"": ""Swordman_Thrust"", ""UnlockArgNum"": ""1""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
101007,Swordman13,* Increases [Gung Ho]'s physical attack damage increasing effects by 0.5% per attribute level{nl}* +10% added increase at maximum level{nl},{nl}{b}Gung Ho Lv 1 and above{b},ability_warrior_swordman13,False,100,,[10003],Gung Ho: Enhance,"[""var skl = GetSkill(pc, sklName)"", """", ""if (skl != null  &&  skl.LevelByDB >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgStr"": ""Swordman_GungHo"", ""UnlockArgNum"": ""1""}}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 4, 5, 5, 5, 6, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 30, 32, 34, 37, 39, 42, 45, 48, 52, 55, 74, 80, 85, 91, 98, 105, 112, 120, 128, 137, 176, 189, 202, 216, 231, 247, 265, 283, 303, 324, 405, 434, 464, 496, 531, 568, 608, 651, 696, 745, 911, 975, 1044, 1117, 1195, 1279, 1368, 1464, 1566, 1676, 1905, 2039, 2182, 2334, 2498, 2673, 2860, 3060, 3274, 3504, 3969, 4247, 4545, 4863, 5203, 5568, 5957, 6374, 6821, 7298]"
