$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642001,COLLECT_101,"[[""STR"", 1], [""INT"", 1]]",An old relic found in a well. {nl}Right-click to use.,icon_item_box,,,"[645461, 645228, 645229, 645151, 645451, 645403]",,,,Monster Specimen Set,1,0.0,0.0,FFTF,4,0.0
642002,COLLECT_102,"[[""STR"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[649001, 649002, 649003, 649006, 645268]",,,,Ore Collection,1,0.0,0.0,FFTF,4,0.0
642003,COLLECT_103,"[[""CON"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645024, 645461, 645379]",,,,Flower Collection,1,0.0,0.0,FFTF,4,0.0
642004,COLLECT_104,"[[""INT"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645267, 645333, 645435, 645364]","[{""Map"": null, ""Chance"": 0.1, ""Monster"": 57258}]",,,Bone Collection,1,0.0,0.0,FFTF,4,0.0
642005,COLLECT_105,"[[""SPR"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645439, 645292, 645162]",,,,Crystal Collection,1,0.0,0.0,FFTF,4,0.0
642006,COLLECT_106,"[[""DEX"", 5]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645410, 645450, 645428, 645411, 645401]",,,,Royal Mausoleum Collection,1,0.0,0.0,FFTF,4,0.0
642007,COLLECT_107,"[[""Critical Attack"", 10]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645455, 645454, 645419, 645194]",,,,Cockatrice Collection,1,0.0,0.0,FFTF,4,0.0
642008,COLLECT_108,"[[""Magic Defense"", 10]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645130, 645142, 645221, 645192, 645197, 645421]",,,,Devil Collection,1,0.0,0.0,FFTF,4,0.0
642009,COLLECT_109,"[[""STR"", 1], [""INT"", 1]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645453, 645334, 645320, 645430, 645142]",,,,Tenet Church Collection,1,0.0,0.0,FFTF,4,0.0
642010,COLLECT_110,"[[""Defense"", 4]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[645348, 645193, 645400]",,,,Spirit Collection,1,0.0,0.0,FFTF,4,0.0
642011,COLLECT_111,"[[""Dark Property Resistance"", 8]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[644042, 644043, 644009, 644067]",,,,Lv1 Card Collection,1,0.0,0.0,FFTF,4,0.0
642012,COLLECT_112,"[[""Defense"", 3]]",A collection where you can register your items.{nl}You can register an item by right-clicking it.,icon_item_box,,,"[644031, 644032, 644029, 644068, 644033]",,,,Lv2 Card Collection,1,0.0,0.0,FFTF,4,0.0
