$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
1,set_001,AoE Attack Ratio {img green_up_arrow 16 16} 1,,,,,,"[522110, 532110]",Light Plate Set
2,set_002,Defense {img green_up_arrow 16 16} 6,,,,,,[532111],Zega Set
3,set_003,Additional Dark Attack {img green_up_arrow 16 16} 30,,,,,,"[522112, 532112]",Magi Set
4,set_004,Movement Speed {img green_up_arrow 16 16} 5,,,,,,"[522113, 532113]",Jude Set
5,set_005,Fire Property Attack {img green_up_arrow 16 16} 15,,,,,,"[522114, 532114]",Ismin Set
7,set_007,HP Recovery {img green_up_arrow 16 16} 16,All Stats {img green_up_arrow 16 16} 1,Adds an additional hit of {img green_up_arrow 16 16}12 Earth property damage to basic attacks,,,,"[502123, 512123, 522123, 532123]",Cafrisun Set
8,set_008,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[532150, 522150]",Riena Set
9,set_009,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[532151, 522151]",Riena Set
10,set_010,Fire Property Resistance {img green_up_arrow 16 16} 16,,,,,,"[532152, 522152]",Riena Set
11,set_011,Attack against Devil-type Targets {img green_up_arrow 16 16} 6,Attack against Devil-type Targets {img green_up_arrow 16 16} 8,1% chance per regular attack of increasing your attack on Demon targets by {img green_up_arrow 16 16} 157 for 30 sec,,,,"[502153, 512153, 522153, 532153]",Watcher Set
12,set_012,All Stats {img green_up_arrow 16 16} 3,,,,,,"[603106, 583105]",Abomination Set
13,set_013,CON {img green_up_arrow 16 16} 5,Stamina {img green_up_arrow 16 16} 10,"When hit by Earth property attacks, your regular attacks gain the Rage of Earth buff (1 Earth property attack per stack) for 10 sec{nl}Max. 30 stacks",,,,"[502154, 512154, 522154, 532154]",Earth Cloth Armor Set
14,set_014,CON {img green_up_arrow 16 16} 5,Stamina {img green_up_arrow 16 16} 10,"When hit by Earth property attacks, your regular attacks gain the Rage of Earth buff (1 Earth property attack per stack) for 10 sec{nl}Max. 30 stacks",,,,"[502155, 512155, 522155, 532155]",Earth Leather Armor Set
15,set_015,CON {img green_up_arrow 16 16} 5,Stamina {img green_up_arrow 16 16} 10,"When hit by Earth property attacks, your regular attacks gain the Rage of Earth buff (1 Earth property attack per stack) for 10 sec{nl}Max. 30 stacks",,,,"[502156, 512156, 522156, 532156]",Earth Plate Armor Set
16,set_016,Dark Property Resistance {img green_up_arrow 16 16} 10,SPR {img green_up_arrow 16 16} 6,1% chance of recovering 200 SP for 5 seconds when attacked by a Devil-type enemy,,,,"[502157, 512157, 522157, 532157]",Legwyn Family's Cloth Armor Set
17,set_017,Dark Property Resistance {img green_up_arrow 16 16} 10,SPR {img green_up_arrow 16 16} 6,1% chance of recovering 200 SP for 5 seconds when attacked by a Devil-type enemy,,,,"[502158, 512158, 522158, 532158]",Legwyn Family's Leather Armor Set
18,set_018,Dark Property Resistance {img green_up_arrow 16 16} 10,SPR {img green_up_arrow 16 16} 6,1% chance of recovering 200 SP for 5 seconds when attacked by a Devil-type enemy,,,,"[502159, 512159, 522159, 532159]",Legwyn Family's Plate Armor Set
19,set_019,Attack increases by {img green_up_arrow 16 16} 150% and evasion reduces by {img red_down_arrow 16 16} 188 when you attack an enemy from behind with Backstab,,,,,,"[183108, 113002]",Karacha Set
20,set_020,DEX {img green_up_arrow 16 16} 6,,,,,,"[522187, 532187]",Velnia Monkey Set
21,set_021,Magic Defense {img green_up_arrow 16 16} 5,Magic Defense {img green_up_arrow 16 16} 10,INT {img green_up_arrow 16 16} 15,,,,"[502188, 512188, 522188, 532188]",Elgos Set
22,set_022,Physical Defense {img green_up_arrow 16 16} 5,Physical Defense {img green_up_arrow 16 16} 10,Evasion {img green_up_arrow 16 16} 15,,,,"[502189, 512189, 522189, 532189]",Ibre Set
23,set_023,Dark Property Resistance {img green_up_arrow 16 16} 10,Dark Property Resistance {img green_up_arrow 16 16} 20,HP {img green_up_arrow 16 16}1020,,,,"[502190, 512190, 522190, 532190]",Grynas Set
24,set_024,"Activates the stacking Porapore - Roast buff for 8 seconds when using basic attacks. Upon reaching 20 stacks, provides additional Darkness property damage equal to {img green_up_arrow 16 16}8% of your Magic Defense for 10 seconds.",,,,,,"[603103, 603104]",Poratore Set
25,set_025,Add. Ice Property Damage {img green_up_arrow 16 16}12,Add. Ice Property Damage {img green_up_arrow 16 16}26,Pierce-type Defense {img green_up_arrow 16 16} 25,,,,"[503114, 513114, 523114, 533114]",Virtov Set
26,set_026,Add. Ice Property Damage {img green_up_arrow 16 16}12,Add. Ice Property Damage {img green_up_arrow 16 16}26,Strike-type Defense {img green_up_arrow 16 16} 25,,,,"[503115, 513115, 523115, 533115]",Virtov Leather Set
27,set_027,Add. Ice Property Damage {img green_up_arrow 16 16}12,Add. Ice Property Damage {img green_up_arrow 16 16}26,Slash-type Defense {img green_up_arrow 16 16} 25,,,,"[503116, 513116, 523116, 533116]",Virtov Plate Set
28,set_028,SP Recovery {img green_up_arrow 16 16} 100,Add. Earth Property Damage {img green_up_arrow 16 16}42,INT {img green_up_arrow 16 16} 25,,,,"[504106, 514106, 524106, 534106]",Lolopanther Set
29,set_029,Critical Rate {img green_up_arrow 16 16} 46,Add. Earth Property Damage {img green_up_arrow 16 16}42,DEX {img green_up_arrow 16 16} 25,,,,"[504107, 514107, 524107, 534107]",Lolopanther Leather Set
