$ID,$ID_NAME,AnvilATK,AnvilDEF,AnvilPrice,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Set,Material,Name,Potential,Price,RequiredClass,RequiredLevel,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,TranscendPrice,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Outer,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,10,False,False,1.0
5,NoPants,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Pants,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,0,False,False,1.0
6,NoGloves,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Gloves,0,0,1111,1,0,0,1,0,0,0,4,4,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,15,False,False,1.0
7,NoBoots,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Boots,0,0,1111,1,0,0,1,0,0,0,4,4,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,25,False,False,1.0
8,NoShirt,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]","[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 25, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 45, 46, 47, 48, 50, 51]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,Empty_Boots,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,26,False,False,1.0
10000,NoHelmet,,,,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,,4,Empty_helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1111,,12,11,,False,False,0.0
10001,murmillo_helmet,,,,,"A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.",-1,2,icon_item_sword_26,0,,,,,,,4,Murmillo Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10002,helmet_plaguedoctor,,,,,"Many believe that Plague Doctors keep their drugs packed inside their equipment. While they wouldn't be wrong, their drugs are in fact compacted under the authority of priests. That is an important difference between competent healers and Plague Doctors.",-1,2,icon_item_sword_26,0,,,,,,,4,Plague Doctor Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10005,helmet_weddingvail01,,,,,Worn by the beautiful bride on her wedding day.,-1,2,helmet_weddingvail,0,,,,,,,4,Heart-Throb Wedding Veil Costume,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10006,helmet_fishbowl,,,,,With this helmet you can look at fish from up close!,-1,2,icon_item_helmet_fishbowl,0,,,,,,,4,Fish Tank Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10007,helmet_diver,,,,,Optimized for full submersion.,-1,2,icon_item_helmet_diver,0,,,,,,,4,Diver Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10008,DragoonHelmet,,,,,"A gladiator helmet with no marks can mean one of two things. Either it's a new helmet that's never been used, or a really magnificent piece that won't scratch even with use.",-1,2,icon_item_sword_26,0,,,,,,,4,Dragoon Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10009,pumkin_helmet,,,,,A helmet that mimics the appearance of an evil face carved into a pumpkin.,-1,2,icon_item_pumkin_helmet,0,,,,,,,4,Jack-o'-Lantern Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10010,helmet_Rudolf01,,,,,Rudolph's red nose is a symbol of hope.,-1,2,icon_item_helmet_rudolph,0,,,,,,,4,Rudolph Helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
11000,NoArmband,,,,,,-1,2,icon_item_sword_1,0,,,,,,,4,Empty_armband,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,0,11,,False,False,0.0
11101,ABAND01_101,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_artefact_armband,40,,,,,,,4,Red Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11102,ABAND01_102,,,,,Blood may not flow through if you tie it too tightly.,-1,2,icon_item_armband_cloth,40,,,,,[36002],,4,Knotted Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11103,ABAND01_103,,,,,Its long length makes it possible to be used as a substitute to bandage at urgent times.,-1,2,icon_item_armband_clothlong,40,[642075],,"[{""Map"": null, ""Chance"": 0.3, ""Monster"": 41269}]",,,,4,Long Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11104,ABAND01_104,,,,,Decorated with feather. It is weak and should be handled with attention.,-1,2,icon_item_armband_feather,40,,,,,[36004],,4,Feather Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11105,ABAND01_105,,,,,It is used for special offers and as a fashion item.,-1,2,icon_item_armband_tassel,40,,,,,[36005],,4,Tasseled Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11106,ABAND01_106,,,,,An armband for players who participated in the 1st CBT.,-1,2,icon_item_artefact_armband_cbt1,1,,,,,,,4,Beginning of Savior Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11107,ABAND01_107,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_chief,40,,,,,,,4,Chief Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11108,ABAND01_108,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_silver,40,,,,,,,4,Silver Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11109,ABAND01_109,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_dia,40,,,,,,,4,Diamond Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11110,ABAND01_110,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_singletassel,40,,,,,,,4,Alcohol Decoration Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11111,ABAND01_111,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_shaman,40,,,,,,,4,Shaman Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11112,ABAND01_112,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_orient,40,,,,,,,4,Orient Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11113,ABAND01_113,,,,,An armband to commemorate those that participated in the Seasonal Server.,-1,2,icon_item_armband_gold,1,,,,,,,4,Golden Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11114,ABAND01_114,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_leaf,40,,,,,,,4,Leaf Pattern Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11115,ABAND01_115,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_dragonfly1,40,,,,,,,4,Dragonfly Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11116,ABAND01_116,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_exclamationmark_icon,40,,,,,,,4,Feelings Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11117,ABAND01_117,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_ribbon,40,,,,,,,4,Ribbon Arm Band,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11118,ABAND01_118,,,,,Wearing it will help you classify your allies.,-1,2,icon_item_armband_facebook,40,,,,,,,4,Thumbup Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11119,ABAND01_119,,,,,An honorable armband awarded to members of the guild that achieves 1st Place in the Regional Guild Battles.,-1,2,icon_item_armband_01,40,,,,,,41,4,Guild Battle 1st Place Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11120,ABAND01_120,,,,,An honorable armband awarded to members of the guild that achieves 2nd Place in the Regional Guild Battles.,-1,2,icon_item_armband_02,40,,,,,,42,4,Guild Battle 2nd Place Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11121,ABAND01_121,,,,,An honorable armband awarded to members of the guild that achieves 3rd Place in the Regional Guild Battles.,-1,2,icon_item_armband_03,40,,,,,,43,4,Guild Battle 3rd Place Armband,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11122,ABAND01_122,,,,,An arm band worn by the leader of the class.,-1,2,icon_item_armband_freshness,1,,,,,,,4,Class President Arm Band,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11123,ABAND01_123,,,,,An arm band worn by those who are up to no good.,-1,2,icon_item_armband_skull,1,,,,,,,4,Skull Arm Band,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11124,ABAND01_124,,,,,A cute arm band featuring a bunny face.,-1,2,icon_item_armband_bunny,1,,,,,,,4,Bunnies Arm Band,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11125,ABAND01_125,,,,,A lovely heart gives a nice touch to this arm band.,-1,2,icon_item_armband_nurse,1,,,,,,,4,White Nurse Arm Band,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11126,ABAND01_126,,,,,G9 Savior's Armband,-1,2,icon_item_armband_g9,1,,,,,,,4,G9 Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11127,ABAND01_127,,,,,An armband produced to the image of Vakarine's Dyonis.,-1,2,icon_item_armband_dinios,1,,,,,,,4,Dionys Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11128,ABAND01_128,,,,,A special armband for a special savior. ,-1,2,icon_item_armband_e_speicialbrain,1,,,,,,,4,TOS Specialty Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11129,ABAND01_129,,,,,"This armband commemorates 2018, Year of the Golden Dog.",-1,2,item_icon_armband_golddog2018,1,,,,,,,4,Golden Pup Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11130,ABAND01_130,,,,,An arm band accessory celebrating 2 years of TOS on Steam.,-1,2,icon_item_armband_steam2nd,1,,,,,,,4,Steam 2nd Anniversary Arm Band,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11131,ABAND01_119_COLONY_30,,,,,An armband given to beta testers of the new Guild Territory Wars.,-1,2,icon_item_armband_01,40,,,,,,54,4,Territory Wars Tester Armband (30days),0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,0000,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11132,ABAND01_119_COLONY_90,,,,,An armband given to beta testers of the new Guild Territory Wars.,-1,2,icon_item_armband_01,40,,,,,,55,4,Territory Wars Tester Armband  (90days),0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,0000,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",22,11,4,False,False,10.0
11133,ABAND01_131,,,,,An armband created to remember that guilds make TOS. ,-1,2,icon_item_armband_guild04,1,,,,,,,4,Guild Lovers Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11134,ABAND01_132,,,,,Armband worn by the captain of a soccer team.,-1,2,icon_item_armband_captain_soccer,1,,,,,,,4,Captain Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1101,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11135,ABAND01_133,,,,,Armband worn by supporters of a soccer team.,-1,2,icon_item_armband_supporter_soccer,1,,,,,,,4,Supporters Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1101,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11136,ABAND01_134,,,,,An armband given to Astral Tower event participants.,-1,2,icon_item_armband_stararrow,1,,,,,,,4,Astral Tower Hero Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
11137,ABAND01_130_THA,,,,,An armband accessory celebrating 1 year of TOS.,-1,2,icon_item_armband_th1stanniversary,1,,,,,,,4,1st Anniversary Armband,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",22,11,4,False,False,10.0
12111,HAIR_M_101,,,,,"Once the heir of one the more prestigious families fashioned their hair this way, many followed suit. It must be said however, it's difficult to capitalize on its charm without being attractive in the first place.",-1,,hair_lancer_male,0,,,,,,,4,Terius,1,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,11,6,False,False,0.0
12112,HAIR_M_102,,,,,"A hairstyle imitated by many, restored from around the time of the Millenary. However, it was mostly done by nobility due to it being difficult to cut and maintain.",-1,,hair_puppeteer_male,0,,,,,,,4,Dandy Wave Curl,1,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0001,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,11,6,False,False,0.0
