$ID,$ID_NAME,BonusBoots,BonusGloves,BonusSubWeapon,BonusTopAndBottom,BonusWeapon,Description,Icon,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Skill,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeGem,Weight
643501,gem_circle_1,"[{""Stat"": 54, ""Value"": 15}, {""Stat"": 60, ""Value"": -32}, {""Stat"": 54, ""Value"": 23}, {""Stat"": 60, ""Value"": -46}, {""Stat"": 54, ""Value"": 31}, {""Stat"": 60, ""Value"": -61}, {""Stat"": 54, ""Value"": 39}, {""Stat"": 60, ""Value"": -76}, {""Stat"": 54, ""Value"": 46}, {""Stat"": 60, ""Value"": -92}, {""Stat"": 54, ""Value"": 54}, {""Stat"": 60, ""Value"": -106}, {""Stat"": 54, ""Value"": 62}, {""Stat"": 60, ""Value"": -121}, {""Stat"": 54, ""Value"": 70}, {""Stat"": 60, ""Value"": -136}, {""Stat"": 54, ""Value"": 78}, {""Stat"": 60, ""Value"": -152}, {""Stat"": 54, ""Value"": 85}, {""Stat"": 60, ""Value"": -166}]","[{""Stat"": 54, ""Value"": 15}, {""Stat"": 60, ""Value"": -32}, {""Stat"": 54, ""Value"": 23}, {""Stat"": 60, ""Value"": -46}, {""Stat"": 54, ""Value"": 31}, {""Stat"": 60, ""Value"": -61}, {""Stat"": 54, ""Value"": 39}, {""Stat"": 60, ""Value"": -76}, {""Stat"": 54, ""Value"": 46}, {""Stat"": 60, ""Value"": -92}, {""Stat"": 54, ""Value"": 54}, {""Stat"": 60, ""Value"": -106}, {""Stat"": 54, ""Value"": 62}, {""Stat"": 60, ""Value"": -121}, {""Stat"": 54, ""Value"": 70}, {""Stat"": 60, ""Value"": -136}, {""Stat"": 54, ""Value"": 78}, {""Stat"": 60, ""Value"": -152}, {""Stat"": 54, ""Value"": 85}, {""Stat"": 60, ""Value"": -166}]","[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 56, ""Value"": 15}, {""Stat"": 54, ""Value"": -3}, {""Stat"": 56, ""Value"": 23}, {""Stat"": 54, ""Value"": -5}, {""Stat"": 56, ""Value"": 31}, {""Stat"": 54, ""Value"": -7}, {""Stat"": 56, ""Value"": 39}, {""Stat"": 54, ""Value"": -9}, {""Stat"": 56, ""Value"": 46}, {""Stat"": 54, ""Value"": -11}, {""Stat"": 56, ""Value"": 54}, {""Stat"": 54, ""Value"": -13}, {""Stat"": 56, ""Value"": 62}, {""Stat"": 54, ""Value"": -15}, {""Stat"": 56, ""Value"": 70}, {""Stat"": 54, ""Value"": -17}, {""Stat"": 56, ""Value"": 78}, {""Stat"": 54, ""Value"": -19}, {""Stat"": 56, ""Value"": 85}, {""Stat"": 54, ""Value"": -21}]","[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_circle150,"[642093, 642093, 642093, 642093, 642093, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642144]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Map"": null, ""Chance"": 0.0, ""Monster"": 41209}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41348}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41382}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57860}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47323}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47502}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57067}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57076}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57079}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57091}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57096}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57115}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57311}]","[12021, 13020, 33023, 33064, 34022, 34058]",,,Red Gem,100,0.0,0.0,TTTT,11,1,1.0
643502,gem_square_1,"[{""Stat"": 62, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 62, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 62, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 62, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 62, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 62, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 62, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 62, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 62, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 62, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 62, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 62, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 62, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 62, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 62, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 62, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 62, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 62, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 62, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 62, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 52, ""Value"": 360}, {""Stat"": 53, ""Value"": -90}, {""Stat"": 52, ""Value"": 525}, {""Stat"": 53, ""Value"": -131}, {""Stat"": 52, ""Value"": 690}, {""Stat"": 53, ""Value"": -172}, {""Stat"": 52, ""Value"": 860}, {""Stat"": 53, ""Value"": -215}, {""Stat"": 52, ""Value"": 1035}, {""Stat"": 53, ""Value"": -258}, {""Stat"": 52, ""Value"": 1200}, {""Stat"": 53, ""Value"": -300}, {""Stat"": 52, ""Value"": 1365}, {""Stat"": 53, ""Value"": -341}, {""Stat"": 52, ""Value"": 1535}, {""Stat"": 53, ""Value"": -383}, {""Stat"": 52, ""Value"": 1710}, {""Stat"": 53, ""Value"": -427}, {""Stat"": 52, ""Value"": 1875}, {""Stat"": 53, ""Value"": -468}]","[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_square150,"[642093, 642093, 642093, 642093, 642137]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Map"": null, ""Chance"": 0.0, ""Monster"": 41209}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41348}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41382}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57860}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47323}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47502}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57067}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57076}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57079}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57091}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57096}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57115}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57311}]","[10016, 11021, 12021, 12022, 33023, 33065, 34059]",,,Blue Gem,100,0.0,0.0,TTTT,11,1,1.0
643503,gem_diamond_1,"[{""Stat"": 63, ""Value"": 15}, {""Stat"": 56, ""Value"": -3}, {""Stat"": 63, ""Value"": 23}, {""Stat"": 56, ""Value"": -5}, {""Stat"": 63, ""Value"": 31}, {""Stat"": 56, ""Value"": -7}, {""Stat"": 63, ""Value"": 39}, {""Stat"": 56, ""Value"": -9}, {""Stat"": 63, ""Value"": 46}, {""Stat"": 56, ""Value"": -11}, {""Stat"": 63, ""Value"": 54}, {""Stat"": 56, ""Value"": -13}, {""Stat"": 63, ""Value"": 62}, {""Stat"": 56, ""Value"": -15}, {""Stat"": 63, ""Value"": 70}, {""Stat"": 56, ""Value"": -17}, {""Stat"": 63, ""Value"": 78}, {""Stat"": 56, ""Value"": -19}, {""Stat"": 63, ""Value"": 85}, {""Stat"": 56, ""Value"": -21}]","[{""Stat"": 63, ""Value"": 15}, {""Stat"": 56, ""Value"": -3}, {""Stat"": 63, ""Value"": 23}, {""Stat"": 56, ""Value"": -5}, {""Stat"": 63, ""Value"": 31}, {""Stat"": 56, ""Value"": -7}, {""Stat"": 63, ""Value"": 39}, {""Stat"": 56, ""Value"": -9}, {""Stat"": 63, ""Value"": 46}, {""Stat"": 56, ""Value"": -11}, {""Stat"": 63, ""Value"": 54}, {""Stat"": 56, ""Value"": -13}, {""Stat"": 63, ""Value"": 62}, {""Stat"": 56, ""Value"": -15}, {""Stat"": 63, ""Value"": 70}, {""Stat"": 56, ""Value"": -17}, {""Stat"": 63, ""Value"": 78}, {""Stat"": 56, ""Value"": -19}, {""Stat"": 63, ""Value"": 85}, {""Stat"": 56, ""Value"": -21}]","[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]","[{""Stat"": 55, ""Value"": 15}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 55, ""Value"": 23}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 55, ""Value"": 31}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 55, ""Value"": 39}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 55, ""Value"": 46}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 55, ""Value"": 54}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 55, ""Value"": 62}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 55, ""Value"": 70}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 55, ""Value"": 78}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 55, ""Value"": 85}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_dia150,"[642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642145, 642153]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Map"": null, ""Chance"": 0.0, ""Monster"": 41209}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41348}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41382}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57860}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47323}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47502}, {""Map"": null, ""Chance"": 2.76, ""Monster"": 400323}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57067}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57076}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57079}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57091}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57096}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57115}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57311}]","[14023, 30374, 34022]",,,Green Gem,100,0.0,0.0,TTTT,11,1,1.0
643504,gem_star_1,"[{""Stat"": 57, ""Value"": 15}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 57, ""Value"": 23}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 57, ""Value"": 31}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 57, ""Value"": 39}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 57, ""Value"": 46}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 57, ""Value"": 54}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 57, ""Value"": 62}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 57, ""Value"": 70}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 57, ""Value"": 78}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 57, ""Value"": 85}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 57, ""Value"": 15}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 57, ""Value"": 23}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 57, ""Value"": 31}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 57, ""Value"": 39}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 57, ""Value"": 46}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 57, ""Value"": 54}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 57, ""Value"": 62}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 57, ""Value"": 70}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 57, ""Value"": 78}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 57, ""Value"": 85}, {""Stat"": 63, ""Value"": -21}]","[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]","[{""Stat"": 53, ""Value"": 360}, {""Stat"": 52, ""Value"": -90}, {""Stat"": 53, ""Value"": 525}, {""Stat"": 52, ""Value"": -131}, {""Stat"": 53, ""Value"": 690}, {""Stat"": 52, ""Value"": -172}, {""Stat"": 53, ""Value"": 860}, {""Stat"": 52, ""Value"": -215}, {""Stat"": 53, ""Value"": 1035}, {""Stat"": 52, ""Value"": -258}, {""Stat"": 53, ""Value"": 1200}, {""Stat"": 52, ""Value"": -300}, {""Stat"": 53, ""Value"": 1365}, {""Stat"": 52, ""Value"": -341}, {""Stat"": 53, ""Value"": 1535}, {""Stat"": 52, ""Value"": -383}, {""Stat"": 53, ""Value"": 1710}, {""Stat"": 52, ""Value"": -427}, {""Stat"": 53, ""Value"": 1875}, {""Stat"": 52, ""Value"": -468}]","[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_star150,"[642086, 642145]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Map"": null, ""Chance"": 0.0, ""Monster"": 41209}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41348}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 41382}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57860}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47323}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 47502}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57067}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57076}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57079}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57091}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57096}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57115}, {""Map"": null, ""Chance"": 0.0, ""Monster"": 57311}]","[31019, 31020]",,,Yellow Gem,100,0.0,0.0,TTTT,11,1,1.0
643505,gem_star_test,,,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_twentyside150,,,,,,,Test Gem,100,0.0,0.0,TTTT,11,1,1.0
643506,Gem_Swordman_Thrust,"[{""Stat"": ""Thrust Skill Lvl +1""}]","[{""Stat"": ""Thrust Skill Lvl +1""}]","[{""Stat"": ""Thrust Skill Lvl +1""}]",,"[{""Stat"": ""Thrust Skill Lvl +1""}]",A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.,gem_mon_bokchoy,,,"[{""Map"": null, ""Chance"": 0.02, ""Monster"": 58008}, {""Map"": null, ""Chance"": 0.02, ""Monster"": 400041}]",,,10001,Chinency Gem,100,0.0,0.0,TTTT,11,0,1.0
643507,Gem_Swordman_Bash,"[{""Stat"": ""Bash Skill Lvl +1""}]","[{""Stat"": ""Bash Skill Lvl +1""}]","[{""Stat"": ""Bash Skill Lvl +1""}]",,"[{""Stat"": ""Bash Skill Lvl +1""}]",A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.,gem_mon_weaver,,,"[{""Map"": null, ""Chance"": 0.02, ""Monster"": 41280}, {""Map"": null, ""Chance"": 0.01, ""Monster"": 58093}]",,,10002,Weaver Gem,100,0.0,0.0,TTTT,11,0,1.0
643508,Gem_Swordman_GungHo,,,,"[{""Stat"": ""Gung Ho Skill Lvl +1""}]",,A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.,gem_mon_yekubite,,,"[{""Map"": null, ""Chance"": 0.02, ""Monster"": 58094}, {""Map"": null, ""Chance"": 0.02, ""Monster"": 41257}]",,,10003,Yekubite Gem,100,0.0,0.0,TTTT,11,0,1.0
643509,Gem_Swordman_Concentrate,,,,"[{""Stat"": ""Concentrate Skill Lvl +1""}]",,A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.,gem_mon_jukopus,,,,,,10004,Jukopus Gem,100,0.0,0.0,TTTT,11,0,1.0
643510,Gem_Swordman_PainBarrier,,,,"[{""Stat"": ""Pain Barrier Skill Lvl +1""}]",,A gem that can be found in a dungeon. It is able to enhance equipment by equipping it in a socket. Cannot be used with same effect simultaneously. Right-click to insert it to an equipment.,gem_mon_stonorca,,,"[{""Map"": null, ""Chance"": 0.02, ""Monster"": 41295}, {""Map"": null, ""Chance"": 0.02, ""Monster"": 58705}]",,,10005,Stone Orca Gem,100,0.0,0.0,TTTT,11,0,1.0
