$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,IsStarter,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,StatBase_CON,StatBase_DEX,StatBase_INT,StatBase_SPR,StatBase_STR,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1001,Char1_1,3,Swordsmen are warriors who have strong physical abilities.{nl}They use various weapons to deal with enemies up close{nl}and stand at the front lines.,c_warrior_swordsman,False,False,True,0,3,[0],"[10028, 10000, 10012, 10013, 10014, 101020, 10023, 101004, 101014, 101017, 101001, 101015, 101013, 101002, 101007, 101008, 101018, 101010, 101012, 101016]","[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008]",Swordsman,1,0,0,0,0,0,8,5,2,3,7
1002,Char1_2,3,"Highlanders are tough fighters who use two-handed swords. They make enemies collide against each other or against terrain, so they are great for handling multiple enemies.",c_warrior_highlander,False,False,False,0,3,[0],"[10000, 10002, 103017, 103007, 103016, 103001, 103014, 103022, 103020, 103004, 103015, 103010, 103019, 103011, 103018, 103023, 103024, 103013, 103021, 103026, 103025]","[10201, 10202, 10203, 10204, 10205, 10207, 10208, 10206, 10209]",Highlander,2,0,0,0,0,0,8,5,2,3,7
1003,Char1_3,3,Peltastas are defensive warriors who use shields to block enemy attacks and provoke enemies.,c_warrior_peltasta,False,False,False,2,3,[5],"[10028, 10000, 102014, 102015, 102016, 102004, 102017, 102012, 102001, 102011, 102021, 102022, 102029, 102008, 102013, 102020, 102019, 102010, 102023, 102024, 102025, 102027, 102028]","[10101, 10102, 10103, 10104, 10105, 10106, 10107, 10108, 10109]",Peltasta,2,0,0,0,0,0,8,5,2,3,7
1004,Char1_4,3,"Hoplites use spears with a long attack range. They gain a bonus when fighting against strong, large-sized enemies.",c_warrior_hoplite,False,False,False,0,3,[0],"[10003, 104001, 104013, 104023, 104007, 104014, 104015, 104024, 104016, 104018, 104004, 104017, 104010, 104025, 104021, 104012, 104020, 104022]","[10301, 10302, 10303, 10304, 10305, 10307, 10306]",Hoplite,3,0,0,0,0,0,8,5,2,3,7
1005,Char1_5,3,Centurions command the battle with formations. They control their allies and use different formations depending on the situation.,c_warrior_centurion,False,False,False,1,3,[9],"[110001, 110002, 110003, 110004, 110005]","[10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10910]",Centurion,200,0,0,0,0,0,8,5,2,3,7
1006,Char1_6,3,"Barbarians are reckless and aggressive warriors who are not bound to the rules of battle, and would do anything to ensure victory.",c_warrior_barbarian,False,False,False,0,3,[0],"[10028, 10002, 105001, 105006, 105017, 105015, 105005, 105009, 105008, 105021, 105012, 105016, 105014, 105018, 105019, 105020]","[10401, 10404, 10411, 10409, 10405, 10406, 10410, 10407, 10408]",Barbarian,3,0,0,0,0,0,8,5,2,3,7
1007,Char1_7,3,Cataphracts use two-handed spears. They act as cavalry who break through and scatter enemy formations.,c_warrior_cataphract,False,False,False,2,3,[0],"[10004, 10016, 107019, 107001, 107004, 107016, 107014, 107007, 107017, 107015, 107010, 107018, 107012, 107013]","[10601, 10602, 10603, 10604, 10605, 10608, 10606]",Cataphract,4,0,0,0,0,0,8,5,2,3,7
1008,Char1_8,3,Corsairs are specialized in dual-wielding and ambushing enemies from behind. Anyone who joins a Corsair's party becomes a pirate.,c_warrior_corsair,False,False,False,2,3,"[0, 9]","[109008, 10028, 10015, 10011, 109007, 109003, 109001, 109002, 109005, 109006, 109009, 109010, 109011, 109012]","[10801, 10802, 10803, 10807, 10805, 10808, 10809, 10810]",Corsair,5,0,0,0,0,0,8,5,2,3,7
1009,Char1_9,3,Doppelsoeldners are mercenaries who endure high risk for high rewards. They dangerously expose themselves to enemies to receive high attack power or high EXP.,c_warrior_doppelsoeldner,False,False,False,0,3,[0],"[10002, 111018, 111003, 111017, 111002, 111006, 111005, 111001, 111004, 111011, 111019, 111008, 111016, 111010, 111014, 111009, 111015, 111012, 111013]","[11004, 11001, 11002, 11003, 11005, 11006, 11008, 11007, 11009, 11010]",Doppelsoeldner,6,0,0,0,0,0,8,5,2,3,7
1010,Char1_10,3,Rodeleros ambush and demolish enemies. Their defensive skills using shields are effective for blocking long range attacks.,c_warrior_rodelero,False,False,False,2,3,[0],"[10028, 102015, 106001, 106004, 106014, 106007, 106013, 106015, 106023, 106010, 106018, 106019, 106020, 106017, 106022, 106016, 106021]","[10501, 10502, 10503, 10504, 10507, 10508, 10505, 10506, 10509]",Rodelero,4,0,0,0,0,0,8,5,2,3,7
