$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,1647,1152,4,mon_highbube_archer,113,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 68, ""Quantity_MIN"": 64}, {""Item"": 645479, ""Chance"": 7.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601132, ""Chance"": 1.08, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680200, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685200, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643684, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",High Vubbe Archer,0,2,1,441,147,516,172,54,59,0,50,110,56,56,255,285,45,59,5794,20,1010,20,40
11110,New_desmodus,2,A popular theory is that you have to be a demon to use this messenger.,1862,953,0,mon_new_desmodus,41,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 6, ""Quantity_MIN"": 6}, {""Item"": 271104, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 241101, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 582103, ""Chance"": 0.46, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161106, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680062, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685062, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643588, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",Desmodus,1,2,0,103,85,103,85,24,15,0,8,25,20,20,54,54,10,15,511,22,372,8,22
11120,Goblin_Spear,2,The most commonly encountered Vubbe.,452,217,1,mon_goblin_spear,13,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 8, ""Quantity_MIN"": 8}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 272110, ""Chance"": 0.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 102114, ""Chance"": 0.29, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601123, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 122114, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680012, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685012, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643717, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",Vubbe Thief,0,2,1,39,21,50,26,6,6,0,8,14,6,6,28,31,7,6,202,2,106,2,6
11123,Goblin_Spear_red,2,The most commonly encountered Vubbe.,2220,1425,2,mon_goblin_spear_red,150,,,Red Vubbe Robber,0,2,1,555,298,642,345,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
11124,Goblin_Spear_blue,2,The most commonly encountered Vubbe.,1138,652,4,mon_goblin_spear_blue,23,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 101120, ""Chance"": 0.55, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",Blue Vubbe Thief,0,2,1,51,27,64,34,10,11,0,12,27,11,11,36,40,11,11,370,4,199,4,9
11125,Goblin_Miners,2,It is hard to determine whether their mining roles are permanent since little is known about the Vubbe's social system.,848,473,1,mon_goblin_miners,16,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 581123, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 202110, ""Chance"": 1.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 101119, ""Chance"": 0.82, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161119, ""Chance"": 0.82, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 521103, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643501, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 102118, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680014, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685014, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643642, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",Vubbe Miner,0,2,1,44,23,54,29,7,8,0,9,16,8,8,30,34,8,8,250,3,139,3,7
11127,Goblin_Miners_Blue,2,It is hard to determine whether their mining roles are permanent since little is known about the Vubbe's social system.,876,798,4,mon_goblin_miners_blue,20,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 221102, ""Chance"": 1.15, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 30083, ""Chance"": 1.15, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",Blue Vubbe Miner,0,2,1,45,30,57,38,9,10,0,11,25,10,10,34,38,10,10,321,4,179,4,9
11160,Goblin_Archer,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,1080,698,1,mon_goblin_archer,21,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 15, ""Quantity_MIN"": 14}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 645222, ""Chance"": 7.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161120, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601110, ""Chance"": 0.25, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 628010, ""Chance"": 1.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 521124, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643501, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 162116, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680019, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685019, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643663, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",Vubbe Archer,0,2,1,46,30,58,38,9,10,0,11,25,10,10,34,38,10,10,337,4,186,4,9
11162,Goblin_Archer_red,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,1665,1995,2,mon_goblin_archer_red,150,,,Red Vubbe archer,0,2,1,597,256,691,296,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
41196,Long_Arm,2,A shrub monster that attacks by either firing its twigs or striking with its branches.,2146,930,1,mon_long_arm,100,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 76, ""Quantity_MIN"": 73}, {""Item"": 645427, ""Chance"": 10.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 649200, ""Chance"": 33.3, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 640028, ""Chance"": 25.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 18007, ""Chance"": 0.33, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680171, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685171, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",Long-Branched Tree,4,2,1,320,213,320,213,41,41,0,27,64,50,50,253,202,27,41,4508,27,1300,49,27
