$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,1827,1147,4,mon_highbube_archer,113,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 68, ""Quantity_MIN"": 64}, {""Item"": 645479, ""Chance"": 7.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601132, ""Chance"": 1.08, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680200, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685200, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643893, ""Chance"": 0.04, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",High Vubbe Archer,0,2,1,199,66,557,185,146,90,0,47,292,113,101,156,234,70,113,9623,23,1049,23,70
11110,New_desmodus,2,A popular theory is that you have to be a demon to use this messenger.,257,225,0,mon_new_desmodus,41,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 6, ""Quantity_MIN"": 6}, {""Item"": 271104, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 241101, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 582103, ""Chance"": 0.46, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161106, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680062, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685062, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643588, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",Desmodus,1,2,0,135,110,55,45,41,28,0,13,59,28,65,57,30,9,41,785,32,619,27,9
11120,Goblin_Spear,2,The most commonly encountered Vubbe.,105,109,1,mon_goblin_spear,13,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 8, ""Quantity_MIN"": 8}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 272110, ""Chance"": 0.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 102114, ""Chance"": 0.29, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601123, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 122114, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680012, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685012, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643717, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",Vubbe Thief,0,2,1,19,10,55,29,16,10,0,7,33,13,11,18,27,10,13,344,3,119,3,10
11123,Goblin_Spear_red,2,The most commonly encountered Vubbe.,3116,1773,2,mon_goblin_spear_red,150,,,Red Vubbe Robber,0,2,1,238,128,666,358,195,120,0,62,403,150,135,216,325,93,150,17315,31,1401,31,93
11124,Goblin_Spear_blue,2,The most commonly encountered Vubbe.,158,163,4,mon_goblin_spear_blue,23,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 101120, ""Chance"": 0.55, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",Blue Vubbe Thief,0,2,1,33,18,92,49,29,18,0,11,56,23,20,31,47,16,23,552,5,212,5,16
11125,Goblin_Miners,2,It is hard to determine whether their mining roles are permanent since little is known about the Vubbe's social system.,118,124,1,mon_goblin_miners,16,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 581123, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 202110, ""Chance"": 1.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 101119, ""Chance"": 0.82, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161119, ""Chance"": 0.82, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 521103, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 640263, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 102118, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680014, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685014, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643642, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",Vubbe Miner,0,2,1,24,13,67,36,20,12,0,8,40,16,14,21,32,12,16,405,4,152,4,12
11127,Goblin_Miners_Blue,2,It is hard to determine whether their mining roles are permanent since little is known about the Vubbe's social system.,139,146,4,mon_goblin_miners_blue,20,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 19, ""Quantity_MIN"": 18}, {""Item"": 221102, ""Chance"": 1.15, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 30083, ""Chance"": 1.15, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",Blue Vubbe Miner,0,2,1,28,18,77,51,26,16,0,10,51,20,18,27,41,15,20,489,5,192,5,15
11160,Goblin_Archer,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,145,151,1,mon_goblin_archer,21,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 15, ""Quantity_MIN"": 14}, {""Item"": 645129, ""Chance"": 8.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 645222, ""Chance"": 7.5, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 161120, ""Chance"": 0.6, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 601110, ""Chance"": 0.25, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 628010, ""Chance"": 1.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 521124, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 640263, ""Chance"": 1.34, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 162116, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680019, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685019, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 643663, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",Vubbe Archer,0,2,1,29,19,79,52,27,16,0,10,52,21,18,28,42,15,21,510,5,199,5,15
11162,Goblin_Archer_red,2,Vubbe Archers specialize in using ranged weapons. Thus some people claim the Vubbes have specific roles.,3116,1773,2,mon_goblin_archer_red,150,,,Red Vubbe archer,0,2,1,256,110,717,307,195,120,0,62,403,150,135,216,325,93,150,17315,31,1401,31,93
41196,Long_Arm,2,A shrub monster that attacks by either firing its twigs or striking with its branches.,1457,990,1,mon_long_arm,100,"[{""Item"": {""$ID"": -1, ""$ID_NAME"": null, ""Name"": ""Silver"", ""Icon"": ""icon_item_silver""}, ""Chance"": 80.0, ""Quantity_MAX"": 76, ""Quantity_MIN"": 73}, {""Item"": 645427, ""Chance"": 10.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 649200, ""Chance"": 33.3, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 640028, ""Chance"": 25.0, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 18007, ""Chance"": 0.33, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 680171, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Item"": 685171, ""Chance"": 0.02, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",Long-Branched Tree,4,2,1,207,138,268,179,100,100,0,63,177,200,100,217,217,31,0,8660,31,1066,31,52
