$ID,$ID_NAME,Icon,Link_Collections,Link_Cubes,Link_Materials,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Target,Name,Price,Tradability,Type
1001,R_timber_01,icon_item_recipe_misc1,,,"[{""Item"": 645238, ""Quantity"": 3}]",,,,645242,Recipe - Oak Lumber,10,TTTT,21
1002,R_timber_02,icon_item_recipe_misc1,,,"[{""Item"": 645239, ""Quantity"": 3}]",,,,645243,Recipe - Ash Lumber,10,TTTT,21
1003,R_timber_03,icon_item_recipe_misc1,,,"[{""Item"": 645240, ""Quantity"": 3}]",,,,645244,Recipe - Pine Lumber,10,TTTT,21
1004,R_timber_04,icon_item_recipe_misc1,,,"[{""Item"": 645241, ""Quantity"": 3}]",,,,645245,Recipe - Cedar Lumber,10,TTTT,21
1010,R_drakeResc,icon_item_recipe_misc1,,,"[{""Item"": 1010, ""Quantity"": 1}, {""Item"": 645216, ""Quantity"": 300}]",,[1010],,645305,Recipe - Drake Epaulet,10,FFFF,21
2001,R_rsc_2_1,icon_item_recipe_misc1,,,"[{""Item"": 2001, ""Quantity"": 1}, {""Item"": 645024, ""Quantity"": 5}, {""Item"": 645352, ""Quantity"": 2}]",,[2001],,645495,Recipe - White Mucus,10,TTTT,21
2002,R_rsc_2_2,icon_item_recipe_misc1,,,"[{""Item"": 2002, ""Quantity"": 1}, {""Item"": 645131, ""Quantity"": 4}]",,[2002],,645496,Recipe - Florr,10,TTTT,21
2003,R_rsc_2_3,icon_item_recipe_misc1,,,"[{""Item"": 2003, ""Quantity"": 1}, {""Item"": 645333, ""Quantity"": 4}]",,[2003],,645497,Recipe - Rough Bones Powder,10,TTTT,21
2004,R_rsc_2_4,icon_item_recipe_misc1,,,"[{""Item"": 2004, ""Quantity"": 1}, {""Item"": 645164, ""Quantity"": 1}, {""Item"": 645310, ""Quantity"": 5}]",,[2004],,645498,Recipe - Tendon,10,TTTT,21
2005,R_hrsc_2_1,icon_item_recipe_misc1,,,"[{""Item"": 2005, ""Quantity"": 1}, {""Item"": 645175, ""Quantity"": 5}, {""Item"": 645221, ""Quantity"": 3}, {""Item"": 645181, ""Quantity"": 2}]",,[2005],,645502,Recipe - Spell Reservoir,10,TTTT,21
2006,R_misc_jore12,icon_item_recipe_misc1,,,"[{""Item"": 2006, ""Quantity"": 1}, {""Item"": 645496, ""Quantity"": 2}, {""Item"": 649208, ""Quantity"": 10}]",,[2006],,649211,Recipe - Pyrostone,10,TTTT,21
2007,R_misc_jore13,icon_item_recipe_misc1,,,"[{""Item"": 2007, ""Quantity"": 1}, {""Item"": 645496, ""Quantity"": 2}, {""Item"": 649210, ""Quantity"": 10}]",,[2007],,649212,Recipe - Cryostone,10,TTTT,21
2008,R_rsc_3_1,icon_item_recipe_misc1,,,"[{""Item"": 2008, ""Quantity"": 1}, {""Item"": 645497, ""Quantity"": 3}, {""Item"": 645438, ""Quantity"": 1}]",,[2008],,645499,Recipe - Hardener,10,TTTT,21
2009,R_rsc_3_2,icon_item_recipe_misc1,,,"[{""Item"": 2009, ""Quantity"": 1}, {""Item"": 645498, ""Quantity"": 3}, {""Item"": 645495, ""Quantity"": 1}]",,[2009],,645500,Recipe - Tough Tendon,10,TTTT,21
2010,R_rsc_4_1,icon_item_recipe_misc1,,,"[{""Item"": 2010, ""Quantity"": 1}, {""Item"": 645499, ""Quantity"": 3}, {""Item"": 645427, ""Quantity"": 2}]",,[2010],,645501,Recipe - Resinate,10,TTTT,21
2011,R_UNDER302_STAFF,icon_item_recipe_misc1,,,"[{""Item"": 687001, ""Quantity"": 1}, {""Item"": 687002, ""Quantity"": 1}, {""Item"": 687003, ""Quantity"": 1}, {""Item"": 2011, ""Quantity"": 1}]",,[2011],,687004,Recipe - Old Cane,0,FFFF,21
2012,R_KLAIPE_CHAR313_ITEM2,icon_item_recipe_misc1,,,"[{""Item"": 2012, ""Quantity"": 1}, {""Item"": 645138, ""Quantity"": 15}, {""Item"": 645438, ""Quantity"": 20}, {""Item"": 645196, ""Quantity"": 50}, {""Item"": 645810, ""Quantity"": 100}]",,[2012],,663284,Recipe - Reagent,0,FFFF,21
3001,R_Drug_AriesAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3001, ""Quantity"": 1}, {""Item"": 640217, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3001],,640194,Recipe - Attack Boost Potion: Pierce,0,FFTT,21
3002,R_Drug_SlashAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3002, ""Quantity"": 1}, {""Item"": 640033, ""Quantity"": 5}, {""Item"": 640006, ""Quantity"": 1}]",,[3002],,640195,Recipe - Attack Boost Potion: Slash,0,FFTT,21
3003,R_Drug_StrikeAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3003, ""Quantity"": 1}, {""Item"": 640216, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3003],,640196,Recipe - Attack Boost Potion: Strike,0,FFTT,21
3004,R_Drug_MissileAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3004, ""Quantity"": 1}, {""Item"": 640032, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3004],,640197,Recipe - Attack Boost Potion: Missile,0,FFTT,21
3005,R_Drug_FireAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3005, ""Quantity"": 1}, {""Item"": 640216, ""Quantity"": 5}, {""Item"": 640006, ""Quantity"": 1}]",,[3005],,640198,Recipe - Attack Boost Potion: Fire,0,FFTT,21
3006,R_Drug_IceAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3006, ""Quantity"": 1}, {""Item"": 640217, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3006],,640199,Recipe - Attack Boost Potion: Ice,0,FFTT,21
3007,R_Drug_PoisonAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3007, ""Quantity"": 1}, {""Item"": 640033, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3007],,640200,Recipe - Attack Boost Potion: Poison,0,FFTT,21
3008,R_Drug_LightningAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3008, ""Quantity"": 1}, {""Item"": 640032, ""Quantity"": 5}, {""Item"": 640006, ""Quantity"": 1}]",,[3008],,640201,Recipe - Attack Boost Potion: Lightning,0,FFTT,21
3009,R_Drug_EarthAtk_PC,icon_item_recipe_misc1,,,"[{""Item"": 3009, ""Quantity"": 1}, {""Item"": 640216, ""Quantity"": 5}, {""Item"": 640003, ""Quantity"": 3}]",,[3009],,640202,Recipe - Attack Boost Potion: Earth,0,FFTT,21
