$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10000,SwapWeapon,*武器変更可能{nl},{nl}{b}ソードマン 2サークル必要{b}{nl}{b}ハイランダー1サークル必要{b}{nl}{b}ペルタスト1サークル必要{b}{nl}{b}ウィザード2サークル必要{b}{nl}{b}パイロマンサー1サークル必要{b}{nl}{b}クリオマンサー1サークル必要{b}{nl}{b}アーチャー 2サークル必要{b}{nl}{b}クォレルシューター1サークル必要{b}{nl}{b}レンジャー1サークル必要{b}{nl}{b}クレリック 2サークル必要{b}{nl}{b}プリースト1サークル必要{b}{nl}{b}クリヴィス1サークル必要{b},ability_warrior_swapweapon,False,1,"[1001, 1002, 1003, 2001, 2002, 2003, 3001, 3003, 3004, 4001, 4002, 4003]",,武器スワップ,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgStr"": ""Char4_1"", ""UnlockArgNum"": ""2""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""4003"": {""UnlockArgStr"": ""Char4_3"", ""UnlockArgNum"": ""1""}, ""1001"": {""UnlockArgStr"": ""Char1_1"", ""UnlockArgNum"": ""2""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1003"": {""UnlockArgStr"": ""Char1_3"", ""UnlockArgNum"": ""1""}, ""2001"": {""UnlockArgStr"": ""Char2_1"", ""UnlockArgNum"": ""2""}, ""2002"": {""UnlockArgStr"": ""Char2_2"", ""UnlockArgNum"": ""1""}, ""2003"": {""UnlockArgStr"": ""Char2_3"", ""UnlockArgNum"": ""1""}, ""3001"": {""UnlockArgStr"": ""Char3_1"", ""UnlockArgNum"": ""2""}, ""3003"": {""UnlockArgStr"": ""Char3_3"", ""UnlockArgNum"": ""1""}, ""3004"": {""UnlockArgStr"": ""Char3_4"", ""UnlockArgNum"": ""1""}}",
10002,THSword,*[両手剣]系武器着用可能{nl}*[両手剣]着用時、広域攻撃率1アップ{nl},{nl}{b}ハイランダー1サークル必要{b}{nl}{b}バーバリアン1サークル必要{b}{nl}{b}ドッペルゾルドナー1サークル必要{b},ability_warrior_thsword,False,1,"[1002, 1006, 1009]",,両手剣使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1009"": {""UnlockArgStr"": ""Char1_9"", ""UnlockArgNum"": ""1""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1006"": {""UnlockArgStr"": ""Char1_6"", ""UnlockArgNum"": ""1""}}",
10003,Spear,*[片手槍]系武器着用可能{nl}*[片手槍]攻撃時、攻撃範囲5アップ{nl}*[片手槍]攻撃時、中・大型の大きさの敵に与えるダメージ5%アップ{nl},{nl}{b}ホプライト1サークル必要{b}{nl}{b}ドラグーン1サークル必要{b}{nl}{b}レティアリイ1サークル必要{b},ability_warrior_spear,False,1,"[1004, 1015, 1020]",,片手槍使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1020"": {""UnlockArgStr"": ""Char1_18"", ""UnlockArgNum"": ""1""}, ""1004"": {""UnlockArgStr"": ""Char1_4"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}}",
10004,THSpear,*[両手槍]系武器着用可能{nl}*[両手槍]着用時、攻撃範囲 10アップ{nl},{nl}{b}カタフラクト1サークル必要{b}{nl}{b}ドラグーン1サークル必要{b}{nl}{b}ランサー1サークル必要{b},ability_warrior_thspear,False,1,"[1007, 1015, 1017]",,両手槍使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10011,Pistol,*[拳銃]系武器着用可能{nl}*Cキーで拳銃攻撃可能{nl},{nl}{b}コルセア3サークル必要{b},ability_archer_schwarzereiter1,False,1,[1008],,拳銃使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""3""}}",
10015,DaggerMastery,*敵の後方から短剣で攻撃時、特性レベル1につき2%の追加ダメージ{nl},{nl}{b}コルセア1サークル必要{b}{nl}{b}ローグ1サークル必要{b},ability_common_daggermastery,False,5,"[1008, 3009]",,短剣マスタリ：急襲,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""1""}, ""3009"": {""UnlockArgStr"": ""Char3_9"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
10016,CompanionRide,*コンパニオンに乗った状態でスキルを使用可能{nl},{nl}{b}カタフラクト1サークル必要{b}{nl}{b}ランサー1サークル必要{b}{nl}{b}ハッカペル1サークル必要{b}{nl}{b}シュヴァルツライター1サークル必要{b},ability_common_companionride,False,1,"[1007, 1017, 3007, 3010]",,コンパニオン搭乗,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""3010"": {""UnlockArgStr"": ""Char3_10"", ""UnlockArgNum"": ""1""}, ""3007"": {""UnlockArgStr"": ""Char3_7"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10017,Rapier,*[レイピア]系武器着用可能{nl},{nl}{b}フェンサー1サークル必要{b}{nl}{b}マタドール1サークル必要{b},ability_warrior_rapier,False,1,"[1014, 1018]",,レイピア使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1018"": {""UnlockArgStr"": ""Char1_19"", ""UnlockArgNum"": ""1""}, ""1014"": {""UnlockArgStr"": ""Char1_14"", ""UnlockArgNum"": ""1""}}",
10018,MaxWeightAbil,*キャラクターインベントリの持ち運べる重さが20アップ{nl},{nl}{b}シノビ1サークル必要{b}{nl}{b}サッパー1サークル必要{b}{nl}{b}キャノニア1サークル必要{b}{nl}{b}プリースト1サークル必要{b}{nl}{b}ティルトルビー1サークル必要{b},ability_common_maxweightabil,False,10,"[1013, 3005, 3015, 4002, 4007]",,最大重量アップ,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4007"": {""UnlockArgStr"": ""Char4_7"", ""UnlockArgNum"": ""1""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""1013"": {""UnlockArgStr"": ""Char1_13"", ""UnlockArgNum"": ""1""}, ""3005"": {""UnlockArgStr"": ""Char3_5"", ""UnlockArgNum"": ""1""}, ""3015"": {""UnlockArgStr"": ""Char3_15"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
10019,CompMastery1,*コンパニオンのスタミナが消耗する周期時間が特性レベル1につき10秒アップ{nl},{nl}{b}ハンター1サークル必要{b}{nl}{b}ファルコナー1サークル必要{b},ability_common_compmastery1,False,5,"[3002, 3014]",,コンパニオンマスタリ：根気,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": ""Char3_2"", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": ""Char3_14"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
10020,CompMastery2,*コンパニオンのHPが50%以下の時、2秒間[応急治療]効果を受けてHPを持続的に回復{nl}*2レベルから持続時間が特性レベル1につき1秒ずつアップ{nl}*[応急治療]以後、10分間[応急治療不可]状態{nl},{nl}{b}ハンター1サークル必要{b}{nl}{b}ファルコナー1サークル必要{b},ability_common_compmastery2,False,4,"[3002, 3014]",,コンパニオン応急治療,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": ""Char3_2"", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": ""Char3_14"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 3, 4, 5, 6]"
10021,Musket,*[マスケット]系武器着用可能{nl},{nl}{b}マスケティア1サークル必要{b},ability_archer_rifle,False,1,[3016],,マスケット使用,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3016"": {""UnlockArgStr"": ""Char3_16"", ""UnlockArgNum"": ""1""}}",
