$ID,$ID_NAME,Bonus2,Bonus3,Bonus4,Bonus5,Bonus6,Bonus7,Link_Items,Name
1,set_001,広域攻撃比率 {img green_up_arrow 16 16}1アップ,,,,,,"[522110, 532110]",ライトプレートセット
2,set_002,防御力 {img green_up_arrow 16 16}6アップ,,,,,,"[null, 532111]",ゼガセット
3,set_003,暗黒追加ダメージ {img green_up_arrow 16 16}30アップ,,,,,,"[522112, 532112]",マギセット
4,set_004,移動速度 {img green_up_arrow 16 16}5アップ,,,,,,"[522113, 532113]",ジュードセット
5,set_005,炎属性抵抗力 {img green_up_arrow 16 16}15アップ,,,,,,"[522114, 532114]",イスミンセット
7,set_007,HP回復力 {img green_up_arrow 16 16}16アップ,全ステータス {img green_up_arrow 16 16}1アップ,基本攻撃時、地属性攻撃{img green_up_arrow 16 16}12追加,,,,"[502123, 512123, 522123, 532123]",カフリサンセット
8,set_008,炎属性抵抗力 {img green_up_arrow 16 16}16アップ,,,,,,"[532150, 522150]",リエナセット
9,set_009,炎属性抵抗力 {img green_up_arrow 16 16}16アップ,,,,,,"[532151, 522151]",リエナセット
10,set_010,炎属性抵抗力 {img green_up_arrow 16 16}16アップ,,,,,,"[532152, 522152]",リエナセット
11,set_011,悪魔型対象攻撃力 {img green_up_arrow 16 16}6アップ,悪魔型対象攻撃力 {img green_up_arrow 16 16}8アップ,基本攻撃時、1%の確率で{nl} 30秒間悪魔型の敵に攻撃力{img green_up_arrow 16 16}157アップ,,,,"[502153, 512153, 522153, 532153]",番人セット
12,set_012,全ステータス {img green_up_arrow 16 16}3アップ,,,,,,"[603106, 583105]",アボミネーションセット
13,set_013,体力ステータス {img green_up_arrow 16 16}5アップ,スタミナ {img green_up_arrow 16 16}10アップ,地属性攻撃を受けた時、{nl}10秒間基本攻撃で{nl}1重複につき1の地属性攻撃を{nl}追加する大地の憤怒バフが発生{nl}(最大30重複),,,,"[502154, 512154, 522154, 532154]",大地のクロース防具セット
14,set_014,体力ステータス {img green_up_arrow 16 16}5アップ,スタミナ {img green_up_arrow 16 16}10アップ,地属性攻撃を受けた時、{nl}10秒間基本攻撃で{nl}1重複につき1の地属性攻撃を{nl}追加する大地の憤怒バフが発生{nl}(最大30重複),,,,"[502155, 512155, 522155, 532155]",大地のレザー防具セット
15,set_015,体力ステータス {img green_up_arrow 16 16}5アップ,スタミナ {img green_up_arrow 16 16}10アップ,地属性攻撃を受けた時、{nl}10秒間基本攻撃で{nl}1重複につき1の地属性攻撃を{nl}追加する大地の憤怒バフが発生{nl}(最大30重複),,,,"[502156, 512156, 522156, 532156]",大地のプレート防具セット
16,set_016,闇属性抵抗力{img green_up_arrow 16 16}10アップ,精神{img green_up_arrow 16 16}6アップ,悪魔型の対象からダメージを受けると、1%の確率で5秒間SPが200回復,,,,"[502157, 512157, 522157, 532157]",ルグィン家のクロース防具セット
17,set_017,闇属性抵抗力{img green_up_arrow 16 16}10アップ,精神{img green_up_arrow 16 16}6アップ,悪魔型の対象からダメージを受けると、1%の確率で5秒間SPが200回復,,,,"[502158, 512158, 522158, 532158]",ルグィン家のレザー防具セット
18,set_018,闇属性抵抗力{img green_up_arrow 16 16}10アップ,精神{img green_up_arrow 16 16}6アップ,悪魔型の対象からダメージを受けると、1%の確率で5秒間SPが200回復,,,,"[502159, 512159, 522159, 532159]",ルグィン家のプレート防具セット
