$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,ゴブリンアーチャーは投射武器に特化されているようです。そのため、ゴブリンの社会に職群があると主張する者もいます。,1647,1152,4,mon_highbube_archer,113,,"[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",ハイゴブリンアーチャー,0,2,1,441,147,516,172,54,59,0,50,110,56,56,255,285,45,59,5794,20,1010,20,40
11110,New_desmodus,2,一説によると、魔族たちが伝令に使うことがあるそうです。,1862,953,0,mon_new_desmodus,41,,"[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",デスモドス,1,2,0,103,85,103,85,24,15,0,8,25,20,20,54,54,10,15,511,22,372,8,22
11120,Goblin_Spear,2,人間にもっともよく目撃されるゴブリンです。,452,217,1,mon_goblin_spear,13,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",ゴブリン,0,2,1,39,21,50,26,6,6,0,8,14,6,6,28,31,7,6,202,2,106,2,6
11123,Goblin_Spear_red,2,人間にもっともよく目撃されるゴブリンです。,2220,1425,2,mon_goblin_spear_red,150,,,レッドゴブリン,0,2,1,555,298,642,345,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
11124,Goblin_Spear_blue,2,人間にもっともよく目撃されるゴブリンです。,1138,652,4,mon_goblin_spear_blue,23,,"[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",ブルーゴブリン,0,2,1,51,27,64,34,10,11,0,12,27,11,11,36,40,11,11,370,4,199,4,9
11125,Goblin_Miners,2,採掘する姿がよく目撃されているので付けられた名前ですが、ゴブリンの組織体系については明確に分かっていないので、彼らの役割が固定的なものかどうかは分かりません。,848,473,1,mon_goblin_miners,16,,"[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",ゴブリンマイナー,0,2,1,44,23,54,29,7,8,0,9,16,8,8,30,34,8,8,250,3,139,3,7
11127,Goblin_Miners_Blue,2,採掘する姿がよく目撃されているので付けられた名前ですが、ゴブリンの組織体系については明確に分かっていないので、彼らの役割が固定的なものかどうかは分かりません。,876,798,4,mon_goblin_miners_blue,20,,"[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",ブルーゴブリンマイナー,0,2,1,45,30,57,38,9,10,0,11,25,10,10,34,38,10,10,321,4,179,4,9
11160,Goblin_Archer,2,ゴブリンアーチャーは投射武器に特化されているようです。そのため、ゴブリンの社会に職群があると主張する者もいます。,1080,698,1,mon_goblin_archer,21,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",ゴブリンアーチャー,0,2,1,46,30,58,38,9,10,0,11,25,10,10,34,38,10,10,337,4,186,4,9
11162,Goblin_Archer_red,2,ゴブリンアーチャーは投射武器に特化されているようです。そのため、ゴブリンの社会に職群があると主張する者もいます。,1665,1995,2,mon_goblin_archer_red,150,,,レッドゴブリンアーチャー,0,2,1,597,256,691,296,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
41196,Long_Arm,2,小枝を捨て、二本の枝で攻撃する形に変異した低木のモンスターです。,2146,930,1,mon_long_arm,100,,"[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",ロングアームツリー,4,2,1,320,213,320,213,41,41,0,27,64,50,50,253,202,27,41,4508,27,1300,49,27
41197,tombstone_turtle,3,インフロラクターの亜種に属するモンスターです。,935,1922,6,mon_tombstone_turtle,173,,"[{""Map"": 2511, ""TimeRespawn"": 0, ""Population"": 20}]",ラクター,3,2,0,738,316,843,361,89,64,0,82,77,86,86,418,523,31,64,14483,38,1750,46,68
41198,dog_of_king,3,一説によると、警備犬はジャカリエル大王の発案で作られたそうです。,1216,1141,1,mon_dog_of_king,90,,"[{""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 10}]",ヴェヌケロス,1,2,1,393,168,393,168,54,36,34,17,52,45,45,194,194,21,36,3831,45,817,17,45
41199,katacom_cemeterygolem,3,世界に存在するほとんどのゴーレムは本来、良い目的で作られました。しかし今は悪い気に影響を受けて動いています。,482,2433,6,katacom_cemetery_golem,82,,,グレイヴゴーレム,3,2,1,225,150,271,180,43,31,0,41,35,41,41,148,186,15,31,4014,19,828,22,33
41201,boss_onion_the_great,3,何故ケッピーの一部がこのように変形したのかについては、現在研究中です。食用化の研究も行われていますが、期待はしない方が良さそうです。,105,75,0,boss_onion_the_great,1,,,ケッピーチーフテン,3,0,3,36,24,41,27,1,0,0,3,2,0,0,23,29,1,0,114,1,13,1,3
41202,boss_poata,2,ポアタは植物が起源のモンスターで、強い力を得るために魔族にアピールするチャンスを探っています。,220,240,7,boss_poata,6,,,ポアタ,0,0,3,46,19,51,22,3,3,0,5,8,3,3,28,32,4,3,691,1,46,1,3
41203,boss_deadbone,3,死から蘇ったモンスターと言われていますが、正確には死を経て魔族に生まれ変わったモンスターです。 ,2304,1368,0,m_boss_deadbone,107,,,デッドボーン,3,0,3,419,279,474,316,53,39,0,52,43,53,53,276,345,19,39,45767,24,1074,28,42
41205,boss_salamander,2,神樹の日以前にも存在したモンスターで、以前は人と親しくしていた個体もいましたが、今では完全に人を敵視しています。,696,1003,2,boss_salamander,17,,,サラマンダー,0,0,3,55,29,65,35,7,8,0,9,16,8,8,38,42,8,8,1998,3,146,3,7
41207,boss_Saltistter,3,寒い地方で生まれましたが、神樹の日以降は様々な地域で目撃されており、どんどん拡散していることが確認されています。,2632,1350,4,boss_saltistter,106,,,サルティスタ,0,0,3,430,231,490,263,51,53,0,47,104,53,53,289,323,42,53,43981,19,950,19,37
41208,boss_ginklas,3,現在のギンクラスは狂気に染まっており、本来持っていたはずの理性が蘇る可能性はありません。,1491,1078,2,boss_ginklas,19,,,ギンクラス,3,0,3,54,36,66,44,9,6,0,11,6,9,9,37,47,3,6,2287,4,185,5,9
