$ID,$ID_NAME,CoolDown,Description,Effect,Effect_CaptionRatio,Effect_CaptionRatio2,Effect_CaptionRatio3,Effect_CaptionTime,Effect_SkillFactor,Effect_SkillSR,Effect_SpendItemCount,Effect_SpendPoison,Effect_SpendSP,Element,Icon,IsEnchanter,IsPardoner,IsShinobi,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_BasicSP,Prop_LvUpSpendPoison,Prop_LvUpSpendSp,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,TypeAttack
2111,GM_RegenerateBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}HP、SP回復能力がアップします。,HP回復100アップ{nl}SP回復100アップ{nl}再生時間5秒ダウン,,,,,,,,,,3,icon_cler_daino,False,False,False,1,5,,,9001,HP、SP回復力アップ,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2112,GM_StatBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}全てのステータス能力値がアップします。,全てのステータス能力値10%アップ,,,,,,,,,,3,icon_cler_daino,False,False,False,1,5,,,9001,ステータスアップ,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2113,GM_CooldownBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}スキルクールタイムがダウンします。,スキルクールタイム10%ダウン,,,,,,,,,,3,icon_cler_daino,False,False,False,1,5,,,9001,クールタイム減少,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2114,GM_ATKBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}物理攻撃力、魔法攻撃力がアップします。,物理攻撃力10%アップ{nl}魔法攻撃力10%アップ,,,,,,,,,,3,icon_cler_daino,False,False,False,1,5,,,9001,攻撃力アップ,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2115,GM_DEFBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}物理防御力、魔法防御力がアップします。,物理防御力10%アップ{nl}魔法防御力10%アップ,,,,,,,,,,3,icon_cler_daino,False,False,False,1,5,,,9001,防御力アップ,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
10001,Swordman_Thrust,10,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}{#DD5500}{ol}[物理] - [突] {/}{/}{nl}敵を武器の先で強く突き後ろに押し出します。,攻撃力#{SkillFactor}#%{nl}広域攻撃比率#{SkillSR}#,,,,,"[""function SCR_ABIL_ADD_SKILLFACTOR(abil, value) {"", ""    var abilLevel = TryGetProp(abil, \""Level\"")"", ""    var masterAddValue = 0"", """", ""    if (abilLevel == 100) {"", ""        masterAddValue = 0.1"", ""    }"", ""    var value = value * (1 + ((abilLevel * 0.005) + masterAddValue))"", ""    return value"", ""}"", """", ""var value = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel"", ""var abil = GetAbility(pc, \""Swordman2\"")"", """", ""if (abil != null) {"", ""    value = SCR_ABIL_ADD_SKILLFACTOR(abil, value);"", ""}"", ""return Math.floor(value)""]","[""var value = pc.SR + skill.SklSR;"", """", ""if (value < 1) {"", ""    value = 1"", ""}"", ""return value""]",,,,6,icon_warri_thrust,False,False,True,20,5,"[101004, 101014, 101017]",643506,1001,スラスト,5,0,4,0,0.9,0.0,0.0,139.0,7.6,0.0,1,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var addsp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * addsp"", ""var GHabil =  GetAbility(pc, 'Remain')"", """", ""if (GHabil != null) {"", ""    value = value + (value * (GHabil.Level * 0.1))"", ""}"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, \""Bunshin_Debuff\"") == \""YES\"") {"", ""    var bunshinBuff = GetBuffByName(pc, \""Bunshin_Debuff\"")"", ""    var bunsinCount = GetBuffArg(bunshinBuff)"", ""    value = value + (value * (bunsinCount * 0.1))"", ""}"", """", ""return Math.floor(value);""]","[6, 7]"
10002,Swordman_Bash,6,{#DD5500}{ol}[物理] - [斬]{/}{/}{nl}強い攻撃で敵にダメージを与えます。,攻撃力#{SkillFactor}#%{nl}広域攻撃比率#{SkillSR}#,,,,,"[""function SCR_ABIL_ADD_SKILLFACTOR(abil, value) {"", ""    var abilLevel = TryGetProp(abil, \""Level\"")"", ""    var masterAddValue = 0"", """", ""    if (abilLevel == 100) {"", ""        masterAddValue = 0.1"", ""    }"", ""    var value = value * (1 + ((abilLevel * 0.005) + masterAddValue))"", ""    return value"", ""}"", """", ""var value = skill.SklFactor + (skill.Level - 1) * skill.SklFactorByLevel;"", ""var abil = GetAbility(pc, \""Swordman1\"")"", """", ""if (abil != null) {"", ""    value = SCR_ABIL_ADD_SKILLFACTOR(abil, value);"", ""}"", ""return Math.floor(value)""]","[""var abil = GetAbility(pc, 'Penetration');"", """", ""if (abil != null  &&  skill.ClassName == \""Swordman_Bash\""  &&  1 == abil.ActiveState) {"", ""    return pc.SR + skill.SklSR + abil.Level;"", ""}"", ""return pc.SR + skill.SklSR""]",,,,6,icon_warri_bash,False,False,True,20,5,"[101001, 101013, 101015]",643507,1001,バッシュ,3,0,6,0,1.2,0.0,0.0,164.0,9.0,0.0,1,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var addsp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * addsp"", ""var GHabil =  GetAbility(pc, 'Remain')"", """", ""if (GHabil != null) {"", ""    value = value + (value * (GHabil.Level * 0.1))"", ""}"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, \""Bunshin_Debuff\"") == \""YES\"") {"", ""    var bunshinBuff = GetBuffByName(pc, \""Bunshin_Debuff\"")"", ""    var bunsinCount = GetBuffArg(bunshinBuff)"", ""    value = value + (value * (bunsinCount * 0.1))"", ""}"", """", ""return Math.floor(value);""]","[8, 6]"
10003,Swordman_GungHo,40,{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}覚悟を決めて一時的に自分の攻撃力をアップさせる代わりに防御力をダウンさせます。,物理攻撃力 #{CaptionRatio}#アップ{nl}物理防御力#{CaptionRatio2}#ダウン{nl}持続時間 #{CaptionTime}#秒,"[""var value = 10 + ((skill.Level - 1) * 2) + ((skill.Level / 5) * (Math.pow((pc.STR * 0.5) ,  0.8)))"", ""var Swordman13_abil = GetAbility(pc, \""Swordman13\"")"", """", ""if (Swordman13_abil != null  &&  skill.Level >= 3) {"", ""    value = value * (1 + Swordman13_abil.Level * 0.01);"", ""}"", ""return Math.floor(value);""]","[""var value = 5 + (skill.Level - 1) + ((skill.Level / 5) * (Math.pow((pc.STR * 0.3) ,  0.5)))"", ""var Swordman13_abil = GetAbility(pc, \""Swordman13\"")"", """", ""if (Swordman13_abil != null  &&  skill.Level >= 3) {"", ""    value = value * (1 + Swordman13_abil.Level * 0.01);"", ""}"", ""return Math.floor(value);""]",,"[""return 300;""]",,,,,,6,icon_warri_gungho,False,False,False,20,5,[101007],643508,1001,デアデビル,0,0,11,0,2.1,0.0,0.0,0.0,0.0,0.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var addsp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * addsp"", ""var GHabil =  GetAbility(pc, 'Remain')"", """", ""if (GHabil != null) {"", ""    value = value + (value * (GHabil.Level * 0.1))"", ""}"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]","[0, 6]"
10004,Swordman_Concentrate,20,{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}自分の攻撃の威力をアップさせます。,追加ダメージ+#{CaptionRatio2}#{nl}攻撃回数 #{CaptionRatio}#回{nl}持続時間 #{CaptionTime}#秒,"[""return skill.Level * 2;""]","[""var statBonus = 0;"", ""var byAbilRate = 0;"", ""statBonus = Math.floor((pc.STR * 0.1 + pc.DEX * 0.2) * skill.Level)"", ""var Swordman14_abil = GetAbility(pc, \""Swordman14\"")"", """", ""if (Swordman14_abil != null  &&  skill.Level >= 3) {"", ""    byAbilRate = Swordman14_abil.Level * 0.01;"", ""}"", ""value = 5 + (skill.Level - 1) * 1.5 + statBonus;"", ""value = value + (value * byAbilRate);"", ""return Math.floor(value);""]",,"[""return 45;""]",,,,,,6,icon_warri_concentrate,False,False,False,20,5,[101008],643509,1001,コンセントレイト,0,0,11,0,2.1,0.0,0.0,0.0,0.0,0.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var addsp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * addsp"", ""var GHabil =  GetAbility(pc, 'Remain')"", """", ""if (GHabil != null) {"", ""    value = value + (value * (GHabil.Level * 0.1))"", ""}"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]","[0, 6]"
10005,Swordman_PainBarrier,39,{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}一時的にダメージを受けても身体が硬直せず、押されたり倒れたりしなくなります。また、状態異常に対する効果抵抗率も上昇します。,持続時間 #{CaptionTime}#秒,,,,"[""var abil = GetAbility(pc, 'Swordman29')"", ""var value = 14 + skill.Level * 1"", """", ""if (abil != null  &&  abil.ActiveState == 1) {"", ""    value = value + 5"", ""}"", ""return value""]",,,,,,6,icon_warri_painbarrier,False,False,False,20,5,[101021],643510,1001,ペインバリア,0,0,11,0,2.1,0.0,0.0,0.0,0.0,0.0,0,1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var addsp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * addsp"", ""var GHabil =  GetAbility(pc, 'Remain')"", """", ""if (GHabil != null) {"", ""    value = value + (value * (GHabil.Level * 0.1))"", ""}"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]","[0, 6]"
