$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1001,Char1_1,1,"천년이 넘는 세월 동안 소드맨은 왕국군의 기본 병과이자 모험가들의 첫 선택이었습니다. 많은 전사가 소드맨으로 시작하여 단계를 밟아 왕국의 역사에 영웅적인 업적을 새긴 일은 매우 많기에 나열하기 어려울 정도입니다. 그 세월 동안 이루어진 무기와 전술 및 마법의 발전 앞에서도 소드맨의 견실함은 퇴색하지 않습니다.{nl}소드맨 계열은 모든 계열 중 가장 높은 HP와 방어력을 보유하고 있으며, 이를 바탕으로 적진 한 가운데서도 안정적인 전투를 펼칠 수 있습니다.",c_warrior_swordsman,False,False,0,3,[0],"[101020, 10028, 101004, 101001, 101015, 101007, 101022]","[10001, 10002, 10003, 10009, 10005]",소드맨,1,75,50,0,0,75
1002,Char1_2,1,자카리엘 대왕의 개국전쟁에서 활약한 이래 하이랜더는 왕궁과 대도시 등 주요 시설과 지역을 지키는 귀족적 정규군의 역할을 주로 담당했습니다. 현재도 이들은 왕국군의 특수 병과의 하나입니다. 따라서 신수의 날에 폐도에서 가장 많은 피해를 입은 병과이기도 합니다.{nl}하이랜더는 양손검을 사용하는 강인한 전사입니다. 적을 다른 적이나 지형에 충돌시킬 수 있어 다수의 적을 상대하기에 유리합니다.,c_warrior_highlander,False,False,0,3,[0],"[103017, 103007, 103001, 103022, 103004, 103010, 103011, 103023, 103024, 103028]","[10201, 10202, 10203, 10208, 10204, 10207, 10205]",하이랜더,2,25,80,0,0,95
1003,Char1_3,1,"왕국의 역사에서 펠타스타는 왕명으로만 봉사하면서 용병 수준의 대가를 받는 집단이었습니다. 정규 왕국군도 용병도 아닌 이런 특징은 현재에도 이어지고 있으며, 본격적으로 용병의 역할을 할 때는 일반 용병과는 다른 특이한 규칙을 따릅니다. {nl}펠타스타는 방패를 사용해 적의 공격을 막아내거나, 적을 도발하여 유인하는 방어형 전사입니다.",c_warrior_peltasta,False,False,2,3,[5],"[102034, 102014, 102016, 102028, 102004, 102012, 102001, 102031, 102027, 102007, 102008, 102032, 102033]","[10102, 10103, 10105, 10106, 10101, 10110, 10104]",펠타스타,2,150,20,0,0,30
1004,Char1_4,1,"하플라이트는 왕국군이 외부에서 실력자를 초빙할 때 처음 편성되었습니다. 하플라이트는 정해진 무기와 규율에 맞춰 생애의 일정 기간을 왕국군에서 복무한 후에는 자유로운 삶을 살 수 있습니다. 계급도 일반 병사에서 장군까지 다양하며 마스터의 경우는 복무시 계급이 무시된 채 별도의 계급을 부여하지 않으며 퇴역자 가운데 뽑힙니다. {nl}창을 사용하는 하플라이트는 사정거리가 길고, 중형급 이상의 크고 강한 적을 상대할 때 보너스를 획득합니다.",c_warrior_hoplite,False,False,0,3,[0],"[104007, 104004, 104026, 104012, 104021, 104027, 104001]","[10302, 10304, 10308, 10306, 10307, 10303, 10301]",하플라이트,2,70,50,0,0,80
1005,Char1_5,1,센츄리온 클래스는 포메이션을 사용해 전투를 지휘하는 클래스입니다. 상황에 따라 여러가지 진형을 사용해 동료들을 지휘합니다.,c_warrior_centurion,False,False,1,3,[9],"[110001, 110002, 110003, 110004, 110005]","[10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10910]",센츄리온,200,1,1,1,1,1
1006,Char1_6,1,"바바리안은 다른 대륙에 속하는 전사이나 오래 전에 왕국의 인정을 받은 사회에 속합니다. 바바리안은 그들 특유의 검술을 발전시켰고, 이것을 왕국인에게 전수하는데 인색하지 않습니다. 바바리안 사회에는 그들 조상이 오래 전에 왕국땅에서 그쪽 대륙으로 넘어가 정착했다는 내용이 구전됩니다. {nl}승리를 위해선 형식에 구애받지 않고 무엇이든 하는 바바리안은 저돌적이고 호전적인 전사입니다. ",c_warrior_barbarian,False,False,0,3,[0],"[105001, 105006, 105017, 105023, 105005, 105004, 105016, 105014]","[10401, 10404, 10411, 10405, 10410, 10406, 10408]",바바리안,2,40,80,0,0,80
1007,Char1_7,1,탑승물이 무엇이든 기병은 양성하기 어려운 병과이므로 왕국군에서 특별 대우를 받습니다. 현역 군인을 겸하는 마스터가 이런 대우의 일환입니다. 어려서부터 탑승물을 접해본 마상무예의 대가는 주로 귀족과 상류층에서 나오며 따라서 마스터가 아니라도 캐터프랙트는 고급 장교입니다. 심지어 왕군군인이 아니어도 그렇게 취급됩니다.{nl}양손창을 전문적으로 사용하는 캐터프랙트는 적들의 방어선을 돌파하여 분쇄시키는 기병 클래스입니다. ,c_warrior_cataphract,False,False,2,3,[0],"[107019, 107001, 107004, 107014, 107007, 107010, 107018, 107012, 107020]","[10601, 10602, 10604, 10608, 10605, 10603, 10606]",캐터프랙트,2,50,40,0,0,110
1009,Char1_9,1,"도펠죌트너의 역사는 오래되었습니다. 다만 과거 역사와 달리 현재 칼날서약단원이 아닌 도펠죌트너는 많지 않으며, 용병이 아닌 사람은 더욱 희귀합니다. {nl}도펠죌트너는 많은 보상을 위해 높은 리스크를 감수하는 용병 클래스입니다. 스스로를 위험에 노출시키는 대신 공격력을 높이거나 많은 경험치를 획득합니다.",c_warrior_doppelsoeldner,False,False,0,3,[0],"[111018, 111003, 111001, 111004, 111019, 111008, 111010, 111009, 111012, 111020, 111013]","[11004, 11001, 11010, 11006, 11008, 11007, 11009, 11003, 11005]",도펠죌트너,2,40,70,0,0,90
1010,Char1_10,1,"방패와 검에 의한 진법은 군대의 기본훈련에 포함되어온 과정입니다. 단련된 검방병사들은 쉽게 무너지지 않지만, 그럼에도 진형이 흩어질 경우 큰 피해가 발생합니다. 그런 피해를 방지하고 단단한 정신적 유대관계를 형성시키기 위해 별도의 병과로 왕국군이 묶어준 것이 로델레로입니다.{nl}로델레로는 적을 기습하여 와해시키는 전투의 전문가입니다. 방패를 이용한 방어기술은 원거리 공격을 막아내는데 효과적입니다.",c_warrior_rodelero,False,False,2,3,[0],"[106024, 106001, 106004, 106007, 106010, 106019, 106020, 106017]","[10501, 10502, 10503, 10504, 10507, 10505, 10508]",로델레로,2,90,40,0,0,70
1012,Char1_12,1,"검투사는 공공연한 직업은 아니지만, 그렇다고 폄하되는 직업도 아닙니다. 최초의 검투사 경기는 900년 전 멜키엘 국왕 시절에 열렸으며 무르밀로는 그 시절부터 지금까지 내려오는 직업입니다.{nl}무르밀로는 공격과 방어의 밸런스가 조화된 검투사 클래스입니다. 어인형 투구를 써서 원거리 공격을 막아내거나 방패를 사용하는 기술의 효과를 향상시킬 수 있습니다.",c_warrior_murmillo,False,False,1,3,"[0, 5]","[115020, 115002, 115003, 115005, 115009, 115015, 115018]","[11301, 11302, 11303, 11304, 11309, 11307, 11308, 11310]",무르밀로,2,80,40,0,0,80
