$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,1827,1147,4,mon_highbube_archer,113,,"[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",하이 부베 궁수,0,2,1,199,66,557,185,146,90,0,47,292,113,101,156,234,70,113,9623,23,1049,23,70
11110,New_desmodus,2,일설에는 마족들이 전령으로 이용한다고도 합니다.,257,225,0,mon_new_desmodus,41,,"[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",데스모두스,1,2,0,135,110,55,45,41,28,0,13,59,28,65,57,30,9,41,785,32,619,27,9
11120,Goblin_Spear,2,인간들에게 가장 자주 목격되는 부베입니다.,105,109,1,mon_goblin_spear,13,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",부베 약탈자,0,2,1,19,10,55,29,16,10,0,7,33,13,11,18,27,10,13,344,3,119,3,10
11123,Goblin_Spear_red,2,인간들에게 가장 자주 목격되는 부베입니다.,3116,1773,2,mon_goblin_spear_red,150,,,붉은 부베 약탈자,0,2,1,238,128,666,358,195,120,0,62,403,150,135,216,325,93,150,17315,31,1401,31,93
11124,Goblin_Spear_blue,2,인간들에게 가장 자주 목격되는 부베입니다.,158,163,4,mon_goblin_spear_blue,23,,"[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",푸른 부베 약탈자,0,2,1,33,18,92,49,29,18,0,11,56,23,20,31,47,16,23,552,5,212,5,16
11125,Goblin_Miners,2,"채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다.",118,124,1,mon_goblin_miners,16,,"[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",부베 광부,0,2,1,24,13,67,36,20,12,0,8,40,16,14,21,32,12,16,405,4,152,4,12
11127,Goblin_Miners_Blue,2,"채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다.",139,146,4,mon_goblin_miners_blue,20,,"[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",푸른 부베 광부,0,2,1,28,18,77,51,26,16,0,10,51,20,18,27,41,15,20,489,5,192,5,15
11160,Goblin_Archer,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,145,151,1,mon_goblin_archer,21,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",부베 궁수,0,2,1,29,19,79,52,27,16,0,10,52,21,18,28,42,15,21,510,5,199,5,15
11162,Goblin_Archer_red,2,부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.,3116,1773,2,mon_goblin_archer_red,150,,,붉은 부베 궁수,0,2,1,256,110,717,307,195,120,0,62,403,150,135,216,325,93,150,17315,31,1401,31,93
41196,Long_Arm,2,관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.,1457,990,1,mon_long_arm,100,,"[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",긴팔 나무,4,2,1,207,138,268,179,100,100,0,63,177,200,100,217,217,31,0,8660,31,1066,31,52
