$ID,$ID_NAME,CoolDown,Description,Effect,Effect_CaptionRatio,Effect_CaptionRatio2,Effect_CaptionRatio3,Effect_CaptionTime,Effect_SkillFactor,Effect_SkillSR,Effect_SpendItemCount,Effect_SpendPoison,Effect_SpendSP,Element,Icon,IsEnchanter,IsPardoner,IsShinobi,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_BasicSP,Prop_LvUpSpendPoison,Prop_LvUpSpendSp,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,TypeAttack
2111,GM_RegenerateBuff,0,"{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}HP, SP 회복능력이 증가합니다.",HP회복 100증가{nl}SP회복 100증가{nl}재생시간 5초 감소,,,,,,,,,,3,icon_cler_daino,False,False,False,1,0,,,9001,"HP, SP 회복력 증가",0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""function SCR_Get_SpendSP(skill) {"", ""    var basicSP = skill.BasicSP;"", ""    var decsp = 0;"", ""    var bylvCorrect = 0"", """", ""    if (basicSP == 0) {"", ""        return 0;"", ""    }"", ""    var lv = pc.Lv"", ""    bylvCorrect = lv - 300"", """", ""    if (bylvCorrect < 0) {"", ""        bylvCorrect = bylvCorrect * 2.75 / 1000"", ""        } else if (bylvCorrect >= 0) {"", ""        bylvCorrect = bylvCorrect * 1.25 / 1000"", ""    }"", """", ""    var value = basicSP * (1 + bylvCorrect)"", ""    var abilAddSP = 0;"", ""    abilAddSP = abilAddSP / 100;"", ""    value = value + (value * abilAddSP);"", ""    var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""    if (zeminaSP != 0) {"", ""        decsp = value * zeminaSP"", ""    }"", ""    value = value - decsp;"", """", ""    if (value < 1) {"", ""        value = 0"", ""    }"", ""    return Math.floor(value);"", ""}"", """", ""var value = SCR_Get_SpendSP(skill)"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", """", ""if (value < 1) {"", ""    value = 0"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2112,GM_StatBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}모든 스탯 능력치가 증가합니다.,모든 스탯 능력치 10% 증가,,,,,,,,,,3,icon_cler_daino,False,False,False,1,0,,,9001,스탯 증가,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""function SCR_Get_SpendSP(skill) {"", ""    var basicSP = skill.BasicSP;"", ""    var decsp = 0;"", ""    var bylvCorrect = 0"", """", ""    if (basicSP == 0) {"", ""        return 0;"", ""    }"", ""    var lv = pc.Lv"", ""    bylvCorrect = lv - 300"", """", ""    if (bylvCorrect < 0) {"", ""        bylvCorrect = bylvCorrect * 2.75 / 1000"", ""        } else if (bylvCorrect >= 0) {"", ""        bylvCorrect = bylvCorrect * 1.25 / 1000"", ""    }"", """", ""    var value = basicSP * (1 + bylvCorrect)"", ""    var abilAddSP = 0;"", ""    abilAddSP = abilAddSP / 100;"", ""    value = value + (value * abilAddSP);"", ""    var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""    if (zeminaSP != 0) {"", ""        decsp = value * zeminaSP"", ""    }"", ""    value = value - decsp;"", """", ""    if (value < 1) {"", ""        value = 0"", ""    }"", ""    return Math.floor(value);"", ""}"", """", ""var value = SCR_Get_SpendSP(skill)"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", """", ""if (value < 1) {"", ""    value = 0"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2113,GM_CooldownBuff,0,{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}스킬 재사용 대기시간이 감소합니다,스킬 재사용 대기시간 10%감소,,,,,,,,,,3,icon_cler_daino,False,False,False,1,0,,,9001,재사용 대기시간 감소,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""function SCR_Get_SpendSP(skill) {"", ""    var basicSP = skill.BasicSP;"", ""    var decsp = 0;"", ""    var bylvCorrect = 0"", """", ""    if (basicSP == 0) {"", ""        return 0;"", ""    }"", ""    var lv = pc.Lv"", ""    bylvCorrect = lv - 300"", """", ""    if (bylvCorrect < 0) {"", ""        bylvCorrect = bylvCorrect * 2.75 / 1000"", ""        } else if (bylvCorrect >= 0) {"", ""        bylvCorrect = bylvCorrect * 1.25 / 1000"", ""    }"", """", ""    var value = basicSP * (1 + bylvCorrect)"", ""    var abilAddSP = 0;"", ""    abilAddSP = abilAddSP / 100;"", ""    value = value + (value * abilAddSP);"", ""    var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""    if (zeminaSP != 0) {"", ""        decsp = value * zeminaSP"", ""    }"", ""    value = value - decsp;"", """", ""    if (value < 1) {"", ""        value = 0"", ""    }"", ""    return Math.floor(value);"", ""}"", """", ""var value = SCR_Get_SpendSP(skill)"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", """", ""if (value < 1) {"", ""    value = 0"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2114,GM_ATKBuff,0,"{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}물리 공격력, 마법 공격력이 증가합니다.",물리 공격력 10%증가{nl}마법 공격력 10%증가,,,,,,,,,,3,icon_cler_daino,False,False,False,1,0,,,9001,공격력 증가,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""function SCR_Get_SpendSP(skill) {"", ""    var basicSP = skill.BasicSP;"", ""    var decsp = 0;"", ""    var bylvCorrect = 0"", """", ""    if (basicSP == 0) {"", ""        return 0;"", ""    }"", ""    var lv = pc.Lv"", ""    bylvCorrect = lv - 300"", """", ""    if (bylvCorrect < 0) {"", ""        bylvCorrect = bylvCorrect * 2.75 / 1000"", ""        } else if (bylvCorrect >= 0) {"", ""        bylvCorrect = bylvCorrect * 1.25 / 1000"", ""    }"", """", ""    var value = basicSP * (1 + bylvCorrect)"", ""    var abilAddSP = 0;"", ""    abilAddSP = abilAddSP / 100;"", ""    value = value + (value * abilAddSP);"", ""    var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""    if (zeminaSP != 0) {"", ""        decsp = value * zeminaSP"", ""    }"", ""    value = value - decsp;"", """", ""    if (value < 1) {"", ""        value = 0"", ""    }"", ""    return Math.floor(value);"", ""}"", """", ""var value = SCR_Get_SpendSP(skill)"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", """", ""if (value < 1) {"", ""    value = 0"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
2115,GM_DEFBuff,0,"{#993399}{ol}[Buff] - [Magic] - [Holy]{/}{/}{nl}물리 방어력, 마법 방어력이 증가합니다.",물리 방어력 10%증가{nl}마법 방어력 10%증가,,,,,,,,,,3,icon_cler_daino,False,False,False,1,0,,,9001,방어력 증가,0,0,13,0,3.2,0.0,0.0,1.0,1.0,1.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""function SCR_Get_SpendSP(skill) {"", ""    var basicSP = skill.BasicSP;"", ""    var decsp = 0;"", ""    var bylvCorrect = 0"", """", ""    if (basicSP == 0) {"", ""        return 0;"", ""    }"", ""    var lv = pc.Lv"", ""    bylvCorrect = lv - 300"", """", ""    if (bylvCorrect < 0) {"", ""        bylvCorrect = bylvCorrect * 2.75 / 1000"", ""        } else if (bylvCorrect >= 0) {"", ""        bylvCorrect = bylvCorrect * 1.25 / 1000"", ""    }"", """", ""    var value = basicSP * (1 + bylvCorrect)"", ""    var abilAddSP = 0;"", ""    abilAddSP = abilAddSP / 100;"", ""    value = value + (value * abilAddSP);"", ""    var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""    if (zeminaSP != 0) {"", ""        decsp = value * zeminaSP"", ""    }"", ""    value = value - decsp;"", """", ""    if (value < 1) {"", ""        value = 0"", ""    }"", ""    return Math.floor(value);"", ""}"", """", ""var value = SCR_Get_SpendSP(skill)"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", """", ""if (value < 1) {"", ""    value = 0"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]","[0, 1]"
10001,Swordman_Thrust,10,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}적을 무기 끝으로 강하게 찔러 뒤로 밀쳐냅니다.,스킬 계수 #{SkillFactor}#%{nl}광역 공격 비율 #{SkillSR}#,,,,,"[""var value = skill.SklFactor + skill.SklFactorByLevel * (skill.Level - 1)"", ""var abil = GetAbility(pc, \""Swordman2\"")"", """", ""if (abil != null  &&  \""Swordman2\"" != 'None') {"", ""    var abilLevel = TryGetProp(abil, \""Level\"")"", ""    var masterAddValue = 0"", """", ""    if (abilLevel == 100) {"", ""        masterAddValue = 0.1"", ""    }"", ""    var value = value * (1 + ((abilLevel * 0.005) + masterAddValue))"", ""    return Math.floor(value)"", ""}"", """", ""return Math.floor(value)""]","[""var value = pc.SR + skill.SklSR;"", """", ""if (value < 1) {"", ""    value = 1"", ""}"", ""return value""]",,,,6,icon_warri_thrust,False,False,False,5,0,[101004],643506,1001,쓰러스트,5,0,47,0,0.0,0.0,0.0,277.0,9.2,10.0,1,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var decsp = 0;"", ""var bylvCorrect = 0"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var lv = pc.Lv"", ""bylvCorrect = lv - 300"", """", ""if (bylvCorrect < 0) {"", ""    bylvCorrect = bylvCorrect * 2.75 / 1000"", ""    } else if (bylvCorrect >= 0) {"", ""    bylvCorrect = bylvCorrect * 1.25 / 1000"", ""}"", """", ""var value = basicSP * (1 + bylvCorrect)"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""value = value + (value * abilAddSP);"", ""var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""if (zeminaSP != 0) {"", ""    decsp = value * zeminaSP"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 0"", ""}"", ""return Math.floor(value);""]","[6, 7]"
10002,Swordman_Bash,10,{#DD5500}{ol}[Slash] - [Physical]{/}{/}{nl}강한 공격으로 적에게 피해를 줍니다.,스킬 계수 #{SkillFactor}#%{nl}광역 공격 비율 #{SkillSR}#,,,,,"[""var value = skill.SklFactor + skill.SklFactorByLevel * (skill.Level - 1)"", ""var abil = GetAbility(pc, \""Swordman1\"")"", """", ""if (abil != null  &&  \""Swordman1\"" != 'None') {"", ""    var abilLevel = TryGetProp(abil, \""Level\"")"", ""    var masterAddValue = 0"", """", ""    if (abilLevel == 100) {"", ""        masterAddValue = 0.1"", ""    }"", ""    var value = value * (1 + ((abilLevel * 0.005) + masterAddValue))"", ""    return Math.floor(value)"", ""}"", """", ""return Math.floor(value)""]","[""var abil = GetAbility(pc, 'Penetration');"", """", ""if (abil != null  &&  skill.ClassName == \""Swordman_Bash\""  &&  1 == abil.ActiveState) {"", ""    return pc.SR + skill.SklSR + abil.Level;"", ""}"", ""return pc.SR + skill.SklSR""]",,,,6,icon_warri_bash,False,False,False,5,0,"[101001, 101015]",643507,1001,배시,5,0,49,0,0.0,0.0,0.0,197.0,6.6,10.0,1,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var decsp = 0;"", ""var bylvCorrect = 0"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var lv = pc.Lv"", ""bylvCorrect = lv - 300"", """", ""if (bylvCorrect < 0) {"", ""    bylvCorrect = bylvCorrect * 2.75 / 1000"", ""    } else if (bylvCorrect >= 0) {"", ""    bylvCorrect = bylvCorrect * 1.25 / 1000"", ""}"", """", ""var value = basicSP * (1 + bylvCorrect)"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""value = value + (value * abilAddSP);"", ""var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""if (zeminaSP != 0) {"", ""    decsp = value * zeminaSP"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 0"", ""}"", ""return Math.floor(value);""]","[8, 6]"
10003,Swordman_GungHo,60,{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}각오를 다져 일시적으로 자신의 물리 공격의 대미지를 증가시킵니다. 베어 버프와 동시에 적용되지 않습니다.,물리 공격 대미지 #{CaptionRatio}#% 증가{nl}지속시간 #{CaptionTime}#초,"[""function SCR_REINFORCEABILITY_TOOLTIP(skill) {"", ""    var addAbilRate = 1;"", """", ""    if (\""Swordman13\"" != \""None\"") {"", ""        var reinforceAbil = GetAbility(pc, \""Swordman13\"")"", """", ""        if (reinforceAbil != null) {"", ""            var abilLevel = TryGetProp(reinforceAbil, \""Level\"")"", ""            var masterAddValue = 0"", """", ""            if (abilLevel == 100) {"", ""                masterAddValue = 0.1"", ""            }"", ""            addAbilRate = 1 + (reinforceAbil.Level * 0.005 + masterAddValue);"", ""        }"", """", ""    }"", """", ""    return addAbilRate"", ""}"", """", ""var value = skill.Level * 2;"", ""value = value * SCR_REINFORCEABILITY_TOOLTIP(skill)"", ""return value;""]",,,"[""return 300;""]",,,,,,6,icon_warri_gungho,False,False,False,5,0,[101007],643508,1001,겅호,0,0,168,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var decsp = 0;"", ""var bylvCorrect = 0"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var lv = pc.Lv"", ""bylvCorrect = lv - 300"", """", ""if (bylvCorrect < 0) {"", ""    bylvCorrect = bylvCorrect * 2.75 / 1000"", ""    } else if (bylvCorrect >= 0) {"", ""    bylvCorrect = bylvCorrect * 1.25 / 1000"", ""}"", """", ""var value = basicSP * (1 + bylvCorrect)"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""value = value + (value * abilAddSP);"", ""var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""if (zeminaSP != 0) {"", ""    decsp = value * zeminaSP"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 0"", ""}"", ""return Math.floor(value);""]","[0, 6]"
10005,Swordman_PainBarrier,60,"{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}일시적으로 피해를 입어도 몸이 경직되지 않으며, 밀려나거나 넘어지지도 않습니다. 또한 상태 이상에 대한 효과 저항 확률도 증가합니다.",지속시간 #{CaptionTime}#초,,,,"[""var value = 5 + skill.Level * 5"", ""return value""]",,,,,,6,icon_warri_painbarrier,False,False,False,5,0,,643510,1001,페인 배리어,0,0,168,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var decsp = 0;"", ""var bylvCorrect = 0"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var lv = pc.Lv"", ""bylvCorrect = lv - 300"", """", ""if (bylvCorrect < 0) {"", ""    bylvCorrect = bylvCorrect * 2.75 / 1000"", ""    } else if (bylvCorrect >= 0) {"", ""    bylvCorrect = bylvCorrect * 1.25 / 1000"", ""}"", """", ""var value = basicSP * (1 + bylvCorrect)"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""value = value + (value * abilAddSP);"", ""var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""if (zeminaSP != 0) {"", ""    decsp = value * zeminaSP"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 0"", ""}"", ""return Math.floor(value);""]","[0, 6]"
10009,Swordman_Bear,60,{#DD5500}{ol}[Buff] - [Physical]{/}{/}{nl}각오를 다져 일시적으로 자신이 받는 물리 공격의 피해를 감소시킵니다. 겅호 버프와 동시에 적용되지 않습니다.,물리 공격 피해 #{CaptionRatio}#% 감소{nl}지속시간 #{CaptionTime}#초,"[""function SCR_REINFORCEABILITY_TOOLTIP(skill) {"", ""    var addAbilRate = 1;"", """", ""    if (\""Swordman30\"" != \""None\"") {"", ""        var reinforceAbil = GetAbility(pc, \""Swordman30\"")"", """", ""        if (reinforceAbil != null) {"", ""            var abilLevel = TryGetProp(reinforceAbil, \""Level\"")"", ""            var masterAddValue = 0"", """", ""            if (abilLevel == 100) {"", ""                masterAddValue = 0.1"", ""            }"", ""            addAbilRate = 1 + (reinforceAbil.Level * 0.005 + masterAddValue);"", ""        }"", """", ""    }"", """", ""    return addAbilRate"", ""}"", """", ""var value = skill.Level * 2;"", ""value = value * SCR_REINFORCEABILITY_TOOLTIP(skill)"", ""return value;""]",,,"[""return 300;""]",,,,,,6,icon_warri_bear,False,False,False,5,0,[101022],643865,1001,베어,0,0,168,0,0.0,0.0,0.0,100.0,0.0,0.0,0,0,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var decsp = 0;"", ""var bylvCorrect = 0"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var lv = pc.Lv"", ""bylvCorrect = lv - 300"", """", ""if (bylvCorrect < 0) {"", ""    bylvCorrect = bylvCorrect * 2.75 / 1000"", ""    } else if (bylvCorrect >= 0) {"", ""    bylvCorrect = bylvCorrect * 1.25 / 1000"", ""}"", """", ""var value = basicSP * (1 + bylvCorrect)"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""value = value + (value * abilAddSP);"", ""var zeminaSP = GetExProp(pc, \""ZEMINA_BUFF_SP\"");"", """", ""if (zeminaSP != 0) {"", ""    decsp = value * zeminaSP"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 0"", ""}"", ""return Math.floor(value);""]","[0, 6]"
