$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skill,Name,Unlock,UnlockArgs,UpgradePrice
10000,SwapWeapon,* 무기 변경 가능{nl},{nl}{b}소드맨 2서클 필요{b}{nl}{b}하이랜더 1서클 필요{b}{nl}{b}펠타스타 1서클 필요{b}{nl}{b}위저드 2서클 필요{b}{nl}{b}파이로맨서 1서클 필요{b}{nl}{b}크리오맨서 1서클 필요{b}{nl}{b}아처 2서클 필요{b}{nl}{b}쿼렐슈터 1서클 필요{b}{nl}{b}레인저 1서클 필요{b}{nl}{b}클레릭 2서클 필요{b}{nl}{b}프리스트 1서클 필요{b}{nl}{b}크리비 1서클 필요{b},ability_warrior_swapweapon,False,1,"[1001, 1002, 1003, 2001, 2002, 2003, 3001, 3003, 3004, 4001, 4002, 4003]",,무기 스왑,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgStr"": ""Char4_1"", ""UnlockArgNum"": ""2""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""4003"": {""UnlockArgStr"": ""Char4_3"", ""UnlockArgNum"": ""1""}, ""1001"": {""UnlockArgStr"": ""Char1_1"", ""UnlockArgNum"": ""2""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1003"": {""UnlockArgStr"": ""Char1_3"", ""UnlockArgNum"": ""1""}, ""2001"": {""UnlockArgStr"": ""Char2_1"", ""UnlockArgNum"": ""2""}, ""2002"": {""UnlockArgStr"": ""Char2_2"", ""UnlockArgNum"": ""1""}, ""2003"": {""UnlockArgStr"": ""Char2_3"", ""UnlockArgNum"": ""1""}, ""3001"": {""UnlockArgStr"": ""Char3_1"", ""UnlockArgNum"": ""2""}, ""3003"": {""UnlockArgStr"": ""Char3_3"", ""UnlockArgNum"": ""1""}, ""3004"": {""UnlockArgStr"": ""Char3_4"", ""UnlockArgNum"": ""1""}}",
10002,THSword,* [양손검] 계열 무기 착용 가능{nl}* [양손검] 착용시 광역 공격 비율 1 증가{nl},{nl}{b}하이랜더 1서클 필요{b}{nl}{b}바바리안 1서클 필요{b}{nl}{b}도펠죌트너 1서클 필요{b},ability_warrior_thsword,False,1,"[1002, 1006, 1009]",,양손검 사용,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1009"": {""UnlockArgStr"": ""Char1_9"", ""UnlockArgNum"": ""1""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1006"": {""UnlockArgStr"": ""Char1_6"", ""UnlockArgNum"": ""1""}}",
10003,Spear,"* [한손창] 계열 무기 착용 가능{nl}* [한손창] 공격시 공격 범위 5 증가{nl}* [한손창] 공격시 중형, 대형 크기 적에게 주는 대미지 5% 증가{nl}",{nl}{b}하플라이트 1서클 필요{b}{nl}{b}드라군 1서클 필요{b}{nl}{b}레티아리이 1서클 필요{b},ability_warrior_spear,False,1,"[1004, 1015, 1020]",,한손창 사용,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1020"": {""UnlockArgStr"": ""Char1_18"", ""UnlockArgNum"": ""1""}, ""1004"": {""UnlockArgStr"": ""Char1_4"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}}",
10004,THSpear,* [양손창] 계열 무기 착용 가능{nl}* [양손창] 착용시 공격 범위 10 증가{nl},{nl}{b}캐터프랙트 1서클 필요{b}{nl}{b}드라군 1서클 필요{b}{nl}{b}랜서 1서클 필요{b},ability_warrior_thspear,False,1,"[1007, 1015, 1017]",,양손창 사용,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10011,Pistol,* [권총] 계열 무기 착용 가능{nl}* C 버튼으로 권총 공격 가능{nl},{nl}{b}커세어 3서클 필요{b},ability_archer_schwarzereiter1,False,1,[1008],,권총 사용,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""3""}}",
10015,DaggerMastery,* 적의 후방에서 단검으로 공격 시 특성 레벨당{nl}    2%의 추가 대미지{nl},{nl}{b}커세어 1서클 필요{b}{nl}{b}로그 1서클 필요{b},ability_common_daggermastery,False,5,"[1008, 3009]",,단검 마스터리: 급습,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""1""}, ""3009"": {""UnlockArgStr"": ""Char3_9"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
10016,CompanionRide,* 컴패니언에 탑승한채로 스킬 사용 가능{nl},{nl}{b}캐터프랙트 1서클 필요{b}{nl}{b}랜서 1서클 필요{b}{nl}{b}하카펠 1서클 필요{b}{nl}{b}슈바르츠라이터 1서클 필요{b},ability_common_companionride,False,1,"[1007, 1017, 3007, 3010]",,컴패니언 탑승,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""3010"": {""UnlockArgStr"": ""Char3_10"", ""UnlockArgNum"": ""1""}, ""3007"": {""UnlockArgStr"": ""Char3_7"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10017,Rapier,* [레이피어] 계열 무기 착용 가능{nl},{nl}{b}펜서 1서클 필요{b}{nl}{b}마타도르 1서클 필요{b},ability_warrior_rapier,False,1,"[1014, 1018]",,레이피어 사용,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""1018"": {""UnlockArgStr"": ""Char1_19"", ""UnlockArgNum"": ""1""}, ""1014"": {""UnlockArgStr"": ""Char1_14"", ""UnlockArgNum"": ""1""}}",
10018,MaxWeightAbil,* 캐릭터 인벤토리의 휴대 가능무게가 20 증가{nl},{nl}{b}시노비 1서클 필요{b}{nl}{b}새퍼 1서클 필요{b}{nl}{b}캐노니어 1서클 필요{b}{nl}{b}프리스트 1서클 필요{b}{nl}{b}딥디르비 1서클 필요{b},ability_common_maxweightabil,False,10,"[1013, 3005, 3015, 4002, 4007]",,최대 무게 증가,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""4007"": {""UnlockArgStr"": ""Char4_7"", ""UnlockArgNum"": ""1""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""1013"": {""UnlockArgStr"": ""Char1_13"", ""UnlockArgNum"": ""1""}, ""3005"": {""UnlockArgStr"": ""Char3_5"", ""UnlockArgNum"": ""1""}, ""3015"": {""UnlockArgStr"": ""Char3_15"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
10019,CompMastery1,* 컴패니언의 스태미나가 소모되는 주기 시간이 특성 레벨당{nl}    10초 증가{nl},{nl}{b}헌터 1서클 필요{b}{nl}{b}응사 1서클 필요{b},ability_common_compmastery1,False,5,"[3002, 3014]",,컴패니언 마스터리: 끈기,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": ""Char3_2"", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": ""Char3_14"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
