$ID,$ID_NAME,AnvilATK,AnvilDEF,AnvilPrice,Bonus,Description,Durability,Grade,Icon,Level,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Set,Material,Name,Potential,Price,RequiredClass,RequiredLevel,Sockets,SocketsLimit,Stars,Stat_ATTACK_MAGICAL,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,TimeCoolDown,TimeLifeTime,Tradability,TranscendPrice,Type,TypeAttack,TypeEquipment,Unidentified,UnidentifiedRandom,Weight
4,NoOuter,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,없음_Outer,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,10,False,False,1.0
5,NoPants,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,없음_Pants,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,0,False,False,1.0
6,NoGloves,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,없음_Gloves,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,15,False,False,1.0
7,NoBoots,,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50]","[2272, 2283, 2295, 2306, 2317, 2328, 2340, 2351, 2362, 2373, 2981, 3593, 4212, 4837, 5467, 6102, 6743, 7391, 8043, 8700, 9364, 10035, 10710, 11389, 12075, 12768, 13466, 14168, 14877, 15592, 16312, 17037, 17768, 18506, 19248, 19995, 20749, 21510, 22275, 23044]",,,100,2,icon_item_quest_00017,1,,,,,,,4,없음_Boots,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,26,False,False,1.0
8,NoShirt,,,,,,100,2,icon_item_quest_00017,1,,,,,,,4,없음_Boots,0,0,1111,1,0,0,1,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1,11,27,False,False,1.0
10000,NoHelmet,,,,"[[39, 4.0]]",,-1,2,icon_item_sword_1,0,,,,,,,4,없음_helmet,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1111,,12,11,,False,False,0.0
10001,murmillo_helmet,,,,,검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.,-1,2,icon_item_sword_26,0,,,,,,,4,무르밀로 헬멧,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10002,helmet_plaguedoctor,,,,,플레이그닥터의 장비 안에는 효능 좋은 약이 들어차 있을 것이라 생각하는 사람이 많습니다. 틀린 생각은 아니지만 그 가득찬 약은 사제의 권능으로 뭉쳐져 있습니다. 이것이 유능한 치유사와 플레이그 닥터의 중요한 차이점입니다.,-1,2,icon_item_sword_26,0,,,,,,,4,플레이그닥터 헬멧,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10005,helmet_weddingvail01,,,,,결혼식 신부가 착용하는 코스튬 입니다.,-1,2,helmet_weddingvail,0,,,,,,,4,두근두근 웨딩 면사포 코스튬,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10006,helmet_fishbowl,,,,,좀 더 물고기를 가까이서 볼 수 있는 어항 코스튬 입니다.,-1,2,icon_item_helmet_fishbowl,0,,,,,,,4,어항 헬멧 코스튬,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10007,helmet_diver,,,,,잠수에 최적화된 코스튬 입니다.,-1,2,icon_item_helmet_diver,0,,,,,,,4,다이빙 헬멧 코스튬,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10008,DragoonHelmet,,,,,검투사의 투구가 흠이 없다는 것은 둘 중 하나입니다. 새 투구를 처음 착용한 것이거나 아니면 수많은 시험을 거쳤음에도 흠이 나지 않는 엄청난 물건이란 뜻입니다.,-1,2,icon_item_sword_26,0,,,,,,,4,드라군 헬멧,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,12,11,8,False,False,0.0
10009,pumkin_helmet,,,,,"호박의 속을 파내고 악마의 얼굴 모양으로 눈, 코, 입을 도려낸 투구입니다.",-1,2,icon_item_pumkin_helmet,0,,,,,,,4,잭오랜턴 헬멧,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
10010,helmet_Rudolf01,,,,,루돌프 빨간코는 희망의 상징입니다.,-1,2,icon_item_helmet_rudolph,0,,,,,,,4,루돌프 헬멧 코스튬,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,1101,,12,11,8,False,False,0.0
11000,NoArmband,,,,,,-1,2,icon_item_sword_1,0,,,,,,,4,없음_armband,0,0,1111,0,0,0,0,0,0,0,0,0,0.0,0.0,0000,,0,11,,False,False,0.0
11101,ABAND01_101,,,,,이것을 매고 있으면 아군을 구분하는데 도움을 줍니다.,-1,2,icon_item_artefact_armband,40,,,,,,,4,붉은 암밴드,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11102,ABAND01_102,,,,,너무 세게 묶는다면 피가 통하지 않을 수도 있습니다.,-1,2,icon_item_armband_cloth,40,,,,,[36002],,4,매듭진 암밴드,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11103,ABAND01_103,,,,,길이가 길어 위급상황에서는 붕대 대용으로도 사용가능합니다.,-1,2,icon_item_armband_clothlong,40,[642075],,,,,,4,긴 암밴드,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11104,ABAND01_104,,,,,새의 깃털로 장식되어 있습니다. 내구성이 좋지 못하여 관리에 신경을 써주어야 합니다.,-1,2,icon_item_armband_feather,40,,,,,[36004],,4,깃털 장식 암밴드,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11105,ABAND01_105,,,,,특별한 제의에 사용되지만 멋을 위해 착용하고 다니기도 합니다.,-1,2,icon_item_armband_tassel,40,,,,,[36005],,4,술달린 암밴드,0,0,1111,40,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 2, 2, 3, 3, 4, 5, 6, 7]",23,11,4,False,False,10.0
11106,ABAND01_106,,,,,1차 CBT에 참여하신 분들께 드리는 감사의 뜻을 담은 물건입니다.,-1,2,icon_item_artefact_armband_cbt1,1,,,,,,,4,태초의 구원자 암밴드,0,0,1111,1,0,0,0,0,0,0,0,0,0.0,0.0,1111,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]",23,11,4,False,False,10.0
