$ID,$ID_NAME,CircleMax,Description,Icon,IsHidden,IsSecret,JobDifficulty,JobTree,JobType,Link_Attributes,Link_Skills,Name,Rank,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR
1001,Char1_1,3,소드맨은 강한 맷집과 다양한 무기를 이용해 가까이 몰려든 적을 상대하는 전사입니다. ,c_warrior_swordsman,False,False,0,3,[0],"[10000, 101020, 10028, 101004, 101014, 101017, 101001, 101015, 101013, 101007, 101008, 101018, 101010, 101012, 101016, 101021]","[10001, 10002, 10003, 10004, 10005, 10006, 10007, 10008]",소드맨,1,8,5,2,3,7
1002,Char1_2,3,하이랜더는 양손검을 사용하는 강인한 전사입니다. 적을 다른 적이나 지형에 충돌시킬 수 있어 다수의 적을 상대하기에 유리합니다.,c_warrior_highlander,False,False,0,3,[0],"[10000, 10002, 103017, 103007, 103016, 103001, 103014, 103022, 103020, 103004, 103015, 103010, 103019, 103011, 103018, 103023, 103024, 103013, 103021, 103026, 103025]","[10201, 10202, 10203, 10204, 10205, 10207, 10208, 10206, 10209]",하이랜더,2,8,5,2,3,7
1003,Char1_3,3,"펠타스타는 방패를 사용해 적의 공격을 막아내거나, 적을 도발하여 유인하는 방어형 전사입니다.",c_warrior_peltasta,False,False,2,3,[5],"[10000, 102014, 102015, 102016, 102004, 102017, 102012, 102001, 102011, 102021, 102022, 102029, 102008, 102013, 102020, 102019, 102010, 102023, 102024, 102025, 102027, 102028]","[10101, 10102, 10103, 10104, 10105, 10106, 10107, 10108, 10109]",펠타스타,2,8,5,2,3,7
1004,Char1_4,3,"창을 사용하는 하플라이트는 사정거리가 길고, 중형급 이상의 크고 강한 적을 상대할 때 보너스를 획득합니다.",c_warrior_hoplite,False,False,0,3,[0],"[10003, 104001, 104013, 104023, 104007, 104014, 104015, 104024, 104016, 104018, 104004, 104017, 104010, 104025, 104021, 104012, 104020, 104022]","[10301, 10302, 10303, 10304, 10305, 10307, 10306]",하플라이트,3,8,5,2,3,7
1005,Char1_5,3,센츄리온 클래스는 포메이션을 사용해 전투를 지휘하는 클래스입니다. 상황에 따라 여러가지 진형을 사용해 동료들을 지휘합니다.,c_warrior_centurion,False,False,1,3,[9],"[110001, 110002, 110003, 110004, 110005]","[10901, 10902, 10903, 10904, 10905, 10906, 10907, 10908, 10910]",센츄리온,200,8,5,2,3,7
1006,Char1_6,3,승리를 위해선 형식에 구애받지 않고 무엇이든 하는 바바리안은 저돌적이고 호전적인 전사입니다. ,c_warrior_barbarian,False,False,0,3,[0],"[10002, 105001, 105006, 105017, 105015, 105005, 105009, 105008, 105021, 105012, 105016, 105014, 105018, 105019, 105020]","[10401, 10404, 10411, 10409, 10405, 10406, 10410, 10407, 10408]",바바리안,3,8,5,2,3,7
1007,Char1_7,3,양손창을 전문적으로 사용하는 캐터프랙트는 적들의 방어선을 돌파하여 분쇄시키는 기병 클래스입니다. ,c_warrior_cataphract,False,False,2,3,[0],"[10004, 10016, 107019, 107001, 107004, 107016, 107014, 107007, 107017, 107015, 107010, 107018, 107012, 107013]","[10601, 10602, 10603, 10604, 10605, 10608, 10606]",캐터프랙트,4,8,5,2,3,7
1008,Char1_8,3,"커세어는 자신의 파티를 해적단으로 조직하여 독특한 전술을 사용합니다. 적의 아이템을 약탈하거나 보물상자의 획득, 콤보시스템의 사용이 가능합니다.",c_warrior_corsair,False,False,2,3,"[0, 9]","[10015, 10011, 109007, 109003, 109001, 109002, 109005, 109006, 109009, 109010, 109011, 109012]","[10801, 10802, 10803, 10807, 10805, 10808, 10809, 10810]",커세어,5,8,5,2,3,7
1009,Char1_9,3,도펠죌트너는 많은 보상을 위해 높은 리스크를 감수하는 용병 클래스입니다. 스스로를 위험에 노출시키는 대신 공격력을 높이거나 많은 경험치를 획득합니다.,c_warrior_doppelsoeldner,False,False,0,3,[0],"[10002, 111018, 111003, 111017, 111002, 111006, 111005, 111001, 111004, 111011, 111019, 111008, 111016, 111010, 111014, 111009, 111015, 111012, 111013]","[11004, 11001, 11002, 11003, 11005, 11006, 11008, 11007, 11009, 11010]",도펠죌트너,6,8,5,2,3,7
1010,Char1_10,3,로델레로는 적을 기습하여 와해시키는 전투의 전문가입니다. 방패를 이용한 방어기술은 원거리 공격을 막아내는데 효과적입니다.,c_warrior_rodelero,False,False,2,3,[0],"[102015, 106001, 106004, 106014, 106007, 106013, 106015, 106023, 106010, 106018, 106019, 106020, 106017, 106022, 106016, 106021]","[10501, 10502, 10503, 10504, 10507, 10508, 10505, 10506, 10509]",로델레로,4,8,5,2,3,7
1011,Char1_11,3,스콰이어는 동료를 보조하는 전사계 클래스입니다. 동료의 장비를 손질하여 성능을 향상시키거나 거점을 설치해 동료들의 활동을 도와줍니다.,c_warrior_squire,False,False,2,3,"[7, 4, 9]","[108001, 108008, 108009, 108002, 108003, 108004, 108005, 108006, 108007, 108010]","[10704, 10703, 10709, 10705, 10706, 10707, 10708]",스콰이어,5,8,5,2,3,7
1012,Char1_12,3,무르밀로는 공격과 방어의 밸런스가 조화된 검투사 클래스입니다. 어인형 투구를 써서 원거리 공격을 막아내거나 방패를 사용하는 기술의 효과를 향상시킬 수 있습니다.,c_warrior_murmillo,False,False,1,3,"[0, 5]","[115001, 102015, 115008, 115012, 115013, 115014, 115002, 115003, 115004, 115005, 115010, 115009, 115011, 115016, 115015, 115019, 115018, 115017]","[11301, 11302, 11303, 11304, 11307, 11308, 11309, 11310]",무르밀로,8,8,5,2,3,7
1013,Char1_13,1,시노비는 인법을 사용한 특수한 전법을 펼치는 전사계 클래스입니다. 길고 힘든 수련을 거친 소수의 사람만이 시노비가 될 수 있습니다.,c_warrior_shinobi,True,True,1,3,[0],"[10018, 113009, 113003, 113004, 113006, 113007, 113002, 113005, 113001, 113010]","[11205, 11202, 11203, 11204, 11201]",시노비,7,8,5,2,3,7
1014,Char1_14,3,펜서는 레이피어를 사용해 빠른 연타 공격을 구사하는 클래스입니다.,c_warrior_fencer,False,False,0,3,[0],"[10017, 112001, 112011, 112003, 112004, 112005, 112006, 112007, 112002, 112008, 112009, 112010]","[11102, 11103, 11104, 11105, 11107, 11101, 11106, 11108, 11109, 11110, 11111]",펜서,6,8,5,2,3,7
1015,Char1_15,3,드라군은 창을 사용한 전투에 능숙한 정예의 전사입니다. 특히 양손창을 사용할 때 보너스를 획득합니다.,c_warrior_dragoon,False,False,2,3,[0],"[10003, 10004, 114010, 114019, 114001, 114003, 114004, 114012, 114005, 114006, 114007, 114017, 114008, 114009, 114016, 114011, 114014, 114015, 114018]","[11401, 11402, 11403, 11404, 11405, 11407, 11408]",드라군,7,8,5,2,3,7
1016,Char1_16,3,"템플러는 기사단 길드를 조직하고 통솔하는 지휘관 클래스입니다. 길드의 마스터는 템플러 클래스만 맡을 수 있으며, 길드의 성장 방향을 결정할 수 있습니다.",c_warrior_templar,False,False,0,3,[7],"[117001, 117002, 117003]","[11501, 11502, 11503, 11504, 11505, 11507, 11508, 11509, 11506, 11510]",템플러,7,8,5,2,3,7
1017,Char1_17,3,랜서는 강력한 대인전 기술을 사용하는 기병 클래스입니다. 적의 마법진이나 구조물을 쉽게 돌파하는 위력을 갖고 있습니다.,c_warrior_lancer,False,False,2,3,[2],"[10004, 10016, 116001, 116002, 116003, 116006, 116012, 116007, 116017, 116008, 116011, 116009, 116010, 116015, 116016, 116014, 116013]","[11601, 11603, 11604, 11605, 11606, 11607, 11608, 11609]",랜서,8,8,5,2,3,7
1018,Char1_19,3,"마타도르는 투우사로 적을 강력하게 도발하며 재빠른 몸놀림을 보여 순간적으로 적을 공격하고 빠지는 것에 능숙한 클래스입니다.{nl}오르샤에 있는 마타도르 게시판과 대화 후 에산치우 마을에 있는 리티스, 나글리스, 리나스와 대화한 다음 페디미안에 있는 마타도르 마스터를 만나세요.",c_warrior_matador,True,False,2,3,[6],"[10017, 118001, 118008, 118016, 118007, 118006, 118013, 118002, 118003, 118017, 118004, 118005, 118012, 118009, 118018, 118010, 118011, 118014, 118015]","[11701, 11702, 11703, 11704, 11705, 11706, 11707]",마타도르,8,8,5,2,3,7
1019,Char1_20,1,낙무아이는 무에타이 기술을 사용하는 근접 물리 공격 클래스로 힘에 영향을 받아 효과가 상승하거나 추가 효과가 발생하는것이 특징입니다.,c_warrior_nakmuay,True,True,0,3,[0],"[119001, 119002, 119003, 119004]","[11801, 11802, 11803, 11804, 11805, 11806]",낙무아이,7,8,5,2,3,7
1020,Char1_18,3,"레티아리이는 투망과 한손창, 단검으로 무장하고 전투하는 검투사 클래스입니다. 투망을 이용하여 상대를 포박하고 장비를 해제시켜 상대의 전투능력을 상실시키는 재주에 능합니다.{nl}테넌츠 농장에 있는 레티아리이 마스터를 만나세요.",c_warrior_retiarii,True,True,0,3,[0],"[10003, 120001, 120013, 120002, 120009, 120014, 120005, 120003, 120004, 120015, 120006, 120007, 120008, 120010, 120011, 120012]","[11901, 11902, 11903, 11904, 11905, 11906, 11907, 11908]",레티아리이,8,8,5,2,3,7
2001,Char2_1,3,"마법을 사용하여 상대의 공격을 저지하거나 자신을 보호하는 위저드는 광역 공격을 하는 클래스로, 하나의 대상에 강력한 공격을 퍼붓거나, 다수의 적에게 광역 공격을 할 수 있습니다. ",c_wizard_wizard,False,False,2,4,[0],"[10000, 201001, 201009, 201010, 201014, 201004, 201006, 201013, 201008, 201015]","[20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008]",위저드,1,3,4,8,7,3
2002,Char2_2,3,불을 다루는 파이로맨서는 강력한 불 지속 마법을 사용하여 다수의 적을 제압합니다.,c_wizard_pyromancer,False,False,2,4,[0],"[10000, 202019, 202001, 202014, 202024, 202004, 202015, 202023, 202017, 202007, 202020, 202021, 202022, 202011, 202013, 202016]","[20101, 20102, 20103, 20104, 20107, 20105, 20106]",파이로맨서,2,3,4,8,7,3
2003,Char2_3,3,얼음을 다루는 크리오맨서는 강력한 마법으로 적을 얼리거나 얼음 장벽으로 적을 가둬 동료를 보조합니다.,c_wizard_cryomancer,False,False,2,4,[0],"[10000, 203013, 203017, 203019, 203001, 203011, 203004, 203020, 203007, 203016, 203015, 203018, 203010, 203021]","[20201, 20202, 20203, 20204, 20205, 20207, 20208]",크리오맨서,2,3,4,8,7,3
