$ID,$ID_NAME,CoolDown,Description,Effect,Effect_CaptionRatio,Effect_CaptionRatio2,Effect_CaptionRatio3,Effect_CaptionTime,Effect_SkillFactor,Effect_SkillSR,Effect_SpendItemCount,Effect_SpendPoison,Effect_SpendSP,Element,Icon,IsEnchanter,IsPardoner,IsShinobi,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_BasicSP,Prop_LvUpSpendPoison,Prop_LvUpSpendSp,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,TypeAttack
1,Normal_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}근거리의 적에게 공격을 합니다.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",[6]
2,Bow_Attack,0,{#}{ol}[Missile]{/}{/}{nl}보우 오른손(투핸드보우 전용),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]",[2]
3,Hammer_Attack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}무기를 휘둘러서 근거리의 적에게 피해를 입힙니다.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",[6]
4,Magic_Attack,0,{#993399}{ol}[Magic]{/}{/}{nl}원거리의 적에게 마법 공격을 합니다.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]",[1]
5,Normal_Attack_TH,0,{#DD5500}{ol}[Physical]{/}{/}{nl}근거리의 적에게 공격을 합니다(전사 양손검 전용),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",[6]
6,Magic_Attack_TH,0,{#993399}{ol}[Magic]{/}{/}{nl}원거리의 적에게 마법 공격을 합니다.(양손스태프),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]",[1]
7,Bow_Hanging_Attack,0,{#}{ol}[Missile]{/}{/}{nl}보우 오른손(투핸드보우 전용),,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var value = basicSP + (lv - 1) * lvUpSpendSp;"", """", ""if (IsBuffApplied(pc, 'Wizard_Wild_buff') == 'YES') {"", ""    value = value * 1.5 * spRatio;"", ""    return Math.floor(value);"", ""}"", """", """", ""if (IsBuffApplied(pc, 'MalleusMaleficarum_Debuff') == 'YES') {"", ""    value = value * 2"", ""    return Math.floor(value);"", ""}"", """", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", """", ""if (IsBuffApplied(pc, 'ShadowPool_Buff') == 'YES'  &&  skill.ClassName == \""Shadowmancer_ShadowPool\"") {"", ""    value = 0;"", ""}"", ""return Math.floor(value);""]",[2]
10,War_JustFrameDagger,0,{#DD5500}{ol}[Physical] - [Piercing]{/}{/}{nl}근거리의 적에게 공격을 합니다. 특정 타격 횟수 이상 적에게 입히게 되면 대상을 밀어냅니다.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,단검 찌르기,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""OneHandSword"", ""Icon"": ""weapon_ohs""}, {""Name"": ""OneHandSpear"", ""Icon"": ""weapon_spear""}, {""Name"": ""Rapier"", ""Icon"": ""weapon_rapier""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}, {""Name"": ""OneHandSwordDagger"", ""Icon"": ""weapon_dagger""}]",0,True,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]","[6, 7]"
11,War_JustFrameAttack,0,{#DD5500}{ol}[Physical]{/}{/}{nl}근거리의 적에게 공격을 합니다.,,,,,,,,,,,6,icon_war_bash,False,False,False,-1,-1,,,,기본 공격,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}, {""Name"": ""Companion"", ""Icon"": ""weapon_companion""}]",0,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",[6]
12,MongWangGa,0,{#DD5500}{ol}[Physical]{/}{/}{nl}몽왕가,,,,,,,,,,,6,icon_war_bash,False,False,,-1,-1,,,,몽왕가,0,0,6,0,0.0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,"[""var basicSP = skill.BasicSP;"", ""var lv = skill.Level;"", ""var lvUpSpendSp = skill.LvUpSpendSp;"", ""var decsp = 0;"", """", ""if (basicSP == 0) {"", ""    return 0;"", ""}"", ""var abilAddSP = 0;"", ""abilAddSP = abilAddSP / 100;"", ""var lvUpSpendSpRound = Math.floor((lvUpSpendSp * 10000) + 0.5)/10000;"", ""var value = basicSP + (lv - 1) * lvUpSpendSpRound;"", ""value = value + (value * abilAddSP);"", ""var zeminaLv = GetExProp(pc, \""ZEMINA_BUFF_LV\"");"", """", ""if (zeminaLv > 0) {"", ""    decsp = 4 + (zeminaLv * 4);"", ""}"", ""value = value - decsp;"", """", ""if (IsBuffApplied(pc, \""AcrobaticMount_Buff\"") == \""YES\"") {"", """", ""    if (TryGetProp(skill, \""EnableCompanion\"") == \""YES\"") {"", ""        var acrobaticBuff = GetBuffByName(pc, \""AcrobaticMount_Buff\"")"", ""        var acrobaticBuffLevel = GetBuffArg(acrobaticBuff)"", ""        var acrobaticAddSPRate = acrobaticBuffLevel * 0.1"", ""        value = value *(1 + acrobaticAddSPRate)"", ""        SetExProp(acrobaticBuff, \""ACROBATICMOUNT_SPENDSP\"", Math.floor(value))"", ""    }"", """", ""}"", """", ""if (value < 1) {"", ""    value = 1;"", ""}"", ""return Math.floor(value);""]",[6]
