$ID,$ID_NAME,CoolDown,Description,Effect,EffectCaptionRatio,EffectCaptionRatio2,EffectCaptionRatio3,EffectCaptionTime,EffectSkillFactor,EffectSkillSR,EffectSpendItemCount,EffectSpendPoison,EffectSpendSP,Element,Icon,LevelMax,LevelPerCircle,Link_Attributes,Link_Gem,Link_Job,Name,OverHeat,Prop_BasicPoison,Prop_LvUpSpendPoison,Prop_SklAtkAdd,Prop_SklAtkAddByLevel,Prop_SklFactor,Prop_SklFactorByLevel,Prop_SklSR,Prop_SpendItemBaseCount,RequiredCircle,RequiredStance,RequiredStanceCompanion,RequiredSubWeapon,SP,SPPerLevel,TypeAttack
1,Normal_Attack,0,Attack an enemy from a short distance.,,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
2,Bow_Attack,0,Right-hand Bow (Two-handed Bow only),,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
3,Hammer_Attack,0,Deal damage by swinging your weapon to an enemy from a short distance.,,,,,,,,,,,6,war_bash,-1,-1,,,,Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
4,Magic_Attack,0,Attack an enemy with magic from a far distance.,,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,4
5,Normal_Attack_TH,0,Attack an enemy from a short distance(Warrior's Two-handed Sword only),,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,1.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
6,Magic_Attack_TH,0,Attack an enemy magic from a far distance.(Two-handed Staff),,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,4
7,Bow_Hanging_Attack,0,Right-hand Bow (Two-handed Bow only),,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
10,War_JustFrameDagger,0,Attack an enemy from a short distance. The target gets knocked back when it is struck a certain number of times.,,,,,,,,,,,6,war_bash,-1,-1,,,,Dagger Pierce,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""OneHandSword"", ""Icon"": ""weapon_ohs""}, {""Name"": ""OneHandSpear"", ""Icon"": ""weapon_spear""}, {""Name"": ""Rapier"", ""Icon"": ""weapon_rapier""}, {""Name"": ""OneHandSwordDagger"", ""Icon"": ""weapon_dagger""}]",0,True,0,0.0,0
11,War_JustFrameAttack,0,Attack an enemy from a short distance.,,,,,,,,,,,6,war_bash,-1,-1,,,,Basic Attack,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",0,False,0,0.0,9
12,MongWangGa,0,Dream Song,,,,,,,,,,,6,war_bash,-1,-1,,,,Dream Song,0,0,0,0.0,0.0,100.0,0.0,0.0,0,-1,"[{""Name"": ""All"", ""Icon"": ""weapon_all""}]",1,False,6,0.0,9
