$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10000,SwapWeapon,* 武器可變更{nl},{nl}{b}需要劍士2階{b}{nl}{b}需要高地戰士1階{b}{nl}{b}需要輕裝步兵1階{b}{nl}{b}需要法師2階{b}{nl}{b}需要烈焰法師1階{b}{nl}{b}需要寒冰法師1階{b}{nl}{b}需要弓箭手 2階{b}{nl}{b}需要弩箭手1階{b}{nl}{b}需要遊俠1階{b}{nl}{b}需要牧師 2階{b}{nl}{b}需要聖水祭司1階{b}{nl}{b}需要聖火祭司1階{b},ability_warrior_swapweapon,False,1,"[1001, 1002, 1003, 2001, 2002, 2003, 3001, 3003, 3004, 4001, 4002, 4003]",,武器位置互換,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4001"": {""UnlockArgStr"": ""Char4_1"", ""UnlockArgNum"": ""2""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""4003"": {""UnlockArgStr"": ""Char4_3"", ""UnlockArgNum"": ""1""}, ""1001"": {""UnlockArgStr"": ""Char1_1"", ""UnlockArgNum"": ""2""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1003"": {""UnlockArgStr"": ""Char1_3"", ""UnlockArgNum"": ""1""}, ""2001"": {""UnlockArgStr"": ""Char2_1"", ""UnlockArgNum"": ""2""}, ""2002"": {""UnlockArgStr"": ""Char2_2"", ""UnlockArgNum"": ""1""}, ""2003"": {""UnlockArgStr"": ""Char2_3"", ""UnlockArgNum"": ""1""}, ""3001"": {""UnlockArgStr"": ""Char3_1"", ""UnlockArgNum"": ""2""}, ""3003"": {""UnlockArgStr"": ""Char3_3"", ""UnlockArgNum"": ""1""}, ""3004"": {""UnlockArgStr"": ""Char3_4"", ""UnlockArgNum"": ""1""}}",
10002,THSword,* 可配戴[雙手劍]系列武器{nl}* 配戴[雙手劍]時範圍攻擊比率增加1{nl},{nl}{b}需要高地戰士1階{b}{nl}{b}需要野蠻人1階{b}{nl}{b}需要雙酬傭兵1階{b},ability_warrior_thsword,False,1,"[1002, 1006, 1009]",,使用雙手劍,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1009"": {""UnlockArgStr"": ""Char1_9"", ""UnlockArgNum"": ""1""}, ""1002"": {""UnlockArgStr"": ""Char1_2"", ""UnlockArgNum"": ""1""}, ""1006"": {""UnlockArgStr"": ""Char1_6"", ""UnlockArgNum"": ""1""}}",
10003,Spear,* 可配戴[單手長槍]系列武器{nl}*  [單手長槍]攻擊時範圍增加5{nl}* [單手長槍]攻擊時，對中型、大型敵人造成的傷害增加5%{nl},{nl}{b}需要重裝步兵1階{b}{nl}{b}需要龍騎士1階{b}{nl}{b}需要網鬥士1階{b},ability_warrior_spear,False,1,"[1004, 1015, 1020]",,使用單手長槍,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1020"": {""UnlockArgStr"": ""Char1_18"", ""UnlockArgNum"": ""1""}, ""1004"": {""UnlockArgStr"": ""Char1_4"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}}",
10004,THSpear,* 可配戴[雙手槍]系列武器{nl}* 配戴[雙手槍]時攻擊範圍增加10{nl},{nl}{b}需要鐵甲騎兵1階{b}{nl}{b}需要龍騎士1階{b}{nl}{b}需要槍騎兵 1階{b},ability_warrior_thspear,False,1,"[1007, 1015, 1017]",,使用雙手長槍,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""1015"": {""UnlockArgStr"": ""Char1_15"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10011,Pistol,* 可以裝備[手槍]系列武器{nl}* 按C鍵可進行手槍攻擊{nl},{nl}{b}需要海賊3階{b},ability_archer_schwarzereiter1,False,1,[1008],,使用手槍,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""3""}}",
10015,DaggerMastery,* 從敵人的後方進行短劍基本攻擊時{nl}    每特性等級2%的追加傷害{nl},{nl}{b}需要海賊1階{b}{nl}{b}需要流氓1階{b},ability_common_daggermastery,False,5,"[1008, 3009]",,掌握短劍：急襲,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1008"": {""UnlockArgStr"": ""Char1_8"", ""UnlockArgNum"": ""1""}, ""3009"": {""UnlockArgStr"": ""Char3_9"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
10016,CompanionRide,* 騎乘寵物時可使用技能{nl},{nl}{b}需要鐵甲騎兵1階{b}{nl}{b}需要槍騎兵 1階{b}{nl}{b}需要刀騎兵 1階{b}{nl}{b}需要黑暗騎兵1階{b},ability_common_companionride,False,1,"[1007, 1017, 3007, 3010]",,召魔：騎乘寵物,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1017"": {""UnlockArgStr"": ""Char1_17"", ""UnlockArgNum"": ""1""}, ""3010"": {""UnlockArgStr"": ""Char3_10"", ""UnlockArgNum"": ""1""}, ""3007"": {""UnlockArgStr"": ""Char3_7"", ""UnlockArgNum"": ""1""}, ""1007"": {""UnlockArgStr"": ""Char1_7"", ""UnlockArgNum"": ""1""}}",
10017,Rapier,* 可以裝備[細劍]系列武器{nl},{nl}{b}需要擊劍手1階{b}{nl}{b}需要鬥牛士1階{b},ability_warrior_rapier,False,1,"[1014, 1018]",,使用細劍,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1018"": {""UnlockArgStr"": ""Char1_19"", ""UnlockArgNum"": ""1""}, ""1014"": {""UnlockArgStr"": ""Char1_14"", ""UnlockArgNum"": ""1""}}",
10018,MaxWeightAbil,* 角色背包可攜帶重量增加20{nl},{nl}{b}需要忍者1階{b}{nl}{b}需要工兵1階{b}{nl}{b}需要重砲手1階{b}{nl}{b}需要聖水祭司1階{b}{nl}{b}需要雕刻師1階{b},ability_common_maxweightabil,False,10,"[1013, 3005, 3015, 4002, 4007]",,最大重量增加,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4007"": {""UnlockArgStr"": ""Char4_7"", ""UnlockArgNum"": ""1""}, ""4002"": {""UnlockArgStr"": ""Char4_2"", ""UnlockArgNum"": ""1""}, ""1013"": {""UnlockArgStr"": ""Char1_13"", ""UnlockArgNum"": ""1""}, ""3005"": {""UnlockArgStr"": ""Char3_5"", ""UnlockArgNum"": ""1""}, ""3015"": {""UnlockArgStr"": ""Char3_15"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
10019,CompMastery1,* 寵物的耐力消耗周期時間每特性等級{nl}    增加10秒{nl},{nl}{b}需要獵人1階{b}{nl}{b}需要馴鷹者1階{b},ability_common_compmastery1,False,5,"[3002, 3014]",,掌握寵物：毅力,"[""var jobGrade = GetJobGradeByName(pc, jobName);"", """", ""if (jobGrade >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgStr"": ""Char3_2"", ""UnlockArgNum"": ""1""}, ""3014"": {""UnlockArgStr"": ""Char3_14"", ""UnlockArgNum"": ""1""}}","[3, 4, 5, 6, 7, 3, 4, 5, 6, 7]"
