$ID,$ID_NAME,BonusBoots,BonusGloves,BonusSubWeapon,BonusTopAndBottom,BonusWeapon,Description,Icon,Link_Collections,Link_Cubes,Link_MonsterDrops,Link_RecipeMaterial,Link_RecipeTarget,Link_Skill,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeGem,Weight
643501,gem_circle_1,"[{""Stat"": 6, ""Value"": 2}, {""Stat"": 52, ""Value"": -1}, {""Stat"": 6, ""Value"": 4}, {""Stat"": 52, ""Value"": -2}, {""Stat"": 6, ""Value"": 8}, {""Stat"": 52, ""Value"": -4}, {""Stat"": 6, ""Value"": 14}, {""Stat"": 52, ""Value"": -5}, {""Stat"": 6, ""Value"": 22}, {""Stat"": 52, ""Value"": -7}, {""Stat"": 6, ""Value"": 32}, {""Stat"": 52, ""Value"": -10}, {""Stat"": 6, ""Value"": 44}, {""Stat"": 52, ""Value"": -12}, {""Stat"": 6, ""Value"": 58}, {""Stat"": 52, ""Value"": -16}, {""Stat"": 6, ""Value"": 74}, {""Stat"": 52, ""Value"": -19}, {""Stat"": 6, ""Value"": 92}, {""Stat"": 52, ""Value"": -23}]","[{""Stat"": 60, ""Value"": 5}, {""Stat"": 54, ""Value"": -3}, {""Stat"": 60, ""Value"": 8}, {""Stat"": 54, ""Value"": -4}, {""Stat"": 60, ""Value"": 11}, {""Stat"": 54, ""Value"": -6}, {""Stat"": 60, ""Value"": 16}, {""Stat"": 54, ""Value"": -8}, {""Stat"": 60, ""Value"": 23}, {""Stat"": 54, ""Value"": -12}, {""Stat"": 60, ""Value"": 30}, {""Stat"": 54, ""Value"": -15}, {""Stat"": 60, ""Value"": 39}, {""Stat"": 54, ""Value"": -20}, {""Stat"": 60, ""Value"": 49}, {""Stat"": 54, ""Value"": -25}, {""Stat"": 60, ""Value"": 60}, {""Stat"": 54, ""Value"": -30}, {""Stat"": 60, ""Value"": 73}, {""Stat"": 54, ""Value"": -37}]","[{""Stat"": 38, ""Value"": 25}, {""Stat"": 53, ""Value"": -1}, {""Stat"": 38, ""Value"": 35}, {""Stat"": 53, ""Value"": -2}, {""Stat"": 38, ""Value"": 55}, {""Stat"": 53, ""Value"": -4}, {""Stat"": 38, ""Value"": 80}, {""Stat"": 53, ""Value"": -5}, {""Stat"": 38, ""Value"": 110}, {""Stat"": 53, ""Value"": -7}, {""Stat"": 38, ""Value"": 145}, {""Stat"": 53, ""Value"": -10}, {""Stat"": 38, ""Value"": 185}, {""Stat"": 53, ""Value"": -12}, {""Stat"": 38, ""Value"": 235}, {""Stat"": 53, ""Value"": -16}, {""Stat"": 38, ""Value"": 290}, {""Stat"": 53, ""Value"": -19}, {""Stat"": 38, ""Value"": 350}, {""Stat"": 53, ""Value"": -23}]","[{""Stat"": 5, ""Value"": 69}, {""Stat"": 55, ""Value"": -1}, {""Stat"": 5, ""Value"": 180}, {""Stat"": 55, ""Value"": -3}, {""Stat"": 5, ""Value"": 339}, {""Stat"": 55, ""Value"": -6}, {""Stat"": 5, ""Value"": 540}, {""Stat"": 55, ""Value"": -10}, {""Stat"": 5, ""Value"": 789}, {""Stat"": 55, ""Value"": -15}, {""Stat"": 5, ""Value"": 1080}, {""Stat"": 55, ""Value"": -21}, {""Stat"": 5, ""Value"": 1419}, {""Stat"": 55, ""Value"": -28}, {""Stat"": 5, ""Value"": 1800}, {""Stat"": 55, ""Value"": -36}, {""Stat"": 5, ""Value"": 2229}, {""Stat"": 55, ""Value"": -45}, {""Stat"": 5, ""Value"": 2700}, {""Stat"": 55, ""Value"": -55}]","[{""Stat"": 18, ""Value"": 40}, {""Stat"": 19, ""Value"": -2}, {""Stat"": 18, ""Value"": 60}, {""Stat"": 19, ""Value"": -4}, {""Stat"": 18, ""Value"": 90}, {""Stat"": 19, ""Value"": -6}, {""Stat"": 18, ""Value"": 130}, {""Stat"": 19, ""Value"": -8}, {""Stat"": 18, ""Value"": 180}, {""Stat"": 19, ""Value"": -12}, {""Stat"": 18, ""Value"": 240}, {""Stat"": 19, ""Value"": -16}, {""Stat"": 18, ""Value"": 310}, {""Stat"": 19, ""Value"": -20}, {""Stat"": 18, ""Value"": 390}, {""Stat"": 19, ""Value"": -26}, {""Stat"": 18, ""Value"": 480}, {""Stat"": 19, ""Value"": -32}, {""Stat"": 18, ""Value"": 580}, {""Stat"": 19, ""Value"": -38}]",在地下城發現到的寶石，裝備在鑲嵌槽可以強化裝備，補充魔力之後，可以發揮出更強大的力量，點擊滑鼠右鍵，可以選擇想要的裝備並配戴。,item_icon_circle150,"[642093, 642093, 642093, 642093, 642093, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642144]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]",,"[12021, 13020, 33023, 33064, 34022, 34058]",,,紅寶石,100,0.0,0.0,TTTT,11,1,1.0
643502,gem_square_1,"[{""Stat"": 52, ""Value"": 10}, {""Stat"": 6, ""Value"": -1}, {""Stat"": 52, ""Value"": 20}, {""Stat"": 6, ""Value"": -3}, {""Stat"": 52, ""Value"": 30}, {""Stat"": 6, ""Value"": -5}, {""Stat"": 52, ""Value"": 40}, {""Stat"": 6, ""Value"": -7}, {""Stat"": 52, ""Value"": 50}, {""Stat"": 6, ""Value"": -9}, {""Stat"": 52, ""Value"": 60}, {""Stat"": 6, ""Value"": -11}, {""Stat"": 52, ""Value"": 70}, {""Stat"": 6, ""Value"": -13}, {""Stat"": 52, ""Value"": 80}, {""Stat"": 6, ""Value"": -15}, {""Stat"": 52, ""Value"": 90}, {""Stat"": 6, ""Value"": -17}, {""Stat"": 52, ""Value"": 100}, {""Stat"": 6, ""Value"": -19}]","[{""Stat"": 8, ""Value"": 2}, {""Stat"": 55, ""Value"": -1}, {""Stat"": 8, ""Value"": 4}, {""Stat"": 55, ""Value"": -2}, {""Stat"": 8, ""Value"": 8}, {""Stat"": 55, ""Value"": -4}, {""Stat"": 8, ""Value"": 14}, {""Stat"": 55, ""Value"": -7}, {""Stat"": 8, ""Value"": 22}, {""Stat"": 55, ""Value"": -11}, {""Stat"": 8, ""Value"": 32}, {""Stat"": 55, ""Value"": -16}, {""Stat"": 8, ""Value"": 44}, {""Stat"": 55, ""Value"": -22}, {""Stat"": 8, ""Value"": 58}, {""Stat"": 55, ""Value"": -29}, {""Stat"": 8, ""Value"": 74}, {""Stat"": 55, ""Value"": -37}, {""Stat"": 8, ""Value"": 92}, {""Stat"": 55, ""Value"": -46}]","[{""Stat"": 56, ""Value"": 1}, {""Stat"": 5, ""Value"": -4}, {""Stat"": 56, ""Value"": 4}, {""Stat"": 5, ""Value"": -16}, {""Stat"": 56, ""Value"": 10}, {""Stat"": 5, ""Value"": -40}, {""Stat"": 56, ""Value"": 19}, {""Stat"": 5, ""Value"": -76}, {""Stat"": 56, ""Value"": 30}, {""Stat"": 5, ""Value"": -120}, {""Stat"": 56, ""Value"": 44}, {""Stat"": 5, ""Value"": -176}, {""Stat"": 56, ""Value"": 60}, {""Stat"": 5, ""Value"": -240}, {""Stat"": 56, ""Value"": 79}, {""Stat"": 5, ""Value"": -316}, {""Stat"": 56, ""Value"": 100}, {""Stat"": 5, ""Value"": -400}, {""Stat"": 56, ""Value"": 124}, {""Stat"": 5, ""Value"": -496}]","[{""Stat"": 7, ""Value"": 30}, {""Stat"": 62, ""Value"": -5}, {""Stat"": 7, ""Value"": 48}, {""Stat"": 62, ""Value"": -8}, {""Stat"": 7, ""Value"": 72}, {""Stat"": 62, ""Value"": -12}, {""Stat"": 7, ""Value"": 102}, {""Stat"": 62, ""Value"": -17}, {""Stat"": 7, ""Value"": 138}, {""Stat"": 62, ""Value"": -23}, {""Stat"": 7, ""Value"": 180}, {""Stat"": 62, ""Value"": -30}, {""Stat"": 7, ""Value"": 228}, {""Stat"": 62, ""Value"": -38}, {""Stat"": 7, ""Value"": 282}, {""Stat"": 62, ""Value"": -47}, {""Stat"": 7, ""Value"": 342}, {""Stat"": 62, ""Value"": -57}, {""Stat"": 7, ""Value"": 408}, {""Stat"": 62, ""Value"": -68}]","[{""Stat"": 36, ""Value"": 23}, {""Stat"": 7, ""Value"": -15}, {""Stat"": 36, ""Value"": 32}, {""Stat"": 7, ""Value"": -24}, {""Stat"": 36, ""Value"": 45}, {""Stat"": 7, ""Value"": -36}, {""Stat"": 36, ""Value"": 63}, {""Stat"": 7, ""Value"": -51}, {""Stat"": 36, ""Value"": 86}, {""Stat"": 7, ""Value"": -69}, {""Stat"": 36, ""Value"": 113}, {""Stat"": 7, ""Value"": -90}, {""Stat"": 36, ""Value"": 144}, {""Stat"": 7, ""Value"": -114}, {""Stat"": 36, ""Value"": 180}, {""Stat"": 7, ""Value"": -141}, {""Stat"": 36, ""Value"": 221}, {""Stat"": 7, ""Value"": -171}, {""Stat"": 36, ""Value"": 266}, {""Stat"": 7, ""Value"": -204}]",在地下城發現到的寶石，裝備在鑲嵌槽可以強化裝備，補充魔力之後，可以發揮出更強大的力量，點擊滑鼠右鍵，可以選擇想要的裝備並配戴。,item_icon_square150,"[642093, 642093, 642093, 642093, 642137]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]",,"[10016, 11021, 12021, 12022, 33023, 33065, 34059]",,,藍寶石,100,0.0,0.0,TTTT,11,1,1.0
643503,gem_diamond_1,"[{""Stat"": 55, ""Value"": 2}, {""Stat"": 8, ""Value"": -8}, {""Stat"": 55, ""Value"": 4}, {""Stat"": 8, ""Value"": -16}, {""Stat"": 55, ""Value"": 6}, {""Stat"": 8, ""Value"": -24}, {""Stat"": 55, ""Value"": 10}, {""Stat"": 8, ""Value"": -40}, {""Stat"": 55, ""Value"": 17}, {""Stat"": 8, ""Value"": -68}, {""Stat"": 55, ""Value"": 24}, {""Stat"": 8, ""Value"": -96}, {""Stat"": 55, ""Value"": 32}, {""Stat"": 8, ""Value"": -128}, {""Stat"": 55, ""Value"": 42}, {""Stat"": 8, ""Value"": -168}, {""Stat"": 55, ""Value"": 54}, {""Stat"": 8, ""Value"": -216}, {""Stat"": 55, ""Value"": 68}, {""Stat"": 8, ""Value"": -272}]","[{""Stat"": 54, ""Value"": 2}, {""Stat"": 19, ""Value"": -1}, {""Stat"": 54, ""Value"": 4}, {""Stat"": 19, ""Value"": -2}, {""Stat"": 54, ""Value"": 8}, {""Stat"": 19, ""Value"": -4}, {""Stat"": 54, ""Value"": 14}, {""Stat"": 19, ""Value"": -7}, {""Stat"": 54, ""Value"": 22}, {""Stat"": 19, ""Value"": -11}, {""Stat"": 54, ""Value"": 32}, {""Stat"": 19, ""Value"": -16}, {""Stat"": 54, ""Value"": 44}, {""Stat"": 19, ""Value"": -22}, {""Stat"": 54, ""Value"": 58}, {""Stat"": 19, ""Value"": -29}, {""Stat"": 54, ""Value"": 74}, {""Stat"": 19, ""Value"": -37}, {""Stat"": 54, ""Value"": 92}, {""Stat"": 19, ""Value"": -46}]","[{""Stat"": 63, ""Value"": 3}, {""Stat"": 18, ""Value"": -1}, {""Stat"": 63, ""Value"": 5}, {""Stat"": 18, ""Value"": -2}, {""Stat"": 63, ""Value"": 10}, {""Stat"": 18, ""Value"": -3}, {""Stat"": 63, ""Value"": 18}, {""Stat"": 18, ""Value"": -6}, {""Stat"": 63, ""Value"": 29}, {""Stat"": 18, ""Value"": -10}, {""Stat"": 63, ""Value"": 42}, {""Stat"": 18, ""Value"": -14}, {""Stat"": 63, ""Value"": 57}, {""Stat"": 18, ""Value"": -19}, {""Stat"": 63, ""Value"": 75}, {""Stat"": 18, ""Value"": -25}, {""Stat"": 63, ""Value"": 96}, {""Stat"": 18, ""Value"": -32}, {""Stat"": 63, ""Value"": 120}, {""Stat"": 18, ""Value"": -40}]","[{""Stat"": 62, ""Value"": 1}, {""Stat"": 7, ""Value"": -6}, {""Stat"": 62, ""Value"": 3}, {""Stat"": 7, ""Value"": -18}, {""Stat"": 62, ""Value"": 5}, {""Stat"": 7, ""Value"": -30}, {""Stat"": 62, ""Value"": 9}, {""Stat"": 7, ""Value"": -54}, {""Stat"": 62, ""Value"": 15}, {""Stat"": 7, ""Value"": -90}, {""Stat"": 62, ""Value"": 21}, {""Stat"": 7, ""Value"": -126}, {""Stat"": 62, ""Value"": 29}, {""Stat"": 7, ""Value"": -174}, {""Stat"": 62, ""Value"": 38}, {""Stat"": 7, ""Value"": -228}, {""Stat"": 62, ""Value"": 49}, {""Stat"": 7, ""Value"": -294}, {""Stat"": 62, ""Value"": 61}, {""Stat"": 7, ""Value"": -366}]","[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 9}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 16}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 26}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 38}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 52}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 69}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 88}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 110}, {""Stat"": 60, ""Value"": -55}]",在地下城發現到的寶石，裝備在鑲嵌槽可以強化裝備，補充魔力之後，可以發揮出更強大的力量，點擊滑鼠右鍵，可以選擇想要的裝備並配戴。,item_icon_dia150,"[642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642145, 642153]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]",,"[14023, 30374, 34022]",,,綠寶石,100,0.0,0.0,TTTT,11,1,1.0
643504,gem_star_1,"[{""Stat"": 5, ""Value"": 45}, {""Stat"": 36, ""Value"": -2}, {""Stat"": 5, ""Value"": 120}, {""Stat"": 36, ""Value"": -4}, {""Stat"": 5, ""Value"": 225}, {""Stat"": 36, ""Value"": -8}, {""Stat"": 5, ""Value"": 360}, {""Stat"": 36, ""Value"": -13}, {""Stat"": 5, ""Value"": 525}, {""Stat"": 36, ""Value"": -19}, {""Stat"": 5, ""Value"": 720}, {""Stat"": 36, ""Value"": -27}, {""Stat"": 5, ""Value"": 945}, {""Stat"": 36, ""Value"": -35}, {""Stat"": 5, ""Value"": 1200}, {""Stat"": 36, ""Value"": -44}, {""Stat"": 5, ""Value"": 1485}, {""Stat"": 36, ""Value"": -55}, {""Stat"": 5, ""Value"": 1800}, {""Stat"": 36, ""Value"": -67}]","[{""Stat"": 57, ""Value"": 1}, {""Stat"": 18, ""Value"": -1}, {""Stat"": 57, ""Value"": 4}, {""Stat"": 18, ""Value"": -2}, {""Stat"": 57, ""Value"": 10}, {""Stat"": 18, ""Value"": -4}, {""Stat"": 57, ""Value"": 19}, {""Stat"": 18, ""Value"": -7}, {""Stat"": 57, ""Value"": 30}, {""Stat"": 18, ""Value"": -10}, {""Stat"": 57, ""Value"": 44}, {""Stat"": 18, ""Value"": -15}, {""Stat"": 57, ""Value"": 60}, {""Stat"": 18, ""Value"": -20}, {""Stat"": 57, ""Value"": 79}, {""Stat"": 18, ""Value"": -27}, {""Stat"": 57, ""Value"": 100}, {""Stat"": 18, ""Value"": -34}, {""Stat"": 57, ""Value"": 124}, {""Stat"": 18, ""Value"": -42}]","[{""Stat"": 60, ""Value"": 35}, {""Stat"": 57, ""Value"": -4}, {""Stat"": 60, ""Value"": 45}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 60, ""Value"": 75}, {""Stat"": 57, ""Value"": -8}, {""Stat"": 60, ""Value"": 105}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 60, ""Value"": 145}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 60, ""Value"": 195}, {""Stat"": 57, ""Value"": -20}, {""Stat"": 60, ""Value"": 245}, {""Stat"": 57, ""Value"": -25}, {""Stat"": 60, ""Value"": 315}, {""Stat"": 57, ""Value"": -32}, {""Stat"": 60, ""Value"": 385}, {""Stat"": 57, ""Value"": -39}, {""Stat"": 60, ""Value"": 465}, {""Stat"": 57, ""Value"": -47}]","[{""Stat"": 53, ""Value"": 10}, {""Stat"": 5, ""Value"": -17}, {""Stat"": 53, ""Value"": 20}, {""Stat"": 5, ""Value"": -26}, {""Stat"": 53, ""Value"": 30}, {""Stat"": 5, ""Value"": -40}, {""Stat"": 53, ""Value"": 40}, {""Stat"": 5, ""Value"": -56}, {""Stat"": 53, ""Value"": 50}, {""Stat"": 5, ""Value"": -76}, {""Stat"": 53, ""Value"": 60}, {""Stat"": 5, ""Value"": -99}, {""Stat"": 53, ""Value"": 70}, {""Stat"": 5, ""Value"": -125}, {""Stat"": 53, ""Value"": 80}, {""Stat"": 5, ""Value"": -155}, {""Stat"": 53, ""Value"": 90}, {""Stat"": 5, ""Value"": -188}, {""Stat"": 53, ""Value"": 100}, {""Stat"": 5, ""Value"": -224}]","[{""Stat"": 60, ""Value"": 60}, {""Stat"": 54, ""Value"": -3}, {""Stat"": 60, ""Value"": 90}, {""Stat"": 54, ""Value"": -5}, {""Stat"": 60, ""Value"": 140}, {""Stat"": 54, ""Value"": -7}, {""Stat"": 60, ""Value"": 200}, {""Stat"": 54, ""Value"": -10}, {""Stat"": 60, ""Value"": 270}, {""Stat"": 54, ""Value"": -14}, {""Stat"": 60, ""Value"": 360}, {""Stat"": 54, ""Value"": -18}, {""Stat"": 60, ""Value"": 470}, {""Stat"": 54, ""Value"": -24}, {""Stat"": 60, ""Value"": 590}, {""Stat"": 54, ""Value"": -30}, {""Stat"": 60, ""Value"": 720}, {""Stat"": 54, ""Value"": -36}, {""Stat"": 60, ""Value"": 870}, {""Stat"": 54, ""Value"": -44}]",在地下城發現到的寶石，裝備在鑲嵌槽可以強化裝備，補充魔力之後，可以發揮出更強大的力量，點擊滑鼠右鍵，可以選擇想要的裝備並配戴。,item_icon_star150,"[642086, 642145]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]",,"[31019, 31020]",,,黃寶石,100,0.0,0.0,TTTT,11,1,1.0
643505,gem_star_test,,,,,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",在地下城發現到的寶石，裝備在鑲嵌槽可以強化裝備，補充魔力之後，可以發揮出更強大的力量，點擊滑鼠右鍵，可以選擇想要的裝備並配戴。,item_icon_twentyside150,,,,,,,測試寶石,100,0.0,0.0,TTTT,11,1,1.0
643506,Gem_Swordman_Thrust,,"[{""Stat"": ""\u7a81\u523a\u6280\u80fd\u7b49\u7d1a +1""}]",,,"[{""Stat"": ""\u7a81\u523a\u6280\u80fd\u7b49\u7d1a +1""}]",從怪物身上發現到的寶石，安裝在鑲嵌槽上可以進行強化，效果不會重覆套用。點擊滑鼠右鍵後，選擇想要的裝備安裝。,gem_mon_bokchoy,,,,,,10001,奇奈希寶石,100,0.0,0.0,TTTT,11,0,1.0
643507,Gem_Swordman_Bash,,"[{""Stat"": ""\u75db\u64ca\u6280\u80fd\u7b49\u7d1a +1""}]",,,"[{""Stat"": ""\u75db\u64ca\u6280\u80fd\u7b49\u7d1a +1""}]",從怪物身上發現到的寶石，安裝在鑲嵌槽上可以進行強化，效果不會重覆套用。點擊滑鼠右鍵後，選擇想要的裝備安裝。,gem_mon_weaver,,,,,,10002,韋伯寶石,100,0.0,0.0,TTTT,11,0,1.0
643508,Gem_Swordman_GungHo,,,,"[{""Stat"": ""\u596e\u8d77\u6280\u80fd\u7b49\u7d1a +1""}]",,從怪物身上發現到的寶石，安裝在鑲嵌槽上可以進行強化，效果不會重覆套用。點擊滑鼠右鍵後，選擇想要的裝備安裝。,gem_mon_yekubite,,,,,,10003,約克巴伊特寶石,100,0.0,0.0,TTTT,11,0,1.0
643509,Gem_Swordman_Concentrate,,,,"[{""Stat"": ""\u5c08\u6ce8\u6280\u80fd\u7b49\u7d1a +1""}]",,從怪物身上發現到的寶石，安裝在鑲嵌槽上可以進行強化，效果不會重覆套用。點擊滑鼠右鍵後，選擇想要的裝備安裝。,gem_mon_jukopus,,,,,,10004,幽格普斯寶石,100,0.0,0.0,TTTT,11,0,1.0
643510,Gem_Swordman_PainBarrier,,,,"[{""Stat"": ""\u82e6\u75db\u5c4f\u969c\u6280\u80fd\u7b49\u7d1a +1""}]",,從怪物身上發現到的寶石，安裝在鑲嵌槽上可以進行強化，效果不會重覆套用。點擊滑鼠右鍵後，選擇想要的裝備安裝。,gem_mon_stonorca,,,,,,10005,石頭歐魯卡寶石,100,0.0,0.0,TTTT,11,0,1.0
