$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Drops,Link_Spawns,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR
11090,HighBube_Archer,2,布貝弓箭手可以見到鬥士武器特別化的模樣，因此有人主張布貝的職群是很明確的。,1647,1152,4,mon_highbube_archer,113,,"[{""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 20}, {""Map"": 1141, ""TimeRespawn"": 0, ""Population"": 10}]",高階布貝弓箭手,0,2,1,441,147,516,172,54,59,0,50,110,56,56,255,285,45,59,5794,20,1010,20,40
11110,New_desmodus,2,有一種說法是魔族利用他們當作傳令兵。,1862,953,0,mon_new_desmodus,41,,"[{""Map"": 2085, ""TimeRespawn"": 0, ""Population"": 35}, {""Map"": 1143, ""TimeRespawn"": 15000, ""Population"": 20}, {""Map"": 1143, ""TimeRespawn"": 5000, ""Population"": 20}]",吸血蝙蝠,1,2,0,103,85,103,85,24,15,0,8,25,20,20,54,54,10,15,511,22,372,8,22
11120,Goblin_Spear,2,常被人類目擊的布貝。,452,217,1,mon_goblin_spear,13,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1041, ""TimeRespawn"": 0, ""Population"": 8}]",布貝掠奪者,0,2,1,39,21,50,26,6,6,0,8,14,6,6,28,31,7,6,202,2,106,2,6
11123,Goblin_Spear_red,2,常被人類目擊的布貝。,2220,1425,2,mon_goblin_spear_red,150,,,赤紅布貝掠奪者,0,2,1,555,298,642,345,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
11124,Goblin_Spear_blue,2,常被人類目擊的布貝。,1138,652,4,mon_goblin_spear_blue,23,,"[{""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 60}, {""Map"": 3920, ""TimeRespawn"": 0, ""Population"": 40}]",藍色布貝掠奪者,0,2,1,51,27,64,34,10,11,0,12,27,11,11,36,40,11,11,370,4,199,4,9
11125,Goblin_Miners,2,常看見他們採集的模樣所以被灌上這樣的名字，但是因為布貝集團的體制不為世人所知，所以大家也不知道他們的角色究竟為何。 ,848,473,1,mon_goblin_miners,16,,"[{""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 27}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 7}, {""Map"": 1051, ""TimeRespawn"": 0, ""Population"": 10}]",布貝礦夫,0,2,1,44,23,54,29,7,8,0,9,16,8,8,30,34,8,8,250,3,139,3,7
11127,Goblin_Miners_Blue,2,常看見他們採集的模樣所以被灌上這樣的名字，但是因為布貝集團的體制不為世人所知，所以大家也不知道他們的角色究竟為何。 ,876,798,4,mon_goblin_miners_blue,20,,"[{""Map"": 3910, ""TimeRespawn"": 0, ""Population"": 60}]",藍色布貝礦夫,0,2,1,45,30,57,38,9,10,0,11,25,10,10,34,38,10,10,321,4,179,4,9
11160,Goblin_Archer,2,布貝弓箭手可以見到鬥士武器特別化的模樣，因此有人主張布貝的職群是很明確的。,1080,698,1,mon_goblin_archer,21,,"[{""Map"": 101, ""TimeRespawn"": 60000, ""Population"": 2}, {""Map"": 1061, ""TimeRespawn"": 0, ""Population"": 25}]",布貝弓箭手,0,2,1,46,30,58,38,9,10,0,11,25,10,10,34,38,10,10,337,4,186,4,9
11162,Goblin_Archer_red,2,布貝弓箭手可以見到鬥士武器特別化的模樣，因此有人主張布貝的職群是很明確的。,1665,1995,2,mon_goblin_archer_red,150,,,赤紅布貝弓箭手,0,2,1,597,256,691,296,73,76,0,66,143,75,75,372,416,59,76,8243,27,1349,27,53
41196,Long_Arm,2,從灌木變形而成的怪物，將分枝丟棄，用2個樹枝來攻擊人。,2146,930,1,mon_long_arm,100,,"[{""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1431, ""TimeRespawn"": 0, ""Population"": 30}]",長臂樹怪,4,2,1,320,213,320,213,41,41,0,27,64,50,50,253,202,27,41,4508,27,1300,49,27
41197,tombstone_turtle,3,是屬於礦石龜亞種的生物。,935,1922,6,mon_tombstone_turtle,173,,"[{""Map"": 2511, ""TimeRespawn"": 0, ""Population"": 20}]",勒多,3,2,0,738,316,843,361,89,64,0,82,77,86,86,418,523,31,64,14483,38,1750,46,68
41198,dog_of_king,3,有一種說法是警備犬是札卡里耶爾大王親手創造出來的。,1216,1141,1,mon_dog_of_king,90,,"[{""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 15}, {""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 10}, {""Map"": 1361, ""TimeRespawn"": 0, ""Population"": 10}]",貝奴凱洛斯,1,2,1,393,168,393,168,54,36,34,17,52,45,45,194,194,21,36,3831,45,817,17,45
41199,katacom_cemeterygolem,3,世上存在的青苔泥人大部份都是在好的意圖之下製作的，而現在受到邪惡氣息的影響，他們變得會動了。,482,2433,6,katacom_cemetery_golem,82,,,墓地青苔泥人,3,2,1,225,150,271,180,43,31,0,41,35,41,41,148,186,15,31,4014,19,828,22,33
41201,boss_onion_the_great,3,目前還正在研究為何有的凱帕會變種。其中也包含一些能被接受的研究，但大家並不期待其成果。,105,75,0,boss_onion_the_great,1,,,凱帕奇樹妖,3,0,3,36,24,41,27,1,0,0,3,2,0,0,23,29,1,0,114,1,13,1,3
